candidate_id,draft_year,report_catchshoot_fg_pct,report_catchshoot_fga_pg,report_catchshoot_poss_pg,report_catchshoot_ppp,report_catchshoot_pps,report_cut_fg_pct,report_cut_poss_pct,report_cut_poss_pg,report_cut_ppp,report_finish_fga_pg,report_finish_poss_pg,report_finish_ppp,report_finish_pps,report_free_throw_poss_pct,report_guarded_catchshoot_ppp,report_guarded_catchshoot_pps,report_halfcourt_poss_pg,report_halfcourt_ppp,report_halfcourt_shots_fouled_pct,report_halfcourt_turnover_pct,report_isolation_fg_pct,report_isolation_poss_pct,report_isolation_poss_pg,report_isolation_poss_total,report_isolation_ppp,report_isolation_shots_fouled_pct,report_isolation_turnover_pct,report_jump_fg_pct,report_jump_fga_pg,report_jump_fga_total,report_jump_fgm_total,report_jump_poss_pct,report_jump_ppp,report_jump_pps,report_jump_shot_pct,report_offscreen_poss_pg,report_offscreen_ppp,report_open_catchshoot_fg_pct,report_open_catchshoot_ppp,report_open_catchshoot_pps,report_overall_ppp,report_pickroll_finish_poss_pg,report_pickroll_finish_ppp,report_pickroll_poss_pct,report_pickroll_poss_pg,report_pickroll_ppp,report_poss_pg,report_post_fg_pct,report_post_poss_pct,report_post_poss_pg,report_post_ppp,report_post_turnover_pct,report_pullup_fg_pct,report_pullup_fga_pg,report_pullup_fga_total,report_pullup_fgm_total,report_pullup_ppp,report_pullup_pps,report_putback_poss_pct,report_putback_poss_pg,report_putback_ppp,report_rim_fg_pct,report_scoring_poss_pct,report_shots_fouled_pct,report_spotup_fga_pg,report_spotup_poss_pct,report_spotup_ppp,report_transition_fg_pct,report_transition_poss_pct,report_transition_poss_pg,report_transition_poss_total,report_transition_ppp,report_transition_turnover_pct,report_turnover_pct
prior_2012_55b683c6030c1b517504,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prior_2012_9f43ed937169e1cf36fc,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prior_2013_6bcdbd04e54854f493a7,2013,,,,,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
prior_2013_8d4b7eef1d8eb3408548,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,
prior_2013_f7b8346f1c94cb4b3e93,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prior_2014_a8505b9bcef90a9f6893,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,1.14,,10.8,,,,,
prior_2014_e3c4cbe104ccf32796a8,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
prior_2014_f52603a5b83b5c19f2ae,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,4.9,,,,,,,,,,,,,,,,,,,,
