candidate_id,draft_year,vcons_mock_mean_rank,vcons_mock_best_rank,vcons_mock_rank_range,vcons_mock_n_sources
prior_2012_55b683c6030c1b517504,2012,,,,
prior_2012_9f43ed937169e1cf36fc,2012,28.0,28.0,,1.0
prior_2013_6bcdbd04e54854f493a7,2013,31.5,29.0,5.0,2.0
prior_2013_8d4b7eef1d8eb3408548,2013,42.5,37.0,11.0,2.0
prior_2013_f7b8346f1c94cb4b3e93,2013,47.0,43.0,8.0,2.0
prior_2014_a8505b9bcef90a9f6893,2014,57.0,57.0,,1.0
prior_2014_e3c4cbe104ccf32796a8,2014,44.0,39.0,10.0,2.0
prior_2014_f52603a5b83b5c19f2ae,2014,,,,
