pid,gl2_absence_blocks,gl2_absence_blocks_car,gl2_absence_max_len,gl2_ast40,gl2_avail,gl2_avail_car,gl2_away_minus_home_gmsc40,gl2_best_seed_car,gl2_blk40,gl2_blow_d_mpg,gl2_blow_mpg,gl2_box_completeness,gl2_champion,gl2_champion_car,gl2_close_d_gmsc40,gl2_close_d_mpg,gl2_close_d_ts,gl2_close_gmsc40,gl2_close_minus_blow_gmsc40,gl2_close_minus_blow_mpg,gl2_close_mpg,gl2_d100_ast40,gl2_d100_blk40,gl2_d100_efg,gl2_d100_fg,gl2_d100_fg3,gl2_d100_ft,gl2_d100_ftr,gl2_d100_gmsc40,gl2_d100_mpg,gl2_d100_pts40,gl2_d100_reb40,gl2_d100_stl40,gl2_d100_tov40,gl2_d100_ts,gl2_d50_ast40,gl2_d50_blk40,gl2_d50_efg,gl2_d50_fg,gl2_d50_fg3,gl2_d50_ft,gl2_d50_ftr,gl2_d50_gmsc40,gl2_d50_mpg,gl2_d50_pts40,gl2_d50_reb40,gl2_d50_stl40,gl2_d50_tov40,gl2_d50_ts,gl2_dnp_rows,gl2_efg,gl2_exp_wins,gl2_fg,gl2_fg3,gl2_final4,gl2_final4_car,gl2_final_is_predraft_season,gl2_final_season_end,gl2_ft,gl2_ftr,gl2_g_all,gl2_g_t100,gl2_g_t50,gl2_gmsc40,gl2_gmsc_cv,gl2_gmsc_mean,gl2_gmsc_pg,gl2_gmsc_sd,gl2_gmsc_skew,gl2_gp,gl2_gp_car,gl2_last10_d_gmsc40,gl2_last10_d_mpg,gl2_last10_d_pts40,gl2_late_d_ast40,gl2_late_d_gmsc40,gl2_late_d_mpg,gl2_late_d_pts40,gl2_late_d_reb40,gl2_late_d_ts,gl2_min_share,gl2_missed,gl2_mpg,gl2_n_blowout,gl2_n_close,gl2_n_neutral,gl2_n_seasons,gl2_ncaa_d_ast40,gl2_ncaa_d_gmsc40,gl2_ncaa_d_mpg,gl2_ncaa_d_pts40,gl2_ncaa_d_reb40,gl2_ncaa_d_stl40,gl2_ncaa_d_tov40,gl2_ncaa_d_ts,gl2_ncaa_g,gl2_ncaa_g_car,gl2_ncaa_w_car,gl2_neutral_d_gmsc40,gl2_pase,gl2_pase_neg,gl2_pase_pos,gl2_ppg,gl2_pts40,gl2_reb40,gl2_season_gaps,gl2_seasons_no_archive,gl2_seed,gl2_share_gmsc_above_1sd,gl2_share_gmsc_below_1sd,gl2_start_share,gl2_stl40,gl2_t100_apg,gl2_t100_bpg,gl2_t100_efg,gl2_t100_fg,gl2_t100_fg3,gl2_t100_ft,gl2_t100_ftr,gl2_t100_gmsc,gl2_t100_mpg,gl2_t100_ppg,gl2_t100_rpg,gl2_t100_spg,gl2_t100_topg,gl2_t100_ts,gl2_t50_apg,gl2_t50_bpg,gl2_t50_efg,gl2_t50_fg,gl2_t50_fg3,gl2_t50_ft,gl2_t50_ftr,gl2_t50_gmsc,gl2_t50_mpg,gl2_t50_ppg,gl2_t50_rpg,gl2_t50_spg,gl2_t50_topg,gl2_t50_ts,gl2_team_g,gl2_team_g_car,gl2_team_g_sched,gl2_team_ncaa_w,gl2_tier_src_torvik,gl2_tov40,gl2_ts
P951f092ec6,0,0,0,1.7714,1.0,1.0,-10.8022,1,0.7827,-1.497,22.778,1.0,1,1,-7.7109,4.225,-0.08628,9.0058,-15.16,5.722,28.5,0.1422,-0.042,-0.00658,-0.00292,-0.33333,-0.0391,0.02211,-2.1797,0.648,-2.2412,0.1121,-0.1042,0.0596,-0.01317,-0.0043,0.0205,-0.0528,-0.04914,-0.33333,-0.09426,-0.00107,-4.0822,0.625,-3.7955,-0.2359,-0.1525,-0.1732,-0.06335,0,0.63004,2.95,0.62637,0.33333,1,1,1,2008,0.69128,0.54579,40,26,20,16.7168,0.569,10.145,10.145,5.7725,0.2328,40,40,-2.7079,-1.775,-3.8362,-0.1974,-4.6923,-0.524,-4.2868,-1.5527,-0.04584,0.1206,0,24.275,18,6,11,1,0.9553,-1.8777,-1.304,-4.3622,-0.0744,0.8605,-0.4368,-0.04207,6,6,6,-2.74,3.05,0.0,3.05,11.175,18.414,10.999,0,0,1,0.125,0.15,0.875,1.277,1.192,0.462,0.62346,0.62346,0.0,0.65217,0.5679,9.058,24.923,10.077,6.923,0.731,1.346,0.64698,1.1,0.5,0.57724,0.57724,0.0,0.59701,0.54472,7.865,24.9,9.1,6.7,0.7,1.2,0.5968,40,40,40,6,1.0,2.1009,0.66015
P9537391b0e,0,0,0,5.6362,1.0,1.0,-4.5095,7,0.8198,-2.691,31.75,1.0,0,0,1.4911,-0.441,0.03752,14.9804,-2.7309,2.25,34.0,-0.2339,-0.36,-0.11751,-0.08621,-0.17033,0.18548,0.02737,-1.7192,0.359,-2.0137,1.6112,0.1528,0.0661,-0.07041,-2.393,-0.8198,0.00365,0.02778,-0.13462,0.17308,0.03216,3.808,2.559,4.7865,1.7913,1.6719,0.0443,0.03318,0,0.56579,1.0625,0.5,0.38462,0,0,1,2019,0.75,0.32895,34,10,3,13.4893,0.5551,11.6147,11.615,6.4472,0.4168,34,103,-0.1,1.259,1.4858,-1.3202,1.7806,1.901,2.3337,0.2118,0.0378,0.1722,0,34.441,12,3,7,3,,,,,,,,,1,4,2,-1.4266,-1.0625,-1.0625,0.0,12.324,14.3126,5.0555,2,0,7,0.2059,0.1471,0.9706,1.5713,4.7,0.4,0.44828,0.41379,0.21429,0.93548,0.35632,10.24,34.8,10.7,5.8,1.5,1.9,0.5316,3.0,0.0,0.56944,0.52778,0.25,0.92308,0.36111,16.0,37.0,17.667,6.333,3.0,2.0,0.63519,34,103,34,0,1.0,2.1178,0.60201
P9580c6ee97,0,0,0,2.2472,1.0,0.9238,-0.1585,7,0.3933,1.313,22.889,1.0,0,0,0.4456,-0.212,0.00088,7.6085,0.0939,-1.525,21.364,-0.0425,0.2367,-0.04502,-0.0216,-0.03571,-0.06679,0.16213,-1.7141,-3.433,-1.7889,0.2897,-0.4256,0.3066,-0.03809,,,,,,,,,,,,,,,0,0.45806,,0.4129,0.28571,0,0,1,2020,0.61224,0.31613,33,7,2,7.1629,1.1248,3.8636,3.864,4.3459,1.0451,33,97,2.9234,6.224,2.8551,1.8333,4.1001,8.955,4.0914,-1.9421,0.13156,0.1075,0,21.576,9,11,5,3,,,,,,,,,0,4,2,-3.7555,,,,5.212,9.6629,7.5843,1,1,,0.1818,0.0909,0.3333,1.6854,1.0,0.286,0.41304,0.3913,0.25,0.54545,0.47826,2.471,18.143,3.571,3.571,0.571,1.286,0.44899,,,,,,,,,,,,,,,33,105,33,0,1.0,2.5281,0.48709
P959d20dcac,1,1,3,5.6316,0.8824,0.8824,0.4986,10,0.7715,-4.233,30.333,0.9714,0,0,-4.7506,2.1,-0.06651,12.2909,-10.2805,6.333,36.667,-0.3375,-0.2568,-0.00707,-0.01278,0.03034,0.07962,-0.04346,-1.6297,1.7,-0.9462,-0.6943,-0.0796,0.3737,0.009,-1.1646,-0.4669,-0.02961,-0.03997,0.08364,0.08199,-0.08025,-3.5491,1.252,-1.2295,-1.1541,-0.0728,0.5446,-0.01281,3,0.49577,0.65,0.47606,0.28,0,0,1,2005,0.69266,0.61408,30,15,11,17.0415,0.4336,14.7267,14.727,6.3853,0.5864,30,30,-3.4027,2.533,-3.2296,0.5462,-4.3955,2.333,-4.7867,-3.6905,-0.00155,0.1728,4,34.567,6,6,0,1,1.4901,-0.4281,4.185,-2.2616,-2.852,0.4384,-0.6455,-0.02061,3,3,2,,1.35,0.0,1.35,16.767,19.4021,7.7531,0,2,10,0.1667,0.2,0.9333,1.6972,4.8,0.467,0.4887,0.46328,0.31034,0.77228,0.57062,13.973,36.267,16.733,6.4,1.467,3.067,0.56674,4.0,0.273,0.46617,0.43609,0.36364,0.77465,0.53383,12.082,35.818,16.273,5.909,1.455,3.182,0.54493,34,34,35,2,0.0,3.0087,0.55775
P95c84fe799,0,0,0,4.839,1.0,0.9415,-5.1221,10,0.1393,-4.101,28.727,1.0,0,0,-2.6316,4.005,-0.0609,14.2805,-6.8714,8.106,36.833,-0.6415,0.0254,-0.06257,-0.05004,-0.07249,-0.02631,-0.06257,-2.4512,1.886,-1.5215,-0.3877,0.1461,0.2506,-0.06343,-2.0107,0.2648,0.11013,0.06534,0.06745,-0.28307,-0.06634,-2.4475,0.171,2.6985,-1.4801,-0.5422,1.5824,0.02915,0,0.53693,0.8485,0.43466,0.3871,0,0,1,2025,0.78307,0.53693,35,14,3,16.9121,0.4023,13.88,13.88,5.5842,0.2856,35,161,-0.7635,2.171,-1.283,0.1294,-0.1241,1.476,-1.1617,-0.0305,0.06356,0.1636,0,32.829,11,6,9,5,,,,,,,,,1,3,0,-2.3608,-0.8485,-0.8485,0.0,15.029,18.3116,7.1366,0,0,11,0.2,0.1714,1.0,2.1584,3.643,0.143,0.47436,0.38462,0.31461,0.75676,0.47436,12.55,34.714,14.571,5.857,2.0,2.0,0.54094,2.333,0.333,0.64706,0.5,0.45455,0.5,0.47059,11.933,33.0,17.333,4.667,1.333,3.0,0.63353,35,171,35,0,1.0,2.054,0.60438
P95ea622240,0,0,0,3.7175,0.9688,0.9925,-4.4846,9,0.3346,-6.376,28.333,0.9697,0,0,1.3785,1.874,-0.01953,16.0364,9.9188,8.25,36.583,-0.1214,0.0103,-0.01023,-0.01313,0.00753,-0.00418,-0.0579,-1.392,0.595,-1.276,-0.269,-0.052,0.1174,-0.0147,-0.4388,-0.0961,0.0206,0.01032,0.03856,-0.00247,-0.06081,-0.3212,0.606,-0.3624,-0.6207,-0.0884,-0.3139,0.0122,0,0.56173,,0.4716,0.39247,0,0,1,2017,0.73418,0.39012,31,23,19,14.658,0.5976,12.7194,12.719,7.601,0.6437,31,133,-5.4459,-1.71,-5.8328,0.5954,-8.1536,-1.664,-8.6251,-0.1008,-0.09966,0.1708,1,34.71,3,12,5,4,,,,,,,,,0,3,1,-1.8668,,,,18.419,21.2268,5.6877,0,0,,0.1613,0.1935,0.9677,0.4461,3.174,0.304,0.5515,0.45847,0.4,0.73,0.33223,11.709,35.304,17.609,4.783,0.348,2.696,0.58696,2.895,0.211,0.58233,0.48193,0.43103,0.73171,0.32932,12.658,35.316,18.421,4.474,0.316,2.316,0.61386,32,134,33,0,1.0,2.9368,0.60166
P9603a14b7f,0,0,0,1.813,1.0,0.875,,,0.9065,-1.917,27.5,0.3871,0,0,,,,,,,,0.587,0.4268,0.05992,0.03899,0.04628,0.16667,-0.05126,1.8749,0.583,1.0168,-1.1792,0.2402,0.0468,0.06057,1.333,-0.0076,-0.08508,-0.05672,-0.06963,0.16667,-0.0084,-2.2141,0.25,-3.3218,-1.4998,0.8874,0.3285,-0.06962,0,0.71008,,0.52101,0.47872,0,0,1,2026,0.83333,0.15126,12,5,3,17.4051,0.5477,12.8,12.8,7.0112,0.0719,12,70,,,,,,,,,,0.1456,0,29.417,6,1,3,3,,,,,,,,,0,0,0,-6.4156,,,,15.333,20.8499,4.6459,1,0,,0.1667,0.1667,1.0,1.3598,1.8,1.0,0.77,0.56,0.525,1.0,0.1,14.46,30.0,16.4,2.6,1.2,0.8,0.78544,2.333,0.667,0.625,0.46429,0.40909,1.0,0.14286,11.267,29.667,13.0,2.333,1.667,1.0,0.65524,12,80,31,0,1.0,1.0198,0.72487
P964dd1e5f4,0,0,0,1.9643,0.9688,0.9688,0.8202,,1.6071,2.073,23.75,1.0,0,0,-0.3393,1.434,0.00577,8.25,-1.7289,-0.639,23.111,-0.4225,0.1059,0.03092,0.03775,0.0,0.02529,-0.02062,0.0788,0.561,0.2508,-0.5346,-0.1365,-0.3485,0.02804,-1.0021,0.4547,0.03124,0.04151,-0.01923,-0.04583,-0.08515,-0.3694,0.707,0.5007,-1.6433,-0.2878,-0.5854,0.0111,0,0.45122,,0.41463,0.25,0,0,0,2016,0.73333,0.36585,31,21,13,8.5893,0.9824,4.6548,4.655,4.5728,0.6575,31,31,-0.2122,2.723,0.7728,-2.3119,-0.3332,4.019,1.2134,-1.9213,0.02999,0.1075,1,21.677,4,9,5,1,,,,,,,,,0,0,0,-2.8638,,,,4.645,8.5714,8.9286,0,1,,0.1613,0.1613,0.3548,1.25,0.857,0.952,0.48214,0.45238,0.25,0.75862,0.34524,4.819,22.238,4.905,4.667,0.619,0.667,0.53224,0.538,1.154,0.48246,0.45614,0.23077,0.6875,0.2807,4.6,22.385,5.077,4.077,0.538,0.538,0.5153,32,32,32,0,1.0,1.5476,0.5042
P9668122fb9,0,0,0,1.6367,1.0,1.0,-7.0088,2,3.7971,-0.182,18.333,0.9429,0,0,-5.2616,4.152,-0.03537,10.8235,-10.431,4.333,22.667,-0.3033,-0.4124,-0.03137,-0.03137,,-0.0202,0.02621,-3.2543,0.985,-3.1358,-0.8838,0.0917,0.1157,-0.02972,-0.3915,-0.5286,-0.00678,-0.00678,,0.03175,0.04781,-3.338,1.254,-4.0709,-1.225,-0.0568,-0.5879,-0.00107,0,0.6,2.3191,0.6,,0,0,1,2016,0.61111,0.18947,33,20,13,16.0851,0.5724,7.4455,7.445,4.262,0.1775,33,33,-1.6565,1.085,-2.6931,0.4069,-4.7995,1.417,-4.8105,-2.4638,-0.10434,0.0919,0,18.515,12,6,9,1,,,,,,,,,1,1,0,1.3113,-2.3191,-2.3191,0.0,7.576,16.3666,11.653,0,0,2,0.1515,0.1515,0.4848,0.5237,0.65,1.65,0.56863,0.56863,,0.59091,0.21569,6.255,19.5,6.45,5.25,0.3,0.95,0.57754,0.615,1.615,0.59322,0.59322,,0.64286,0.23729,6.3,19.769,6.077,5.154,0.231,0.615,0.6062,33,33,35,0,1.0,1.8331,0.60727
P966e81614a,0,0,0,2.8596,0.8947,0.9452,0.9997,2,0.7924,-3.647,30.5,1.0,0,0,-2.9556,1.053,-0.068,9.6818,-3.4329,4.7,35.2,0.1374,-0.2729,0.01493,0.0139,0.04286,-0.00331,0.04642,0.0819,0.37,0.0091,-0.1239,-0.0015,0.0534,0.01704,-0.2914,-0.5356,0.00641,0.0006,0.17273,0.0036,0.04563,-1.6197,0.464,-1.7936,-0.8711,0.0438,-0.2084,0.01152,0,0.4619,2.4615,0.45714,0.1,1,1,1,2010,0.76974,0.48254,34,29,18,12.6374,0.5298,10.7882,10.788,5.7154,-0.0401,34,69,-1.5263,0.953,-1.2933,-0.6043,-0.1992,3.938,-0.1007,-1.3255,0.0581,0.1677,4,34.147,4,10,10,2,-0.7233,0.6804,1.703,0.6495,-1.37,0.393,0.6639,0.06923,5,6,4,-1.5813,1.5385,0.0,1.5385,12.0,14.0568,9.4746,0,0,2,0.1176,0.1176,0.8824,1.2403,2.586,0.448,0.47683,0.47104,0.14286,0.76642,0.52896,10.976,34.517,12.138,8.069,1.069,2.276,0.55124,2.222,0.222,0.46831,0.45775,0.27273,0.77333,0.52817,9.533,34.611,10.611,7.444,1.111,2.056,0.54571,38,73,38,4,1.0,2.584,0.5342
