pid,bb_nd_board_rank_final,bb_nd_board_rank_30d,bb_nd_board_rank_60d,bb_nd_board_change_60d,bb_nd_board_first_seen_days,bb_nd_mock_rank_final,bb_nd_crowd_mock_rank_final,bb_nd_fit_gap,bb_nd_unranked_board,bb_dx_board_rank_final,bb_dx_board_rank_30d,bb_dx_mock_pick_final,bb_dx_fit_gap,bb_dx_mock_volatility,bb_dx_board_momentum_30d,bb_dx_first_mock_lead_days,bb_dx_age_listed,bb_stepien_consensus_rank,bb_stepien_dispersion,bb_stepien_tier,bb_stepien_preseason_to_final_delta,bb_fit_gap_mean,bb_n_board_sources
Pd018d62aee,25,15,17,81.0,208.6,14,16,-11,0,,,,,,,,,,,,,-11.0,1
P32ff4229d3,13,20,22,93.0,113.5,11,18,-2,0,,,,,,,,,,,,,-2.0,1
P4bd2cd3d34,101,101,101,,,,,,1,,,,,,,,,,,,,,0
Pada60a9da7,20,26,20,86.0,208.6,22,25,2,0,,,,,,,,,,,,,2.0,1
Pa3f4257d20,15,27,26,91.0,208.6,13,23,-2,0,,,,,,,,,,,,,-2.0,1
P7a95b991f4,9,5,3,97.0,208.6,6,3,-3,0,,,,,,,,,,,,,-3.0,1
P13f5a8ca49,101,101,101,,,15,24,-86,1,,,,,,,,,,,,,-86.0,0
P9f04775c7a,12,11,9,94.0,208.6,16,9,4,0,,,,,,,,,,,,,4.0,1
Pf120e8dc11,18,19,31,88.0,113.5,23,32,5,0,,,,,,,,,,,,,5.0,1
P523c7506e7,23,24,21,83.0,208.6,17,30,-6,0,,,,,,,,,,,,,-6.0,1
P4bbcd3bc18,28,21,62,78.0,113.5,28,52,0,0,,,,,,,,,,,,,0.0,1
P7070c905f3,34,33,56,72.0,208.6,40,58,6,0,,,,,,,,,,,,,6.0,1
Pf4a65045a1,16,16,10,90.0,208.6,18,15,2,0,,,,,,,,,,,,,2.0,1
Pe79de9d05b,26,25,29,80.0,208.6,26,35,0,0,,,,,,,,,,,,,0.0,1
P1a8fd8dc98,71,87,46,34.0,208.6,47,45,-24,0,,,,,,,,,,,,,-24.0,1
P086a09588e,14,10,5,92.0,208.6,25,10,11,0,,,,,,,,,,,,,11.0,1
P0d7bcc4d57,36,45,43,70.0,208.6,35,,-1,0,,,,,,,,,,,,,-1.0,1
P429241cb33,17,18,14,89.0,208.6,19,17,2,0,,,,,,,,,,,,,2.0,1
Pfd3b474513,33,62,70,73.0,71.3,27,60,-6,0,,,,,,,,,,,,,-6.0,1
Pafffac98b2,41,65,101,65.0,37.0,31,,-10,0,,,,,,,,,,,,,-10.0,1
P2bc6f2a3aa,30,22,23,76.0,208.6,34,19,4,0,,,,,,,,,,,,,4.0,1
P68ff50da96,35,17,12,71.0,208.6,32,11,-3,0,,,,,,,,,,,,,-3.0,1
Pd1401169e8,19,30,25,87.0,113.5,29,27,10,0,,,,,,,,,,,,,10.0,1
P35654567c0,27,23,19,79.0,208.6,30,20,3,0,,,,,,,,,,,,,3.0,1
Pdf5a3388b3,32,28,34,74.0,208.6,41,28,9,0,,,,,,,,,,,,,9.0,1
P470eca3f49,38,63,63,68.0,113.5,36,51,-2,0,,,,,,,,,,,,,-2.0,1
P0f6f43de8d,47,51,28,59.0,113.5,33,36,-14,0,,,,,,,,,,,,,-14.0,1
P9fc884bebd,63,58,48,43.0,208.6,53,47,-10,0,,,,,,,,,,,,,-10.0,1
P84e9dcbb3e,55,61,101,51.0,208.6,55,,0,0,,,,,,,,,,,,,0.0,1
P367a636ba4,62,57,52,44.0,208.6,,54,,0,,,,,,,,,,,,,,1
Pb1001f743e,49,85,101,57.0,37.0,39,,-10,0,,,,,,,,,,,,,-10.0,1
Pbdde11b624,64,86,96,42.0,113.5,44,,-20,0,,,,,,,,,,,,,-20.0,1
Pcf591b3097,24,66,101,82.0,37.0,20,,-4,0,,,,,,,,,,,,,-4.0,1
P0edbaa5011,37,42,38,69.0,208.6,42,29,5,0,,,,,,,,,,,,,5.0,1
P3bedf956bf,61,47,60,45.0,208.6,,48,,0,,,,,,,,,,,,,,1
P82e84aa110,43,43,44,63.0,113.5,51,40,8,0,,,,,,,,,,,,,8.0,1
P7572949d92,60,72,101,46.0,37.0,58,,-2,0,,,,,,,,,,,,,-2.0,1
P0bcbee5c83,80,84,101,17.0,37.0,,,,0,,,,,,,,,,,,,,1
P4b73f3a250,39,39,42,67.0,113.5,46,43,7,0,,,,,,,,,,,,,7.0,1
P414be319a7,66,71,93,39.0,71.3,,,,0,,,,,,,,,,,,,,1
Pf7cf72315c,56,79,101,50.0,37.0,56,,0,0,,,,,,,,,,,,,0.0,1
Pd62847824a,51,36,27,55.0,208.6,43,26,-8,0,,,,,,,,,,,,,-8.0,1
Pb1c5565b99,48,53,49,58.0,208.6,57,44,9,0,,,,,,,,,,,,,9.0,1
P8b3507dca4,69,81,101,36.0,37.0,,,,0,,,,,,,,,,,,,,1
Pc19f23edb3,86,,,7.0,26.8,,,,0,,,,,,,,,,,,,,1
Pa93866e530,29,31,32,77.0,208.6,38,22,9,0,,,,,,,,,,,,,9.0,1
P2382218b2e,67,70,,38.0,37.0,,,,0,,,,,,,,,,,,,,1
P66484e16cb,54,64,,52.0,37.0,54,,0,0,,,,,,,,,,,,,0.0,1
P218d8c92b9,59,38,40,47.0,208.6,,39,,0,,,,,,,,,,,,,,1
