pid,source,capture_ts,capture_url
P146ec7320a,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P26f8dd510c,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P2acc089d0e,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
Pe2d0a4cddd,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P22c8154970,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P1738f63a26,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P7b8c6b66e0,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P3391f209f3,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
Pad8e6fd6b0,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P52f9046b71,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P4417860ddd,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
Pef77516e2b,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P4c4f563b8c,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
Pc430805a15,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P7ef2b1cf05,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P60425a0c89,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
Pab257f8a15,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P20418f8d52,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P0086aec335,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
Pe79f6d1bdb,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P8afd917a6c,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P2d06a24aee,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P7d7c4d5568,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
Pcb72b419f2,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P57a6e7dc53,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
P38fd19ed26,nd_board_final,20090519045952,http://www.nbadraft.net:80/ranking/bigboard
