pid,draft_year,source_id,publisher,archive_url,source_url,capture_utc,draft_date,source_last_updated_date,table_sha256,html_sha256,rank_facts_sha256,cell_sha256,profile_href,source_row_ordinal,age_precision_years,layout,raw_typed_tokens_json,missing_reasons_json
Peaf1686cc0,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,3c20d566555d25c86f7fc3d5155c5137de8bc4e468a7c24084484b4d69ac6ae3,/profile/Myles-Turner-72850/,12,0.1,dx_text,{},{}
P2297a93a7f,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,42f9ec08b4f34cefd9aa5c4bcf46812de0250ca8cfbd905f3dad98cf180664f2,/profile/Trey-Lyles-7157/,13,0.1,dx_text,{},{}
Pce2a43b358,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2c12c7a968b5556b3acfce4ff6fcf5d8d277d12ad903f2d3810a0fe763df6db5,/profile/Cameron-Payne-70346/,14,0.1,dx_text,{},{}
P5492e07ad3,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,1e2f6fec0869c2a168704ade5bc2f824cdd00b629941d13b7c374529eef9df21,/profile/Bobby-Portis-7167/,16,0.1,dx_text,{},{}
P3cfad83e39,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,d72ce5943cfa6a496d47b69ff2815a813af859942be2b9ccc3b95b9e42e46847,/profile/R.J.-Hunter-65208/,17,0.1,dx_text,{},{}
P9a02cf437c,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,53ad32e188a40cc696a317ae9f1e12d04c04aa8df82de11f07c65fa2e9c4645a,/profile/Tyus-Jones-46062/,18,0.1,dx_text,{},{}
P8d6369038a,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,e3c5082117f0abc2037308c2d06d8fdc373061ccc4f304e5b464bd0b48602696,/profile/Jerian-Grant-18095/,19,0.1,dx_text,{},{}
P94d904f95a,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,c1121123b94f1ad997c7fb1e8da9b85b5dd2ea44aa866bd9252c6b394f6e448f,/profile/Sam-Dekker-6438/,20,0.1,dx_text,{},{}
P16f77dc0c6,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,b12699607d5b2229e901943bde959b08f303b7e302e50f9b642bbacc82aea97a,/profile/Delon-Wright-78507/,21,0.1,dx_text,{},{}
Pb4e1522182,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,d19bdbe2de16735c26cac88c09e10b6af5e291989b496fd3af29eba3ce27b819,/profile/Rondae-Hollis-Jefferson-6466/,22,0.1,dx_text,{},{}
