pid,draft_year,vmb_age_reported_years,vmb_listed_height_in,vmb_listed_weight_lb,vmb_listed_bmi,vmb_college_class_year,vmb_position_pg,vmb_position_sg,vmb_position_sf,vmb_position_pf,vmb_position_c
P1cf3ac09b1,2020,,73.0,185.0,24.4075571839453,4.0,1.0,0.0,0.0,0.0,0.0
P272ac40c3c,2020,,79.0,215.0,24.220471017852795,1.0,0.0,0.0,1.0,1.0,0.0
P289da7f9c1,2020,,75.0,160.0,19.998423598624978,1.0,1.0,0.0,0.0,0.0,0.0
P2b95cb9990,2020,,83.0,245.0,25.00392611577791,3.0,0.0,0.0,0.0,0.0,1.0
P32d7e7e1eb,2020,,79.0,215.0,24.220471017852795,3.0,0.0,0.0,0.0,1.0,0.0
P34a08a87d4,2020,,75.0,190.0,23.74812802336716,2.0,1.0,0.0,0.0,0.0,0.0
P35f0fb7731,2020,,77.0,225.0,26.680832420106398,1.0,0.0,1.0,0.0,0.0,0.0
P388cb0d5da,2020,,75.0,185.0,23.12317728591013,1.0,1.0,0.0,0.0,0.0,0.0
P3c885ec031,2020,,76.0,175.0,21.30145021413658,,1.0,1.0,0.0,0.0,0.0
P3ff36ffdc1,2020,,80.0,180.0,19.773831927351356,,1.0,0.0,0.0,0.0,0.0
P41612ab4e2,2020,,81.0,220.0,23.574959231918164,2.0,0.0,0.0,0.0,1.0,0.0
P429838957d,2020,,76.0,190.0,23.127288803919715,1.0,1.0,1.0,0.0,0.0,0.0
P48772fff87,2020,,82.0,240.0,25.09469052846494,2.0,0.0,0.0,0.0,0.0,1.0
P4cd6438cc3,2020,,76.0,200.0,24.344514530441806,2.0,0.0,1.0,0.0,0.0,0.0
P6142a39d2b,2020,,81.0,230.0,24.64654828791444,4.0,0.0,0.0,0.0,1.0,0.0
P6232d5a44f,2020,,81.0,235.0,25.18234281591258,1.0,0.0,0.0,0.0,1.0,1.0
P63236d3a70,2020,,75.0,190.0,23.74812802336716,2.0,1.0,1.0,0.0,0.0,0.0
P69f4c7679c,2020,,74.0,175.0,22.46843981681024,3.0,1.0,0.0,0.0,0.0,0.0
P716f6175e4,2020,,74.0,185.0,23.752350663485114,2.0,1.0,0.0,0.0,0.0,0.0
P7699b7f669,2020,,78.0,215.0,24.8454897472747,1.0,0.0,1.0,1.0,0.0,0.0
P80eaeaa85d,2020,,77.0,210.0,24.902110258765973,2.0,0.0,1.0,1.0,0.0,0.0
P842bafbfda,2020,,84.0,190.0,18.931862263526114,,0.0,0.0,0.0,0.0,1.0
P866e6f90bf,2020,,77.0,165.0,19.565943774744692,2.0,1.0,1.0,0.0,0.0,0.0
P87be528da0,2020,,78.0,180.0,20.800875137253236,,0.0,1.0,0.0,0.0,0.0
P90a7395cb0,2020,,82.0,215.0,22.480660265083177,2.0,0.0,0.0,0.0,1.0,0.0
P9cddcdc1ad,2020,,79.0,220.0,24.78373778570984,3.0,0.0,0.0,1.0,0.0,0.0
P9d5ce33ec0,2020,,81.0,250.0,26.789726399907,2.0,0.0,0.0,0.0,1.0,0.0
Pa3fa433740,2020,,75.0,200.0,24.99802949828122,1.0,0.0,1.0,0.0,0.0,0.0
Pa430d00e1f,2020,,81.0,210.0,22.50337017592188,,0.0,0.0,1.0,0.0,0.0
Pa7dbf13041,2020,,82.0,200.0,20.912242107054116,1.0,0.0,0.0,0.0,1.0,0.0
Pad0b972baf,2020,,82.0,,,1.0,0.0,0.0,0.0,0.0,1.0
Pb3e461d4cf,2020,,77.0,190.0,22.53048071031207,1.0,0.0,1.0,0.0,0.0,0.0
Pb7d583a85a,2020,,81.0,225.0,24.1107537599163,1.0,0.0,0.0,0.0,1.0,0.0
Pba698d642d,2020,,85.0,235.0,22.86800708860934,1.0,0.0,0.0,0.0,0.0,1.0
Pc2d24d5902,2020,,75.0,190.0,23.74812802336716,1.0,1.0,0.0,0.0,0.0,0.0
Pc74b3d476e,2020,,79.0,230.0,25.91027132142392,4.0,0.0,0.0,1.0,1.0,0.0
Pceb9387e05,2020,,71.0,175.0,24.407295464561177,4.0,1.0,0.0,0.0,0.0,0.0
Pd70c9ef8df,2020,,79.0,200.0,22.53067071428167,2.0,0.0,1.0,0.0,0.0,0.0
Pdc083a80a9,2020,,78.0,215.0,24.8454897472747,3.0,0.0,1.0,0.0,0.0,0.0
Pdc49b6ecb0,2020,,75.0,190.0,23.74812802336716,4.0,1.0,1.0,0.0,0.0,0.0
Pde7308c87b,2020,,77.0,175.0,20.751758548971644,,1.0,0.0,0.0,0.0,0.0
Pe0b660d280,2020,,81.0,250.0,26.789726399907,1.0,0.0,0.0,0.0,1.0,1.0
Pe237a28a37,2020,,83.0,240.0,24.493641909333466,1.0,0.0,0.0,0.0,1.0,1.0
Pe6c9de6d86,2020,,78.0,215.0,24.8454897472747,2.0,0.0,1.0,1.0,0.0,0.0
Pee12c1b431,2020,,78.0,220.0,25.423291834420624,2.0,0.0,1.0,0.0,0.0,0.0
Pf46613d969,2020,,74.0,195.0,25.036261510159985,4.0,1.0,0.0,0.0,0.0,0.0
Pfe5913c014,2020,,77.0,195.0,23.123388097425547,,1.0,0.0,0.0,0.0,0.0
P0057628fa2,2021,,79.0,220.0,24.78373778570984,4.0,0.0,1.0,1.0,0.0,0.0
P0326e23b0d,2021,,83.0,235.0,23.983357702889016,3.0,0.0,0.0,0.0,1.0,1.0
P05f9ca4653,2021,,78.0,190.0,21.956479311545085,4.0,0.0,1.0,0.0,0.0,0.0
P152905cef4,2021,,76.0,205.0,24.95312739370285,2.0,1.0,0.0,0.0,0.0,0.0
P1e1b55c58c,2021,,73.0,180.0,23.747893476271102,1.0,1.0,0.0,0.0,0.0,0.0
P21372aaded,2021,,80.0,210.0,23.06947058190991,4.0,0.0,1.0,1.0,0.0,0.0
P2c8aa67899,2021,,74.0,205.0,26.320172356834856,3.0,1.0,0.0,0.0,0.0,0.0
P30aaba02d5,2021,,83.0,235.0,23.983357702889016,,0.0,0.0,0.0,0.0,1.0
P3364db28a5,2021,,80.0,205.0,22.52019747281682,3.0,0.0,0.0,0.0,1.0,0.0
P392363bcf2,2021,,81.0,220.0,23.574959231918164,1.0,0.0,0.0,1.0,1.0,0.0
P4110110f37,2021,,80.0,230.0,25.266563018282287,,0.0,0.0,0.0,1.0,1.0
P45a39b68c1,2021,,81.0,225.0,24.1107537599163,1.0,0.0,0.0,1.0,1.0,0.0
P4e35bd6add,2021,,77.0,190.0,22.53048071031207,1.0,0.0,1.0,0.0,0.0,0.0
P606c98790a,2021,,74.0,195.0,25.036261510159985,2.0,1.0,0.0,0.0,0.0,0.0
P61afdc25a4,2021,,80.0,220.0,24.1680168000961,1.0,1.0,1.0,0.0,0.0,0.0
P64263ced9d,2021,,78.0,180.0,20.800875137253236,1.0,0.0,1.0,0.0,0.0,0.0
P69549f38f2,2021,,83.0,220.0,22.452505083555675,2.0,0.0,0.0,0.0,0.0,1.0
P71399e9935,2021,,77.0,195.0,23.123388097425547,4.0,1.0,1.0,0.0,0.0,0.0
P721d8fa8f9,2021,,77.0,185.0,21.9375733231986,1.0,0.0,1.0,1.0,0.0,0.0
P7dcdc4ccdd,2021,,79.0,220.0,24.78373778570984,1.0,0.0,0.0,1.0,1.0,0.0
P82dc635a40,2021,,75.0,195.0,24.373078760824193,3.0,1.0,1.0,0.0,0.0,0.0
P854a3a23a2,2021,,80.0,205.0,22.52019747281682,,1.0,0.0,0.0,0.0,0.0
P87ada0d006,2021,,82.0,205.0,21.43504815973047,1.0,0.0,0.0,0.0,1.0,1.0
P90932c4b0a,2021,,84.0,245.0,24.412138181915257,3.0,0.0,0.0,0.0,0.0,1.0
P90b2305671,2021,,76.0,205.0,24.95312739370285,1.0,0.0,1.0,0.0,0.0,0.0
P9badd97dfe,2021,,77.0,180.0,21.34466593608512,3.0,1.0,1.0,0.0,0.0,0.0
P9e82692a6d,2021,,81.0,190.0,20.360192063929322,1.0,0.0,1.0,1.0,0.0,0.0
P9fd480084b,2021,,77.0,195.0,23.123388097425547,3.0,1.0,1.0,0.0,0.0,0.0
Pa0882490f6,2021,,78.0,205.0,23.689885572982853,1.0,0.0,1.0,0.0,0.0,0.0
Pa090759337,2021,,77.0,190.0,22.53048071031207,2.0,0.0,1.0,0.0,0.0,0.0
Pac178f1473,2021,,79.0,205.0,23.093937482138713,3.0,0.0,1.0,1.0,0.0,0.0
Pb1d56c9c96,2021,,82.0,210.0,21.957854212406822,1.0,0.0,0.0,0.0,1.0,0.0
Pb2632428b5,2021,,81.0,220.0,23.574959231918164,2.0,0.0,0.0,1.0,1.0,0.0
Pb3cfb2c388,2021,,81.0,240.0,25.718137343910723,,0.0,0.0,0.0,1.0,1.0
Pba95727095,2021,,82.0,250.0,26.140302633817647,4.0,0.0,0.0,0.0,1.0,1.0
Pbfadf35dca,2021,,79.0,230.0,25.91027132142392,4.0,0.0,0.0,1.0,1.0,0.0
Pc131e1ee6f,2021,,78.0,190.0,21.956479311545085,3.0,0.0,1.0,0.0,0.0,0.0
Pc3e0235987,2021,,84.0,215.0,21.422896771884815,1.0,0.0,0.0,0.0,1.0,1.0
Pc624860c4a,2021,,82.0,205.0,21.43504815973047,1.0,0.0,0.0,0.0,1.0,1.0
Pc97a1282a3,2021,,76.0,205.0,24.95312739370285,1.0,1.0,0.0,0.0,0.0,0.0
Pcf11d56327,2021,,80.0,220.0,24.1680168000961,4.0,0.0,0.0,1.0,0.0,0.0
Pe225c37146,2021,,76.0,225.0,27.38757884674703,1.0,1.0,0.0,0.0,0.0,0.0
Pe728a39ea0,2021,,83.0,265.0,27.0450629415557,1.0,0.0,0.0,0.0,1.0,0.0
Pf0fd005549,2021,,76.0,210.0,25.561740256963894,1.0,0.0,1.0,0.0,0.0,0.0
Pf6213e9937,2021,,76.0,215.0,26.17035312022494,1.0,0.0,1.0,0.0,0.0,0.0
Pfce02776de,2021,,77.0,190.0,22.53048071031207,2.0,1.0,0.0,0.0,0.0,0.0
P1191691c20,2022,,83.0,225.0,22.96278929000012,,0.0,0.0,1.0,1.0,0.0
P123f055136,2022,,76.0,225.0,27.38757884674703,1.0,1.0,1.0,0.0,0.0,0.0
P14882ceff6,2022,,80.0,215.0,23.618743691003008,2.0,0.0,0.0,1.0,1.0,0.0
P16b88a2183,2022,,76.0,195.0,23.735901667180762,2.0,1.0,1.0,0.0,0.0,0.0
P20596267f7,2022,,76.0,200.0,24.344514530441806,1.0,0.0,1.0,0.0,0.0,0.0
P22caf129cd,2022,,78.0,180.0,20.800875137253236,2.0,0.0,1.0,1.0,0.0,0.0
P3a3a5bbbef,2022,,83.0,250.0,25.514210322222358,1.0,0.0,0.0,0.0,1.0,1.0
P3a5b76349f,2022,,85.0,240.0,23.354560430920177,2.0,0.0,0.0,0.0,0.0,1.0
P3b1e823247,2022,,79.0,210.0,23.65720424999575,3.0,0.0,1.0,0.0,0.0,0.0
P3ebbedffb1,2022,,79.0,235.0,26.47353808928096,1.0,0.0,0.0,0.0,1.0,1.0
P416088a2b5,2022,,79.0,195.0,21.96740394642463,2.0,1.0,1.0,0.0,0.0,0.0
P4b5f95e771,2022,,81.0,185.0,19.824397535931183,,0.0,1.0,1.0,0.0,0.0
P4e8883caf8,2022,,78.0,195.0,22.534281398691007,2.0,0.0,1.0,1.0,0.0,0.0
P50d6953351,2022,,83.0,245.0,25.00392611577791,3.0,0.0,0.0,0.0,0.0,1.0
P5cba6e4b4b,2022,,76.0,185.0,22.51867594065867,1.0,1.0,1.0,0.0,0.0,0.0
