pid,draft_year,ctx_base_ast_pct,ctx_base_ast_pg,ctx_base_ast_tov,ctx_base_blk_pct,ctx_base_blk_pg,ctx_base_drb,ctx_base_dreb_pg,ctx_base_dunk_attempts,ctx_base_dunk_made,ctx_base_efg,ctx_base_fg2_pct,ctx_base_fg2a,ctx_base_fg2m,ctx_base_fg3_pct,ctx_base_fg3a,ctx_base_fg3m,ctx_base_fouls40,ctx_base_ft_pct,ctx_base_ftr,ctx_base_gp,ctx_base_mid_attempts,ctx_base_minutes_share,ctx_base_mpg,ctx_base_orb,ctx_base_oreb_pg,ctx_base_pts_pg,ctx_base_rim_attempts,ctx_base_rim_made,ctx_base_stl_pct,ctx_base_stl_pg,ctx_base_three_share,ctx_base_tov_pct,ctx_base_ts,ctx_base_usage,ctx_skill_creation_control,ctx_skill_defense_discipline,ctx_skill_ft_volume,ctx_skill_usage_efficiency,slot_037,slot_038,slot_039,slot_040,slot_041,slot_042
Pb3227aeb5d,2023,17.4,2.8611,1.98082252,2.8,0.6389,12.4,3.2778,21.0,21.0,50.6,0.525,202.0,106.0,0.319,138.0,44.0,3.1,0.727,12.9,36.0,113.0,70.4,30.0278,6.0,1.5833,10.4444,89.0,62.0,3.2,1.5556,0.40588235294117647,15.3,52.09,19.2,1.067484662576687,1.4634146341463417,2.7674436300630223,-0.01672000000000004,,,,,1.936486486486395,0.6722689075630253
P144ed94c77,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,
P664a2ede66,2023,12.7,2.0541,0.93828801,2.4,0.8649,17.7,6.1892,26.0,23.0,53.3,0.483,240.0,116.0,0.384,276.0,106.0,2.9,0.859,32.9,37.0,93.0,80.0,32.6486,6.7,2.0541,18.8108,147.0,85.0,1.5,0.8919,0.5348837209302325,14.7,58.32,25.0,0.8089171974522293,1.0,4.416688995035785,0.41600000000000004,2.0,2.0,,1.0,,0.5819209039548022
Pe60cc64195,2023,8.6,1.3529,0.95828021,5.9,1.6765,16.2,4.6176,37.0,36.0,55.7,0.535,230.0,123.0,0.394,155.0,61.0,2.3,0.782,28.6,34.0,94.0,84.4,34.6471,8.1,2.3529,15.1471,136.0,88.0,1.6,0.9118,0.4025974025974026,12.1,58.89,20.4,0.6564885496183206,2.272727272727273,3.6828526174262453,0.035559999999999876,10.0,10.0,,1.0,,0.6385542168674698
P1999b4880f,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,1.0,,
P9180c4596b,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,1.0,,
Pa813594724,2023,20.9,3.9167,1.29357942,1.9,0.6111,12.8,3.8056,26.0,24.0,49.5,0.513,236.0,121.0,0.301,93.0,28.0,3.0,0.705,57.8,36.0,88.0,85.6,34.3611,4.3,1.25,12.7778,148.0,93.0,3.4,2.0556,0.2826747720364742,22.6,54.86,22.2,0.8855932203389829,1.325,3.7028527667728737,0.10691999999999995,6.0,6.0,,1.0,,0.6235955056179775
Pfdcf13c664,2023,9.4,1.6667,1.33336,0.8,0.25,13.5,4.0278,16.0,15.0,54.7,0.484,188.0,91.0,0.403,206.0,83.0,2.6,0.854,22.6,36.0,87.0,81.2,32.6944,4.0,1.1111,14.0833,101.0,62.0,2.5,1.4444,0.5228426395939086,11.4,58.11,19.2,0.7580645161290323,0.9166666666666666,3.8428374584620464,-0.06488000000000005,14.0,14.0,,1.0,,0.6106870229007634
P71f8c1b48d,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,22.0,,1.0,,
P7200ebcdd8,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,39.0,,1.0,,
