pid,draft_year,ctx_base_ast_pct,ctx_base_ast_pg,ctx_base_ast_tov,ctx_base_blk_pct,ctx_base_blk_pg,ctx_base_drb,ctx_base_dreb_pg,ctx_base_dunk_attempts,ctx_base_dunk_made,ctx_base_efg,ctx_base_fg2_pct,ctx_base_fg2a,ctx_base_fg2m,ctx_base_fg3_pct,ctx_base_fg3a,ctx_base_fg3m,ctx_base_fouls40,ctx_base_ft_pct,ctx_base_ftr,ctx_base_gp,ctx_base_mid_attempts,ctx_base_minutes_share,ctx_base_mpg,ctx_base_orb,ctx_base_oreb_pg,ctx_base_pts_pg,ctx_base_rim_attempts,ctx_base_rim_made,ctx_base_stl_pct,ctx_base_stl_pg,ctx_base_three_share,ctx_base_tov_pct,ctx_base_ts,ctx_base_usage,ctx_skill_creation_control,ctx_skill_defense_discipline,ctx_skill_ft_volume,ctx_skill_usage_efficiency,slot_037,slot_038,slot_039,slot_040,slot_041,slot_042
Pf1dc83702a,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P44f988dfdd,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pebbeab0c5c,2024,10.5,1.5,0.6,2.0,0.5,11.4,3.0,0.0,0.0,38.6,0.308,13.0,4.0,0.333,9.0,3.0,0.0,0.615,59.1,2.0,7.0,3.9,28.5,3.8,1.0,12.5,6.0,3.0,0.0,0.0,0.4090909090909091,17.9,44.37,28.3,0.5555555555555556,2.0,1.6230202577133839,-0.46729000000000026,,,,,4.550000000000636,0.5833333333333334
P086a09588e,2024,13.2,2.3125,1.15625,2.3,0.875,10.0,3.1875,18.0,16.0,55.9,0.573,248.0,142.0,0.362,213.0,77.0,2.6,0.801,59.9,32.0,77.0,70.6,33.75,2.7,0.8125,23.0,171.0,112.0,1.7,1.0312,0.46203904555314534,12.1,62.15,27.9,1.0076335877862594,1.1111111111111112,4.504838022456059,0.9598499999999998,,,,,1.659999999999683,0.6467661691542289
P8b3507dca4,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf8707c5a5f,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedbe6303e0,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P67a293c7ae,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3bedf956bf,2024,11.7,2.1892,1.58821821,1.3,0.4054,20.1,6.2162,9.0,8.0,51.6,0.467,210.0,98.0,0.385,169.0,65.0,2.3,0.612,25.9,37.0,105.0,81.7,32.7838,8.7,2.6216,12.1892,105.0,52.0,2.4,1.3784,0.44591029023746703,12.4,52.99,19.0,0.8731343283582089,1.1212121212121213,2.812213348282369,-0.02990000000000002,,,,,-1.549999999999165,0.5185185185185185
Pe275ca2256,2024,19.3,3.2162,1.23957456,3.3,0.973,17.7,4.973,24.0,21.0,61.6,0.635,474.0,301.0,0.167,24.0,4.0,2.9,0.631,49.0,36.0,169.0,79.6,31.5405,9.6,2.5676,21.2432,305.0,223.0,1.0,0.6216,0.04819277108433735,15.1,62.55,30.5,1.1987577639751552,1.1025641025641026,3.471293930853723,1.3177499999999998,,,,,2.950000000000325,0.7194029850746269
