pid,draft_year,ctx_base_ast_pct,ctx_base_ast_pg,ctx_base_ast_tov,ctx_base_blk_pct,ctx_base_blk_pg,ctx_base_drb,ctx_base_dreb_pg,ctx_base_dunk_attempts,ctx_base_dunk_made,ctx_base_efg,ctx_base_fg2_pct,ctx_base_fg2a,ctx_base_fg2m,ctx_base_fg3_pct,ctx_base_fg3a,ctx_base_fg3m,ctx_base_fouls40,ctx_base_ft_pct,ctx_base_ftr,ctx_base_gp,ctx_base_mid_attempts,ctx_base_minutes_share,ctx_base_mpg,ctx_base_orb,ctx_base_oreb_pg,ctx_base_pts_pg,ctx_base_rim_attempts,ctx_base_rim_made,ctx_base_stl_pct,ctx_base_stl_pg,ctx_base_three_share,ctx_base_tov_pct,ctx_base_ts,ctx_base_usage,ctx_skill_creation_control,ctx_skill_defense_discipline,ctx_skill_ft_volume,ctx_skill_usage_efficiency,slot_037,slot_038,slot_039,slot_040,slot_041,slot_042
P2e38feab3a,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P76ebdc8d77,2022,26.3,5.75,2.96774194,0.4,0.125,8.7,2.9375,3.0,2.0,53.4,0.503,177.0,89.0,0.383,133.0,51.0,2.5,0.873,17.7,32.0,100.0,80.4,32.1562,1.6,0.4375,11.8438,77.0,47.0,2.7,1.5938,0.4290322580645161,16.6,56.38,19.6,1.4943181818181817,0.8857142857142858,3.5141320260117856,-0.02551999999999992,58.0,58.0,,1.0,-0.06999999999963945,0.6074766355140186
P3698c87daf,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9d848af991,2022,8.7,1.5897,0.77497194,1.7,0.5641,12.9,4.2308,41.0,37.0,57.0,0.534,290.0,155.0,0.407,253.0,103.0,1.9,0.743,28.0,39.0,126.0,84.6,35.0513,2.8,0.8205,18.7692,164.0,119.0,1.5,0.9231,0.46593001841620624,14.5,59.49,23.3,0.5612903225806452,1.103448275862069,3.7376153755945793,0.31317000000000017,18.0,18.0,,1.0,2.1899999999990274,0.7061855670103093
P9e732e040b,2022,11.5,1.8,1.14891171,0.5,0.1333,15.0,3.9667,0.0,0.0,48.7,0.464,289.0,134.0,0.36,125.0,45.0,2.5,0.835,19.1,30.0,219.0,66.9,31.7667,2.7,0.7667,15.6333,70.0,46.0,1.4,0.7333,0.30193236714975846,11.8,51.94,25.2,0.8984375,0.5428571428571428,3.6589922399526906,0.10087999999999987,,,,,5.749999999999687,0.64
P6521ad0003,2022,11.0,2.0323,1.36956672,3.5,1.129,16.5,5.2903,27.0,25.0,47.5,0.457,341.0,156.0,0.337,193.0,65.0,1.8,0.781,21.3,31.0,182.0,82.2,34.1935,4.1,1.3548,19.2258,159.0,97.0,3.1,1.9677,0.36142322097378277,9.1,50.67,25.5,1.0891089108910892,2.357142857142857,3.7057919922516986,0.03685000000000009,56.0,56.0,,1.0,3.499999999999703,0.6084656084656085
P8d79cd923c,2022,32.6,4.2778,1.27273813,0.6,0.1667,9.7,2.7222,11.0,10.0,47.6,0.469,341.0,160.0,0.325,197.0,64.0,3.0,0.749,55.6,36.0,153.0,82.1,33.0556,2.9,0.8333,20.4444,188.0,107.0,3.4,1.9444,0.36617100371747213,17.1,54.12,34.4,1.8011049723756904,1.0,4.2721330735174945,0.5932799999999996,,,,,4.849999999999563,0.573394495412844
P7c29e11a29,2022,18.8,3.3125,1.76666667,2.7,0.9062,18.7,6.125,13.0,10.0,50.4,0.492,240.0,118.0,0.352,122.0,43.0,2.3,0.682,35.6,32.0,120.0,79.6,34.0625,7.5,2.2188,14.1562,121.0,72.0,1.3,0.75,0.3370165745856354,14.4,53.51,22.6,1.2207792207792207,1.2121212121212122,3.319658495210707,0.09126,,,,,1.8000000000003424,0.5960264900662252
Pe22f69b7a0,2022,16.1,2.375,0.96200581,8.2,2.5,19.1,5.6562,16.0,15.0,54.6,0.54,291.0,157.0,0.374,123.0,46.0,3.0,0.765,53.4,32.0,208.0,82.4,33.2188,8.9,2.25,19.4062,83.0,58.0,1.0,0.5625,0.2971014492753623,15.1,59.83,30.5,1.0,2.3,4.133048197132294,1.0321499999999997,24.0,24.0,,1.0,4.25000000000025,0.672566371681416
Pd3eb42d2a8,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
