pid,draft_year,ctx_base_ast_pct,ctx_base_ast_pg,ctx_base_ast_tov,ctx_base_blk_pct,ctx_base_blk_pg,ctx_base_drb,ctx_base_dreb_pg,ctx_base_dunk_attempts,ctx_base_dunk_made,ctx_base_efg,ctx_base_fg2_pct,ctx_base_fg2a,ctx_base_fg2m,ctx_base_fg3_pct,ctx_base_fg3a,ctx_base_fg3m,ctx_base_fouls40,ctx_base_ft_pct,ctx_base_ftr,ctx_base_gp,ctx_base_mid_attempts,ctx_base_minutes_share,ctx_base_mpg,ctx_base_orb,ctx_base_oreb_pg,ctx_base_pts_pg,ctx_base_rim_attempts,ctx_base_rim_made,ctx_base_stl_pct,ctx_base_stl_pg,ctx_base_three_share,ctx_base_tov_pct,ctx_base_ts,ctx_base_usage,ctx_skill_creation_control,ctx_skill_defense_discipline,ctx_skill_ft_volume,ctx_skill_usage_efficiency,slot_037,slot_038,slot_039,slot_040,slot_041,slot_042
P12fddfeea1,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7fd9e8becb,2025,4.3,0.4571,0.44439045,9.8,1.5714,22.7,3.8286,51.0,46.0,54.8,0.548,126.0,69.0,0.0,0.0,0.0,5.6,0.488,99.2,35.0,17.0,45.0,18.2029,17.3,2.6857,5.6857,109.0,67.0,2.1,0.6857,0.0,17.2,53.67,18.4,0.23626373626373626,1.8030303030303032,2.3601055705923213,-0.05872000000000008,,,,,-0.8399999999999002,0.6115107913669064
P07d140dc91,2025,14.4,2.0882,0.95943028,4.7,1.2941,25.1,7.2353,30.0,23.0,54.3,0.562,402.0,226.0,0.276,58.0,16.0,3.0,0.748,26.7,34.0,228.0,74.6,30.1529,10.7,2.7647,17.4118,174.0,120.0,1.9,0.9706,0.12608695652173912,14.8,57.1,28.3,0.9113924050632911,1.65,3.605570611072568,0.5893000000000002,,,,,0.2699999999999742,0.6764705882352942
P9436ca936e,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P521d05ff22,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0a66817947,2025,18.2,3.4324,1.7639139,0.9,0.2703,12.6,4.0541,11.0,11.0,48.9,0.464,250.0,116.0,0.34,288.0,98.0,1.4,0.889,23.4,37.0,119.0,84.6,34.0703,1.2,0.3514,17.2432,131.0,75.0,1.9,1.1622,0.5353159851301115,13.5,53.36,24.0,1.2551724137931033,1.1666666666666667,4.306482319861687,0.13439999999999996,,,,,-0.22999999999996956,0.577639751552795
Pe05466ea0a,2025,8.3,1.0294,1.94446545,1.6,0.2941,22.6,4.7941,14.0,12.0,48.5,0.479,96.0,46.0,0.327,101.0,33.0,2.9,0.75,42.6,34.0,25.0,60.9,24.8824,6.1,1.2647,7.4706,71.0,40.0,1.8,0.7059,0.5126903553299492,8.0,53.61,16.7,0.9222222222222223,0.8717948717948719,3.3319884423677375,-0.11913,,,,,0.3900000000000314,0.5742574257425742
P7271485ede,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pbb5fdc38a3,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb3ce9ad2a9,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
