pid,draft_year,ctx_base_ast_pct,ctx_base_ast_pg,ctx_base_ast_tov,ctx_base_blk_pct,ctx_base_blk_pg,ctx_base_drb,ctx_base_dreb_pg,ctx_base_dunk_attempts,ctx_base_dunk_made,ctx_base_efg,ctx_base_fg2_pct,ctx_base_fg2a,ctx_base_fg2m,ctx_base_fg3_pct,ctx_base_fg3a,ctx_base_fg3m,ctx_base_fouls40,ctx_base_ft_pct,ctx_base_ftr,ctx_base_gp,ctx_base_mid_attempts,ctx_base_minutes_share,ctx_base_mpg,ctx_base_orb,ctx_base_oreb_pg,ctx_base_pts_pg,ctx_base_rim_attempts,ctx_base_rim_made,ctx_base_stl_pct,ctx_base_stl_pg,ctx_base_three_share,ctx_base_tov_pct,ctx_base_ts,ctx_base_usage,ctx_skill_creation_control,ctx_skill_defense_discipline,ctx_skill_ft_volume,ctx_skill_usage_efficiency,slot_037,slot_038,slot_039,slot_040,slot_041,slot_042
P539176b694,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdd324c8c3a,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pcf413465aa,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P007123cefb,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa5bdbe06a8,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6142a39d2b,2020,5.0,0.6,0.2812544,5.3,1.2667,18.8,5.1667,29.0,27.0,51.0,0.504,258.0,130.0,0.357,56.0,20.0,2.4,0.754,38.9,30.0,142.0,81.0,32.8,6.4,1.6,13.7333,116.0,77.0,1.6,0.7667,0.17834394904458598,17.4,55.38,24.9,0.27173913043478265,2.0294117647058827,3.6283870039508024,0.2636200000000001,59.0,59.0,,1.0,2.8400000000002064,0.6506849315068494
P173da90181,2020,13.4,1.875,0.86958541,2.5,0.8125,23.1,6.625,16.0,15.0,47.0,0.439,280.0,123.0,0.339,218.0,74.0,3.5,0.823,29.5,32.0,154.0,82.9,33.4375,3.8,1.2188,18.4062,126.0,73.0,2.9,1.75,0.43775100401606426,13.1,51.86,27.9,0.950354609929078,1.2000000000000002,4.112705701307866,0.14693999999999993,42.0,42.0,,1.0,0.5999999999999301,0.5833333333333334
P0fec6c7ff1,2020,17.3,2.5926,0.8046056,2.3,0.7037,19.2,5.8519,10.0,9.0,58.5,0.573,220.0,126.0,0.399,188.0,75.0,2.9,0.848,30.6,27.0,94.0,72.6,34.4074,4.7,1.3704,21.5926,126.0,84.0,1.1,0.6667,0.46078431372549017,18.3,62.37,28.5,0.8963730569948186,0.8717948717948718,4.1011670570948535,1.0514499999999998,,,,,3.029999999999819,0.6538461538461539
P9d5ce33ec0,2020,16.1,2.2903,0.78888811,4.1,1.1613,25.1,6.9355,36.0,36.0,53.1,0.542,295.0,160.0,0.324,71.0,23.0,4.0,0.768,53.0,31.0,135.0,77.7,31.0968,12.4,3.129,17.3548,160.0,112.0,1.6,0.8387,0.19398907103825136,19.1,58.71,28.8,0.8009950248756219,1.14,4.049663660976957,0.76648,37.0,37.0,,1.0,7.599999999999127,0.6842105263157895
P076dcdb147,2020,23.3,4.0,1.64385812,0.3,0.1,10.5,3.5,0.0,0.0,51.1,0.536,261.0,140.0,0.302,116.0,35.0,2.0,0.828,44.8,29.0,69.0,84.2,34.8667,1.9,0.5667,18.1333,192.0,123.0,3.6,2.1,0.3076923076923077,15.9,57.41,26.3,1.3786982248520712,1.3,4.252441105877617,0.46682999999999986,30.0,30.0,,1.0,6.49999999999925,0.6351351351351351
P9cddcdc1ad,2020,8.4,1.2903,0.61536625,0.9,0.2581,19.8,6.0323,26.0,21.0,52.8,0.469,241.0,113.0,0.402,189.0,76.0,2.7,0.813,29.8,31.0,143.0,82.2,33.1613,6.0,1.6774,18.0,103.0,62.0,1.3,0.7419,0.43953488372093025,14.5,56.85,26.0,0.5419354838709678,0.5945945945945946,3.951027484746039,0.4110000000000001,49.0,49.0,,1.0,2.000000000000569,0.6015037593984962
P98391b949f,2020,13.1,1.875,1.875,3.4,0.8333,16.6,3.7917,10.0,7.0,61.3,0.621,140.0,87.0,0.4,90.0,36.0,4.0,0.726,27.0,24.0,62.0,44.6,24.625,5.9,1.2083,13.625,78.0,56.0,2.2,1.0,0.391304347826087,10.3,63.02,21.6,1.15929203539823,1.1199999999999999,3.0079158113602524,0.20832000000000023,,,,,1.1400000000000716,0.6851851851851852
Pc5171d01c1,2020,5.7,0.8919,1.03121749,1.2,0.2973,17.9,5.2432,7.0,5.0,54.7,0.443,115.0,51.0,0.39,310.0,121.0,2.1,0.63,10.8,37.0,75.0,76.8,30.7027,3.9,1.0811,13.3514,39.0,22.0,1.5,0.7568,0.7294117647058823,8.9,55.28,18.8,0.5757575757575758,0.8709677419354839,2.425592989077337,-0.06335999999999997,,,,,0.6999999999998181,0.5797101449275363
Pe3d286e6c8,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
