pid,draft_year,report_catchshoot_fg_pct,report_catchshoot_fga_pg,report_catchshoot_poss_pg,report_catchshoot_ppp,report_catchshoot_pps,report_cut_fg_pct,report_cut_poss_pct,report_cut_poss_pg,report_cut_ppp,report_finish_fga_pg,report_finish_poss_pg,report_finish_ppp,report_finish_pps,report_free_throw_poss_pct,report_guarded_catchshoot_ppp,report_guarded_catchshoot_pps,report_halfcourt_poss_pg,report_halfcourt_ppp,report_halfcourt_shots_fouled_pct,report_halfcourt_turnover_pct,report_isolation_fg_pct,report_isolation_poss_pct,report_isolation_poss_pg,report_isolation_poss_total,report_isolation_ppp,report_isolation_shots_fouled_pct,report_isolation_turnover_pct,report_jump_fg_pct,report_jump_fga_pg,report_jump_fga_total,report_jump_fgm_total,report_jump_poss_pct,report_jump_ppp,report_jump_pps,report_jump_shot_pct,report_offscreen_poss_pg,report_offscreen_ppp,report_open_catchshoot_fg_pct,report_open_catchshoot_ppp,report_open_catchshoot_pps,report_overall_ppp,report_pickroll_finish_poss_pg,report_pickroll_finish_ppp,report_pickroll_poss_pct,report_pickroll_poss_pg,report_pickroll_ppp,report_poss_pg,report_post_fg_pct,report_post_poss_pct,report_post_poss_pg,report_post_ppp,report_post_turnover_pct,report_pullup_fg_pct,report_pullup_fga_pg,report_pullup_fga_total,report_pullup_fgm_total,report_pullup_ppp,report_pullup_pps,report_putback_poss_pct,report_putback_poss_pg,report_putback_ppp,report_rim_fg_pct,report_scoring_poss_pct,report_shots_fouled_pct,report_spotup_fga_pg,report_spotup_poss_pct,report_spotup_ppp,report_transition_fg_pct,report_transition_poss_pct,report_transition_poss_pg,report_transition_poss_total,report_transition_ppp,report_transition_turnover_pct,report_turnover_pct
Pe79f6d1bdb,2009,,,,,,,,,,,8.0,1.12,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,0.99,,,,,,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb58f931dd3,2009,,,,,,,,,,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,,,,,19.0
Pc99e2f6730,2009,,,,,,,,,,,,1.22,,,,,,,,9.7,,,,,0.85,,,,,,,,,,,,1.23,,1.41,,1.04,,,,5.3,,20.7,,,,,,,,,,1.0,,,,,,,,,,1.14,,,,,,,
P4b1ba6339f,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P575f19a655,2011,,,,,,,,,,,,,1.5,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,1.438,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2e890c30d2,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4a7a8900d7,2011,,,,,,,,,,,,,,,,,,0.896,,,,,,,0.975,,,,,,,,,,,,,,,,0.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3ef4d7a55a,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,0.952,,,,,,,,,,,,,,,,
P9cc36d2c64,2011,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,,,,,,,,,,,,,,,,
Pa98bcc077b,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc4acbf93e3,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pde91f9542b,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P47e2698d94,2011,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,0.728,,,,,,,0.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd9bc466fd2,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd11fd10026,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995,,,,,,,,,,,,,,,,
P4e4e438f6e,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.925,,,,,,,,,,0.578,,,,,,,,,,,,,,,,,,,,,,,
P400aecdd2c,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,0.691,,,,,,,,0.923,,,,,,14.1,42.0,,,0.805,,,,,,,,,,,,,,,,,,,1.9,,,,
P83b3d780d7,2012,,,,,,,,,1.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,8.3,,,,,,,,,,,,,,,,,,,,,,
P3f927eeca6,2012,,,,,,,,,,,,1.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.048,,,,,,,,,,,,,,,,,,,,,,,
P6258e82584,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
P398088f587,2013,,,,,,,,,,,,,,,,,,0.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P36f801ddc1,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P70fe638043,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.068,,,,,,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
P622332ff90,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.074,,,,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5d0988f1e1,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf209014384,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.317,,
Pf1615243ab,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,
Pfb1f867cde,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pcad0645e5a,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa33d5803eb,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8d3cc27d9f,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf7f191defd,2013,,,,,,,,,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P93a13b19c2,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,
P488064c36d,2013,,,,,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pccb83c9fcb,2013,,,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P607c704c53,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,
P00193b3ed9,2013,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1100d011d0,2013,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa0a2c9503f,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7f1d080745,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6cee28a4f3,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.933,,,,6.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb8a773b356,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
Pbed27928bf,2014,,,,,,,,,,,,1.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1b1aa3dc82,2014,,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2171d2817b,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paf95fb158c,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.979,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,
Pbac4f67696,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.093,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pccdaab2014,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.949,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,
P31e153a014,2014,,,,,,,,,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.021,,,,,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12d1ca8d35,2014,,,,,,,,,,,,,1.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P465ab55c02,2014,,,,,,,,,,,,,0.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd907989bcb,2014,,,,,,,,,,,,,1.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P96c6ba4e0f,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb59be03b24,2014,,,,,,,,,,,,,1.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P59ddf4705a,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
P44154d877a,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P331cffbdbb,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,
P49827cf895,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd5729dac8f,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,
P4f181909b7,2014,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,
P2f95e0c256,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd35ff11e6d,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf7c7a85a9a,2014,,,,,,,,,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0a4bbd8b0a,2014,,,,,,,,,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,
P1dca1ecf2b,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,
P11fb43c4ea,2014,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,
P3997afa4f2,2014,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P360c31499c,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa9426d162d,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8c383a7533,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa47459a77d,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.841,,,,,,,,,,,,,,,,,,,,,,,
P6e49424689,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb035a35ee9,2011,,,,,,,,,1.26,,,,,,,,,,,,,,,,1.3,,,56.0,,,,,,1.6,25.0,,,,,,1.16,,1.37,,,,16.4,,,,1.06,,,,5.0,,,,,,,,,,,,,,,,,,,
P69e13b90fc,2011,34.0,4.6,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P701bdb09e4,2011,43.0,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,0.86,,,,,,,,,,,,29.0,1.5,,,,,,,,,,,,,,,,3.0,,0.905,,14.2
P268ca85d2e,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,0.96,,,,,,,1.12,,,,,,16.4,,,,1.18,,42.0,0.8,,,,,,,,,,,,,,,,,,,,10.5
P4ec69893f6,2011,,,,,,,,,,,,,,19.4,,,,,,,,2.8,,,,,,,,,,,,0.78,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,74.0,,,,25.0,,,,,,,,15.0
P749792a28d,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,,,,,,,,
P74ab2a2c37,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,,,,,,,,
Pce627023f0,2011,,,,,,,,,,,,,,,,,,,,10.2,,,,,0.486,,,27.5,,,,,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P85135a294f,2011,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P163aa00374,2012,,,,,,83.0,,,,,,,,,,,,,,,,,,31.0,0.903,,,34.0,,67.0,23.0,22.0,0.731,,,,,,,,,1.5,,,,,11.6,,13.5,1.6,0.85,,,,,,,,,,,78.0,,,,,,,,,,,,8.6
Pf849910cdc,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.959,,,,,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pbc5d4fc393,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.031,,,,,,,1.086,,,,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,1.673,,
P8d6fb61ea0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.826,,,,,,,,,,,,,,,,,,0.851,,,,,,,,,,,,,,,,,,,,,,,
P4bc4764e2a,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,
