pid,draft_year,source_id,source_url,archive_url,publication_date,capture_utc,body_sha256,feature_eligible,metric,value,unit
P8209ad6040,2019,nba2019_pilot,https://www.nba.com/draft/2019/prospects/mfiondu-kabengele,https://web.archive.org/web/20190619213243id_/https://www.nba.com/draft/2019/prospects/mfiondu-kabengele,,2019-06-19T21:32:43+00:00,c92ab27fabfbccea28460f5bce95dc63a32f9ae37a571537606d8c7d746b856a,True,report_text_limitations_per1k,3.2206119162640903,literal matched terms per1000 words; not player grades
P8209ad6040,2019,nba2019_pilot,https://www.nba.com/draft/2019/prospects/mfiondu-kabengele,https://web.archive.org/web/20190619213243id_/https://www.nba.com/draft/2019/prospects/mfiondu-kabengele,,2019-06-19T21:32:43+00:00,c92ab27fabfbccea28460f5bce95dc63a32f9ae37a571537606d8c7d746b856a,True,report_text_efficiency_per1k,0.0,literal matched terms per1000 words; not player grades
P8209ad6040,2019,nba2019_pilot,https://www.nba.com/draft/2019/prospects/mfiondu-kabengele,https://web.archive.org/web/20190619213243id_/https://www.nba.com/draft/2019/prospects/mfiondu-kabengele,,2019-06-19T21:32:43+00:00,c92ab27fabfbccea28460f5bce95dc63a32f9ae37a571537606d8c7d746b856a,True,report_text_pickroll_per1k,0.0,literal matched terms per1000 words; not player grades
P8209ad6040,2019,nba2019_pilot,https://www.nba.com/draft/2019/prospects/mfiondu-kabengele,https://web.archive.org/web/20190619213243id_/https://www.nba.com/draft/2019/prospects/mfiondu-kabengele,,2019-06-19T21:32:43+00:00,c92ab27fabfbccea28460f5bce95dc63a32f9ae37a571537606d8c7d746b856a,True,report_text_catchshoot_per1k,0.0,literal matched terms per1000 words; not player grades
P8209ad6040,2019,nba2019_pilot,https://www.nba.com/draft/2019/prospects/mfiondu-kabengele,https://web.archive.org/web/20190619213243id_/https://www.nba.com/draft/2019/prospects/mfiondu-kabengele,,2019-06-19T21:32:43+00:00,c92ab27fabfbccea28460f5bce95dc63a32f9ae37a571537606d8c7d746b856a,True,report_text_pullup_per1k,0.0,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_words,635,count
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_finishing_per1k,1.5748031496062993,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_creation_per1k,1.5748031496062993,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_passing_per1k,0.0,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_shooting_per1k,22.04724409448819,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_defense_per1k,7.874015748031496,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_rebounding_per1k,4.724409448818897,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_athleticism_per1k,1.5748031496062993,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_strength_per1k,9.448818897637794,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_length_per1k,7.874015748031496,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_decisions_per1k,0.0,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_effort_per1k,1.5748031496062993,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_development_per1k,1.5748031496062993,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_injury_per1k,3.1496062992125986,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_limitations_per1k,1.5748031496062993,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_efficiency_per1k,1.5748031496062993,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_pickroll_per1k,0.0,literal matched terms per1000 words; not player grades
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_catchshoot_per1k,1.5748031496062993,literal matched terms per1000 words; not player grades
