source_subject_id,source_season,cgd_two_m_pg,cgd_two_a_pg,cgd_three_m_pg,cgd_three_a_pg,cgd_ft_m_pg,cgd_ft_a_pg,cgd_points_pg,cgd_orb_pg,cgd_drb_pg,cgd_ast_pg,cgd_tov_pg,cgd_stl_pg,cgd_blk_pg,cgd_pf_pg
college_de297236286bb7f124ce,2018,2.966666666666667,6.433333333333334,1.2333333333333334,3.8666666666666667,3.4,4.433333333333334,13.033333333333333,1.2666666666666666,3.8333333333333335,3.7333333333333334,2.0,0.9333333333333333,0.4,2.466666666666667
college_879d8126cbdf203adfaa,2018,3.903225806451613,7.483870967741935,0.16129032258064516,0.7741935483870968,2.064516129032258,2.774193548387097,10.35483870967742,1.903225806451613,2.161290322580645,1.2580645161290323,1.4838709677419355,1.032258064516129,0.3225806451612903,3.7096774193548385
college_1dc208e6ff86c5f5d014,2018,2.0952380952380953,4.142857142857143,2.0,4.857142857142857,2.1904761904761907,2.4285714285714284,12.380952380952381,0.09523809523809523,1.7619047619047619,3.238095238095238,2.0,0.8571428571428571,0.14285714285714285,1.0952380952380953
college_ea125e2d96e91a43de2c,2018,1.7419354838709677,3.806451612903226,1.7741935483870968,4.774193548387097,1.5483870967741935,1.903225806451613,10.35483870967742,0.3870967741935484,2.4193548387096775,1.1935483870967742,1.2258064516129032,1.1290322580645162,0.3225806451612903,3.064516129032258
college_b4b962484a81b38daf6d,2018,1.7741935483870968,2.903225806451613,0.0,0.0,0.45161290322580644,1.4838709677419355,4.0,0.967741935483871,1.6129032258064515,0.25806451612903225,1.2903225806451613,0.1935483870967742,0.6129032258064516,2.7096774193548385
college_ec0e52574bf43d6ea851,2018,2.3548387096774195,5.258064516129032,0.0,0.03225806451612903,2.064516129032258,4.0,6.774193548387097,2.2580645161290325,5.516129032258065,1.4193548387096775,2.2580645161290325,0.8064516129032258,0.8387096774193549,2.4516129032258065
college_778335e230fb9702bb40,2018,2.6774193548387095,6.387096774193548,1.8387096774193548,5.354838709677419,3.3870967741935485,4.709677419354839,14.258064516129032,1.064516129032258,4.193548387096774,1.967741935483871,3.129032258064516,1.8064516129032258,0.5806451612903226,2.161290322580645
college_ea32e75aa193fc09bf8d,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
college_f89b66a57a96ee57d2aa,2018,0.1,0.3,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.0,0.0,0.1,0.0,0.6
college_fa950dadd9606ce3f5c8,2018,0.18518518518518517,0.25925925925925924,0.5185185185185185,1.4444444444444444,0.1111111111111111,0.25925925925925924,2.037037037037037,0.3333333333333333,0.4444444444444444,0.5925925925925926,0.37037037037037035,0.2222222222222222,0.0,0.7037037037037037
college_091ebe906de0a5d30c14,2018,0.23529411764705882,0.8823529411764706,0.35294117647058826,1.5294117647058822,0.11764705882352941,0.11764705882352941,1.6470588235294117,0.11764705882352941,0.5294117647058824,0.23529411764705882,0.29411764705882354,0.29411764705882354,0.0,0.9411764705882353
college_ff605370a0c874099239,2018,0.5789473684210527,1.368421052631579,0.2631578947368421,0.6842105263157895,0.10526315789473684,0.3157894736842105,2.0526315789473686,0.5263157894736842,0.9473684210526315,0.42105263157894735,0.3684210526315789,0.3684210526315789,0.05263157894736842,1.1578947368421053
