source_subject_id,source_season,game_date,player_source_row_zero_based,team_source_row_zero_based,player_source_sha256,team_source_sha256
college_de297236286bb7f124ce,2018,2018-02-22,82,5164,f61dcd425f3141019d253f4552a96aa68b040782386f7dba1b36716492c271bd,d1442df152a7400ef0395a9063575a279e236587ebfbd2af49575018c23c5e70
college_de297236286bb7f124ce,2018,2018-02-24,83,5323,f61dcd425f3141019d253f4552a96aa68b040782386f7dba1b36716492c271bd,d1442df152a7400ef0395a9063575a279e236587ebfbd2af49575018c23c5e70
college_de297236286bb7f124ce,2018,2018-02-28,84,5427,f61dcd425f3141019d253f4552a96aa68b040782386f7dba1b36716492c271bd,d1442df152a7400ef0395a9063575a279e236587ebfbd2af49575018c23c5e70
college_de297236286bb7f124ce,2018,2018-03-01,85,5462,f61dcd425f3141019d253f4552a96aa68b040782386f7dba1b36716492c271bd,d1442df152a7400ef0395a9063575a279e236587ebfbd2af49575018c23c5e70
college_879d8126cbdf203adfaa,2018,2017-11-13,8547,306,f61dcd425f3141019d253f4552a96aa68b040782386f7dba1b36716492c271bd,d1442df152a7400ef0395a9063575a279e236587ebfbd2af49575018c23c5e70
college_879d8126cbdf203adfaa,2018,2017-11-18,8548,609,f61dcd425f3141019d253f4552a96aa68b040782386f7dba1b36716492c271bd,d1442df152a7400ef0395a9063575a279e236587ebfbd2af49575018c23c5e70
college_879d8126cbdf203adfaa,2018,2017-11-21,8549,816,f61dcd425f3141019d253f4552a96aa68b040782386f7dba1b36716492c271bd,d1442df152a7400ef0395a9063575a279e236587ebfbd2af49575018c23c5e70
college_879d8126cbdf203adfaa,2018,2017-11-24,8550,938,f61dcd425f3141019d253f4552a96aa68b040782386f7dba1b36716492c271bd,d1442df152a7400ef0395a9063575a279e236587ebfbd2af49575018c23c5e70
college_879d8126cbdf203adfaa,2018,2017-11-25,8551,1022,f61dcd425f3141019d253f4552a96aa68b040782386f7dba1b36716492c271bd,d1442df152a7400ef0395a9063575a279e236587ebfbd2af49575018c23c5e70
college_879d8126cbdf203adfaa,2018,2017-11-29,8552,1273,f61dcd425f3141019d253f4552a96aa68b040782386f7dba1b36716492c271bd,d1442df152a7400ef0395a9063575a279e236587ebfbd2af49575018c23c5e70
college_879d8126cbdf203adfaa,2018,2017-12-02,8553,1413,f61dcd425f3141019d253f4552a96aa68b040782386f7dba1b36716492c271bd,d1442df152a7400ef0395a9063575a279e236587ebfbd2af49575018c23c5e70
college_879d8126cbdf203adfaa,2018,2017-12-06,8554,1599,f61dcd425f3141019d253f4552a96aa68b040782386f7dba1b36716492c271bd,d1442df152a7400ef0395a9063575a279e236587ebfbd2af49575018c23c5e70
college_879d8126cbdf203adfaa,2018,2017-12-09,8555,1701,f61dcd425f3141019d253f4552a96aa68b040782386f7dba1b36716492c271bd,d1442df152a7400ef0395a9063575a279e236587ebfbd2af49575018c23c5e70
college_879d8126cbdf203adfaa,2018,2017-12-17,8556,2056,f61dcd425f3141019d253f4552a96aa68b040782386f7dba1b36716492c271bd,d1442df152a7400ef0395a9063575a279e236587ebfbd2af49575018c23c5e70
