season,game_id,date,team,opp,won,is_final4,is_final
2002-03,234000014,2003-03-27,Duke,Kansas,0,0,0
2002-03,234000014,2003-03-27,Kansas,Duke,1,0,0
2002-03,234000053,2003-03-27,Kentucky,Wisconsin,1,0,0
2002-03,234000053,2003-03-27,Wisconsin,Kentucky,0,0,0
2002-03,234000022,2003-03-28,Texas,UConn,1,0,0
2002-03,234000022,2003-03-28,UConn,Texas,0,0,0
2002-03,234000038,2003-03-28,Butler,Oklahoma,0,0,0
2002-03,234000038,2003-03-28,Oklahoma,Butler,1,0,0
2002-03,234000045,2003-03-28,Auburn,Syracuse,0,0,0
2002-03,234000045,2003-03-28,Syracuse,Auburn,1,0,0
2002-03,234000015,2003-03-29,Arizona,Kansas,0,0,0
2002-03,234000015,2003-03-29,Kansas,Arizona,1,0,0
2002-03,234000061,2003-03-29,Kentucky,Marquette,0,0,0
2002-03,234000061,2003-03-29,Marquette,Kentucky,1,0,0
2002-03,234000030,2003-03-30,Michigan_State,Texas,0,0,0
2002-03,234000030,2003-03-30,Texas,Michigan_State,1,0,0
2002-03,234000046,2003-03-30,Oklahoma,Syracuse,0,0,0
2002-03,234000046,2003-03-30,Syracuse,Oklahoma,1,0,0
2002-03,234000031,2003-04-05,Kansas,Marquette,1,1,0
2002-03,234000031,2003-04-05,Marquette,Kansas,0,1,0
2002-03,234000062,2003-04-05,Syracuse,Texas,1,1,0
2002-03,234000062,2003-04-05,Texas,Syracuse,0,1,0
2002-03,234000063,2003-04-07,Kansas,Syracuse,0,1,1
2002-03,234000063,2003-04-07,Syracuse,Kansas,1,1,1
2003-04,244000001,2004-03-18,Liberty,Saint_Joe's,0,0,0
2003-04,244000001,2004-03-18,Saint_Joe's,Liberty,1,0,0
2003-04,244000002,2004-03-18,Charlotte,Texas_Tech,0,0,0
2003-04,244000002,2004-03-18,Texas_Tech,Charlotte,1,0,0
2003-04,244000004,2004-03-18,Florida,Manhattan,0,0,0
2003-04,244000004,2004-03-18,Manhattan,Florida,1,0,0
2003-04,244000005,2004-03-18,VCU,Wake_Forest,0,0,0
2003-04,244000005,2004-03-18,Wake_Forest,VCU,1,0,0
2003-04,244000016,2004-03-18,Alabama_State,Duke,0,0,0
2003-04,244000016,2004-03-18,Duke,Alabama_State,1,0,0
2003-04,244000017,2004-03-18,Arizona,Seton_Hall,0,0,0
2003-04,244000017,2004-03-18,Seton_Hall,Arizona,1,0,0
2003-04,244000023,2004-03-18,Air_Force,UNC,0,0,0
2003-04,244000023,2004-03-18,UNC,Air_Force,1,0,0
2003-04,244000024,2004-03-18,Princeton,Texas,0,0,0
2003-04,244000024,2004-03-18,Texas,Princeton,1,0,0
2003-04,244000032,2004-03-18,Stanford,UTSA,1,0,0
2003-04,244000032,2004-03-18,UTSA,Stanford,0,0,0
2003-04,244000033,2004-03-18,Alabama,S_Illinois,1,0,0
2003-04,244000033,2004-03-18,S_Illinois,Alabama,0,0,0
2003-04,244000035,2004-03-18,BYU,Syracuse,0,0,0
2003-04,244000035,2004-03-18,Syracuse,BYU,1,0,0
2003-04,244000036,2004-03-18,Maryland,UTEP,1,0,0
2003-04,244000036,2004-03-18,UTEP,Maryland,0,0,0
2003-04,244000042,2004-03-18,Dayton,DePaul,0,0,0
2003-04,244000042,2004-03-18,DePaul,Dayton,1,0,0
2003-04,244000043,2004-03-18,UConn,Vermont,1,0,0
2003-04,244000043,2004-03-18,Vermont,UConn,0,0,0
2003-04,244000057,2004-03-18,Michigan_State,Nevada,0,0,0
2003-04,244000057,2004-03-18,Nevada,Michigan_State,1,0,0
2003-04,244000058,2004-03-18,Gonzaga,Valparaiso,1,0,0
2003-04,244000058,2004-03-18,Valparaiso,Gonzaga,0,0,0
2003-04,244000008,2004-03-19,Richmond,Wisconsin,0,0,0
2003-04,244000008,2004-03-19,Wisconsin,Richmond,1,0,0
2003-04,244000009,2004-03-19,Pitt,UCF,1,0,0
2003-04,244000009,2004-03-19,UCF,Pitt,0,0,0
2003-04,244000011,2004-03-19,Memphis,South_Carolina,1,0,0
2003-04,244000011,2004-03-19,South_Carolina,Memphis,0,0,0
2003-04,244000012,2004-03-19,E_Washington,Oklahoma_State,0,0,0
2003-04,244000012,2004-03-19,Oklahoma_State,E_Washington,1,0,0
2003-04,244000019,2004-03-19,Illinois,Murray_State,1,0,0
2003-04,244000019,2004-03-19,Murray_State,Illinois,0,0,0
2003-04,244000020,2004-03-19,Cincinnati,ETSU,1,0,0
2003-04,244000020,2004-03-19,ETSU,Cincinnati,0,0,0
2003-04,244000026,2004-03-19,Louisville,Xavier,0,0,0
2003-04,244000026,2004-03-19,Xavier,Louisville,1,0,0
2003-04,244000027,2004-03-19,Miss_St,Monmouth,1,0,0
2003-04,244000027,2004-03-19,Monmouth,Miss_St,0,0,0
2003-04,244000039,2004-03-19,Vanderbilt,W_Michigan,1,0,0
