pid,draft_year,reason,detail
Pfb151947b8,2000,no_college_evidence,
Pb9c8134dba,2000,no_college_evidence,
P70be92ee2a,2000,no_college_evidence,
P7aebb4f3da,2000,no_college_evidence,
Pe4182c4c9a,2000,no_college_evidence,
Pdaa5dc2ffe,2000,no_college_evidence,
P0a16bf5dcd,2000,no_college_evidence,
P4d044e6517,2000,no_college_evidence,
P332366fd23,2000,no_college_evidence,
Pf596e595fa,2000,no_college_evidence,
P2225ba1e79,2000,no_college_evidence,
Pa1cb69e2d5,2000,no_college_evidence,
Pbd1bd31363,2000,no_college_evidence,
P049a006ba4,2000,no_college_evidence,
Pf2b2bf7c90,2000,no_college_evidence,
P382ba08b06,2000,no_college_evidence,
Pdfcccbc0ee,2000,no_college_evidence,
P180bfe573f,2000,no_college_evidence,
P5ea8063b82,2000,no_college_evidence,
P8b55924f31,2000,no_college_evidence,
P360a02c8f3,2000,no_college_evidence,
P8df0a8788c,2000,no_college_evidence,
P22993a7ac8,2000,no_college_evidence,
P52ae6ebde1,2000,no_college_evidence,
P3ef49a42d2,2000,no_college_evidence,
Pa5a2a6e8b9,2000,no_college_evidence,
P91ba0ccfb7,2000,no_college_evidence,
P8b719e2981,2000,no_college_evidence,
Pc3df7f8dbd,2000,no_college_evidence,
P39bae689b5,2000,no_college_evidence,
Pd5c75d3b01,2000,no_college_evidence,
P189ad0416e,2000,no_college_evidence,
Pefcb67dee7,2000,no_college_evidence,
P07fb065f28,2000,no_college_evidence,
P6c17983aad,2000,no_college_evidence,
P0b8d4db24c,2000,no_college_evidence,
P1d1b852c8c,2000,no_college_evidence,
P98015d62ae,2000,no_college_evidence,
P620c88aaa1,2000,no_college_evidence,
P69d740b582,2000,no_college_evidence,
P9c1ee88716,2000,no_college_evidence,
P65db320efe,2000,no_college_evidence,
Pfdb326aa01,2000,no_college_evidence,
Pd764197a9d,2000,no_college_evidence,
P7903308993,2000,no_college_evidence,
P1c5dc0dbc6,2000,no_college_evidence,
Paff659398c,2000,no_college_evidence,
P1f7c85948b,2000,no_college_evidence,
P0e7eb7e056,2000,no_college_evidence,
P497243f189,2000,no_college_evidence,
P8955b1a9c4,2000,no_college_evidence,
P9e0485e8f6,2000,no_college_evidence,
Pd72f71c2bb,2000,no_college_evidence,
P2864fd765b,2000,no_college_evidence,
P530a84e49c,2000,no_college_evidence,
P3cfed129a3,2000,no_college_evidence,
P8105ba296c,2000,no_college_evidence,
P7cf0118ef7,2000,no_college_evidence,
P7b63dad40c,2000,no_college_evidence,
Pbc657442d8,2000,no_college_evidence,
Pa0da0f38dc,2000,no_college_evidence,
P9a587a1a63,2000,no_college_evidence,
P2899765f70,2000,no_college_evidence,
P1f84c6033c,2000,no_college_evidence,
Pcb83527531,2000,no_college_evidence,
P9aa2c80a45,2000,no_college_evidence,
Pd49ad433a6,2000,no_college_evidence,
P1de330dcda,2000,no_college_evidence,
Pe7b575da0a,2000,no_college_evidence,
Pbcfa5eaec6,2000,no_college_evidence,
P3f83cdea39,2001,no_college_evidence,
Pc7c312fdc1,2001,no_college_evidence,
Pff73e1eace,2001,no_college_evidence,
Pe88af25410,2001,no_college_evidence,
P854c694553,2001,no_college_evidence,
P1d7e465328,2001,no_college_evidence,
Peca9b04dbf,2001,no_college_evidence,
P0fd2ff4395,2001,no_college_evidence,
Pac419c235c,2001,no_college_evidence,
P704a5fd478,2001,no_college_evidence,
P0d7e76d154,2001,no_college_evidence,
P98f905fdef,2001,no_college_evidence,
Pdcd864f0fb,2001,no_college_evidence,
P842a2f3c2e,2001,no_college_evidence,
P675a30c147,2001,no_college_evidence,
P563df84956,2001,no_college_evidence,
P3a25271b04,2001,no_college_evidence,
P75d87cd190,2001,no_college_evidence,
Paf6a9c1c9e,2001,no_college_evidence,
P2ee25c689c,2001,no_college_evidence,
P1bd862cc0f,2001,no_college_evidence,
P9650bb1a40,2001,no_college_evidence,
