candidate_id,draft_year,legacy_same_cohort_name_match_count,broad_key_name_match_count,suggested_pid,crosswalk_method,identity_verified,matched_existing_training_pid,gap_status
prior_2012_00e34b3bea72837d1703,2012,1,1,P4d2e34ba12,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_013d1adbe7ff3e6b511e,2012,1,1,P2320c27578,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_05ed9e0622bc7e6b94c4,2012,1,7,P1ba89514b1,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_18fe79d96082badd0211,2012,1,1,Pc3d030ae81,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_1eb9320de9784e258b59,2012,1,1,P86f7665380,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_29a0edbe61e50877a2e4,2012,1,1,Pc8a80657b3,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_2d23455bfc7e7193ab9b,2012,0,0,,unresolved,False,False,no_legacy_same_cohort_name_match
prior_2012_329051e8279b2922ff9c,2012,1,1,P711641b36d,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_33e1c2cf7ae237690233,2012,1,1,P798e5b71ce,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_342797a425e270f555ab,2012,1,1,Pf2c709b50b,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_35c21be7802d7e76126f,2012,1,1,Pa548aa166c,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_3648aa751cd7247ce939,2012,1,1,P47e358160b,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_37a6d966d31f14a1c54e,2012,1,1,Pbc5d4fc393,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_3a61d68d966830971698,2012,1,1,P319cf0c2e0,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_409bb32bda3298451a02,2012,1,2,P43f8251240,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_468140c7f28c2db4c86f,2012,1,1,P8e2f7481af,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_4ac5b3678f146233916b,2012,1,1,P83b3d780d7,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_4eeab00e61159cbc547a,2012,1,1,P41b1bb4705,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_51576a4ce19cf87e2da3,2012,1,1,P3f927eeca6,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_54e0d020d2d68d7b4876,2012,1,1,Pf849910cdc,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_55b683c6030c1b517504,2012,0,1,P1dd670ce86,unique_broad_name_suggestion,False,False,no_legacy_same_cohort_name_match
prior_2012_562341f5fd0ca2fc2376,2012,1,2,Pbfcceae701,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_58a3b706cc8b2d0c9094,2012,1,1,Pd2430f6dfc,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_59483fa022bde93f627b,2012,1,1,Pd9273beb4e,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_5e6ed88756a20aa46273,2012,0,0,,unresolved,False,False,no_legacy_same_cohort_name_match
prior_2012_60fe5c408bf4d9ece9bd,2012,1,1,Pa260a40e68,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_63d6bc49127f3e7226bd,2012,1,1,Pff7518dc75,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_661282497327b793eddf,2012,1,2,P31e884be2b,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_662e80c738433ea0e1be,2012,1,1,P47044d9385,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_705f30be343b1d238d6d,2012,1,1,Pa3f9e715ae,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_777250ebe479874545b2,2012,1,1,Paa36360f59,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_7b57216a129a0cf45eef,2012,1,1,P272afc1b90,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_7f822deb9639ff9d021c,2012,1,1,Pf3fb310df6,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_918f65215df2be51c16c,2012,1,1,P4bc4764e2a,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_9648e187b3479b8b0edf,2012,1,1,P0267b55e6b,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_9797ab64e569b0945bee,2012,1,1,P4e4e438f6e,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_9a9b204b7d25f5dd0552,2012,1,1,Pf9e0178b31,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_9f43ed937169e1cf36fc,2012,1,2,Pb172e7dcfc,unique_legacy_cohort_name_suggestion,False,False,legacy_candidate_absent_from_training
prior_2012_9f9d9bfba562b1aa215b,2012,1,1,P2db62bcb6f,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_a4e1e7c2813466f0c9de,2012,1,1,P400aecdd2c,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_ab2c30c42d7af61c296f,2012,1,1,Pca1e2194fa,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_b18b558f284c821c999e,2012,1,1,Pc6c9992e46,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_b4c46a2c01bc7a4dadc1,2012,1,1,P089ae8ca96,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_b98fd31447f7d9000b52,2012,1,1,Pefaae49c8b,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_bb860e03c2670051d03c,2012,1,4,P163aa00374,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
prior_2012_bbeaee826b5e0a826578,2012,1,1,Pc0b16a51f2,unique_legacy_cohort_name_suggestion,False,True,existing_training_candidate
