candidate_id,draft_year,vcmb_height_without_shoes_in,vcmb_height_with_shoes_in,vcmb_weight_lb,vcmb_wingspan_in,vcmb_standing_reach_in,vcmb_body_fat_pct,vcmb_hand_length_in,vcmb_hand_width_in,vcmb_standing_vertical_in,vcmb_max_vertical_in,vcmb_lane_agility_s,vcmb_modified_lane_agility_s,vcmb_three_quarter_sprint_s,vcmb_bench_press_reps,vcmb_bmi_kg_m2,vcmb_wingspan_minus_height_in,vcmb_spot_15ft_made,vcmb_spot_15ft_attempted,vcmb_spot_15ft_pct,vcmb_spot_college3_made,vcmb_spot_college3_attempted,vcmb_spot_college3_pct,vcmb_spot_nba3_made,vcmb_spot_nba3_attempted,vcmb_spot_nba3_pct,vcmb_off_dribble_15ft_made,vcmb_off_dribble_15ft_attempted,vcmb_off_dribble_15ft_pct,vcmb_off_dribble_college3_made,vcmb_off_dribble_college3_attempted,vcmb_off_dribble_college3_pct,vcmb_on_move_15ft_made,vcmb_on_move_15ft_attempted,vcmb_on_move_15ft_pct,vcmb_on_move_college3_made,vcmb_on_move_college3_attempted,vcmb_on_move_college3_pct,ctx_base_gp,ctx_base_minutes_share,ctx_base_usage,ctx_base_efg,ctx_base_ts,ctx_base_orb,ctx_base_drb,ctx_base_ast_pct,ctx_base_tov_pct,ctx_base_ftm,ctx_base_fta,ctx_base_ft_pct,ctx_base_fg2m,ctx_base_fg2a,ctx_base_fg2_pct,ctx_base_fg3m,ctx_base_fg3a,ctx_base_fg3_pct,ctx_base_blk_pct,ctx_base_stl_pct,ctx_base_ftr,ctx_base_fouls40,ctx_base_ast_tov,ctx_base_rim_made,ctx_base_rim_attempts,ctx_base_mid_made,ctx_base_mid_attempts,ctx_base_dunk_made,ctx_base_dunk_attempts,ctx_base_mpg,ctx_base_oreb_pg,ctx_base_dreb_pg,ctx_base_ast_pg,ctx_base_stl_pg,ctx_base_blk_pg,ctx_base_pts_pg,ctx_base_three_share,ctx_skill_defense_discipline,ctx_skill_creation_control,ctx_skill_usage_efficiency,ctx_skill_ft_volume,vcons_mock_mean_rank,vcons_mock_best_rank,vcons_mock_rank_range,vcons_mock_n_sources,vmb_age_reported_years,vmb_listed_height_in,vmb_listed_weight_lb,vmb_listed_bmi,vmb_college_class_year,vmb_position_pg,vmb_position_sg,vmb_position_sf,vmb_position_pf,vmb_position_c,report_catchshoot_fg_pct,report_catchshoot_fga_pg,report_catchshoot_poss_pg,report_catchshoot_ppp,report_catchshoot_pps,report_cut_fg_pct,report_cut_poss_pct,report_cut_poss_pg,report_cut_ppp,report_finish_fga_pg,report_finish_poss_pg,report_finish_ppp,report_finish_pps,report_free_throw_poss_pct,report_guarded_catchshoot_ppp,report_guarded_catchshoot_pps,report_halfcourt_poss_pg,report_halfcourt_ppp,report_halfcourt_shots_fouled_pct,report_halfcourt_turnover_pct,report_isolation_fg_pct,report_isolation_poss_pct,report_isolation_poss_pg,report_isolation_poss_total,report_isolation_ppp,report_isolation_shots_fouled_pct,report_isolation_turnover_pct,report_jump_fg_pct,report_jump_fga_pg,report_jump_fga_total,report_jump_fgm_total,report_jump_poss_pct,report_jump_ppp,report_jump_pps,report_jump_shot_pct,report_offscreen_poss_pg,report_offscreen_ppp,report_open_catchshoot_fg_pct,report_open_catchshoot_ppp,report_open_catchshoot_pps,report_overall_ppp,report_pickroll_finish_poss_pg,report_pickroll_finish_ppp,report_pickroll_poss_pct,report_pickroll_poss_pg,report_pickroll_ppp,report_poss_pg,report_post_fg_pct,report_post_poss_pct,report_post_poss_pg,report_post_ppp,report_post_turnover_pct,report_pullup_fg_pct,report_pullup_fga_pg,report_pullup_fga_total,report_pullup_fgm_total,report_pullup_ppp,report_pullup_pps,report_putback_poss_pct,report_putback_poss_pg,report_putback_ppp,report_rim_fg_pct,report_scoring_poss_pct,report_shots_fouled_pct,report_spotup_fga_pg,report_spotup_poss_pct,report_spotup_ppp,report_transition_fg_pct,report_transition_poss_pct,report_transition_poss_pg,report_transition_poss_total,report_transition_ppp,report_transition_turnover_pct,report_turnover_pct,report_text_athleticism_per1k,report_text_catchshoot_per1k,report_text_creation_per1k,report_text_decisions_per1k,report_text_defense_per1k,report_text_development_per1k,report_text_efficiency_per1k,report_text_effort_per1k,report_text_finishing_per1k,report_text_injury_per1k,report_text_length_per1k,report_text_limitations_per1k,report_text_passing_per1k,report_text_pickroll_per1k,report_text_pullup_per1k,report_text_rebounding_per1k,report_text_shooting_per1k,report_text_strength_per1k,report_text_words
prior_2012_55b683c6030c1b517504,2012,74.25,75.25,188.2,77.0,94.5,6.6,8.25,9.75,33.5,40.0,10.82,,3.19,8.0,24.000760899788418,2.75,,,,,,,,,,,,,,,,,,,,,,35.0,86.3,22.0,57.4,62.07,3.9,13.8,11.5,9.3,120.0,134.0,0.896,101.0,192.0,0.526,99.0,243.0,0.407,0.1,2.7,30.8,1.1,1.80493435,79.0,123.0,22.0,69.0,6.0,7.0,34.6286,1.0,4.0286,2.1143,1.5429,0.0286,17.6857,0.5586206896551724,1.3333333333333337,1.116504854368932,0.2414,4.395126201480833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prior_2012_9f43ed937169e1cf36fc,2012,78.0,79.25,212.8,78.25,101.5,4.2,8.25,9.75,33.5,40.0,10.87,,3.29,15.0,24.591256828930497,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,1.0,23.0,79.0,213.0,23.995164310709978,4.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prior_2013_6bcdbd04e54854f493a7,2013,76.5,77.75,210.8,81.25,101.5,8.45,8.5,9.0,33.0,40.5,10.99,3.08,3.25,10.0,25.324801125709737,4.75,,,,14.0,25.0,0.56,10.0,25.0,0.4,,,,,,,,,,,,,21.0,50.4,25.7,52.5,53.86,8.0,18.8,19.1,18.8,40.0,66.0,0.606,72.0,133.0,0.541,30.0,90.0,0.333,3.3,2.8,29.6,3.2,1.0,38.0,49.0,34.0,84.0,11.0,14.0,29.9048,1.9524,4.7619,2.2857,1.3333,0.8571,13.0476,0.4035874439461883,1.4523809523809523,0.9646464646464646,0.2200199999999999,2.548043727350925,31.5,29.0,5.0,2.0,22.0,78.0,211.0,24.38324807755796,4.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.633587786259542,0.0,0.0,0.0,0.0,7.633587786259542,0.0,7.633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.43511450381679,0.0,131.0
prior_2013_8d4b7eef1d8eb3408548,2013,77.0,79.0,219.8,82.0,104.0,9.1,8.0,8.75,28.5,32.0,12.94,3.38,3.53,5.0,26.064208737508388,5.0,,,,17.0,25.0,0.68,15.0,25.0,0.6,,,,,,,,,,,,,37.0,88.1,27.0,50.7,55.17,5.8,14.0,8.6,9.1,141.0,169.0,0.834,188.0,375.0,0.501,72.0,209.0,0.344,1.0,0.9,28.9,1.7,0.92308236,94.0,133.0,94.0,245.0,11.0,11.0,35.3784,1.7027,4.2432,1.2973,0.5135,0.2973,19.8108,0.3578767123287671,0.7037037037037036,0.8514851485148515,0.3619000000000001,4.283255896499918,42.5,37.0,11.0,2.0,21.0,79.0,220.0,24.78373778570984,3.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,8.849557522123893,0.0,8.849557522123893,0.0,17.699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.39823008849557,0.0,113.0
prior_2013_f7b8346f1c94cb4b3e93,2013,82.5,84.0,262.8,86.0,110.0,9.6,9.25,9.5,26.5,30.0,11.52,3.04,3.52,12.0,27.146620463422753,3.5,12.0,25.0,0.48,10.0,25.0,0.4,,,,,,,,,,,,,,,,33.0,74.7,24.5,58.9,59.58,13.2,26.4,10.0,17.2,124.0,212.0,0.585,169.0,287.0,0.589,0.0,0.0,0.0,2.8,0.9,73.9,3.6,0.65670101,123.0,177.0,40.0,97.0,48.0,49.0,30.0,3.3636,6.5152,1.3333,0.4545,0.697,14.0,0.0,0.8043478260869565,0.5494505494505495,0.4310999999999999,3.1363559169400137,47.0,43.0,8.0,2.0,23.0,84.0,263.0,26.205683027933517,4.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prior_2014_a8505b9bcef90a9f6893,2014,84.25,85.25,231.2,85.5,109.0,7.7,9.25,8.75,27.0,30.0,12.05,2.91,3.48,,22.900571361913716,1.25,21.0,25.0,0.84,,,,18.0,25.0,0.72,11.0,18.0,0.6111111111111112,,,,22.0,36.0,0.6111111111111112,,,,27.0,73.3,24.5,55.0,58.48,7.7,12.6,7.7,17.8,81.0,107.0,0.757,109.0,218.0,0.5,41.0,92.0,0.446,9.7,1.1,34.5,3.1,0.47541275,59.0,90.0,50.0,127.0,9.0,11.0,30.6667,1.9259,3.4815,1.0741,0.5556,2.8148,15.6296,0.2967741935483871,2.6341463414634148,0.4095744680851064,0.3815999999999998,3.5443733389330343,57.0,57.0,,1.0,,85.0,231.0,22.47876441476067,4.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,1.14,,10.8,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.16793893129771,7.633587786259542,131.0
prior_2014_e3c4cbe104ccf32796a8,2014,79.25,80.5,196.0,86.0,106.5,3.85,9.25,10.5,26.5,32.0,11.46,3.04,3.44,,21.94097067090332,6.75,,,,12.0,25.0,0.48,15.0,25.0,0.6,12.0,18.0,0.6666666666666666,,,,23.0,34.0,0.6764705882352942,,,,38.0,68.4,22.5,53.1,55.95,6.3,16.8,3.6,13.9,70.0,89.0,0.787,138.0,281.0,0.491,50.0,120.0,0.417,5.2,1.4,22.2,3.3,0.3035896,74.0,117.0,64.0,163.0,22.0,24.0,29.0,1.4474,4.5526,0.4474,0.6842,1.4211,13.0526,0.2992518703241895,1.5348837209302326,0.2416107382550335,0.14875,3.541350210549919,44.0,39.0,10.0,2.0,22.1,80.0,196.0,21.531505876449252,3.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.407407407407407,0.0,14.814814814814817,0.0,0.0,7.407407407407407,0.0,0.0,0.0,0.0,22.22222222222222,0.0,135.0
prior_2014_f52603a5b83b5c19f2ae,2014,74.25,75.5,187.0,76.0,96.0,6.4,8.25,9.0,29.0,32.5,11.48,3.02,3.48,,23.847727355262663,1.75,,,,19.0,25.0,0.76,16.0,25.0,0.64,14.0,18.0,0.7777777777777778,,,,22.0,26.0,0.8461538461538461,,,,34.0,79.6,28.3,47.4,55.56,2.1,8.7,24.7,10.1,196.0,234.0,0.838,124.0,287.0,0.432,58.0,158.0,0.367,0.5,3.3,52.6,2.6,2.21997818,42.0,77.0,82.0,210.0,0.0,0.0,32.0588,0.5882,2.3529,3.2647,1.6471,0.1471,18.1765,0.3550561797752809,1.0555555555555556,2.225225225225225,0.4614800000000002,4.575132660852805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,4.9,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12.987012987012989,12.987012987012989,0.0,0.0,0.0,0.0,25.974025974025977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.987012987012989,0.0,77.0
