pid,draft_year,ctx_base_gp,ctx_base_minutes_share,ctx_base_usage,ctx_base_efg,ctx_base_ts,ctx_base_orb,ctx_base_drb,ctx_base_ast_pct,ctx_base_tov_pct,ctx_base_ftm,ctx_base_fta,ctx_base_ft_pct,ctx_base_fg2m,ctx_base_fg2a,ctx_base_fg2_pct,ctx_base_fg3m,ctx_base_fg3a,ctx_base_fg3_pct,ctx_base_blk_pct,ctx_base_stl_pct,ctx_base_ftr,ctx_base_fouls40,ctx_base_ast_tov,ctx_base_rim_made,ctx_base_rim_attempts,ctx_base_mid_made,ctx_base_mid_attempts,ctx_base_dunk_made,ctx_base_dunk_attempts,ctx_base_mpg,ctx_base_oreb_pg,ctx_base_dreb_pg,ctx_base_ast_pg,ctx_base_stl_pg,ctx_base_blk_pg,ctx_base_pts_pg,ctx_base_three_share,ctx_skill_defense_discipline,ctx_skill_creation_control,ctx_skill_usage_efficiency,ctx_skill_ft_volume
P37b821fb18,2009,30.0,80.2,24.7,47.8,50.64,9.9,13.3,8.3,16.3,94.0,150.0,0.627,140.0,307.0,0.456,27.0,71.0,0.38,2.1,1.5,39.7,2.4,0.55073915,,,,,,,32.5,2.9333,4.3,1.2667,0.8667,0.6667,15.1667,0.1878306878306878,1.0588235294117647,0.4797687861271676,0.03008,3.1458344576829576
P2d536d911b,2009,34.0,85.3,25.2,43.1,47.32,4.2,16.4,33.3,25.6,97.0,153.0,0.634,96.0,226.0,0.425,31.0,105.0,0.295,0.7,5.6,46.2,3.4,1.49180645,,,,,,,34.1176,1.2353,4.6176,5.3529,3.0882,0.2059,11.2353,0.3172205438066465,1.4318181818181817,1.25187969924812,-0.1393599999999999,3.193427949930242
P1a8bbe3efe,2009,33.0,83.4,26.4,45.6,48.51,7.2,12.8,27.1,17.4,103.0,172.0,0.599,126.0,273.0,0.462,41.0,138.0,0.297,0.3,3.1,41.8,3.0,1.6067773,,,,,,,33.6471,2.1176,3.8824,4.2059,1.7941,0.0882,14.7647,0.3357664233576642,0.85,1.472826086956522,-0.0953600000000001,3.0868216651041696
Pad180fa2f7,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd01ecb3669,2010,37.0,83.9,26.9,50.3,56.18,2.7,10.1,34.8,24.2,175.0,232.0,0.754,165.0,324.0,0.509,37.0,114.0,0.325,1.5,2.9,53.0,2.2,1.61745724,116.0,182.0,40.0,127.0,33.0,36.0,34.8108,0.8108,3.4865,6.5135,1.7838,0.5135,16.6486,0.2602739726027397,1.375,1.380952380952381,0.4264199999999999,4.110082993988538
Ped95bfcd7e,2010,31.0,74.4,34.5,54.0,58.15,7.4,23.5,37.5,21.7,138.0,182.0,0.758,217.0,402.0,0.54,20.0,55.0,0.364,2.9,3.0,39.8,3.1,1.36028349,102.0,130.0,106.0,258.0,18.0,19.0,35.7419,2.0,7.1613,5.9677,1.7419,0.9032,20.3871,0.1203501094091903,1.4390243902439026,1.6519823788546255,1.18175,3.9487905038537976
Pcc98298533,2010,35.0,69.2,21.8,61.5,62.31,12.5,20.2,7.3,22.9,86.0,137.0,0.628,177.0,287.0,0.617,0.0,1.0,0.0,7.8,1.8,47.6,3.8,0.38374508,137.0,175.0,40.0,112.0,53.0,56.0,27.7714,3.0571,5.5714,0.9429,0.8857,2.0571,12.5714,0.0034722222222222,2.0,0.3054393305439331,0.2215800000000001,3.0943153142787247
Peb88f22502,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P97ae54051b,2010,35.0,88.0,23.0,49.1,52.99,12.8,17.6,14.7,17.9,110.0,159.0,0.692,178.0,358.0,0.497,7.0,26.0,0.269,11.0,1.4,41.4,2.8,1.11631598,78.0,109.0,100.0,249.0,30.0,32.0,35.4571,3.6,6.1143,2.7429,0.8286,3.7429,13.9143,0.0677083333333333,3.2631578947368425,0.7777777777777778,0.0897,3.5120202801418077
Pc58bcc8049,2010,34.0,85.6,27.5,53.4,56.68,8.6,25.2,22.4,20.8,138.0,209.0,0.66,195.0,358.0,0.545,7.0,27.0,0.259,4.9,2.2,54.3,3.0,1.14286144,154.0,238.0,33.0,102.0,21.0,22.0,34.2353,2.1765,7.4706,3.7647,1.2353,1.5294,16.1471,0.0701298701298701,1.775,1.0275229357798163,0.5009999999999999,3.529090970273529
P297adbbd5f,2010,31.0,76.4,27.8,47.1,52.4,14.6,20.5,9.1,20.6,139.0,199.0,0.698,149.0,308.0,0.484,18.0,66.0,0.273,4.5,2.6,53.2,3.8,0.41415375,112.0,173.0,37.0,135.0,46.0,48.0,31.2903,4.2903,6.4194,1.3226,1.4194,1.4194,15.8387,0.1764705882352941,1.4791666666666667,0.4212962962962963,0.1871999999999999,3.698225521850529
P7f86ce09cc,2010,28.0,72.6,27.3,51.0,57.22,6.8,18.6,22.6,20.8,110.0,122.0,0.902,92.0,188.0,0.489,58.0,163.0,0.356,3.0,3.9,34.8,3.5,0.96627442,70.0,106.0,22.0,82.0,18.0,22.0,33.1786,1.9286,5.2857,3.0714,2.1429,0.8571,16.7143,0.4643874643874643,1.5333333333333334,1.036697247706422,0.52706,4.34059028854592
P7e584efe40,2010,36.0,66.4,20.2,56.2,59.61,13.6,25.4,5.8,16.4,108.0,159.0,0.679,149.0,265.0,0.562,0.0,0.0,0.0,13.0,1.6,60.0,3.8,0.55354846,92.0,126.0,57.0,139.0,32.0,33.0,26.75,3.0556,6.7778,0.8611,0.75,3.4722,11.2778,0.0,3.0416666666666665,0.3333333333333333,0.0192199999999999,3.4460430205437684
P10d0b75bed,2010,36.0,68.3,21.7,55.5,59.1,5.2,11.5,9.8,18.2,90.0,115.0,0.783,93.0,189.0,0.492,69.0,165.0,0.418,1.8,3.1,32.5,2.7,0.76809101,60.0,90.0,33.0,99.0,17.0,17.0,27.5,1.1944,3.1667,1.4722,1.5,0.5,13.4167,0.4661016949152542,1.3243243243243243,0.5104166666666667,0.1546999999999999,3.722061119636283
P8fac339738,2010,23.0,43.0,21.5,57.8,60.66,10.8,24.2,6.8,18.3,87.0,132.0,0.659,111.0,192.0,0.578,0.0,0.0,0.0,9.5,0.9,68.8,2.6,0.47825,42.0,50.0,61.0,132.0,26.0,27.0,27.8696,2.8696,6.6957,0.9565,0.4348,2.7826,13.4348,0.0,2.888888888888889,0.3523316062176165,0.1598999999999999,3.2227400754981357
P3f25ee2633,2010,38.0,81.8,17.2,60.7,62.42,10.6,13.4,5.5,10.7,90.0,130.0,0.692,191.0,305.0,0.626,24.0,69.0,0.348,4.1,1.2,34.8,1.9,0.87811659,136.0,165.0,50.0,127.0,65.0,70.0,33.0263,3.0526,4.3947,0.9474,0.7105,1.3421,14.3158,0.1844919786096256,1.827586206896552,0.4700854700854701,-0.3477600000000001,3.373636547655196
P502aba077e,2010,35.0,64.9,26.1,54.0,56.35,13.1,25.2,7.7,13.8,107.0,167.0,0.641,192.0,351.0,0.547,4.0,16.0,0.25,9.1,1.6,45.5,4.4,0.58620484,137.0,199.0,55.0,152.0,59.0,63.0,26.8857,3.0286,6.0857,0.9714,0.7429,2.5714,14.3714,0.0435967302452316,1.9814814814814812,0.5202702702702703,0.3873500000000002,3.284460910797489
P440f6cc00f,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
