pid,draft_year,ctx_base_gp,ctx_base_minutes_share,ctx_base_usage,ctx_base_efg,ctx_base_ts,ctx_base_orb,ctx_base_drb,ctx_base_ast_pct,ctx_base_tov_pct,ctx_base_ftm,ctx_base_fta,ctx_base_ft_pct,ctx_base_fg2m,ctx_base_fg2a,ctx_base_fg2_pct,ctx_base_fg3m,ctx_base_fg3a,ctx_base_fg3_pct,ctx_base_blk_pct,ctx_base_stl_pct,ctx_base_ftr,ctx_base_fouls40,ctx_base_ast_tov,ctx_base_rim_made,ctx_base_rim_attempts,ctx_base_mid_made,ctx_base_mid_attempts,ctx_base_dunk_made,ctx_base_dunk_attempts,ctx_base_mpg,ctx_base_oreb_pg,ctx_base_dreb_pg,ctx_base_ast_pg,ctx_base_stl_pg,ctx_base_blk_pg,ctx_base_pts_pg,ctx_base_three_share,ctx_skill_defense_discipline,ctx_skill_creation_control,ctx_skill_usage_efficiency,ctx_skill_ft_volume
Paa36360f59,2012,34.0,77.2,25.0,59.6,63.0,11.6,25.0,11.2,19.5,150.0,213.0,0.704,187.0,301.0,0.621,6.0,28.0,0.214,9.1,1.1,64.7,4.1,0.56181236,140.0,187.0,47.0,114.0,38.0,38.0,31.2353,3.0294,7.0882,1.4706,0.5882,2.7059,15.9412,0.0851063829787234,2.0,0.5463414634146341,0.65,3.777647114575383
Pbf890a872a,2012,37.0,80.3,21.3,48.6,53.38,5.5,10.8,8.7,13.2,117.0,157.0,0.745,113.0,242.0,0.467,51.0,148.0,0.345,2.2,2.6,40.3,2.1,1.01816344,79.0,112.0,34.0,130.0,25.0,28.0,32.2162,1.5135,3.1892,1.5135,1.3514,0.6216,13.4054,0.3794871794871794,1.5483870967741935,0.6126760563380281,0.04394,3.7716332996050905
P0dca4f55c4,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8e2f7481af,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2db62bcb6f,2012,34.0,80.0,25.4,52.9,56.8,2.3,9.2,17.7,15.9,126.0,165.0,0.764,133.0,270.0,0.493,77.0,200.0,0.385,0.4,1.6,35.1,2.4,1.16252286,76.0,127.0,57.0,143.0,10.0,15.0,32.9412,0.6471,2.8529,2.7353,0.9412,0.1176,18.3235,0.425531914893617,0.5882352941176471,1.047337278106509,0.3671999999999997,3.9055586703044
P2cdeb4bf00,2012,35.0,80.6,24.8,49.5,54.05,5.5,21.7,12.6,7.1,113.0,137.0,0.825,122.0,277.0,0.44,72.0,188.0,0.383,4.2,1.3,29.5,2.6,2.06245208,17.0,27.0,105.0,250.0,0.0,0.0,32.2286,1.5714,5.6,1.8857,0.6571,1.2,16.3714,0.4043010752688172,1.5277777777777777,1.5555555555555556,0.1943999999999999,4.064984290254694
P711641b36d,2012,33.0,65.4,22.9,51.1,59.52,9.9,18.1,5.7,18.1,150.0,197.0,0.761,117.0,227.0,0.515,0.0,2.0,0.0,5.8,0.8,86.0,3.3,0.400011,53.0,80.0,64.0,147.0,22.0,24.0,26.2727,2.0303,4.2727,0.7273,0.3636,1.4242,11.6364,0.0087336244541484,1.5348837209302326,0.2984293193717277,0.27608,4.024371210358542
Pf3fb310df6,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2320c27578,2012,34.0,82.4,24.0,50.5,53.84,2.2,9.2,13.0,17.0,121.0,184.0,0.658,116.0,243.0,0.477,58.0,159.0,0.365,0.1,1.7,45.8,2.7,0.89873044,82.0,141.0,34.0,102.0,3.0,3.0,33.2059,0.6176,2.7647,2.0882,0.9706,0.0294,15.5,0.3955223880597014,0.4864864864864864,0.7222222222222222,0.1536000000000001,3.4349941329015374
Pefaae49c8b,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0267b55e6b,2012,35.0,82.4,22.0,56.8,59.85,7.0,20.5,13.5,9.8,119.0,162.0,0.735,156.0,259.0,0.602,61.0,177.0,0.345,3.1,4.3,37.2,3.2,1.65913615,128.0,171.0,28.0,88.0,8.0,8.0,32.9429,2.0,6.4,2.0857,2.5143,1.0,17.5429,0.4059633027522936,1.761904761904762,1.25,0.197,3.74390639759297
P41b1bb4705,2012,36.0,59.3,23.3,48.9,54.44,7.6,16.0,11.3,18.6,92.0,112.0,0.821,113.0,238.0,0.475,24.0,67.0,0.358,2.7,1.6,36.7,3.1,0.76560917,52.0,82.0,61.0,156.0,14.0,15.0,24.4444,1.5,3.4167,1.3611,0.6389,0.6111,10.8333,0.2196721311475409,1.0487804878048783,0.576530612244898,0.1465199999999999,3.881185399162832
P404f9fdfb6,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
