pid,y_gl_s1_gp,y_gl_s1_min,y_gl_s1_net,y_gl_s1_pie,y_gl_s1_prod36,y_gl_s1_pts36,y_gl_s1_ts,y_gl_s1_usg,y_gl_s2_gp,y_gl_s2_min,y_gl_s2_net,y_gl_s2_pie,y_gl_s2_prod36,y_gl_s2_pts36,y_gl_s2_ts,y_gl_s2_usg,y_gl_s3_gp,y_gl_s3_min,y_gl_s3_net,y_gl_s3_pie,y_gl_s3_prod36,y_gl_s3_pts36,y_gl_s3_ts,y_gl_s3_usg,y_gl_s4_gp,y_gl_s4_min,y_gl_s4_net,y_gl_s4_pie,y_gl_s4_prod36,y_gl_s4_pts36,y_gl_s4_ts,y_gl_s4_usg,y_gl_s5_gp,y_gl_s5_min,y_gl_s5_net,y_gl_s5_pie,y_gl_s5_prod36,y_gl_s5_pts36,y_gl_s5_ts,y_gl_s5_usg
Pd175d5631f,16,350.3,-0.1,0.155,35.87,25.59,0.673,0.254,32,1239.9,2.3,0.159,32.78,21.14,0.651,0.223,14,276.5,1.0,0.135,35.28,22.52,0.58,0.256,42,1343.1,7.7,0.12,29.16,18.76,0.617,0.209,,,,,,,,
Pa610141ccc,5,207.0,-3.1,0.162,31.66,27.48,0.628,0.329,,,,,,,,,26,723.8,7.2,0.112,27.65,16.96,0.533,0.209,20,586.7,-0.6,0.08,22.39,17.12,0.551,0.219,,,,,,,,
Pb70d7d0b57,3,118.5,9.4,0.092,26.72,17.61,0.472,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb7edd3ead7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,370.6,-3.2,0.125,29.62,23.7,0.595,0.267
P49a2cdbcb5,6,225.6,13.8,0.151,33.19,23.94,0.57,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9bd8ef5672,40,801.8,1.7,0.089,24.61,12.44,0.555,0.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6565076e45,,,,,,,,,17,680.0,6.2,0.109,27.42,18.74,0.612,0.214,49,2022.1,1.6,0.119,26.21,16.59,0.606,0.194,1,23.3,-12.2,0.12,26.27,10.82,0.5,0.145,,,,,,,,
Pac5bd0e496,14,525.6,-0.1,0.086,24.52,18.49,0.5,0.25,18,678.5,-0.6,0.107,28.07,20.69,0.58,0.236,,,,,,,,,,,,,,,,,,,,,,,,
P971be31864,18,638.1,-2.7,0.101,24.82,18.84,0.534,0.259,,,,,,,,,38,1046.6,4.5,0.079,20.98,14.38,0.514,0.196,,,,,,,,,39,1133.9,-4.7,0.088,20.48,13.18,0.529,0.175
P20979c9b9c,,,,,,,,,21,732.2,3.3,0.131,25.37,19.03,0.57,0.223,,,,,,,,,,,,,,,,,,,,,,,,
P3e3a854ff5,,,,,,,,,,,,,,,,,45,1360.0,6.9,0.153,32.35,20.41,0.671,0.222,1,20.8,-27.8,-0.082,6.94,6.94,0.34,0.222,,,,,,,,
Peefc30f89c,13,511.3,-4.7,0.11,25.14,18.52,0.541,0.227,16,552.4,-10.0,0.057,18.12,12.84,0.516,0.169,27,1085.6,-10.2,0.123,23.21,14.46,0.581,0.189,44,1483.5,-9.6,0.1,23.61,16.6,0.528,0.223,40,1507.6,4.4,0.116,25.96,16.5,0.521,0.216
Pf6d18cb839,6,188.6,10.1,0.154,33.41,20.62,0.523,0.239,15,503.8,2.7,0.169,30.94,17.29,0.568,0.217,,,,,,,,,30,904.7,3.8,0.147,31.28,18.31,0.559,0.228,,,,,,,,
P586a0d2a81,3,73.3,-13.1,0.068,26.52,11.78,0.475,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P67d2056db6,15,401.5,-0.3,0.087,21.61,10.31,0.463,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8438cd9418,,,,,,,,,,,,,,,,,,,,,,,,,30,1060.2,-1.3,0.093,26.38,17.73,0.494,0.241,28,872.8,0.5,0.08,24.13,14.52,0.466,0.218
P5c6144028a,40,1550.7,5.2,0.135,28.69,20.61,0.577,0.231,20,655.4,1.2,0.143,29.55,20.38,0.556,0.234,,,,,,,,,,,,,,,,,,,,,,,,
P1605b30cec,25,1026.5,4.7,0.149,29.67,21.53,0.611,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa760c9001c,,,,,,,,,21,484.4,-0.1,0.091,25.49,14.49,0.556,0.198,,,,,,,,,,,,,,,,,,,,,,,,
P8e68185705,37,943.9,4.6,0.11,27.27,14.19,0.534,0.203,14,357.5,6.9,0.134,32.22,17.22,0.555,0.221,,,,,,,,,,,,,,,,,,,,,,,,
P71e6d4319f,38,1124.4,2.3,0.152,32.46,19.69,0.572,0.236,45,1343.1,3.4,0.142,30.77,18.71,0.532,0.239,30,935.4,-1.7,0.098,26.09,14.93,0.51,0.184,7,163.0,2.2,0.112,22.75,11.04,0.502,0.162,,,,,,,,
P38dadf836a,,,,,,,,,,,,,,,,,5,139.1,-4.4,0.081,22.78,12.68,0.517,0.184,,,,,,,,,,,,,,,,
Pdacd6ab94d,,,,,,,,,,,,,,,,,6,195.0,-2.4,0.16,27.87,19.75,0.669,0.195,6,187.0,-10.4,0.116,25.6,18.48,0.576,0.205,,,,,,,,
Pd9ad951135,34,1261.4,-2.1,0.118,28.08,24.83,0.556,0.306,14,444.3,5.5,0.13,30.87,27.06,0.636,0.29,42,1614.0,-4.3,0.129,27.66,23.09,0.635,0.256,,,,,,,,,29,1097.8,-3.3,0.133,27.97,22.23,0.632,0.248
P7703cc27be,28,857.0,1.8,0.164,35.45,22.6,0.589,0.256,,,,,,,,,,,,,,,,,12,308.9,7.3,0.141,32.05,20.4,0.559,0.236,6,174.0,-19.0,0.148,35.18,22.97,0.611,0.237
Pdf59a363f3,,,,,,,,,,,,,,,,,11,261.1,-1.4,0.041,17.37,11.44,0.527,0.196,16,541.7,2.1,0.075,22.13,13.89,0.531,0.205,45,1054.0,-1.6,0.075,23.84,15.03,0.51,0.22
P544e2d56ac,24,869.2,2.1,0.163,33.34,21.0,0.557,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pae24459193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,306.4,-5.0,0.124,28.08,20.56,0.617,0.242
Pcfbeb8a341,37,1071.7,7.5,0.12,26.2,13.2,0.587,0.163,,,,,,,,,,,,,,,,,10,200.7,-4.7,0.078,24.22,12.56,0.484,0.182,,,,,,,,
P7781579610,,,,,,,,,9,339.9,9.9,0.114,25.21,17.37,0.593,0.195,,,,,,,,,,,,,,,,,2,58.7,11.5,0.159,29.43,22.68,0.873,0.195
Pf5e2b9f7f1,8,266.5,18.7,0.147,29.85,18.64,0.585,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3d1eff1bca,11,249.5,3.9,0.13,30.44,18.9,0.544,0.248,22,572.1,6.0,0.133,31.9,20.2,0.611,0.257,,,,,,,,,,,,,,,,,,,,,,,,
P3b02df9dfc,17,617.2,7.8,0.102,24.56,14.35,0.616,0.161,14,524.5,9.4,0.15,33.29,20.52,0.603,0.218,,,,,,,,,,,,,,,,,,,,,,,,
P6e6a2db0d6,21,789.5,5.1,0.102,24.9,19.7,0.591,0.225,,,,,,,,,,,,,,,,,1,19.6,-19.5,-0.068,11.03,7.35,0.202,0.283,,,,,,,,
P9f5758481a,6,186.9,-5.7,0.122,31.4,21.19,0.603,0.241,10,392.4,9.2,0.169,29.36,18.53,0.651,0.212,,,,,,,,,,,,,,,,,,,,,,,,
P951f092ec6,2,52.0,-4.3,0.15,34.64,27.02,0.69,0.287,2,83.0,11.8,0.192,40.34,28.63,0.643,0.3,,,,,,,,,,,,,,,,,19,532.1,-6.7,0.115,27.74,17.73,0.552,0.222
Pb00deeb55d,20,749.3,5.6,0.127,27.34,19.07,0.608,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pcd53db286a,,,,,,,,,49,1873.5,0.7,0.099,23.02,16.85,0.567,0.209,,,,,,,,,30,996.8,4.6,0.095,26.29,18.96,0.553,0.227,25,803.8,3.5,0.096,24.23,17.02,0.565,0.21
Pab534e249b,5,159.0,10.6,0.11,31.24,23.09,0.533,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc90f94ed67,33,1202.0,3.6,0.134,26.66,17.94,0.545,0.242,34,1215.3,1.7,0.121,25.74,17.66,0.55,0.236,10,275.6,-18.5,0.071,19.33,12.41,0.55,0.179,15,244.0,-7.3,0.056,17.56,10.03,0.5,0.174,24,377.9,-6.1,0.039,15.72,9.43,0.478,0.153
Pc7cce81961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,344.5,-3.3,0.093,21.0,17.03,0.562,0.213
Pb7bd8922eb,18,314.1,5.8,0.093,27.97,12.15,0.486,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pcb5c1e8ac6,,,,,,,,,16,351.8,-0.4,0.098,25.79,15.14,0.547,0.212,,,,,,,,,,,,,,,,,,,,,,,,
P41bc73e83b,26,947.7,-0.6,0.142,26.21,16.94,0.611,0.199,4,126.0,-0.6,0.178,28.56,20.56,0.729,0.197,17,610.9,-5.8,0.087,20.33,13.02,0.53,0.167,,,,,,,,,,,,,,,,
P103e95dd1f,19,692.7,-0.6,0.106,30.66,25.36,0.557,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2bc925c307,43,1639.9,-3.2,0.114,25.31,19.67,0.582,0.234,32,1161.9,-3.9,0.088,23.02,17.63,0.525,0.223,,,,,,,,,,,,,,,,,,,,,,,,
Pad8df3794d,7,206.7,-4.4,0.095,23.52,11.84,0.578,0.157,16,515.6,12.4,0.137,32.19,16.48,0.629,0.202,,,,,,,,,,,,,,,,,,,,,,,,
Pc3a5f10000,10,297.5,9.8,0.149,34.85,20.21,0.578,0.244,5,157.6,-8.7,0.15,34.27,22.16,0.598,0.249,,,,,,,,,,,,,,,,,,,,,,,,
P82dd1ca59f,2,88.6,-4.3,0.117,28.44,13.82,0.574,0.164,5,213.2,11.9,0.092,19.76,10.47,0.475,0.184,30,1056.3,5.1,0.106,24.61,15.92,0.569,0.191,,,,,,,,,37,1039.6,5.9,0.112,23.41,14.16,0.56,0.178
P79f9e777a1,30,1238.0,5.8,0.131,27.6,19.95,0.626,0.22,15,611.5,7.1,0.129,32.08,25.67,0.582,0.27,,,,,,,,,,,,,,,,,,,,,,,,
P6dfb5df5c6,14,335.9,0.7,0.107,27.33,16.72,0.616,0.204,4,84.1,0.4,0.02,19.27,14.13,0.466,0.246,,,,,,,,,,,,,,,,,,,,,,,,
Pc06b79b843,3,97.6,-17.1,0.032,22.14,9.23,0.315,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc9371b494a,30,1052.3,3.5,0.13,29.66,17.21,0.553,0.213,,,,,,,,,49,1728.4,-0.7,0.134,30.81,18.08,0.549,0.231,30,702.8,-3.3,0.076,22.79,13.42,0.515,0.188,,,,,,,,
Pe5c2b5692d,,,,,,,,,,,,,,,,,5,143.0,-8.9,0.118,30.72,22.66,0.584,0.266,,,,,,,,,,,,,,,,
Pd2241d6e4b,46,1425.2,5.6,0.138,32.36,16.85,0.591,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1ca581fef0,3,88.5,2.2,0.139,25.23,19.12,0.609,0.237,,,,,,,,,,,,,,,,,,,,,,,,,42,1464.9,-0.3,0.104,23.08,13.42,0.519,0.181
P61624e71c6,,,,,,,,,8,207.4,-0.9,0.104,28.47,13.54,0.541,0.176,,,,,,,,,49,1639.4,4.3,0.112,27.43,15.46,0.61,0.194,27,778.1,0.3,0.142,32.62,19.02,0.571,0.238
Pd353deb783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,322.6,-3.5,0.082,21.2,11.61,0.443,0.202
P8482acfde2,22,621.9,4.0,0.121,34.15,26.11,0.534,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8ff779ec76,7,146.2,-0.3,0.117,25.62,13.05,0.564,0.173,11,88.9,6.6,0.027,15.39,4.46,0.477,0.095,,,,,,,,,,,,,,,,,,,,,,,,
Pa5107e2b9c,,,,,,,,,2,57.3,0.9,0.168,35.8,29.52,0.638,0.297,,,,,,,,,19,420.9,-8.6,0.048,18.56,14.45,0.476,0.209,,,,,,,,
Pc9bef9c2e0,39,1561.9,3.0,0.102,24.45,18.6,0.559,0.235,13,518.3,-0.5,0.109,26.81,19.24,0.555,0.242,39,1401.5,6.1,0.146,31.7,25.53,0.576,0.298,11,305.2,2.3,0.109,25.36,16.63,0.527,0.24,,,,,,,,
Pbbde966f1e,4,86.2,-9.5,0.066,24.21,17.95,0.509,0.228,,,,,,,,,45,1034.7,-4.7,0.077,25.82,15.73,0.466,0.233,,,,,,,,,,,,,,,,
P37b821fb18,36,1376.8,4.8,0.111,26.33,20.0,0.586,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peb1d9a0135,40,1578.1,6.0,0.103,22.9,14.76,0.556,0.192,41,1334.0,-4.3,0.06,16.03,9.53,0.535,0.14,5,98.2,-11.6,0.009,8.43,8.8,0.505,0.176,,,,,,,,,,,,,,,,
Pcb72b419f2,27,850.5,-6.0,0.094,25.52,17.31,0.504,0.252,14,387.9,-5.8,0.123,29.61,19.4,0.569,0.236,,,,,,,,,,,,,,,,,,,,,,,,
P2d536d911b,34,1141.6,-0.3,0.152,30.59,17.56,0.535,0.245,50,1725.0,6.2,0.121,26.05,13.71,0.536,0.199,,,,,,,,,,,,,,,,,,,,,,,,
P456fdc6328,2,70.8,3.9,0.126,35.06,25.91,0.546,0.309,17,629.6,6.5,0.123,28.82,19.5,0.57,0.235,,,,,,,,,,,,,,,,,,,,,,,,
Pfe669c03c3,46,979.1,-5.4,0.101,28.35,19.45,0.484,0.262,50,1605.7,-2.1,0.105,27.06,19.28,0.535,0.243,,,,,,,,,41,1236.6,-0.1,0.111,26.32,18.11,0.537,0.219,,,,,,,,
P5b1d935a26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1705.7,-1.0,0.127,31.17,21.34,0.543,0.262
Pc430805a15,3,103.2,16.1,0.161,33.82,21.62,0.546,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7d184fd756,3,39.4,4.9,0.026,13.72,12.81,0.554,0.174,,,,,,,,,39,673.3,-9.5,0.103,26.41,21.49,0.619,0.229,,,,,,,,,,,,,,,,
Pfc3cc92a5c,30,1063.1,7.2,0.088,22.01,15.1,0.552,0.192,24,805.8,2.9,0.091,23.23,14.97,0.545,0.188,,,,,,,,,9,324.0,-4.8,0.105,24.33,14.67,0.58,0.188,,,,,,,,
P26f8dd510c,6,188.1,9.7,0.142,30.82,15.89,0.573,0.21,6,168.1,-0.3,0.123,26.34,12.85,0.622,0.152,,,,,,,,,,,,,,,,,,,,,,,,
P57802757ed,8,223.0,12.2,0.11,33.91,25.51,0.564,0.291,,,,,,,,,14,368.3,-9.2,0.072,24.93,19.45,0.512,0.255,8,258.9,5.7,0.151,33.93,27.11,0.56,0.312,2,52.3,-5.0,0.122,25.45,19.95,0.581,0.239
P2e38e474e2,,,,,,,,,6,161.2,-13.6,0.056,21.44,14.07,0.452,0.217,47,1935.5,1.1,0.117,27.4,17.69,0.552,0.224,,,,,,,,,,,,,,,,
P4b1ba6339f,20,543.6,7.2,0.165,33.18,21.19,0.569,0.259,,,,,,,,,5,145.6,27.7,0.197,37.34,21.76,0.667,0.216,11,402.9,5.4,0.114,26.18,17.87,0.601,0.204,,,,,,,,
P6f23e4dd26,13,323.0,-3.0,0.082,25.3,16.49,0.502,0.224,49,1736.3,9.0,0.089,23.84,17.42,0.535,0.216,,,,,,,,,35,1289.2,-2.0,0.092,22.42,16.17,0.59,0.18,1,18.9,2.5,0.123,26.6,20.9,0.557,0.25
Pc47bd1a1ea,,,,,,,,,,,,,,,,,11,326.5,6.3,0.1,23.48,16.65,0.574,0.231,42,1432.2,-5.0,0.098,22.67,14.48,0.597,0.184,,,,,,,,
Pd5893ad4c2,,,,,,,,,,,,,,,,,34,1211.2,11.7,0.193,39.47,27.49,0.639,0.288,,,,,,,,,,,,,,,,
Pa5aab1aab8,48,1695.2,0.9,0.127,27.4,17.41,0.553,0.231,21,705.3,-0.7,0.1,25.52,17.56,0.51,0.233,,,,,,,,,,,,,,,,,,,,,,,,
P1378011126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1653.6,3.0,0.107,26.6,18.24,0.568,0.245
P9378e87d91,22,642.0,2.7,0.124,28.6,17.61,0.551,0.207,38,1452.4,6.5,0.13,30.64,19.85,0.557,0.229,,,,,,,,,33,1082.9,-2.4,0.111,25.4,16.09,0.557,0.199,44,1657.7,4.6,0.128,31.84,19.98,0.567,0.229
P1015da4297,5,175.8,3.4,0.132,32.56,26.21,0.593,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pce8689cb8f,,,,,,,,,,,,,,,,,,,,,,,,,16,455.6,4.8,0.134,33.58,18.97,0.533,0.244,,,,,,,,
P6d59a1d0fb,31,1238.8,0.9,0.165,30.77,23.74,0.676,0.243,,,,,,,,,,,,,,,,,,,,,,,,,25,948.8,6.3,0.137,28.72,19.16,0.581,0.206
Pfa9e39fc67,,,,,,,,,39,1448.7,4.4,0.136,28.95,16.95,0.605,0.198,,,,,,,,,,,,,,,,,,,,,,,,
Pf75a340b58,,,,,,,,,,,,,,,,,15,251.3,-15.5,0.053,18.05,6.88,0.505,0.116,,,,,,,,,,,,,,,,
P1a8bbe3efe,14,510.1,10.4,0.171,34.94,23.64,0.6,0.246,,,,,,,,,,,,,,,,,,,,,,,,,18,520.5,3.5,0.156,31.61,19.23,0.575,0.216
P5500e23cae,12,346.5,7.7,0.093,21.92,11.95,0.516,0.173,,,,,,,,,30,549.6,3.2,0.077,22.66,12.18,0.465,0.172,48,1230.3,0.8,0.1,26.86,15.04,0.496,0.201,,,,,,,,
Pf31133cc3c,45,1376.0,3.3,0.129,26.06,16.74,0.605,0.196,,,,,,,,,34,1257.7,-2.1,0.136,28.11,18.72,0.582,0.22,,,,,,,,,,,,,,,,
P2f15d5867f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,1060.7,1.7,0.105,27.53,16.67,0.539,0.213
P815e63680a,9,248.2,3.0,0.142,31.91,23.79,0.633,0.251,6,158.9,-3.4,0.114,29.0,14.95,0.412,0.26,,,,,,,,,,,,,,,,,2,37.8,3.6,-0.029,10.48,1.91,0.127,0.092
P871b04878c,9,289.8,-10.9,0.112,29.19,19.13,0.545,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P19913201dd,4,133.0,12.2,0.168,32.49,17.33,0.619,0.221,20,616.2,8.7,0.124,28.1,17.35,0.556,0.21,50,1669.8,-5.2,0.089,23.0,13.58,0.449,0.201,35,965.0,-6.3,0.111,23.58,13.88,0.468,0.197,,,,,,,,
P8d411cb20c,,,,,,,,,49,1313.1,4.8,0.107,29.34,20.26,0.54,0.266,32,1037.7,9.6,0.122,28.93,22.58,0.593,0.258,,,,,,,,,43,1147.1,0.8,0.09,30.07,19.62,0.557,0.225
Pc781d37e72,11,112.2,0.7,0.055,27.6,18.94,0.498,0.262,36,998.2,-9.7,0.071,25.35,17.92,0.521,0.256,,,,,,,,,,,,,,,,,,,,,,,,
P6aab967db9,,,,,,,,,7,145.0,8.0,0.144,35.5,24.33,0.572,0.295,4,90.0,-18.0,0.09,27.2,17.2,0.49,0.24,,,,,,,,,4,69.3,4.4,0.122,25.96,18.17,0.541,0.245
P06e60a886f,35,1113.5,-7.2,0.144,31.42,18.36,0.557,0.23,,,,,,,,,14,358.2,1.5,0.139,28.95,15.38,0.569,0.173,,,,,,,,,1,29.4,17.9,0.092,20.82,15.92,0.707,0.141
P2805efe438,,,,,,,,,15,390.5,7.2,0.127,25.08,17.06,0.587,0.202,18,512.1,6.1,0.086,21.16,13.57,0.507,0.187,30,908.4,-5.0,0.095,25.36,17.4,0.488,0.248,,,,,,,,
P7e584efe40,21,614.5,10.2,0.116,26.54,12.71,0.594,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P54e531f2ec,18,674.5,-9.9,0.101,29.46,19.27,0.503,0.25,7,238.1,-11.2,0.137,33.26,19.96,0.571,0.233,9,156.3,-8.5,0.054,18.43,9.45,0.457,0.136,,,,,,,,,,,,,,,,
P4d2f3d5dbd,2,42.5,31.4,0.172,33.06,16.95,0.506,0.253,,,,,,,,,29,819.4,-0.1,0.118,28.69,15.95,0.592,0.212,24,588.1,-2.5,0.107,29.81,16.65,0.541,0.224,6,109.7,-3.9,0.081,25.59,13.12,0.7,0.149
P117b8ca478,,,,,,,,,6,214.0,-6.2,0.08,25.57,18.5,0.502,0.268,,,,,,,,,,,,,,,,,,,,,,,,
P6ff85cb7e1,3,59.2,-16.3,-0.058,20.66,15.8,0.45,0.294,13,264.1,1.5,0.141,32.72,21.54,0.606,0.263,,,,,,,,,26,592.1,1.2,0.106,30.28,18.97,0.565,0.229,,,,,,,,
P966e81614a,6,165.9,-0.8,0.148,32.99,21.49,0.565,0.239,3,96.2,8.5,0.138,27.7,20.58,0.629,0.227,,,,,,,,,45,1647.0,0.5,0.129,32.31,22.64,0.561,0.255,,,,,,,,
P581e368d46,22,610.3,-3.6,0.103,30.67,18.82,0.551,0.238,,,,,,,,,15,372.6,-3.2,0.13,31.88,17.97,0.53,0.236,28,577.3,3.2,0.121,34.36,19.64,0.595,0.224,,,,,,,,
Pa56ca2c36c,10,375.3,1.3,0.126,26.09,17.94,0.569,0.233,3,65.3,17.8,0.129,32.54,22.06,0.499,0.277,9,280.0,-10.1,0.096,27.64,18.26,0.514,0.254,,,,,,,,,,,,,,,,
P8fac339738,2,35.5,27.8,0.179,33.5,20.3,0.683,0.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P64a7a54879,50,1423.9,4.3,0.123,28.39,19.24,0.551,0.242,41,1352.8,8.3,0.139,30.74,21.13,0.565,0.261,44,1514.0,-4.8,0.111,27.94,18.17,0.513,0.244,1,14.2,20.7,0.041,15.19,12.66,0.753,0.103,,,,,,,,
Pe82bc0553e,10,202.5,-3.5,0.098,28.98,19.92,0.534,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdb8fb82c3b,4,65.0,-5.1,0.006,18.82,9.97,0.58,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pe6ceea2b5e,11,201.6,11.5,0.053,19.64,7.86,0.517,0.13,23,534.8,-4.6,0.073,20.26,9.36,0.58,0.122,,,,,,,,,17,298.4,-2.1,0.047,18.7,7.84,0.486,0.112,,,,,,,,
P830611c613,14,146.8,-5.0,0.076,29.43,14.96,0.504,0.211,11,207.6,6.9,0.1,31.9,14.91,0.498,0.206,36,423.2,4.1,0.178,41.09,20.07,0.601,0.214,,,,,,,,,4,112.0,8.6,0.241,51.41,27.95,0.856,0.214
P467d53ba82,8,263.1,9.4,0.095,25.99,13.68,0.476,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb46ac34cd7,7,176.0,-6.5,0.09,28.02,21.07,0.514,0.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P60425a0c89,,,,,,,,,8,256.8,10.6,0.159,36.87,21.59,0.639,0.221,,,,,,,,,,,,,,,,,10,299.5,14.7,0.154,40.51,22.24,0.584,0.247
P2f5200d27c,,,,,,,,,,,,,,,,,,,,,,,,,21,591.0,-0.9,0.112,30.46,18.58,0.478,0.288,,,,,,,,
Pebc69ca1f1,27,883.0,9.1,0.161,33.96,20.14,0.603,0.223,,,,,,,,,5,165.0,9.1,0.186,34.04,19.2,0.583,0.208,,,,,,,,,,,,,,,,
Pbbec177bac,2,64.0,25.2,0.156,29.25,11.81,0.547,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P29b17f6d68,20,634.0,14.5,0.154,31.52,20.44,0.56,0.253,1,44.4,15.3,0.202,39.76,22.72,0.641,0.257,,,,,,,,,,,,,,,,,,,,,,,,
P1738f63a26,,,,,,,,,2,55.1,-21.6,0.068,20.92,10.46,0.442,0.217,,,,,,,,,,,,,,,,,,,,,,,,
Pba6ba7bcf4,43,1319.9,4.4,0.111,23.27,14.51,0.552,0.187,32,1141.7,1.0,0.094,22.01,12.93,0.509,0.184,,,,,,,,,46,1051.4,2.0,0.092,24.62,14.14,0.521,0.18,36,1248.7,1.0,0.085,21.54,13.32,0.586,0.161
P502aba077e,2,54.0,10.4,0.097,30.0,14.0,0.457,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6f36cd1fed,14,405.9,3.8,0.161,35.47,24.92,0.627,0.259,3,106.5,9.9,0.135,32.79,21.29,0.557,0.247,,,,,,,,,,,,,,,,,,,,,,,,
P3daa0c9125,15,388.4,-2.0,0.1,30.03,19.56,0.527,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pcdba4ddbae,46,1404.9,-2.7,0.126,28.39,17.55,0.592,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb047bb4747,,,,,,,,,,,,,,,,,13,336.2,2.7,0.073,22.59,14.13,0.545,0.172,,,,,,,,,26,510.8,-3.4,0.079,24.1,18.04,0.573,0.234
P220e9380db,23,836.2,6.4,0.129,25.74,16.53,0.574,0.196,,,,,,,,,7,264.9,2.0,0.099,25.0,16.31,0.521,0.224,40,1384.9,1.9,0.125,28.05,17.75,0.576,0.206,,,,,,,,
P989e9714fc,23,508.0,0.4,0.067,18.35,13.11,0.532,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3f25ee2633,9,315.1,-1.6,0.159,31.87,18.85,0.613,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pcd4698d422,,,,,,,,,22,540.8,-1.5,0.108,27.03,15.78,0.565,0.196,26,669.7,-2.9,0.115,28.81,17.63,0.518,0.238,47,1463.5,0.9,0.147,32.37,19.48,0.548,0.23,,,,,,,,
P597d181897,,,,,,,,,45,1260.5,4.9,0.067,18.79,13.39,0.518,0.179,36,1153.4,0.3,0.082,20.07,14.39,0.555,0.18,,,,,,,,,,,,,,,,
P544c115a68,48,1075.8,3.9,0.103,24.03,13.62,0.569,0.173,25,792.5,7.6,0.12,24.21,13.49,0.54,0.183,,,,,,,,,,,,,,,,,,,,,,,,
P11d27a665c,2,47.4,33.4,0.209,32.66,22.03,0.618,0.243,,,,,,,,,34,1260.3,-6.8,0.113,29.88,19.22,0.528,0.252,,,,,,,,,,,,,,,,
P4570803785,5,129.6,-7.5,0.094,21.95,16.67,0.532,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3d55371834,22,407.1,-1.9,0.1,27.33,14.06,0.562,0.179,9,191.3,-6.5,0.094,30.86,15.43,0.506,0.216,18,280.3,-6.9,0.103,25.43,11.3,0.52,0.148,,,,,,,,,,,,,,,,
P4417860ddd,,,,,,,,,3,122.7,-5.7,0.165,43.13,24.65,0.547,0.288,,,,,,,,,,,,,,,,,32,1142.9,3.0,0.106,31.03,20.66,0.526,0.244
Pdcb8ac9b93,46,1217.5,-4.6,0.094,26.64,16.59,0.54,0.233,,,,,,,,,,,,,,,,,34,939.0,-4.7,0.144,36.61,24.65,0.598,0.27,10,191.0,-4.8,0.069,22.05,10.93,0.461,0.176
Pbd387aad50,5,58.4,7.7,0.061,20.35,8.02,0.286,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
