pid,rsci_top100,rsci_rank,rsci_n_ranked,rsci_n_services,rsci_frac_ranked,rsci_best,rsci_worst,rsci_range,rsci_std,rsci_total_norm,rsci_chg,rsci_avg,rsci_dev,hs_height_in,hs_pos_code,hs_to_nba,hs_prep_5th,hs_years_to_draft
Pe56ae9c7aa,1,1,6,6,1.0,1.0,2.0,1.0,0.47,1.0,1.0,1.0,0.5,79,,0,0,1
P3e0fd9667f,1,2,6,6,1.0,1.0,5.0,4.0,1.26,0.9883,-1.0,2.0,0.7,82,4,0,0,1
P6e7d02b021,1,3,6,6,1.0,1.0,7.0,6.0,1.89,0.9783,4.0,4.0,2.2,78,1,0,0,1
P8a2034c01d,1,3,6,6,1.0,3.0,4.0,1.0,0.5,0.9783,0.0,4.0,0.5,80,3,0,0,1
P25e61f80f8,1,5,6,6,1.0,3.0,9.0,6.0,1.89,0.9565,6.0,5.0,1.4,76,,0,0,1
P6f43cf2ee3,1,6,6,6,1.0,6.0,7.0,1.0,0.37,0.9515,-1.0,6.0,0.4,76,1,0,0,1
Pe3864f9800,1,7,6,6,1.0,5.0,12.0,7.0,2.48,0.9247,3.0,8.0,2.5,82,3,0,0,1
Pf18fe42b62,1,8,6,6,1.0,5.0,16.0,11.0,3.45,0.9164,0.0,8.0,2.4,81,4,0,0,1
P4a000d48b0,1,9,6,6,1.0,8.0,13.0,5.0,1.67,0.9147,-5.0,10.0,1.8,76,,0,0,1
P57ab80ef44,1,10,6,6,1.0,8.0,14.0,6.0,1.97,0.8997,-1.0,11.0,2.2,78,3,0,0,2
P484d9844af,1,11,6,6,1.0,7.0,16.0,9.0,3.3,0.898,10.0,12.0,3.2,83,5,0,0,3
P54d4de841c,1,12,6,6,1.0,10.0,16.0,6.0,2.36,0.8763,0.0,14.0,2.1,79,2,0,0,1
Pa9b6b7ec3f,1,13,6,6,1.0,12.0,19.0,7.0,2.41,0.8645,3.0,14.0,1.9,81,4,0,0,3
P38e6db5ca1,1,14,6,6,1.0,10.0,24.0,14.0,4.63,0.8612,-1.0,13.0,3.0,75,,0,0,1
P0af0ac79ae,1,15,6,6,1.0,14.0,17.0,3.0,0.94,0.8595,4.0,16.0,0.9,81,,0,0,1
Pcc7ddb9ab9,1,16,6,6,1.0,11.0,22.0,11.0,3.69,0.8579,-1.0,16.0,3.8,81,4,0,0,1
P688b157768,1,17,6,6,1.0,15.0,21.0,6.0,1.8,0.8294,2.0,19.0,1.2,81,5,0,0,2
P2e6be7d23b,1,19,6,6,1.0,17.0,27.0,10.0,3.4,0.7776,9.0,24.0,4.1,82,4,0,0,1
P3f77f707c0,1,21,6,6,1.0,17.0,42.0,25.0,8.39,0.7742,-7.0,20.0,2.6,77,2,0,0,2
P920b587915,1,21,6,6,1.0,18.0,27.0,9.0,2.85,0.7742,4.0,25.0,1.4,82,4,0,0,3
Pfaef4e4fa0,1,24,6,6,1.0,20.0,32.0,12.0,4.02,0.7609,-7.0,25.0,4.9,77,,0,0,1
P6d3980e9f0,1,25,6,6,1.0,20.0,31.0,11.0,3.4,0.7592,-1.0,24.0,2.8,79,3,0,0,3
Pe581c6d22f,1,26,6,6,1.0,26.0,30.0,4.0,1.38,0.7274,11.0,29.0,1.7,76,2,0,0,2
