pid,rsci_top100,rsci_rank,rsci_n_ranked,rsci_n_services,rsci_frac_ranked,rsci_best,rsci_worst,rsci_range,rsci_std,rsci_total_norm,rsci_chg,rsci_avg,rsci_dev,hs_height_in,hs_pos_code,hs_to_nba,hs_prep_5th,hs_years_to_draft
Pba03162225,1,28,4,4,1.0,16.0,40.0,24.0,8.5,0.735,18.0,28.0,9.8,76,1.5,0,0,1
P9d5ce33ec0,1,30,4,4,1.0,29.0,35.0,6.0,2.49,0.7025,-15.0,31.0,2.9,81,4,0,0,2
P9fd480084b,1,32,4,4,1.0,30.0,36.0,6.0,2.45,0.69,-8.0,32.0,2.8,75,1.5,0,0,3
P3692b72eac,1,33,4,4,1.0,31.0,36.0,5.0,1.92,0.6775,-3.0,33.0,2.2,76,1.5,0,0,3
P46419801dd,1,28,4,4,1.0,18.0,38.0,20.0,7.36,0.7125,8.0,30.0,8.5,80,3,0,0,0
P4ebfdd4833,1,35,4,4,1.0,30.0,38.0,8.0,2.95,0.6625,-1.0,35.0,3.4,77,2,0,0,1
P54ce020bc4,1,38,4,4,1.0,32.0,51.0,19.0,6.76,0.6025,-5.0,41.0,7.8,82,4,0,0,4
Pc60f6451c1,1,39,4,4,1.0,34.0,56.0,22.0,8.44,0.5925,1.0,42.0,9.7,79,3,0,0,4
Pc131e1ee6f,1,41,4,4,1.0,41.0,51.0,10.0,3.94,0.56,3.0,45.0,4.5,78,3,0,0,3
P9052f13021,1,45,4,4,1.0,39.0,61.0,22.0,7.97,0.52,-3.0,49.0,9.2,77,2,0,0,5
P44ea7b86af,1,47,4,4,1.0,38.0,57.0,19.0,7.4,0.5125,5.0,50.0,8.5,75,1,0,0,3
P0edbaa5011,1,48,4,4,1.0,44.0,55.0,11.0,4.03,0.505,-3.0,51.0,4.7,77,2,0,0,6
P5c11762ec9,1,50,4,4,1.0,33.0,66.0,33.0,13.08,0.4825,48.0,53.0,15.1,77,3,0,0,1
P48772fff87,1,50,4,4,1.0,37.0,59.0,22.0,9.12,0.4825,-2.0,53.0,10.5,81,4,0,0,2
Pac178f1473,1,54,4,4,1.0,43.0,77.0,34.0,13.35,0.4625,-7.0,55.0,15.4,78,3,0,0,3
P04282e0cbf,1,56,4,4,1.0,46.0,77.0,31.0,11.38,0.42,-2.0,59.0,13.1,77,3,0,0,2
P13f00227af,1,59,4,4,1.0,53.0,68.0,15.0,6.2,0.4,0.0,61.0,7.2,79,3,0,0,4
Pe6c9de6d86,1,63,4,4,1.0,45.0,86.0,41.0,14.6,0.3375,0.0,67.0,16.9,77,2,0,0,2
P92095a9676,1,66,4,4,1.0,54.0,81.0,27.0,9.97,0.32,-11.0,69.0,11.5,80,,0,0,6
P07bb9cb58f,1,69,4,4,1.0,62.0,79.0,17.0,6.87,0.2875,0.0,72.0,7.9,77,3,0,0,5
Pd50729b5d0,1,74,2,4,0.5,41.0,62.0,21.0,10.5,0.2475,0.0,,,80,,0,0,1
P37457bff4f,1,76,2,4,0.5,33.0,83.0,50.0,25.0,0.215,0.0,,,76,2,0,0,1
P9f0e3aa432,1,79,4,4,1.0,77.0,94.0,17.0,7.23,0.195,-7.0,82.0,8.3,74,1,0,0,4
P30aaba02d5,1,81,3,4,0.75,56.0,95.0,39.0,16.01,0.1825,0.0,,,82,5,0,0,3
Pf213d802cd,1,86,3,4,0.75,67.0,100.0,33.0,13.64,0.1425,3.0,,,80,4,0,0,5
P836329e077,1,91,1,4,0.25,48.0,48.0,0.0,,0.1325,0.0,,,78,1.5,0,0,4
P82dc635a40,1,95,3,4,0.75,84.0,90.0,6.0,2.49,0.1025,-2.0,,,75,1.5,0,0,3
P5d94de4385,1,100,2,4,0.5,87.0,89.0,2.0,1.0,0.065,0.0,,,82,4,0,0,5
P6680e3073f,1,8,4,4,1.0,7.0,10.0,3.0,1.12,0.9273,-2.0,9.0,1.3,80,3,0,0,1
Pba698d642d,1,1,4,4,1.0,1.0,3.0,2.0,0.83,1.0,0.0,2.0,1.0,82,5,0,0,1
Pe0b660d280,1,2,4,4,1.0,1.0,4.0,3.0,1.12,0.9924,3.0,3.0,1.3,81,4,0,0,1
P388cb0d5da,1,3,4,4,1.0,2.0,4.0,2.0,0.83,0.9899,0.0,3.0,1.0,75,1.5,0,0,1
P35f0fb7731,1,4,4,4,1.0,1.0,4.0,3.0,1.22,0.9874,0.0,3.0,1.4,76,2,0,0,1
Pad0b972baf,1,5,4,4,1.0,5.0,6.0,1.0,0.5,0.9622,-4.0,6.0,0.6,83,4,0,0,1
Pc2d24d5902,1,6,4,4,1.0,7.0,12.0,5.0,1.87,0.927,7.0,9.0,2.2,76,1.5,0,0,1
Pa7dbf13041,1,7,4,4,1.0,7.0,13.0,6.0,2.49,0.9244,-3.0,9.0,2.9,82,4,0,0,1
P3c885ec031,1,7,4,4,1.0,5.0,21.0,16.0,6.8,0.9244,0.0,9.0,7.8,77,1,0,0,1
Pd1118f9ab3,1,9,4,4,1.0,7.0,13.0,6.0,2.29,0.9219,2.0,10.0,2.6,76,1.5,0,0,2
Pa3fa433740,1,10,4,4,1.0,9.0,13.0,4.0,1.5,0.9118,-2.0,11.0,1.7,75,1,0,0,1
P5b50a9b58b,1,11,4,4,1.0,6.0,14.0,8.0,2.95,0.9093,-2.0,11.0,3.4,79,3,0,0,1
P9adb5133bc,1,12,4,4,1.0,8.0,16.0,8.0,3.08,0.9068,-6.0,11.0,3.6,81,4,0,0,2
Pc51154c628,1,12,4,4,1.0,8.0,16.0,8.0,3.08,0.9068,-6.0,11.0,3.6,81,4,0,0,4
P0cd98a270c,1,13,4,4,1.0,8.0,17.0,9.0,3.27,0.8942,-3.0,12.0,3.8,76,2,0,0,1
Pb7d583a85a,1,14,4,4,1.0,9.0,17.0,8.0,3.27,0.8741,-7.0,14.0,3.8,79,3,0,0,1
P5480a34012,1,15,4,4,1.0,11.0,18.0,7.0,2.74,0.8665,4.0,15.0,3.2,80,4,0,0,2
Pc37129efde,1,17,4,4,1.0,15.0,19.0,4.0,1.79,0.8438,4.0,17.0,2.1,80,3,0,0,2
P7c29e11a29,1,18,4,4,1.0,16.0,23.0,7.0,2.86,0.8186,-1.0,20.0,3.3,81,4,0,0,3
P6232d5a44f,1,19,4,4,1.0,12.0,29.0,17.0,6.5,0.7985,-5.0,22.0,7.5,81,5,0,0,1
P6336d0d324,1,20,4,4,1.0,18.0,28.0,10.0,4.32,0.7884,-4.0,23.0,5.0,77,1.5,0,0,0
Pfce02776de,1,22,4,4,1.0,12.0,33.0,21.0,7.65,0.7758,4.0,24.0,8.8,74,1,0,0,2
Pc19f23edb3,1,24,4,4,1.0,14.0,35.0,21.0,7.65,0.7657,-4.0,25.0,8.8,80,,0,0,5
Pa6b76d042d,1,25,4,4,1.0,22.0,37.0,15.0,6.1,0.7506,-3.0,27.0,7.0,76,3,0,0,3
P396ba96b58,1,26,4,4,1.0,21.0,35.0,14.0,4.97,0.7406,-11.0,28.0,5.7,82,5,0,0,4
Pff631d1742,1,27,4,4,1.0,23.0,36.0,13.0,5.32,0.7305,1.0,29.0,6.1,80,3,0,0,2
P272ac40c3c,1,29,4,4,1.0,20.0,45.0,25.0,9.07,0.7103,14.0,31.0,10.5,78,3,0,0,1
P429838957d,1,30,4,4,1.0,21.0,41.0,20.0,7.11,0.7053,1.0,31.0,8.2,76,2,0,0,1
P2890042448,1,31,4,4,1.0,28.0,34.0,6.0,2.17,0.7028,-7.0,31.0,2.5,74,1,0,0,4
Pb3e461d4cf,1,33,4,4,1.0,25.0,39.0,14.0,5.07,0.6927,-6.0,32.0,5.9,77,2,0,0,1
P9e732e040b,1,34,4,4,1.0,29.0,42.0,13.0,5.12,0.6776,0.0,34.0,5.9,78,,0,0,3
P7699b7f669,1,36,4,4,1.0,30.0,39.0,9.0,3.35,0.6599,-1.0,36.0,3.9,77,3,0,0,1
Pe237a28a37,1,38,4,4,1.0,33.0,47.0,14.0,5.54,0.6322,-5.0,38.0,6.4,82,5,0,0,1
P6b5b70ee01,1,38,4,4,1.0,30.0,42.0,12.0,4.82,0.6322,-13.0,38.0,5.6,76,1,0,0,0
P3ff36ffdc1,1,40,3,4,0.75,20.0,25.0,5.0,2.16,0.597,0.0,,,77,1,0,0,1
Pe22f69b7a0,1,41,4,4,1.0,37.0,57.0,20.0,7.79,0.5768,1.0,44.0,9.0,79,,0,0,3
Pe275ca2256,1,42,4,4,1.0,36.0,54.0,18.0,6.5,0.5567,-1.0,46.0,7.5,81,4,0,0,5
Pe2f97b33d4,1,43,4,4,1.0,39.0,52.0,13.0,4.74,0.5542,-15.0,46.0,5.5,82,5,0,0,3
P5a277fef0e,1,45,4,4,1.0,25.0,75.0,50.0,18.1,0.5365,-6.0,48.0,20.9,79,3,0,0,0
P414be319a7,1,48,4,4,1.0,40.0,60.0,20.0,7.4,0.5189,-3.0,50.0,8.5,81,,0,0,5
P69549f38f2,1,50,4,4,1.0,47.0,60.0,13.0,5.24,0.4736,17.0,54.0,6.1,82,5,0,0,2
P18c14dbf8f,1,51,4,4,1.0,44.0,71.0,27.0,10.54,0.466,-8.0,55.0,12.2,77,3,0,0,4
Pc46db0f497,1,53,4,4,1.0,44.0,68.0,24.0,10.03,0.4458,-6.0,57.0,11.6,77,3,0,0,2
Pfc4c07b799,1,60,4,4,1.0,48.0,81.0,33.0,13.79,0.398,8.0,62.0,15.9,77,2,0,0,3
P8b8dcb5659,1,64,4,4,1.0,47.0,86.0,39.0,19.01,0.3426,-14.0,67.0,22.0,84,5,0,0,2
P6c19d2b0fb,1,68,4,4,1.0,56.0,84.0,28.0,9.94,0.3174,-8.0,70.0,11.5,80,5,0,0,2
Pa090759337,1,72,4,4,1.0,51.0,85.0,34.0,13.53,0.2997,15.0,71.0,15.6,76,2,0,0,2
Pedf3dd90d4,1,74,4,4,1.0,44.0,97.0,53.0,23.29,0.2972,0.0,72.0,26.9,80,3,0,0,6
Pb8bba3b38a,1,75,4,4,1.0,65.0,90.0,25.0,10.5,0.2393,-14.0,77.0,12.1,78,3,0,0,5
Pd5f2794063,1,76,4,4,1.0,74.0,81.0,7.0,2.86,0.2343,-1.0,78.0,3.3,74,2,0,0,4
P152905cef4,1,79,3,4,0.75,64.0,90.0,26.0,10.62,0.1839,-8.0,,,76,2,0,0,2
P086a09588e,1,81,3,4,0.75,60.0,91.0,31.0,13.02,0.1763,-2.0,,,79,3,0,0,5
P289da7f9c1,1,88,3,4,0.75,73.0,100.0,27.0,12.28,0.1385,-9.0,,,75,1,0,0,1
P3e1b393a8c,1,98,2,4,0.5,75.0,90.0,15.0,7.5,0.0932,0.0,,,74,1,0,0,3
P61afdc25a4,1,1,4,4,1.0,1.0,2.0,1.0,0.43,1.0,1.0,1.0,0.5,78,2,0,0,1
P64263ced9d,1,2,4,4,1.0,1.0,2.0,1.0,0.43,0.995,1.0,2.0,0.5,77,2,1,0,1
Pc3e0235987,1,3,4,4,1.0,3.0,3.0,0.0,0.0,0.9825,-2.0,3.0,0.0,83,,0,0,1
P5705590403,1,4,4,4,1.0,4.0,6.0,2.0,0.83,0.9599,8.0,5.0,1.0,79,3,0,0,1
P45a39b68c1,1,5,4,4,1.0,4.0,8.0,4.0,1.66,0.9574,2.0,6.0,1.9,80,3,0,0,1
P9e82692a6d,1,6,4,4,1.0,4.0,8.0,4.0,1.58,0.9524,-1.0,6.0,1.8,79,3,0,0,1
Pc97a1282a3,1,7,4,4,1.0,5.0,11.0,6.0,2.77,0.9348,2.0,8.0,3.2,76,1.5,0,0,1
Pf6213e9937,1,10,4,4,1.0,7.0,11.0,4.0,1.64,0.9148,0.0,10.0,1.9,77,2,0,0,1
P392363bcf2,1,11,4,4,1.0,8.0,12.0,4.0,1.66,0.9073,-7.0,11.0,1.9,81,,0,0,1
Pe728a39ea0,1,12,4,4,1.0,11.0,20.0,9.0,3.54,0.8722,4.0,14.0,4.1,81,4,0,0,1
P90b2305671,1,13,4,4,1.0,14.0,18.0,4.0,1.66,0.8571,2.0,16.0,1.9,76,2,0,0,1
P0a66817947,1,13,4,4,1.0,6.0,24.0,18.0,6.42,0.8571,10.0,16.0,7.4,75,1.5,0,0,5
P71a175d36d,1,15,4,4,1.0,15.0,17.0,2.0,1.0,0.8521,-8.0,16.0,1.2,82,4,0,0,1
Pe225c37146,1,16,4,4,1.0,13.0,20.0,7.0,3.5,0.8471,2.0,17.0,4.0,76,1.5,1,0,1
Pb1d56c9c96,1,17,4,4,1.0,12.0,27.0,15.0,5.76,0.8346,-6.0,18.0,6.7,81,4,1,0,1
Pa5128e8532,1,18,4,4,1.0,13.0,25.0,12.0,5.12,0.8271,-4.0,19.0,5.9,81,4,0,0,2
P1e1b55c58c,1,19,4,4,1.0,16.0,24.0,8.0,2.86,0.8145,-6.0,20.0,3.3,73,1,0,0,1
Pe28113186c,1,22,4,4,1.0,19.0,25.0,6.0,2.17,0.7895,-2.0,22.0,2.5,74,1,0,0,1
Pf0fd005549,1,22,4,4,1.0,19.0,25.0,6.0,2.17,0.7895,-2.0,22.0,2.5,74,1,0,0,1
P721d8fa8f9,1,23,4,4,1.0,15.0,34.0,19.0,7.7,0.787,1.0,23.0,8.9,77,2,0,0,1
P969b4447cc,1,24,4,4,1.0,21.0,27.0,6.0,2.6,0.7669,2.0,25.0,3.0,73,1.5,0,0,1
P3a5b76349f,1,25,4,4,1.0,16.0,33.0,17.0,6.42,0.7444,3.0,27.0,7.4,83,5,0,0,2
P87ada0d006,1,26,4,4,1.0,23.0,31.0,8.0,3.42,0.7343,-4.0,28.0,3.9,80,,0,0,1
Pebbeab0c5c,1,31,4,4,1.0,28.0,39.0,11.0,4.55,0.6992,24.0,31.0,5.3,78,3,0,0,4
P9580c6ee97,1,32,4,4,1.0,21.0,49.0,28.0,10.4,0.6642,11.0,35.0,12.0,81,4,0,0,0
P04c242f081,1,35,4,4,1.0,29.0,46.0,17.0,6.12,0.6316,-4.0,38.0,7.1,82,4,0,0,5
Pd4c3f94c64,1,37,4,4,1.0,33.0,58.0,25.0,10.46,0.6115,5.0,40.0,12.1,76,3,0,0,5
P07d140dc91,1,37,4,4,1.0,37.0,47.0,10.0,4.06,0.6115,-5.0,40.0,4.7,84,5,0,0,5
Pa0882490f6,1,40,4,4,1.0,32.0,53.0,21.0,7.78,0.6015,-4.0,41.0,9.0,78,3,0,0,1
Pc624860c4a,1,44,4,4,1.0,35.0,52.0,17.0,6.6,0.5514,0.0,46.0,7.6,80,3,0,0,1
P4e8883caf8,1,46,4,4,1.0,41.0,55.0,14.0,5.7,0.5313,-19.0,48.0,6.6,77,2,0,0,2
P416088a2b5,1,48,4,4,1.0,42.0,60.0,18.0,7.15,0.5288,-13.0,48.0,8.3,79,3,0,0,2
P737b0588be,1,50,4,4,1.0,32.0,68.0,36.0,12.97,0.5138,18.0,50.0,15.0,77,3,0,0,3
P218d8c92b9,1,51,4,4,1.0,45.0,65.0,20.0,9.76,0.4637,11.0,55.0,11.3,81,4,0,0,4
P539176b694,1,53,4,4,1.0,51.0,60.0,9.0,3.9,0.4486,0.0,56.0,4.5,79,,0,0,0
P2c7c71307b,1,57,4,4,1.0,48.0,69.0,21.0,8.58,0.3885,-3.0,62.0,9.9,75,1,0,0,4
P5698276a02,1,58,4,4,1.0,57.0,68.0,11.0,4.82,0.3835,2.0,63.0,5.6,80,3,0,0,3
P4cd6438cc3,1,63,2,4,0.5,26.0,51.0,25.0,12.5,0.3133,13.0,,,76,1.5,0,0,0
Pe1411c667e,1,69,4,4,1.0,55.0,89.0,34.0,12.62,0.2757,0.0,74.0,14.6,81,4,0,0,3
Pa2e8c74c1f,1,79,4,4,1.0,56.0,91.0,35.0,13.79,0.2155,-9.0,80.0,15.9,81,4,0,0,2
P4e35bd6add,1,80,1,4,0.25,19.0,19.0,0.0,,0.2055,0.0,,,78,,0,0,1
P98f1a6546b,1,83,3,4,0.75,63.0,100.0,37.0,16.39,0.1805,-9.0,,,76,1.5,0,0,5
Pa6029bb5a6,1,84,3,4,0.75,72.0,88.0,16.0,7.12,0.1729,-19.0,,,77,3,0,0,3
P16b88a2183,1,87,3,4,0.75,76.0,85.0,9.0,3.68,0.1529,-7.0,,,75,2,0,0,2
P3ebbedffb1,1,87,2,4,0.5,68.0,73.0,5.0,2.5,0.1529,-15.0,,,80,4,0,0,2
P9caa5193d5,1,89,3,4,0.75,78.0,88.0,10.0,4.11,0.1378,0.0,,,76,2,0,0,5
Pce7c8a9da0,1,91,1,4,0.25,48.0,48.0,0.0,,0.1328,0.0,,,78,3,0,0,2
P14882ceff6,1,93,1,4,0.25,54.0,54.0,0.0,,0.1178,0.0,,,80,4,0,0,2
P9fc884bebd,1,99,2,4,0.5,70.0,99.0,29.0,14.5,0.0827,-11.0,,,81,4,0,0,4
Pbfdaa31fd0,1,1,4,4,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,84,5,0,0,1
P20596267f7,1,2,4,4,1.0,2.0,3.0,1.0,0.5,0.985,2.0,3.0,0.6,76,2,0,0,1
Pfa7a6f2536,1,2,4,4,1.0,2.0,3.0,1.0,0.5,0.985,1.0,3.0,0.6,81,4,0,0,1
P12c0373e62,1,4,4,4,1.0,4.0,5.0,1.0,0.43,0.9675,0.0,4.0,0.5,81,4,0,0,1
P8be99fecd0,1,5,4,4,1.0,4.0,5.0,1.0,0.43,0.9625,-4.0,5.0,0.5,81,4,0,0,1
P70fa3dc827,1,6,4,4,1.0,6.0,12.0,6.0,2.6,0.935,1.0,8.0,3.0,80,3,0,0,1
P8c8d5105c2,1,6,4,4,1.0,7.0,8.0,1.0,0.5,0.935,4.0,8.0,0.6,72,1,0,0,1
Pc69570e4d2,1,8,4,4,1.0,6.0,13.0,7.0,2.5,0.915,10.0,10.0,2.9,79,3,0,0,1
Pa067c50f94,1,9,4,4,1.0,10.0,14.0,4.0,1.79,0.8925,5.0,12.0,2.1,75,1,0,0,1
Pd6b4848f72,1,10,4,4,1.0,8.0,15.0,7.0,3.03,0.8775,6.0,13.0,3.5,79,3,0,0,1
Pc5f6ac0bb7,1,11,4,4,1.0,11.0,22.0,11.0,4.39,0.865,8.0,15.0,5.1,81,4,0,0,1
Paf2b091294,1,13,4,4,1.0,7.0,28.0,21.0,8.53,0.8575,-5.0,15.0,9.8,81,4,0,0,1
Pf38ea886b7,1,15,4,4,1.0,7.0,33.0,26.0,10.28,0.8525,-6.0,16.0,11.9,77,1,0,0,4
P3bedf956bf,1,16,4,4,1.0,12.0,20.0,8.0,2.83,0.85,-4.0,16.0,3.3,79,3,0,0,3
Paac5dcb74c,1,17,4,4,1.0,14.0,19.0,5.0,1.8,0.845,-2.0,17.0,2.1,77,2,0,0,1
Pa95793f720,1,18,4,4,1.0,9.0,27.0,18.0,6.78,0.84,-12.0,17.0,7.8,78,3,0,0,1
P123f055136,1,19,4,4,1.0,18.0,21.0,3.0,1.12,0.815,-2.0,20.0,1.3,77,2,0,0,1
Pec93c68939,1,21,4,4,1.0,16.0,25.0,9.0,3.49,0.7925,-11.0,22.0,4.0,76,2,0,0,1
Pd5316f2e65,1,25,4,4,1.0,24.0,26.0,2.0,0.83,0.7575,1.0,25.0,1.0,78,3,0,0,1
Pf120e8dc11,1,31,4,4,1.0,29.0,37.0,8.0,2.86,0.6775,27.0,33.0,3.3,78,3,0,0,3
Pae46fa4aa5,1,32,4,4,1.0,32.0,40.0,8.0,3.46,0.67,-4.0,34.0,4.0,77,3,0,0,1
Peb3b7288c1,1,33,4,4,1.0,30.0,41.0,11.0,4.32,0.6675,0.0,34.0,5.0,78,,0,0,5
Pe21e6b7c7b,1,35,4,4,1.0,26.0,53.0,27.0,10.83,0.6575,-5.0,35.0,12.5,76,2,0,0,0
P4bbcd3bc18,1,38,4,4,1.0,29.0,51.0,22.0,7.98,0.5925,-3.0,42.0,9.2,80,4,0,0,3
P6b4a74f110,1,40,4,4,1.0,38.0,48.0,10.0,3.84,0.575,23.0,44.0,4.4,76,2,0,0,2
P76f8234113,1,44,4,4,1.0,29.0,68.0,39.0,15.85,0.5325,17.0,48.0,18.3,80,3,0,0,1
P0b253c1504,1,48,4,4,1.0,45.0,57.0,12.0,4.55,0.4875,6.0,52.0,5.3,76,2,0,0,2
P6ce9cb925d,1,52,4,4,1.0,45.0,79.0,34.0,13.55,0.4525,32.0,56.0,15.6,81,4,0,0,4
P1fe8b7c256,1,61,4,4,1.0,55.0,72.0,17.0,6.8,0.395,17.0,62.0,7.9,84,5,0,0,4
P98436c11b0,1,64,4,4,1.0,50.0,79.0,29.0,12.87,0.3675,6.0,64.0,14.9,77,3,0,0,4
Pc99b219586,1,66,4,4,1.0,58.0,76.0,18.0,6.69,0.355,-14.0,66.0,7.7,84,5,0,0,1
P694212af03,1,68,4,4,1.0,60.0,72.0,12.0,4.66,0.3425,0.0,67.0,5.4,73,1,0,0,4
Pa93866e530,1,70,4,4,1.0,55.0,84.0,29.0,12.87,0.3125,-8.0,70.0,14.9,76,2,0,0,3
P0fe65d2eb8,1,72,2,4,0.5,39.0,58.0,19.0,9.5,0.2625,0.0,,,83,5,0,0,2
P51e5ade0ce,1,75,1,4,0.25,10.0,10.0,0.0,,0.2275,0.0,,,75,1,0,0,2
P0db0d3c576,1,79,2,4,0.5,59.0,67.0,8.0,4.0,0.19,0.0,,,78,2,0,0,2
Pe3c0fc5a9e,1,90,1,4,0.25,48.0,48.0,0.0,,0.1325,0.0,,,80,4,0,0,1
P8379cd574e,1,91,3,4,0.75,80.0,88.0,8.0,3.77,0.1175,8.0,,,74,1,0,0,0
P367a636ba4,1,93,4,4,1.0,82.0,95.0,13.0,4.95,0.11,0.0,90.0,5.7,74,1,0,0,3
P32ff4229d3,1,94,3,4,0.75,82.0,92.0,10.0,4.11,0.1025,0.0,,,75,2,0,0,3
P9aef7770b8,1,94,3,4,0.75,74.0,94.0,20.0,9.43,0.1025,0.0,,,75,2,0,0,2
Pd742da0a27,1,1,5,5,1.0,1.0,5.0,4.0,1.36,1.0,4.0,2.0,0.8,80,3,0,0,1
Pdcc28d7d6b,1,2,5,5,1.0,1.0,8.0,7.0,2.61,0.9959,0.0,2.0,1.0,83,5,0,0,1
Pb4a7c38947,1,3,5,5,1.0,1.0,11.0,10.0,3.58,0.9858,8.0,2.0,1.0,77,,0,0,1
P2bc6f2a3aa,1,4,5,5,1.0,1.0,7.0,6.0,1.94,0.9837,4.0,5.0,1.4,82,4,0,0,2
P6e67770ba5,1,5,5,5,1.0,3.0,7.0,4.0,1.47,0.9776,21.0,5.0,1.5,80,3,0,0,4
Pada60a9da7,1,6,5,5,1.0,6.0,8.0,2.0,0.98,0.9573,15.0,7.0,1.2,84,5,0,0,2
P523c5eb5e6,1,7,5,5,1.0,5.0,15.0,10.0,3.5,0.9411,-3.0,7.0,1.5,75,2,0,0,1
Pf0ef0714b6,1,8,5,5,1.0,4.0,20.0,16.0,6.79,0.9167,-1.0,13.0,7.6,76,2,0,0,1
P7bf5b1ca03,1,8,5,5,1.0,9.0,13.0,4.0,1.33,0.9167,9.0,10.0,1.0,79,3,0,0,1
Pf85863f4bd,1,10,5,5,1.0,5.0,28.0,23.0,8.23,0.9024,-7.0,8.0,3.0,76,2,0,0,1
P664a2ede66,1,11,5,5,1.0,9.0,16.0,7.0,2.64,0.8923,-1.0,13.0,2.9,79,3,0,0,1
P1e59a7a7a1,1,12,5,5,1.0,7.0,22.0,15.0,6.37,0.8862,20.0,16.0,7.0,78,3,0,0,1
Paf99c23c4d,1,13,5,5,1.0,10.0,24.0,14.0,5.08,0.8801,-7.0,12.0,2.2,79,3,0,0,1
Pa813594724,1,14,5,5,1.0,9.0,19.0,10.0,3.26,0.878,10.0,16.0,2.2,78,2,0,0,1
P89e5a35bc7,1,14,5,5,1.0,13.0,18.0,5.0,1.85,0.878,5.0,15.0,2.4,80,3,0,0,1
Pfdcf13c664,1,16,5,5,1.0,10.0,27.0,17.0,6.52,0.8618,12.0,18.0,7.4,79,3,0,0,1
Pe356195976,1,17,5,5,1.0,11.0,24.0,13.0,5.22,0.8435,8.0,17.0,5.9,79,3,0,0,1
P84e9dcbb3e,1,18,5,5,1.0,16.0,22.0,6.0,2.58,0.8394,-2.0,18.0,2.9,82,5,0,0,2
Pf07b0c62fd,1,20,5,5,1.0,17.0,24.0,7.0,2.93,0.8211,3.0,21.0,3.2,77,2,0,0,1
Pd0d6a519f5,1,24,5,5,1.0,14.0,30.0,16.0,6.05,0.7907,-9.0,22.0,6.8,75,1,0,0,4
Pb4d81376d2,1,62,3,3,1.0,61.0,67.0,6.0,2.62,0.3633,22.0,65.0,3.2,81,5,0,0,0
P0035c2f0b3,1,34,5,5,1.0,36.0,42.0,6.0,2.42,0.626,2.0,40.0,2.2,77,2,0,0,1
Pb0cd5d409b,1,37,5,5,1.0,31.0,64.0,33.0,12.46,0.5874,6.0,46.0,14.0,85,5,0,0,2
P36a4ba5e62,1,43,5,5,1.0,41.0,61.0,20.0,7.47,0.5142,2.0,52.0,8.4,74,1,0,0,2
Pae3adc3ef4,1,44,5,5,1.0,33.0,77.0,44.0,16.43,0.5041,15.0,45.0,13.3,76,2,0,0,2
Pe60cc64195,1,46,5,5,1.0,41.0,75.0,34.0,12.56,0.4736,31.0,58.0,13.7,80,4,0,0,1
P1fc9b73472,1,47,5,5,1.0,39.0,94.0,55.0,19.77,0.4675,-7.0,45.0,4.2,74,1,0,0,4
Pd51160cf5e,1,50,5,5,1.0,42.0,75.0,33.0,13.57,0.4533,0.0,58.0,17.2,80,5,0,0,4
P6187cee451,1,52,5,5,1.0,42.0,77.0,35.0,12.22,0.4451,20.0,58.0,15.6,78,3,0,0,1
P2db6f2cc8f,1,61,2,5,0.4,2.0,26.0,24.0,12.0,0.3537,6.0,,,81,3,0,0,1
P328a9a467a,1,65,5,5,1.0,56.0,93.0,37.0,13.43,0.3415,-17.0,61.0,5.2,82,5,0,0,4
P9a144a10c5,1,71,5,5,1.0,63.0,90.0,27.0,11.72,0.2663,-1.0,72.0,12.5,73,5,0,0,1
P8d0ea24592,1,72,5,5,1.0,54.0,96.0,42.0,13.83,0.2642,14.0,,,75,2,0,0,4
Pa5e266180e,1,93,1,5,0.2,33.0,33.0,0.0,,0.1382,5.0,,,82,5,0,0,4
P9603a14b7f,1,93,5,5,1.0,81.0,94.0,13.0,5.39,0.1382,6.0,,,80,4,0,0,4
P49b4c451ec,1,97,1,5,0.2,35.0,35.0,0.0,,0.1341,0.0,,,76,1,0,0,3
P429241cb33,1,1,4,4,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,0.6,75,1,0,0,1
Pe083952d4c,1,2,4,4,1.0,1.0,5.0,4.0,1.48,0.9874,8.0,3.0,2.1,79,3,0,0,1
Pdbf2a4e286,1,3,4,4,1.0,3.0,4.0,1.0,0.43,0.9824,-1.0,3.0,0.0,78,3,0,0,1
Pa245962e52,1,5,4,4,1.0,1.0,7.0,6.0,2.49,0.9673,27.0,6.0,1.7,80,3,0,0,1
Pa5d4a8fef6,1,7,4,4,1.0,4.0,7.0,3.0,1.3,0.9573,-1.0,5.0,1.5,82,4,0,0,1
P9f04775c7a,1,8,4,4,1.0,8.0,12.0,4.0,1.64,0.9221,8.0,9.0,2.3,77,2,0,0,1
P2a77fa93f7,1,9,4,4,1.0,8.0,12.0,4.0,1.5,0.9196,11.0,10.0,1.7,78,1.5,0,0,1
Pa3f4257d20,1,12,4,4,1.0,10.0,13.0,3.0,1.3,0.897,6.0,11.0,1.5,72,1,0,0,1
P74240d498b,1,16,4,4,1.0,14.0,25.0,11.0,4.53,0.8342,-8.0,16.0,2.9,74,1,0,0,1
P8cc9424d6a,1,22,4,4,1.0,17.0,29.0,12.0,4.71,0.7663,0.0,24.0,6.1,80,3,0,0,1
