pid,draft_year,site,rank,ts
P9180c4596b,2023,espn_ba2,26,20230617151255
P1999b4880f,2023,espn_ba2,27,20230617151255
P0b253c1504,2023,espn_ba2,28,20230617151255
P51e5ade0ce,2023,espn_ba2,29,20230617151255
P144ed94c77,2023,espn_ba2,30,20230617151255
P664a2ede66,2023,espn_ba2,31,20230617151255
P1e59a7a7a1,2023,espn_ba2,32,20230617151255
P7bf5b1ca03,2023,espn_ba2,33,20230617151255
Pe60cc64195,2023,espn_ba2,34,20230617151255
Pa813594724,2023,espn_ba2,35,20230617151255
Pdcc28d7d6b,2023,espn_ba2,36,20230617151255
Pfdcf13c664,2023,espn_ba2,37,20230617151255
P6b4a74f110,2023,espn_ba2,38,20230617151255
Pf0ef0714b6,2023,espn_ba2,39,20230617151255
Pb4a7c38947,2023,espn_ba2,40,20230617151255
P0035c2f0b3,2023,espn_ba2,41,20230617151255
Pa4e79c2199,2023,espn_ba2,42,20230617151255
P71f8c1b48d,2023,espn_ba2,43,20230617151255
P9a144a10c5,2023,espn_ba2,44,20230617151255
P523c5eb5e6,2023,espn_ba2,45,20230617151255
P47a1cc70a3,2023,espn_ba2,46,20230617151255
P2db6f2cc8f,2023,espn_ba2,47,20230617151255
P6187cee451,2023,espn_ba2,48,20230617151255
Pc4ba85a58f,2023,espn_ba2,49,20230617151255
P5d94de4385,2023,espn_ba2,50,20230617151255
P96b57657ed,2023,espn_ba2,51,20230617151255
Pdd1f325a63,2023,espn_ba2,52,20230617151255
P7c2cc1d590,2023,espn_ba2,53,20230617151255
Pe1411c667e,2023,espn_ba2,54,20230617151255
Pa6029bb5a6,2023,espn_ba2,55,20230617151255
Pe8ffde2213,2023,espn_ba2,56,20230617151255
P3860306e22,2023,espn_ba2,57,20230617151255
Paf99c23c4d,2023,espn_ba2,58,20230617151255
P0e1f032d1f,2023,espn_ba2,59,20230617151255
P144ed94c77,2023,ringer,1,20230621224958
P51e5ade0ce,2023,ringer,2,20230621224958
P3d8ccdb639,2025,tankathon,1,20250624220212
Pf3b62cae3c,2025,tankathon,2,20250624220212
P4e09db2338,2025,tankathon,3,20250624220212
P07268bf0e1,2025,tankathon,4,20250624220212
P12ee990c18,2025,tankathon,5,20250624220212
P3ee6bf444e,2025,tankathon,6,20250624220212
P5f9ce00466,2025,tankathon,7,20250624220212
Pf54bd6bbc8,2025,tankathon,8,20250624220212
Pb9eccb67f7,2025,tankathon,9,20250624220212
P15b8c13058,2025,tankathon,10,20250624220212
Pf4e651b50c,2025,tankathon,11,20250624220212
P5699f03b57,2025,tankathon,12,20250624220212
Pcb16689c6c,2025,tankathon,13,20250624220212
P7ba2fa977b,2025,tankathon,14,20250624220212
P3f654a33fe,2025,tankathon,15,20250624220212
P318e86822c,2025,tankathon,16,20250624220212
P307cead4af,2025,tankathon,17,20250624220212
P1a135db58f,2025,tankathon,18,20250624220212
P32fecc73d2,2025,tankathon,19,20250624220212
P43b2e2aa2f,2025,tankathon,20,20250624220212
Pd8f68848a0,2025,tankathon,21,20250624220212
Pdde13713ff,2025,tankathon,22,20250624220212
P679974836f,2025,tankathon,23,20250624220212
Padf63a93ad,2025,tankathon,24,20250624220212
P8048267828,2025,tankathon,25,20250624220212
P884e8ee6b6,2025,tankathon,26,20250624220212
P24c85e006b,2025,tankathon,27,20250624220212
Pec8256037d,2025,tankathon,28,20250624220212
P6ddd309f80,2025,tankathon,29,20250624220212
P495dd3afc8,2025,tankathon,30,20250624220212
Pdec9ef7c46,2025,tankathon,31,20250624220212
Pa29e5f68db,2025,tankathon,32,20250624220212
P259fbebd69,2025,tankathon,33,20250624220212
P3651ab0a99,2025,tankathon,34,20250624220212
P9b4a07a3b9,2025,tankathon,35,20250624220212
Pad9c27fcb6,2025,tankathon,36,20250624220212
P155e770e32,2025,tankathon,37,20250624220212
Pc0a66d6cca,2025,tankathon,38,20250624220212
P49b4c451ec,2025,tankathon,39,20250624220212
Pf25d15a954,2025,tankathon,40,20250624220212
P16dc90cb0b,2025,tankathon,41,20250624220212
Pb7270acc46,2025,tankathon,42,20250624220212
P41ae7c3c75,2025,tankathon,43,20250624220212
P445f167264,2025,tankathon,44,20250624220212
P75527a2d8c,2025,tankathon,45,20250624220212
Pd4c3f94c64,2025,tankathon,46,20250624220212
Pc2ef5dcf11,2025,tankathon,47,20250624220212
Pb74dcb5e35,2025,tankathon,48,20250624220212
P694212af03,2025,tankathon,49,20250624220212
