pid,cmb_bench,cmb_bmi,cmb_body_fat,cmb_hand_len,cmb_hand_width,cmb_lane_agility,cmb_max_vert,cmb_mod_lane_agility,cmb_offdrib_att,cmb_offdrib_pct,cmb_onmove_att,cmb_onmove_pct,cmb_reach_minus_height,cmb_spot15_att,cmb_spot15_pct,cmb_spotcol_att,cmb_spotcol_pct,cmb_spotnba_att,cmb_spotnba_pct,cmb_sprint,cmb_stand_vert,cmb_wing_minus_height
P1bd862cc0f,10.0,23.8,,,,11.51,33.0,,,,,,25.0,,,,,,,3.19,26.5,3.0
Peca9b04dbf,3.0,23.64,4.0,,,11.77,33.0,,,,,,28.75,,,,,,,3.21,26.5,5.75
P2a8e69fc8a,12.0,24.79,5.3,,,11.57,37.5,,,,,,23.25,,,,,,,3.29,35.5,3.75
P563df84956,11.0,26.58,10.5,,,12.25,31.5,,,,,,26.0,,,,,,,3.35,27.0,4.25
P2ee25c689c,17.0,26.66,12.9,,,12.87,28.5,,,,,,29.75,,,,,,,3.5,27.0,6.75
P675a30c147,11.0,23.28,5.3,,,11.99,38.5,,,,,,25.75,,,,,,,3.15,30.5,5.75
Pdcd864f0fb,14.0,24.96,6.7,,,11.19,38.5,,,,,,23.75,,,,,,,3.15,33.0,4.75
P704a5fd478,12.0,25.62,6.7,,,12.05,36.5,,,,,,26.25,,,,,,,3.4,32.5,2.25
Pe0f44d3916,13.0,23.3,9.9,,,11.27,35.0,,,,,,26.75,,,,,,,3.12,32.5,5.25
P5303425662,12.0,24.93,8.0,,,11.06,40.0,,,,,,23.5,,,,,,,3.12,36.0,3.75
P842a2f3c2e,11.0,24.19,11.7,,,11.22,34.5,,,,,,23.75,,,,,,,3.43,28.5,1.25
