pid,traj_d_ast36,traj_d_blk36,traj_d_fg,traj_d_fg3,traj_d_ft,traj_d_mpg,traj_d_pts36,traj_d_reb36,traj_d_stl36,traj_last_gp,traj_last_is_peak,traj_last_mpg,traj_last_pts36,traj_mpg_growth,traj_n_seasons,traj_path,traj_slope_mpg,traj_slope_pts36,traj_years_span
P2061b46d22,2.148,0.098,-0.01,-0.005,-0.052,1.2,-0.565,-0.027,0.456,36.0,0,35.3,13.054,3.7,4,1,1.28,-0.346,3
P4048f3366a,-1.721,0.0,-0.001,-0.022,-0.002,1.8,1.126,-0.96,0.125,34.0,0,28.2,17.489,-2.3,3,1,-1.15,-0.58,2
P84e9dcbb3e,0.53,-0.227,-0.087,,0.123,3.6,4.74,-0.317,0.551,33.0,1,26.5,16.845,3.6,2,1,3.6,4.74,1
P4722b5d5ff,-6.686,-6.4,0.282,-0.51,-0.064,9.6,-76.8,-26.114,-3.029,43.0,0,12.6,12.0,-38.64,12,0,-3.018,4.005,15
Pcfa1d05a1c,-1.68,-0.122,-0.086,-0.088,0.001,4.5,-5.69,-0.86,-0.183,19.0,0,37.5,16.128,7.1,4,1,2.01,1.175,3
P10d6b2ba68,-0.122,-0.007,0.075,0.086,0.048,2.1,2.528,-0.214,0.141,30.0,1,34.5,15.861,3.5,4,1,0.8,-0.225,3
P1ea9c7c88d,0.976,-0.018,-0.003,0.047,-0.005,1.7,2.568,-0.835,0.364,36.0,1,33.1,20.338,11.7,4,1,4.1,2.516,3
P6a5f6ac2d8,,,,,,,,,,36.0,1,18.2,19.385,0.0,1,1,,,0
P0bcbee5c83,1.172,0.658,-0.025,0.005,-0.039,6.2,-1.967,1.297,0.736,35.0,0,31.9,19.185,29.3,5,1,7.56,1.747,4
P7222e0f90b,45.297,551.473,0.108,-0.02,0.035,0.05,,20.473,-3.264,23.7,,0.46,,-2.94,3,0,-1.472,,2
Pe8ffde2213,0.473,-0.734,-0.046,,0.038,1.7,-1.958,-2.475,-0.317,32.0,0,33.6,17.679,10.4,4,1,4.32,0.516,3
P816913601a,0.317,0.248,0.081,,-0.004,5.3,1.016,-1.028,0.431,22.0,1,31.5,19.429,17.9,5,1,4.43,0.989,4
P0a66817947,-0.2,-0.018,-0.015,0.008,0.05,1.8,-1.904,-0.705,-0.071,37.0,0,34.1,18.158,6.4,5,1,1.09,1.235,4
P70fa3dc827,,,,,,,,,,34.0,1,32.0,11.362,0.0,1,1,,,0
Pa33d5803eb,,,,,,,,,,33.0,1,31.8,15.962,0.0,1,1,,,0
P5bddeea434,-1.221,0.052,-0.027,0.01,0.047,-3.7,0.64,-0.909,-0.545,36.0,1,30.3,13.663,1.8,5,1,0.82,0.625,5
Pcb993abaa5,0.884,1.113,0.027,,0.073,1.9,-0.666,0.792,-0.011,30.0,0,26.3,14.236,1.9,2,1,1.9,-0.666,1
P866e6f90bf,-0.338,0.18,-0.046,-0.072,0.134,6.0,0.229,0.74,-0.398,26.0,1,36.1,16.853,6.0,2,1,6.0,0.229,1
P836329e077,-0.97,-0.009,-0.02,0.012,-0.024,2.2,2.515,0.138,0.241,21.0,1,31.3,19.093,1.4,3,1,0.7,1.479,2
Pfde95d41d3,-0.599,-1.656,0.003,0.047,0.167,4.1,3.392,-2.506,-0.086,35.0,1,31.5,15.086,16.1,4,1,5.41,1.44,3
P026aafcf31,-0.352,0.14,0.005,,-0.012,-0.6,-2.673,-1.156,-0.099,33.0,0,28.8,19.0,19.7,4,1,6.26,2.241,3
P71e4b2b4d3,0.541,0.113,0.032,-0.001,-0.076,-2.7,-0.665,0.596,-0.195,32.0,0,36.3,17.058,5.6,3,1,2.8,1.904,2
P0e11075372,0.097,0.195,0.067,0.021,-0.04,8.3,2.809,-0.546,-0.112,38.0,0,23.5,13.94,12.0,5,0,1.56,-1.416,4
P19a9559b15,-0.972,0.108,0.017,0.067,0.024,0.6,-1.433,-0.966,0.744,36.0,0,32.8,16.902,19.9,4,1,5.63,0.866,3
P03a04d0174,0.169,0.58,-0.045,0.056,-0.021,10.4,0.012,1.496,0.927,32.0,1,31.0,14.168,16.8,3,1,8.4,0.619,2
Pc7623d005f,0.259,-0.399,-0.068,0.0,0.032,1.9,-1.292,-2.966,-0.052,34.0,0,20.8,22.327,1.0,3,1,0.5,-1.473,2
Pae46fa4aa5,,,,,,,,,,32.0,1,29.6,16.662,0.0,1,1,,,0
P1044a073cf,0.771,-0.092,0.018,0.009,-0.049,-0.8,3.267,0.263,-0.031,31.0,1,32.7,19.817,-0.8,2,1,-0.8,3.267,1
P60e6add6f8,0.512,0.002,0.019,0.016,0.06,7.0,1.308,-0.922,-0.172,35.0,1,35.7,21.378,21.1,4,1,6.37,1.171,3
P6c257fc7cf,0.141,-0.382,0.022,-0.119,0.169,2.5,2.585,-0.252,-0.038,25.0,1,23.0,17.687,5.9,4,1,1.54,2.301,3
P1402e898dc,-0.375,-0.131,-0.015,-0.154,0.014,0.8,2.235,1.656,-0.469,37.0,1,33.5,16.657,0.8,2,1,0.8,2.235,1
P1ef5f1c321,,,,,,,,,,10.0,1,15.1,5.96,0.0,1,0,,,0
Pbccc770021,-0.45,0.093,0.013,0.011,-0.023,3.0,2.582,0.253,-0.229,30.0,1,34.9,14.544,3.0,2,1,3.0,2.582,1
P44154d877a,2.197,,0.068,0.17,-0.046,13.8,6.741,0.56,0.403,23.0,1,31.4,16.968,13.8,2,0,13.8,6.741,1
Pf18fe42b62,,,,,,,,,,38.0,1,30.1,15.548,0.0,1,1,,,0
Pdeabbe5993,2.96,-0.161,0.026,0.115,-0.148,15.6,6.493,1.308,-0.095,35.0,1,34.1,19.531,17.5,3,1,8.75,3.259,2
Pad0b972baf,,,,,,,,,,31.0,1,24.9,25.735,0.0,1,1,,,0
Pf5a8190f4f,-0.254,-0.095,0.019,0.001,-0.101,-1.2,-2.267,1.043,0.155,36.0,0,32.3,11.703,13.2,4,1,4.18,0.75,3
P5ed74be24f,0.142,-0.713,-0.074,-0.087,-0.03,0.8,3.177,0.991,-0.18,35.0,1,31.5,17.6,15.2,4,1,4.96,2.608,3
Pc44acb797a,0.145,-0.526,-0.012,,0.069,2.7,2.827,-1.007,0.013,21.0,1,30.0,22.08,2.7,2,1,2.7,2.827,1
Pa89859be17,1.725,-0.166,0.114,0.122,0.052,3.2,5.519,-0.119,-0.126,33.0,1,34.8,18.621,9.3,3,1,4.65,3.875,2
P15b4774186,2.676,-0.109,-0.028,0.018,0.034,2.5,2.81,0.648,-0.006,39.0,1,37.8,16.476,20.0,4,1,6.27,1.603,3
P688b157768,,,,,,,,,,40.0,1,28.1,13.964,0.0,1,1,,,0
P5da3d9ffcd,0.29,0.05,-0.032,-0.001,-0.032,3.7,0.818,2.935,-0.202,39.0,1,27.6,19.043,19.0,3,1,9.5,3.452,2
P1a8fd8dc98,1.291,-0.002,0.027,0.021,0.044,0.7,3.676,-1.275,0.359,31.0,1,37.0,20.238,16.5,4,1,5.19,2.069,3
Pc42b84faf5,0.978,0.103,0.002,0.061,0.021,2.9,-3.0,-0.771,-0.583,52.0,0,34.8,19.345,2.9,2,0,2.9,-3.0,1
Pf209014384,0.153,0.377,0.033,0.083,-0.049,2.9,1.942,0.209,0.16,33.0,1,36.6,18.393,3.3,3,1,1.65,1.899,2
Pa78dfd4260,0.173,-0.361,-0.074,-1.0,-0.135,20.9,1.547,1.151,0.194,36.0,1,30.5,9.797,27.9,4,1,8.48,2.798,3
P2bc89b6490,-1.462,,-0.078,-0.047,0.014,-1.0,0.955,-0.378,0.479,47.0,0,26.5,16.533,6.58,8,0,1.314,0.798,7
P721d8fa8f9,,,,,,,,,,27.0,1,25.5,15.953,0.0,1,1,,,0
Pff77feae98,,,,,,,,,,38.0,1,28.4,17.493,0.0,1,1,,,0
Pad180fa2f7,-0.098,0.013,0.045,0.028,0.11,-2.2,3.233,0.734,-0.063,34.0,1,33.8,18.533,0.0,4,1,0.34,2.049,3
Pf6db5ed983,-0.101,0.002,0.012,-0.024,0.012,-0.6,-0.345,-0.598,0.929,33.0,0,32.4,17.0,-0.6,2,1,-0.6,-0.345,1
Pe528778159,-0.033,-0.318,-0.027,-0.04,-0.015,1.2,1.88,-1.265,0.23,32.0,1,35.5,18.254,15.5,4,1,5.01,2.18,3
P47e2698d94,-0.847,-0.014,0.021,-0.055,0.086,1.9,7.502,2.332,0.765,31.0,1,32.0,19.463,0.4,3,1,0.2,3.693,2
P9052f13021,0.067,-0.007,-0.022,-0.059,0.074,0.8,2.654,-0.645,0.582,35.0,0,30.1,15.309,12.9,4,1,5.18,-0.136,3
Pfce02776de,2.473,-0.091,0.103,0.127,0.176,14.6,7.059,2.38,0.342,24.0,1,32.4,17.778,14.6,2,1,14.6,7.059,1
Pd1118f9ab3,1.12,-0.078,0.004,-0.043,-0.144,-3.5,0.594,-0.094,0.765,21.0,1,25.6,11.109,-3.5,2,1,-3.5,0.594,1
P02bad696ed,0.746,0.097,0.04,-0.029,0.087,2.4,-0.122,1.61,-0.51,29.0,0,30.8,22.442,14.5,4,1,4.41,1.521,3
Pdda2ebeb84,0.936,0.084,-0.021,0.131,-0.03,3.8,1.377,-1.015,0.601,31.0,1,30.9,13.864,15.8,4,1,5.65,0.377,4
P2c8aa67899,1.778,-0.008,0.102,0.123,-0.011,0.6,4.382,-0.055,0.406,30.0,1,33.0,15.382,15.9,3,1,7.95,3.796,3
Pc53511377b,1.255,0.257,-0.023,0.097,-0.114,7.2,0.817,2.783,-0.03,34.0,1,14.0,8.229,13.0,3,0,6.5,4.114,2
Pdd3a369707,1.231,0.529,-0.0,-0.128,-0.025,4.4,-0.376,0.744,0.151,31.0,0,29.2,16.027,2.5,4,1,0.42,0.446,3
Pd808e1b5f8,,,,,,,,,,29.0,1,13.0,13.015,0.0,1,1,,,0
Pc69570e4d2,,,,,,,,,,32.0,1,12.7,9.354,0.0,1,1,,,0
P9537391b0e,0.145,0.196,-0.045,-0.065,-0.017,0.8,-0.163,-0.454,0.073,34.0,0,34.1,20.27,17.5,4,1,5.55,3.635,4
Pf507011aa5,1.456,-0.043,0.017,0.003,0.023,5.0,1.55,-0.141,-0.149,32.0,0,31.7,16.921,14.0,3,1,7.0,-0.387,2
Pdd79d6ef7f,0.159,0.013,-0.084,-0.018,0.081,-1.3,2.815,-0.882,-0.068,37.0,1,32.3,14.601,-1.3,2,1,-1.3,2.815,1
P641ed83c9a,0.812,-0.321,-0.032,-0.082,-0.007,7.9,1.729,0.78,-0.378,30.0,1,33.0,23.673,10.1,3,1,5.05,3.269,3
P224fa713e4,0.441,-0.305,0.051,0.058,0.082,12.3,4.909,1.168,-0.588,34.0,1,32.9,20.462,18.3,4,1,6.05,3.851,4
P7075ac01b8,0.031,-0.477,0.072,0.249,-0.003,-0.3,4.166,-1.367,0.38,34.0,1,29.6,19.216,11.5,4,1,4.31,2.457,3
Pa8fc4b7ad7,-0.734,1.138,0.018,0.01,0.076,0.5,7.358,-0.24,-0.138,33.0,1,30.8,22.091,12.6,3,1,6.3,3.529,2
Pea7725adea,,,,,,,,,,34.0,1,35.7,13.008,0.0,1,1,,,0
P53698aab75,0.548,-0.137,0.034,0.054,0.032,1.9,6.769,0.767,-0.312,35.0,1,28.1,18.448,-0.2,4,1,-0.88,0.223,3
P1a46c41bff,0.248,0.249,-0.029,-0.2,-0.011,-0.3,1.21,-0.378,0.009,34.0,1,31.0,18.232,12.5,3,1,6.25,2.889,2
P4ebfdd4833,,,,,,,,,,37.0,1,32.6,15.46,0.0,1,1,,,0
P49b4c451ec,-1.733,0.002,0.029,0.053,-0.075,-0.5,2.496,0.059,0.134,38.0,1,29.9,14.93,0.5,3,1,0.25,1.71,2
P2c06075e55,-0.591,0.568,-0.002,-0.066,-0.073,0.2,-1.632,-0.869,0.108,30.0,0,31.2,18.923,5.2,3,1,2.6,0.738,2
P467d53ba82,0.306,0.587,-0.01,-0.019,-0.295,14.8,2.768,0.375,0.19,31.0,1,36.8,12.913,6.9,4,1,1.06,0.781,3
P88b9812a96,0.631,-0.503,0.015,1.0,0.074,2.8,-0.701,-0.526,0.643,35.0,0,30.8,16.013,19.9,4,1,6.32,1.263,3
P388cb0d5da,,,,,,,,,,22.0,1,34.9,19.083,0.0,1,1,,,0
P416088a2b5,2.442,-0.307,0.087,0.038,0.122,7.1,2.36,0.651,0.337,37.0,1,27.8,10.36,7.1,2,1,7.1,2.36,1
P2890042448,-0.583,-0.139,-0.031,-0.118,-0.016,7.2,-0.617,0.528,0.219,27.0,0,31.1,15.048,7.2,2,1,7.2,-0.617,1
Pc6c9992e46,0.159,-0.88,-0.049,,-0.044,-0.3,-4.242,-0.496,-0.298,26.0,0,23.2,15.672,10.8,4,1,4.32,2.306,3
P5828555cba,1.741,0.0,-0.019,0.079,-0.02,-6.1,-11.519,-0.725,-0.863,28.0,0,31.6,10.253,0.2,5,1,0.41,-0.754,4
Pb4e1522182,-0.111,-0.562,0.012,0.007,0.025,3.4,1.1,0.419,0.384,38.0,1,28.7,14.049,3.4,2,1,3.4,1.1,1
Pba698d642d,,,,,,,,,,3.0,1,23.0,30.835,0.0,1,1,,,0
P19aaf87bc8,-1.27,-0.146,-0.064,-0.019,0.087,1.4,-1.605,-0.864,0.42,34.0,0,31.5,13.943,21.2,3,1,10.6,4.001,3
Pcfae2f19b7,-0.231,0.04,0.058,-0.002,-0.019,-2.2,-2.83,-1.211,0.34,38.0,0,29.3,15.113,-2.2,2,1,-2.2,-2.83,1
P2dd8b69701,,,,,,,,,,24.0,1,36.7,24.523,0.0,1,1,,,0
P9fc884bebd,-0.608,-0.296,-0.084,,0.082,1.4,1.647,0.813,0.177,36.0,1,32.5,14.843,24.9,4,1,8.76,2.979,3
Pd00fce6a5a,1.402,-0.034,0.015,0.273,-0.138,9.0,-0.556,1.752,-0.803,34.0,0,32.4,13.444,11.6,3,1,5.8,-0.114,3
P96b57657ed,0.263,-0.36,-0.004,-0.036,-0.055,7.5,0.756,-3.508,-0.327,36.0,1,34.1,16.997,18.5,3,1,9.25,0.306,2
P297adbbd5f,-0.367,0.121,-0.069,0.094,0.027,2.3,2.159,2.127,0.369,31.0,1,31.3,18.173,2.3,2,1,2.3,2.159,1
P12fddfeea1,0.017,0.047,0.089,0.021,-0.149,-3.8,-0.058,1.565,-0.205,37.0,0,32.4,15.556,15.0,4,1,4.83,0.092,3
P88064c1c05,3.846,0.001,0.019,0.028,0.027,-0.2,5.223,1.35,0.115,31.0,1,33.0,20.945,12.2,4,1,4.04,4.28,3
P74a501a7bb,-0.038,-0.021,-0.001,0.004,0.1,-0.2,-3.364,-0.181,-0.024,34.0,0,19.5,64.615,16.0,4,1,4.77,-14.86,3
P34a08a87d4,1.529,0.091,-0.063,-0.017,0.049,4.6,2.781,0.957,0.045,30.0,1,33.1,12.508,4.6,2,1,4.6,2.781,1
P8d3cc27d9f,-1.189,-0.016,0.045,0.055,-0.064,2.1,3.77,-0.313,-0.547,35.0,0,32.3,19.505,-4.2,4,1,-0.74,0.152,4
P523c7506e7,,,,,,,,,,34.0,1,22.9,16.821,0.0,1,1,,,0
P71b16faf7a,0.513,0.136,0.068,0.118,-0.033,8.8,3.865,0.318,-0.402,37.0,1,35.5,19.775,8.8,2,1,8.8,3.865,1
Pe728a39ea0,,,,,,,,,,29.0,1,19.2,17.812,0.0,1,1,,,0
P9a2935e78c,0.935,-0.037,0.009,0.11,0.017,2.0,2.933,-0.559,-0.299,29.0,1,32.1,15.252,5.1,4,1,1.12,1.22,3
Pda6183deac,0.282,0.56,-0.077,-0.099,0.04,10.7,-0.147,0.098,0.351,35.0,0,29.5,18.427,16.9,4,1,5.34,0.04,3
P2318b539a3,0.727,0.394,-0.022,-0.048,-0.038,1.8,2.497,0.291,-0.175,30.0,1,33.4,16.168,9.0,4,1,2.65,1.74,4
Pe2f97b33d4,0.671,-0.561,-0.061,,0.102,3.7,0.908,-0.237,0.538,28.0,1,30.7,24.508,3.3,3,1,1.65,3.517,2
P2c6f1d319f,0.146,0.513,0.212,,-0.026,-3.8,0.432,-3.36,-0.059,27.0,0,9.8,11.02,-2.7,3,1,-1.35,-1.69,3
Pb9eccb67f7,,,,,,,,,,39.0,1,21.2,14.604,0.0,1,1,,,0
P3692b72eac,-0.376,-0.109,0.045,0.076,0.043,1.4,3.022,0.057,0.157,28.0,1,35.6,16.18,5.7,3,1,2.85,1.408,2
P0790a32ce5,0.357,0.112,0.049,0.023,0.02,-0.7,0.875,0.389,0.659,18.0,1,34.1,22.909,13.2,4,1,3.44,3.61,4
Pa0580e3001,-0.084,-0.178,-0.021,-0.044,0.09,5.2,2.117,0.855,0.116,27.0,1,32.0,16.088,12.0,4,1,3.46,0.401,3
P2db6f2cc8f,,,,,,,,,,14.0,1,28.1,19.345,0.0,1,0,,,0
P838aeb9cb6,,,,,,,,,,40.0,1,32.6,11.043,0.0,1,1,,,0
P26b4659b22,0.09,-0.65,0.006,0.048,-0.06,0.5,0.511,-1.251,0.115,36.0,1,29.6,20.676,8.7,5,1,2.31,2.294,4
P1c48d6e24b,0.873,-0.107,-0.005,-0.038,-0.038,0.4,-6.434,-0.473,-0.124,35.0,0,34.3,14.274,16.9,5,1,4.05,2.091,4
Pc58bcc8049,0.866,-0.052,-0.045,-0.074,-0.04,3.3,2.257,2.521,-0.834,34.0,1,34.2,17.053,3.3,2,1,3.3,2.257,1
P6cee28a4f3,0.832,-0.326,0.013,-0.093,0.047,1.2,0.427,-0.244,0.172,35.0,1,35.1,17.949,10.2,3,1,5.1,0.661,3
Pd5f2794063,1.325,0.113,-0.007,0.082,0.097,-0.5,1.213,0.068,0.553,37.0,1,33.4,17.461,12.2,4,1,3.5,1.206,3
Pbfdaa31fd0,,,,,,,,,,32.0,1,26.9,18.87,0.0,1,1,,,0
P173da90181,-1.436,0.166,-0.04,-0.075,0.162,2.4,2.761,0.162,0.779,32.0,1,33.4,19.832,2.4,2,1,2.4,2.761,1
P470eca3f49,-0.861,0.138,-0.002,0.126,0.045,-2.3,5.496,1.696,-0.013,29.0,1,31.5,22.857,-0.6,3,1,-0.3,4.924,2
P5b6cf4f1ea,0.647,1.458,0.005,0.333,-0.054,-2.0,-0.151,-1.237,0.147,34.0,0,22.2,3.568,7.9,4,1,2.86,0.012,3
P3ffd955342,0.508,-0.299,-0.018,0.021,-0.055,10.2,1.879,0.187,0.038,34.0,1,33.3,16.216,27.5,4,1,8.38,0.723,3
P67a293c7ae,0.436,0.011,0.025,-0.032,-0.018,-1.2,-1.448,1.238,-0.273,26.0,0,33.6,18.0,6.0,4,1,1.79,0.8,3
Pf6213e9937,,,,,,,,,,15.0,1,29.7,17.333,0.0,1,1,,,0
Pcf63b744fe,,,,,,,,,,23.0,1,32.3,19.839,0.0,1,1,,,0
P8b23f27bc8,-0.316,-0.395,-0.022,-0.016,0.039,-7.6,-1.105,-0.237,0.553,33.0,0,15.2,12.789,3.6,4,1,2.03,-0.203,3
Pf6658be174,-0.519,0.095,0.072,0.036,0.148,4.4,1.221,1.99,0.724,39.0,1,31.6,16.177,4.4,2,1,4.4,1.221,2
Paf6b5cd8b6,0.395,0.213,0.039,0.084,0.081,-2.0,3.631,0.333,0.139,33.0,1,35.6,23.258,25.5,4,1,8.81,4.942,3
Pc381c2ab50,0.813,-0.004,-0.071,-0.026,0.11,1.3,0.103,-0.429,0.359,37.0,1,36.4,19.385,5.9,4,1,2.18,1.278,3
Pe6009787c4,0.044,0.625,-0.102,,0.153,10.1,1.743,2.753,0.017,30.0,0,28.4,12.169,24.4,4,1,6.87,0.414,4
P5d94de4385,1.356,0.882,-0.046,0.133,0.026,0.5,-0.535,-1.669,-0.017,26.0,0,31.2,18.462,27.7,5,1,7.82,1.916,4
P9a144a10c5,,,,,,,,,,36.0,1,25.4,13.89,0.0,1,1,,,0
P6696ac3d31,1.026,-0.109,-0.085,-0.029,-0.072,1.8,-0.269,-1.157,0.242,17.0,0,37.9,13.393,31.1,4,1,10.33,1.325,3
Pc32fe4a167,0.439,0.272,0.018,0.063,-0.052,-7.5,4.58,-1.373,0.358,35.0,1,25.3,22.909,-3.0,3,1,-1.5,4.14,2
Pada60a9da7,0.538,-0.838,0.129,0.152,-0.078,16.4,2.738,1.727,-0.241,30.0,1,32.2,17.776,16.4,2,1,16.4,2.738,1
Pce627023f0,,,,,,,,,,34.0,1,29.2,18.863,0.0,1,1,,,0
P2b78ea748d,-0.794,0.874,-0.023,-0.14,-0.022,0.3,1.926,-0.105,0.655,21.0,1,32.4,21.889,20.3,4,1,6.77,1.985,3
Pb88771c23a,0.053,-0.032,0.001,-0.077,0.076,7.8,0.256,0.33,0.703,36.0,1,33.8,17.148,25.4,4,1,9.08,3.186,4
P6ce9cb925d,0.175,-0.249,0.009,0.0,0.166,-3.4,1.339,0.647,0.261,36.0,1,28.5,16.8,10.8,4,1,3.73,1.588,3
P11fb43c4ea,,,,,,,,,,38.0,1,31.2,14.308,0.0,1,1,,,0
Pfe5913c014,,,,,,,,,,10.0,1,26.8,17.194,0.0,1,0,,,0
Pb5da2dd439,,,,,,,,,,15.0,1,15.4,18.0,0.0,1,0,,,0
P5aa610b7ff,0.548,0.005,-0.073,-0.027,0.009,-0.5,0.296,-0.224,-0.188,34.0,1,33.9,20.389,8.2,4,1,2.35,1.5,3
P7fd9e8becb,0.372,0.285,-0.01,0.0,0.225,0.7,2.018,3.394,-0.055,35.0,0,18.2,11.275,-0.4,5,1,-0.33,-0.67,4
Pdcc28d7d6b,,,,,,,,,,32.0,1,19.8,9.818,0.0,1,1,,,0
P622332ff90,-0.453,0.094,0.037,0.138,0.03,2.3,-0.342,0.068,-0.103,33.0,0,38.1,20.976,13.8,4,1,4.4,1.832,3
P13f5a8ca49,1.042,0.173,-0.003,0.001,0.08,2.9,-1.483,-0.16,-0.343,34.0,0,33.8,17.041,24.5,4,1,7.61,2.634,3
Pd5316f2e65,,,,,,,,,,31.0,1,33.3,18.162,0.0,1,1,,,0
P43dec358d1,,,,,,,,,,35.0,1,28.5,20.337,0.0,1,1,,,0
P17aee771c1,1.245,0.203,0.062,0.226,-0.068,12.7,0.658,-1.198,-0.317,35.0,0,35.5,7.606,25.9,4,1,7.17,0.339,4
Peecc71d248,-0.161,1.165,0.095,-0.066,0.122,-3.8,2.128,1.2,0.183,37.0,1,28.1,21.651,4.6,3,1,2.3,4.085,3
P59007d3b10,-1.803,-0.191,0.012,0.049,0.106,-2.1,-4.268,-0.411,-0.265,37.0,0,34.5,13.043,20.2,5,1,4.44,0.781,4
P30169adef4,0.603,0.218,-0.001,-0.017,-0.129,-3.5,0.461,1.548,0.238,20.0,1,34.6,16.335,5.1,3,1,2.55,4.507,2
Pbb988d44ca,-0.062,0.451,-0.056,0.077,0.072,-0.6,0.319,-2.032,0.222,33.0,0,33.9,12.319,4.7,4,1,1.73,0.646,3
P6e7d02b021,,,,,,,,,,36.0,1,35.1,14.974,0.0,1,1,,,0
Pca926e63d0,-0.46,0.506,-0.061,-0.021,-0.051,2.2,-0.826,-0.506,0.156,32.0,0,33.0,11.564,10.0,4,1,3.37,0.821,3
P213b82c86a,-0.121,-0.265,0.054,0.151,0.171,4.6,3.806,1.389,-0.037,17.0,1,35.0,21.806,4.6,2,1,4.6,3.806,1
P9436ca936e,-0.398,0.225,-0.054,-0.004,0.071,-1.8,1.771,0.015,-0.036,33.0,1,33.6,16.821,1.4,4,1,0.52,1.797,3
P9d7519067e,0.117,-0.586,0.028,0.009,0.042,0.0,2.697,1.055,0.586,30.0,1,30.7,16.417,2.3,3,1,1.15,1.046,3
P6e67770ba5,1.652,0.125,-0.055,-0.227,0.099,0.1,-2.088,0.096,-0.134,37.0,0,28.2,10.596,10.8,4,1,3.15,0.586,3
Pae17b87a4a,,,,,,,,,,35.0,1,21.8,18.0,0.0,1,1,,,0
Pe1411c667e,0.533,-1.256,0.102,0.365,0.08,-2.7,5.119,-0.389,-0.159,39.0,1,26.5,23.366,9.5,3,1,4.75,3.954,2
Pc2faa1488c,0.451,0.181,0.032,-0.012,0.057,4.9,0.588,1.879,0.123,31.0,1,32.9,12.802,22.2,4,1,7.08,1.606,3
P2a1ab2724b,-1.605,-0.437,-0.012,0.067,0.036,5.1,-0.385,0.318,0.474,34.0,0,30.0,11.76,5.1,2,1,5.1,-0.385,1
P00193b3ed9,,,,,,,,,,35.0,1,27.1,21.387,0.0,1,1,,,0
Pc25108b74d,0.292,0.081,0.004,-0.063,0.0,1.1,-2.17,0.5,-0.402,35.0,0,31.7,17.83,5.0,5,1,1.17,-0.062,4
P3d136e77bf,-0.511,0.128,0.003,-0.075,-0.01,0.0,0.128,1.532,0.511,16.0,1,28.2,14.17,4.7,3,1,2.35,1.264,2
Pc7e0f691c6,-0.114,-0.007,-0.022,-0.041,-0.011,2.1,2.092,-1.294,-0.014,35.0,1,33.7,28.522,4.6,4,1,1.35,3.085,3
P63014948f5,0.202,0.404,0.059,0.16,-0.098,1.4,2.838,-2.536,0.284,31.0,1,32.9,21.009,7.3,3,1,3.65,2.489,2
P051c4d4903,0.62,-0.101,-0.075,0.0,-0.165,-2.7,-2.657,-1.374,0.149,31.0,0,25.5,6.918,12.9,3,1,6.45,-0.684,2
P4b73f3a250,0.384,0.213,0.04,0.006,0.017,1.5,0.514,1.003,-0.649,40.0,0,33.0,15.6,5.0,5,1,1.59,0.623,4
Pd907989bcb,0.612,-0.356,0.038,0.049,-0.007,-0.2,2.632,1.824,0.496,36.0,1,30.1,20.811,-0.2,2,1,-0.2,2.632,1
P9d84442310,0.367,-0.01,0.003,0.075,-0.001,3.0,6.133,1.549,0.061,24.0,1,34.9,22.384,3.6,4,1,0.95,2.484,3
Pb5f59c2405,0.084,-0.889,-0.1,-0.598,-0.066,8.1,-1.827,-0.767,0.329,33.0,0,33.2,13.663,17.5,4,1,5.08,1.529,3
P854bff0ae3,,,,,,,,,,24.0,1,31.9,11.85,0.0,1,1,,,0
Pac86c1698b,0.679,0.168,0.086,0.188,0.068,6.0,2.266,-0.684,0.243,34.0,0,21.4,12.785,-3.9,6,0,-0.689,0.096,5
Pae8a88e0e7,-0.26,0.0,0.003,-0.001,0.036,1.1,0.162,0.11,0.058,34.0,1,38.0,20.747,32.2,4,1,10.61,2.355,3
Pf54bd6bbc8,,,,,,,,,,33.0,1,31.8,16.981,0.0,1,1,,,0
P65b97df144,,,,,,,,,,27.0,1,17.3,19.561,0.0,1,0,,,0
Pbac78302af,-1.584,-0.141,-0.011,-0.128,-0.053,-3.2,-0.786,-1.5,-0.852,34.0,0,32.9,11.38,25.4,3,0,12.7,0.17,3
Pd9bc466fd2,0.713,-0.004,0.007,0.0,0.054,1.5,4.724,2.901,0.324,36.0,1,35.7,21.882,21.3,4,1,6.53,3.146,3
P6e0353adf2,-0.131,-0.126,0.04,0.005,-0.074,1.4,2.404,0.901,0.285,32.0,0,33.5,22.03,1.5,4,1,0.22,-0.123,3
P75585aef52,0.602,1.403,0.001,,0.146,3.1,8.894,2.545,0.049,34.0,1,28.6,25.552,3.1,2,1,3.1,8.894,3
P909613bae5,0.411,0.519,0.025,0.071,0.021,0.3,6.451,0.473,-0.11,10.0,1,34.4,22.709,19.3,6,0,3.457,1.639,5
P277650e4b3,0.646,0.061,0.017,-0.057,-0.036,1.7,1.259,0.981,0.368,33.0,1,34.0,20.541,5.6,4,1,1.71,2.044,3
P307cead4af,1.444,0.133,0.025,-0.009,-0.123,-0.3,-0.9,0.112,-0.343,37.0,0,30.5,15.58,23.2,3,1,11.6,1.379,2
Pb4d81376d2,0.997,1.0,0.151,,0.058,-6.7,5.186,3.462,0.59,35.0,1,19.9,17.367,7.3,3,1,3.65,3.826,2
P6f658be6bb,0.075,0.113,0.087,,-0.126,-1.4,2.213,-0.648,0.056,37.0,0,15.7,16.739,1.8,4,1,0.44,-0.082,3
