pid,traj_d_ast36,traj_d_blk36,traj_d_fg,traj_d_fg3,traj_d_ft,traj_d_mpg,traj_d_pts36,traj_d_reb36,traj_d_stl36,traj_last_gp,traj_last_is_peak,traj_last_mpg,traj_last_pts36,traj_mpg_growth,traj_n_seasons,traj_path,traj_slope_mpg,traj_slope_pts36,traj_years_span
Pdee21247bb,-0.278,0.001,0.062,0.059,0.065,-0.1,2.64,0.677,0.098,35.0,1,37.7,25.878,33.6,4,1,11.03,3.57,3
P648e1b1924,-0.633,0.171,0.037,0.057,0.176,-3.6,-1.31,-1.503,0.371,38.0,0,28.2,14.426,13.6,4,1,4.02,0.972,3
Pd9273beb4e,-0.937,-0.183,-0.002,0.002,-0.031,6.3,5.538,-0.045,0.073,39.0,1,33.4,17.892,6.9,4,1,2.47,1.528,3
P0acc99bae4,1.411,0.157,0.015,0.225,-0.038,6.6,7.197,-2.381,-0.446,22.0,1,22.9,17.135,6.6,2,0,6.6,7.197,1
P7200ebcdd8,,,,,,,,,,32.0,1,31.9,17.379,0.0,1,1,,,0
P76650bc6e2,,,,,,,,,,47.0,1,17.4,18.828,0.0,1,0,,,0
Pcf413465aa,0.12,-0.839,-0.09,0.0,-0.201,3.7,-0.066,1.005,-0.051,33.0,0,24.7,11.077,8.5,4,1,2.02,0.458,3
P9f0e3aa432,-0.205,-0.694,-0.054,-0.019,0.248,0.1,-3.522,-1.994,-0.498,31.0,0,36.4,18.593,6.5,4,1,2.1,0.334,3
P1dca1ecf2b,,,,,,,,,,40.0,1,30.8,17.532,0.0,1,1,,,0
P8eec131338,-0.628,-0.234,0.033,0.018,0.022,0.5,2.956,-1.695,0.2,33.0,1,31.7,17.148,13.1,3,1,6.55,2.574,2
P39e62f008f,0.831,1.042,-0.438,0.548,0.397,-4.7,9.385,7.327,0.826,35.0,1,7.0,18.0,-4.7,2,1,-4.7,9.385,2
P3e655a07ed,0.196,0.53,-0.047,0.263,0.095,8.4,4.981,1.035,0.832,36.0,1,27.6,16.043,10.1,3,1,5.05,2.262,2
P152905cef4,-3.018,-0.367,-0.082,0.169,0.1,19.1,-1.252,-0.351,-0.447,19.0,0,35.1,12.923,19.1,2,1,19.1,-1.252,1
Pdbf2a4e286,,,,,,,,,,32.0,1,21.4,14.804,0.0,1,1,,,0
P8d6369038a,0.232,0.182,-0.04,-0.092,-0.085,1.5,-3.203,0.383,-0.373,38.0,0,37.1,16.011,0.9,4,1,0.2,1.736,3
P4f181909b7,2.834,-0.216,0.064,0.272,0.002,3.3,4.152,-0.812,-0.215,36.0,1,33.2,15.831,3.3,2,1,3.3,4.152,1
P023bbe5ec1,1.236,0.068,0.091,0.206,0.055,3.1,2.216,0.964,0.491,37.0,1,31.9,21.216,6.5,3,1,3.25,1.679,2
P5f9ce00466,,,,,,,,,,34.0,1,30.2,20.384,0.0,1,1,,,0
P588407dc89,1.05,-0.395,-0.003,-0.018,0.034,2.9,4.029,1.004,0.406,20.0,1,31.9,21.781,21.9,4,1,7.29,3.732,4
P8e2f7481af,0.989,-0.155,-0.015,0.151,-0.108,1.92,2.753,0.225,0.038,38.0,0,18.92,16.518,8.42,4,0,1.276,1.022,3
Pc317d28310,0.399,0.27,0.053,0.037,0.036,-3.8,0.162,0.726,0.192,34.0,1,29.7,15.636,16.5,4,1,6.03,0.329,3
P2f4b26e6e1,-0.237,-1.121,0.055,,0.063,6.1,2.402,0.911,0.332,32.0,1,28.7,21.199,6.1,2,1,6.1,2.402,1
P04c242f081,-0.235,-0.114,0.067,0.086,0.012,6.6,5.807,-1.055,0.631,32.0,1,32.3,24.297,18.0,4,1,4.98,3.541,3
Pf4e651b50c,,,,,,,,,,37.0,1,19.3,12.124,0.0,1,1,,,0
P004efe3965,0.48,0.624,-0.015,0.019,0.111,0.8,1.869,1.015,-0.018,32.0,0,28.5,16.295,23.0,4,1,7.13,1.458,4
Peaf1686cc0,,,,,,,,,,34.0,1,22.2,16.378,0.0,1,1,,,0
P84dee8d837,,,,,,,,,,32.0,1,23.4,11.077,0.0,1,1,,,0
P88205fde52,-1.16,0.071,-0.037,0.077,0.128,4.9,3.924,1.482,0.504,30.0,1,32.8,19.537,5.4,3,1,2.7,4.25,2
P1ccfa6c1ee,0.547,0.09,0.016,,-0.023,0.3,3.025,-0.925,0.11,39.0,1,32.0,28.35,17.3,4,1,6.46,1.917,3
P12c0373e62,,,,,,,,,,34.0,1,28.8,21.125,0.0,1,1,,,0
Pa09bdf4e64,,,0.462,0.5,,2.4,13.091,,,14.0,1,4.4,13.091,3.4,3,0,1.7,6.545,3
Pfb1f04f295,-0.016,0.093,-0.005,-0.019,0.132,7.0,8.119,0.531,-0.35,33.0,1,38.7,21.86,14.5,3,1,7.25,4.608,2
Pf75af7bb1f,-0.595,-0.02,0.025,0.034,0.066,2.1,0.196,0.77,0.024,31.0,1,34.7,17.533,17.0,3,1,8.5,3.173,2
Pfc32d168da,-0.49,-0.26,0.005,,0.16,7.4,2.352,0.18,-1.101,24.0,1,27.3,21.89,15.9,3,0,7.95,4.156,4
P1100d011d0,0.452,1.233,0.055,-0.144,0.158,12.9,8.806,-0.179,0.155,32.0,1,26.4,24.273,14.1,3,1,7.05,6.575,3
P049f342950,-0.787,-0.154,0.036,0.102,0.014,-0.5,3.768,-1.685,-0.472,23.0,1,21.3,20.282,14.5,6,0,3.223,2.013,5
P5b50a9b58b,,,,,,,,,,18.0,1,12.8,9.281,0.0,1,1,,,0
Pe0ad9b9ce5,0.787,0.108,0.01,-0.015,0.016,3.7,1.191,-0.477,-0.382,23.0,1,32.3,20.954,8.2,4,1,2.49,4.275,3
Pa548aa166c,-0.783,-0.34,0.023,0.022,0.04,3.1,2.496,1.208,-0.526,37.0,1,33.2,17.566,21.8,4,1,7.0,2.253,3
