pid,tv_adjoe,tv_adrtg,tv_age_exact,tv_ast_pct,tv_ast_tov,tv_birth_month,tv_bpm,tv_bpm_is_peak,tv_d_adjoe,tv_d_adrtg,tv_d_ast_pct,tv_d_bpm,tv_d_efg,tv_d_ftr,tv_d_min_per,tv_d_ortg,tv_d_ts,tv_d_usg,tv_dbpm,tv_dgbpm,tv_dporpag,tv_drb,tv_drtg,tv_dunk_share,tv_dunks_pg,tv_efg,tv_first_bpm,tv_ftr,tv_gap,tv_gbpm,tv_gp,tv_home_intl,tv_home_state,tv_mid_pct,tv_mid_share,tv_min_per,tv_mp,tv_obpm,tv_ogbpm,tv_orb,tv_ortg,tv_pfr,tv_porpag,tv_pts,tv_rec_rank,tv_rim_pct,tv_rim_share,tv_role,tv_seasons,tv_slope_bpm,tv_stops,tv_three_share,tv_to_pct,tv_ts,tv_usg,tv_yr
P251ed0e7a3,119.521,93.5058,21.48,13.9,0.75270032,12,4.80001,0,-6.143,-3.688,-0.8,-0.501,0.3,10.6,0.6,-4.8,0.01,1.3,2.84421,2.1588,3.29521,19.1,97.493,0.179,0.8,55.3,3.71496,50.9,0,5.16885,35.0,0,VA,0.3281,0.201,65.2,26.1714,1.9558,3.01004,6.9,108.0,3.3,2.85957,13.2571,89.6,0.648,0.563,5,3,0.543,194.427,0.236,22.4,58.74,26.2,3
P5f3e1d9a7e,136.157,100.23,23.12,28.4,2.21588511,5,6.35241,,,,,,,,,,,,-0.425761,0.188555,3.56372,9.3,104.504,0.0,0.0,55.0,,38.3,0,6.55224,35.0,0,IN,0.359,0.273,86.5,34.7143,6.77817,6.36369,3.5,124.9,1.9,5.78979,17.3429,96.0,0.6098,0.287,2,1,,190.272,0.439,16.9,59.99,24.7,4
P09fcc624c4,124.895,92.0326,22.8,2.5,0.27029744,9,5.38423,1,29.079,11.419,0.2,0.339,23.8,18.2,40.0,24.3,19.09,1.1,1.54346,2.04474,3.07957,19.1,95.9421,0.357,1.258,61.9,0.536811,51.5,0,4.9854,31.0,0,TN,0.3667,0.303,50.3,23.6129,3.84078,2.94066,8.9,121.1,6.1,3.00531,10.2258,98.8,0.7826,0.581,7,4,1.548,151.315,0.116,15.8,64.31,18.7,4
Pd7225b3a0b,115.218,102.205,21.66,22.3,2.26411809,10,4.66757,0,5.537,8.73,0.4,-0.978,0.5,4.5,-10.5,3.9,-0.85,0.8,0.439722,0.599199,2.75356,11.5,106.446,0.095,0.273,50.0,-0.591801,46.8,0,4.46975,33.0,0,GA,0.1837,0.173,71.6,28.8485,4.22785,3.87055,5.9,109.8,3.3,2.71203,11.1515,86.0,0.6421,0.335,4,3,2.63,168.984,0.493,14.6,53.0,20.7,3
Pc01c642a9f,130.353,97.5017,21.95,35.4,2.6885041,7,5.76764,1,11.586,5.011,2.0,3.442,2.5,14.5,21.5,9.7,3.56,0.8,0.735823,1.77467,3.44752,9.0,104.397,0.016,0.061,44.6,1.23834,51.6,0,6.43021,33.0,0,TX,0.3456,0.358,76.6,30.8788,5.03182,4.65554,1.5,112.2,3.5,4.51241,15.0909,35.6,0.511,0.479,1,3,2.265,159.367,0.163,12.9,52.63,27.7,3
P6bc657fff3,124.751,98.3997,23.4,10.1,0.50589008,1,4.5646,0,4.108,3.398,-2.4,-1.362,-3.5,2.7,7.1,-0.3,-2.02,2.5,1.95944,0.512136,3.363,28.4,96.9989,0.155,1.226,53.2,-1.16762,51.4,0,5.94459,31.0,0,LA,0.2718,0.247,74.2,30.871,2.60516,5.43246,14.2,111.7,3.7,3.9295,18.5484,10.2,0.6744,0.619,7,4,2.042,223.865,0.134,17.1,57.07,29.1,4
P287f82c404,130.802,81.3397,22.52,14.6,1.25995264,12,12.6355,1,6.01,0.333,1.4,1.604,-1.7,-12.6,-5.7,4.1,-1.87,0.4,7.96888,5.1606,3.92774,25.6,86.4555,0.248,1.0,62.7,4.00099,38.9,0,10.1861,37.0,0,PA,0.4634,0.336,53.9,23.3784,4.66662,5.02545,11.3,122.2,4.2,3.46698,10.027,90.4,0.7143,0.66,8,4,2.973,218.729,0.004,16.2,64.16,21.3,4
Pa78dfd4260,123.151,94.5788,23.94,5.9,0.97443003,7,8.36073,0,-4.625,5.753,0.7,-1.927,-8.6,25.6,51.9,-8.6,-10.52,2.3,4.14662,2.46754,3.71796,18.7,101.77,0.451,1.667,68.8,-5.49071,99.4,0,6.11289,36.0,0,NC,0.2,0.065,75.8,30.5278,4.21411,3.64534,12.2,128.8,3.6,3.70631,8.3333,87.4,0.7222,0.935,8,4,4.468,224.026,0.0,14.9,66.17,13.8,4
P6f658be6bb,130.322,87.8869,21.7,5.8,0.5999704,10,6.55684,1,6.623,7.293,1.0,1.533,9.2,-9.5,-3.3,5.3,5.87,-0.2,3.03965,2.39881,2.28655,23.2,94.3667,0.3,0.865,60.6,2.77453,25.3,0,5.66139,37.0,0,CT,0.4211,0.388,39.2,15.7297,3.51719,3.26257,13.2,118.8,5.4,2.3066,7.3243,84.6,0.7727,0.561,8,4,1.216,112.442,0.051,12.0,61.1,23.2,4
Pe0da967ad1,117.267,98.6982,23.1,9.7,0.77780124,5,5.84157,0,5.554,5.54,-0.8,-0.013,2.4,-25.8,1.3,5.6,-0.29,-1.4,2.1909,1.84317,3.44708,10.0,100.618,0.09,0.395,58.3,3.6718,26.6,0,5.58503,38.0,1,,0.4149,0.237,79.5,32.0263,3.65067,3.74185,5.0,112.9,3.2,3.23999,14.1316,,0.6347,0.422,4,4,0.573,226.118,0.341,17.1,59.89,20.5,4
