pid,tv_adjoe,tv_adrtg,tv_age_exact,tv_ast_pct,tv_ast_tov,tv_birth_month,tv_bpm,tv_bpm_is_peak,tv_d_adjoe,tv_d_adrtg,tv_d_ast_pct,tv_d_bpm,tv_d_efg,tv_d_ftr,tv_d_min_per,tv_d_ortg,tv_d_ts,tv_d_usg,tv_dbpm,tv_dgbpm,tv_dporpag,tv_drb,tv_drtg,tv_dunk_share,tv_dunks_pg,tv_efg,tv_first_bpm,tv_ftr,tv_gap,tv_gbpm,tv_gp,tv_home_intl,tv_home_state,tv_mid_pct,tv_mid_share,tv_min_per,tv_mp,tv_obpm,tv_ogbpm,tv_orb,tv_ortg,tv_pfr,tv_porpag,tv_pts,tv_rec_rank,tv_rim_pct,tv_rim_share,tv_role,tv_seasons,tv_slope_bpm,tv_stops,tv_three_share,tv_to_pct,tv_ts,tv_usg,tv_yr
Pd01ecb3669,122.661,88.9148,19.69,34.8,1.61745724,10,7.01303,,,,,,,,,,,,2.65842,2.99503,4.64073,10.1,93.3072,0.198,0.892,50.3,,53.0,0,7.67192,37.0,0,NC,0.315,0.3,83.9,34.8108,4.3546,4.67689,2.7,108.7,2.2,4.41717,16.6486,99.8,0.6374,0.43,1,1,,247.229,0.27,24.2,56.18,26.9,1
Ped95bfcd7e,134.66,83.9437,21.69,37.5,1.36028349,10,11.3474,1,7.776,-4.8,11.7,3.129,2.3,-18.0,-15.6,1.0,-0.28,5.1,5.65301,4.40354,5.38624,23.5,87.8032,0.146,0.581,54.0,4.41249,39.8,0,11.2628,31.0,0,IL,0.4109,0.582,74.4,35.7419,5.69436,6.85921,7.4,108.9,3.1,6.02087,20.3871,90.8,0.7846,0.293,5,3,3.467,257.401,0.124,21.7,58.15,34.5,3
Pcc98298533,118.341,84.3641,19.69,7.3,0.38374508,10,8.828,,,,,,,,,,,,6.03311,3.77572,4.16348,20.2,88.5618,0.32,1.514,61.5,,47.6,0,7.4474,35.0,0,GA,0.3571,0.389,69.2,27.7714,2.79489,3.67168,12.5,109.0,3.8,3.13216,12.5714,100.0,0.7829,0.608,8,1,,235.754,0.003,22.9,62.31,21.8,1
Pb3be83363c,134.082,79.4436,19.69,9.2,0.487187,10,9.5315,,,,,,,,,,,,4.91907,3.54031,3.89846,24.9,83.3244,0.302,1.395,56.0,,72.6,0,9.54933,38.0,0,AL,0.3497,0.455,58.2,23.5,4.61242,6.00902,19.9,113.5,5.5,3.90491,15.1316,99.6,0.7619,0.528,8,1,,242.468,0.017,16.0,57.93,30.8,1
Pc58bcc8049,123.362,87.003,20.69,22.4,1.14286144,10,7.96374,0,1.311,1.5,3.6,-2.011,-4.2,-5.7,9.6,-4.4,-4.49,4.5,4.71849,3.4071,4.83737,25.2,93.1304,0.092,0.618,53.4,9.97442,54.3,0,7.78806,34.0,0,LA,0.3235,0.278,85.6,34.2353,3.24525,4.38096,8.6,106.8,3.0,4.47139,16.1471,98.6,0.6471,0.649,7,2,-2.011,266.081,0.074,20.8,56.68,27.5,2
P297adbbd5f,117.633,85.9556,20.69,9.1,0.41415375,10,6.47474,1,7.488,-1.247,0.1,1.185,-5.7,-0.5,3.9,-2.6,-4.05,5.6,3.81114,2.24252,4.42786,20.5,90.2827,0.277,1.484,47.1,5.28985,53.2,0,6.35565,31.0,0,GA,0.2741,0.361,76.4,31.2903,2.6636,4.11313,14.6,101.8,3.8,3.38288,15.8387,98.4,0.6474,0.463,7,2,1.185,237.061,0.176,20.6,52.4,27.8,2
P1402e898dc,123.638,85.0095,20.69,12.1,0.72942144,10,8.5747,0,-0.824,-3.41,-2.0,-1.736,-7.3,10.1,-1.7,-9.2,-4.58,5.2,4.65761,3.37007,4.9465,23.4,88.9765,0.156,0.514,52.7,10.3109,57.9,0,8.92134,37.0,0,,0.4416,0.211,81.2,33.4865,3.91709,5.55127,7.6,113.3,2.5,4.3908,15.4595,,0.6953,0.351,6,2,-1.736,258.749,0.438,17.5,60.13,24.4,2
P7f86ce09cc,115.602,92.7672,20.69,22.6,0.96627442,10,6.65875,1,6.912,-6.011,10.4,2.793,-4.7,-2.6,-12.6,-1.6,-1.12,6.0,3.25787,2.44215,4.02443,18.6,94.6435,0.208,0.643,51.0,3.86542,34.8,0,6.72555,28.0,0,CA,0.2683,0.234,72.6,33.1786,3.40089,4.28339,6.8,105.6,3.5,3.43996,16.7143,61.6,0.6604,0.302,5,2,2.793,210.186,0.464,20.8,57.22,27.3,2
P7e584efe40,122.431,77.7697,21.69,5.8,0.55354846,10,11.5905,1,-9.596,-2.648,-1.4,0.36,-3.6,13.8,-7.4,-7.4,-4.41,-1.2,8.45539,5.32901,4.6048,25.4,82.6828,0.262,0.889,56.2,7.55554,60.0,0,9.91695,36.0,0,MN,0.4101,0.525,66.4,26.75,3.13507,4.58794,13.6,116.9,3.8,3.38383,11.2778,94.8,0.7302,0.475,8,3,2.017,264.514,0.0,16.4,59.61,20.2,3
P10d0b75bed,121.29,86.8511,19.69,9.8,0.76809101,10,8.11852,,,,,,,,,,,,2.77288,2.71308,3.87329,11.5,92.3379,0.189,0.472,55.5,,32.5,0,8.15227,36.0,0,OK,0.3333,0.28,68.3,27.5,5.34565,5.43919,5.2,113.7,2.7,3.37062,13.4167,99.0,0.6667,0.254,4,1,,196.4,0.466,18.2,59.1,21.7,1
P8fac339738,117.694,88.0206,20.69,6.8,0.47825,10,7.48356,1,7.142,2.975,2.0,0.507,6.4,18.0,-3.3,3.0,7.54,3.9,5.63143,3.28661,3.81875,24.2,92.5656,0.54,1.13,57.8,6.9768,68.8,0,6.75973,23.0,0,VA,0.4621,0.725,43.0,27.8696,1.85214,3.47312,10.8,112.0,2.6,3.0751,13.4348,98.2,0.84,0.275,8,2,0.507,160.882,0.0,18.3,60.66,21.5,2
P3f25ee2633,129.198,89.6891,21.69,5.5,0.87811659,10,9.03538,1,-0.721,2.143,-7.7,0.199,0.4,-7.4,2.6,6.3,-1.31,-5.5,3.26307,2.60908,4.31612,13.4,94.0703,0.424,1.711,60.7,5.95019,34.8,0,8.69241,38.0,0,WV,0.3937,0.352,81.8,33.0263,5.77231,6.08334,10.6,129.5,1.9,4.93367,14.3158,98.2,0.8242,0.457,7,3,1.543,233.26,0.191,10.7,62.42,17.2,3
P502aba077e,123.657,89.0084,21.69,7.7,0.58620484,10,6.39769,1,19.27,2.103,4.6,4.989,3.0,3.3,-1.1,15.1,4.07,1.1,4.18088,2.14511,3.58619,25.2,89.8001,0.317,1.686,54.0,5.28017,45.5,0,6.32899,35.0,0,FL,0.3618,0.414,64.9,26.8857,2.21681,4.18387,13.1,112.8,4.4,3.51395,14.3714,29.4,0.6884,0.542,8,3,0.559,228.258,0.044,13.8,56.35,26.1,3
P6f36cd1fed,130.134,99.7318,20.69,10.9,0.88608553,10,4.80566,1,9.684,3.704,0.6,2.232,5.4,1.5,13.7,8.9,5.76,0.2,0.208481,0.677245,3.61933,19.1,103.76,0.104,0.364,54.0,2.57333,43.0,0,7.06417,33.0,0,NV,0.4712,0.564,93.2,37.5455,4.59718,6.38692,6.5,120.4,2.7,5.74256,22.0303,96.6,0.6261,0.233,5,2,2.232,246.614,0.203,13.9,61.23,26.0,2
P0d0da4d2bc,104.97,90.1418,19.69,16.8,0.95536839,10,4.20548,,,,,,,,,,,,2.45749,2.80539,3.91481,8.6,94.8649,0.055,0.162,54.0,,39.4,0,3.57411,37.0,0,AL,0.3088,0.222,73.1,30.3243,1.74799,0.768717,2.0,100.4,2.9,2.00502,11.3243,86.6,0.6545,0.359,3,1,,201.434,0.418,27.7,56.56,20.2,1
P871b04878c,108.707,92.7263,19.69,12.4,1.36537211,10,5.01655,,,,,,,,,,,,1.89782,2.18585,3.54334,6.6,97.7023,0.18,0.412,48.9,,17.9,0,3.98687,34.0,0,NV,0.4192,0.454,72.9,29.5,3.11873,1.80103,3.5,105.2,3.2,2.32709,11.6471,99.4,0.5281,0.242,3,1,,176.727,0.304,14.6,49.58,19.0,1
Pb46ac34cd7,139.179,93.4436,21.69,16.5,1.02563887,10,10.3259,1,8.027,-3.575,8.2,2.561,-4.6,14.4,1.8,-2.7,-2.71,7.1,1.93295,1.9736,4.03619,12.9,98.1485,0.13,0.667,53.2,3.70373,52.2,0,11.2388,33.0,0,AR,0.3763,0.188,84.8,34.0606,8.39294,9.26519,6.7,117.5,3.1,6.29412,22.2727,96.0,0.6359,0.372,4,3,3.311,217.438,0.439,13.1,59.61,30.7,3
P54e531f2ec,112.883,91.647,21.69,13.1,1.01468232,10,4.67665,1,-9.007,0.361,0.3,2.304,-4.9,-5.1,7.5,2.4,-3.82,-9.8,2.803,2.01775,4.32942,19.4,97.7414,0.551,1.094,45.0,1.57549,33.7,0,5.00182,32.0,0,NH,0.3721,0.659,86.5,35.125,1.87365,2.98407,6.6,103.0,2.3,3.25942,16.5,94.2,0.7681,0.151,7,3,1.551,232.463,0.19,13.8,49.8,25.1,3
Pd646388a2b,94.674,92.2923,20.69,7.4,0.79317622,10,1.8926,,,,,,,,,,,,1.04866,1.00059,1.945,9.9,97.6542,,0.0,47.6,,36.2,1,-0.150512,34.0,0,TN,,0.0,37.9,16.5588,0.843943,-1.1511,5.8,96.9,4.1,0.541985,4.2353,84.8,,0.0,,1,,95.4321,1.0,19.5,48.37,15.2,1
P780225999f,125.024,84.7981,22.69,17.4,1.30642577,10,9.71073,0,-6.069,-2.233,6.8,-0.741,-5.2,3.0,0.5,-10.3,-6.3,2.4,4.97777,3.74762,4.58017,20.4,88.4183,0.193,1.031,53.3,6.65475,47.4,0,10.0009,32.0,0,SC,0.2963,0.374,76.9,30.75,4.73297,6.25326,10.1,112.0,2.6,4.19352,15.1875,49.8,0.724,0.532,5,3,1.528,225.348,0.094,14.4,54.95,24.7,4
P38bff88a77,129.586,82.6558,22.69,6.1,0.47826942,10,8.29704,1,8.104,-2.777,-3.9,1.418,4.4,19.2,1.5,8.3,4.64,-1.5,3.2116,2.96923,4.68125,23.9,87.0914,0.199,0.853,54.4,6.98494,54.9,0,9.84608,34.0,0,TX,0.3678,0.415,74.8,30.2647,5.08544,6.87685,11.0,115.6,3.9,4.55615,17.9706,96.8,0.7285,0.36,7,3,0.656,274.792,0.224,14.1,57.83,25.5,4
Pa56ca2c36c,128.326,92.5581,21.69,24.4,1.23712323,10,8.39944,1,5.338,-4.405,-4.3,0.607,2.6,20.1,-1.3,4.9,4.49,1.8,2.49705,2.90286,4.49186,14.9,98.0138,0.081,0.333,50.3,6.0795,57.2,0,9.72485,33.0,0,,0.382,0.361,92.0,37.0909,5.90239,6.82199,3.6,110.1,3.0,5.44201,21.3636,,0.6892,0.3,3,3,1.16,235.792,0.339,16.0,56.22,30.2,3
Pdc16ca4e2e,136.381,90.5406,22.69,11.2,0.92646512,10,9.08287,1,18.649,-0.634,0.2,2.499,3.6,10.7,10.3,11.2,5.59,4.3,2.52308,2.16164,4.15014,15.0,95.2815,0.245,0.944,54.7,3.84925,48.7,0,9.55501,36.0,0,CA,0.4222,0.582,80.4,32.2778,6.55979,7.39337,10.3,123.0,3.1,5.65424,19.3056,94.0,0.7902,0.308,5,3,2.617,237.307,0.11,12.8,60.82,25.2,4
P4793f789c0,133.197,93.0911,22.69,35.3,1.87964446,10,9.15099,1,11.301,0.034,4.5,2.129,3.0,8.0,-0.7,5.6,3.83,2.8,1.45289,2.02008,4.07565,10.3,97.2737,0.037,0.125,49.7,5.34178,31.8,0,9.90935,32.0,0,MD,0.4171,0.417,84.8,34.3125,7.6981,7.88927,3.9,111.7,2.4,5.58704,20.0312,91.6,0.578,0.215,1,3,1.905,211.734,0.368,18.2,55.02,30.7,4
P4d2f3d5dbd,92.906,82.2573,19.69,5.0,0.39469999,10,7.38299,,,,,,,,,,,,8.03599,5.89644,2.0638,16.3,86.2755,0.372,0.342,52.7,,69.2,0,3.38527,38.0,0,OK,0.3696,0.505,32.7,13.2105,-0.652996,-2.51117,10.3,95.1,7.0,0.326064,3.3947,96.6,0.7209,0.473,8,1,,124.495,0.022,26.8,53.34,15.9,1
P7072c546bd,125.238,87.9087,22.69,11.2,0.77610879,10,6.70451,1,0.482,-5.127,3.7,1.692,-3.5,-5.9,0.6,-6.7,-3.58,5.9,2.62801,1.91301,4.39293,21.3,92.9318,0.072,0.294,49.5,4.08342,24.7,0,6.56603,34.0,0,NY,0.3421,0.37,79.5,32.2647,4.07651,4.65302,8.2,108.1,4.2,4.35997,18.1176,85.2,0.6667,0.268,5,3,1.311,240.072,0.362,12.9,53.63,29.6,4
P581e368d46,125.102,87.909,22.69,5.1,0.28333427,10,7.98227,1,-10.192,0.832,-0.2,0.585,3.8,-1.4,6.0,-4.9,-0.4,-3.5,4.07821,2.90896,2.60433,15.3,92.6265,0.294,1.176,65.4,3.98721,63.1,0,6.92241,34.0,0,TX,0.493,0.332,47.1,19.0588,3.90406,4.01344,16.6,113.1,5.6,2.57587,10.4412,76.6,0.7343,0.668,8,3,1.998,142.338,0.0,20.4,63.82,24.4,4
P830611c613,109.378,86.6836,19.69,1.8,0.11864228,10,4.96718,,,,,,,,,,,,7.27927,4.79387,3.73547,24.0,88.111,0.383,1.29,51.0,,58.8,0,6.72481,31.0,0,,0.3729,0.612,65.6,26.5484,-2.3121,1.93094,12.0,101.7,3.8,2.15312,12.7742,,0.7196,0.37,8,1,,231.982,0.017,16.4,53.55,24.9,1
P815e63680a,112.528,105.44,21.69,29.8,1.63967181,10,0.261264,0,-2.321,5.145,-1.9,-1.468,6.4,-5.9,7.4,0.2,3.65,-1.7,-1.55714,-1.49468,2.67198,7.7,109.698,0.071,0.212,50.8,1.34984,26.7,0,0.898222,33.0,0,NV,0.4658,0.544,86.4,34.8182,1.8184,2.3929,2.7,103.9,2.0,3.21428,15.6364,,0.6667,0.293,2,3,-0.544,173.207,0.163,20.8,53.24,26.4,3
P24b8a1c556,118.866,98.7003,20.69,9.1,1.10633701,10,3.18623,0,2.149,-5.24,-7.5,-0.262,-1.4,5.3,3.1,3.4,0.04,-0.7,-0.707417,-0.0825456,3.12905,9.9,102.774,0.2,0.4,49.8,3.44851,26.6,0,3.88655,35.0,0,TN,0.4372,0.41,77.7,31.5143,3.89365,3.9691,5.3,111.4,2.2,3.57334,15.1429,75.6,0.6,0.191,4,2,-0.262,177.929,0.399,10.7,52.63,22.4,2
P96ac6f0cd3,118.879,91.8276,21.69,29.3,1.53846676,10,7.57519,,,,,,,,,,,,3.20051,2.34829,4.15188,24.6,94.7402,0.102,0.457,48.4,,45.3,0,7.83583,35.0,0,UT,0.2587,0.326,83.3,33.5714,4.37468,5.48754,7.0,105.9,2.3,3.83509,15.8571,71.0,0.6257,0.427,5,1,,255.216,0.247,18.7,52.01,27.7,3
P7a82e40751,116.618,89.5768,22.69,23.9,1.74489297,10,7.52385,1,6.828,-3.636,6.8,1.323,7.0,13.9,13.9,9.5,8.43,0.5,1.57397,3.02303,4.30003,8.8,95.4256,0.042,0.029,60.3,6.20056,27.3,0,7.26213,35.0,0,,0.5333,0.102,81.2,32.4857,5.94989,4.23909,2.0,115.1,2.7,3.48272,12.1143,,0.5833,0.081,2,2,1.323,216.229,0.817,25.6,63.19,18.7,4
P27a3420564,130.059,93.608,22.69,19.6,1.07224916,10,8.84988,1,12.775,0.292,7.0,1.727,-2.9,13.4,13.7,-0.7,-0.84,9.4,3.21807,2.5281,4.27453,20.6,97.9116,0.172,0.844,51.9,3.66342,50.8,0,10.5376,32.0,0,CA,0.3991,0.461,90.3,36.25,5.63181,8.00951,7.9,110.3,2.2,5.55525,22.0,51.2,0.6774,0.368,5,3,2.593,252.206,0.17,13.6,56.04,31.0,4
P0aa146e53e,110.932,93.5608,19.69,19.1,1.03702143,10,3.57559,,,,,,,,,,,,1.94625,1.77217,3.29857,14.0,99.2715,0.106,0.441,46.2,,32.3,0,4.50684,34.0,0,NY,0.3287,0.39,67.6,28.2353,1.62934,2.73467,7.3,99.3,2.8,2.43413,12.3235,98.4,0.6556,0.411,4,1,,171.527,0.199,19.5,49.35,26.0,1
Pe03992058c,117.713,82.2186,22.69,6.2,0.45071492,10,9.49706,0,-0.214,-3.812,-0.5,0.108,4.0,18.2,8.4,0.7,2.89,-0.4,8.47454,5.65231,4.92257,23.1,85.0949,0.343,1.5,58.2,10.3871,66.5,0,9.02392,36.0,0,TN,0.4354,0.465,77.9,31.5,1.02252,3.37161,10.7,111.4,3.1,3.46068,13.7778,88.8,0.7101,0.535,8,3,-0.445,302.413,0.0,16.6,59.65,22.1,4
Pbd2eb786d3,130.16,90.45,22.69,19.2,1.74998598,10,8.37694,1,7.818,2.716,7.7,2.416,-0.9,11.9,5.3,9.1,1.05,-2.0,2.18245,2.43192,4.5473,15.4,97.556,0.056,0.132,48.3,4.25337,42.3,0,8.84105,38.0,0,NJ,0.3733,0.43,87.9,35.7368,6.19448,6.40913,5.0,117.8,2.4,5.42139,17.2105,78.8,0.6333,0.178,4,3,2.062,239.493,0.392,13.0,54.12,23.9,4
P966e81614a,116.045,87.3499,20.69,14.7,1.10666851,10,7.0297,0,0.872,1.575,-2.7,-0.428,-1.7,-1.5,-0.1,-0.8,-0.12,0.2,3.94521,2.72939,4.69745,18.0,95.485,0.074,0.294,46.2,7.45769,48.3,0,6.30875,34.0,0,CT,0.3423,0.473,75.1,34.1471,3.08449,3.57937,9.5,108.5,1.9,3.52806,12.0,91.2,0.6618,0.432,5,2,-0.428,222.548,0.095,19.4,52.69,20.6,2
P433bbb1ab7,121.506,89.141,22.69,10.1,0.5714223,10,5.40923,,,,,,,,,,,,3.97774,3.11858,4.0085,23.8,91.9166,0.403,1.735,55.3,,72.5,0,7.15173,34.0,0,FL,0.3729,0.535,74.9,29.9412,1.43149,4.03316,9.3,111.1,3.8,3.71772,15.6176,38.0,0.7597,0.465,8,1,,233.614,0.0,17.1,59.66,25.9,4
Pe82bc0553e,116.127,86.2233,21.69,3.6,0.19738418,10,2.08326,0,4.215,-1.582,-1.0,-1.082,-3.3,14.7,-8.3,-0.3,-2.14,1.3,1.81179,1.29078,3.71846,21.7,90.5136,0.323,1.286,52.3,0.548016,68.2,0,3.83865,35.0,0,GA,0.3269,0.486,64.6,25.9143,0.271477,2.54787,13.2,101.9,3.2,2.72432,13.1429,96.4,0.7134,0.511,8,3,0.768,205.769,0.003,18.2,54.11,26.0,3
P3d55371834,118.479,83.075,21.69,4.4,0.26230195,10,6.45588,1,11.174,-3.183,0.8,1.254,-0.6,21.4,8.6,7.6,3.25,1.9,6.00485,4.27718,3.95458,15.7,87.2086,0.36,1.188,53.4,-6.09304,54.6,0,6.87503,32.0,0,FL,0.3704,0.542,63.8,25.625,0.451032,2.59784,11.6,110.7,3.7,2.90133,11.6875,95.4,0.7281,0.458,8,3,6.274,176.318,0.0,19.7,59.63,22.2,2
P3daa0c9125,112.049,95.1486,22.69,5.9,0.41789301,10,3.07755,0,2.083,3.881,-3.4,-1.796,-2.4,-6.8,11.7,3.1,-2.32,-1.0,2.98507,1.11374,3.38273,18.3,97.3005,0.187,1.029,51.4,4.87352,38.3,0,2.65594,34.0,0,NC,0.3886,0.476,72.7,30.1471,0.0924807,1.5422,13.3,108.0,3.7,2.73387,13.8529,96.8,0.6269,0.524,8,2,-1.796,218.895,0.0,15.7,54.14,24.1,4
Pc62b6f4e46,133.077,98.6836,22.69,11.8,0.8703889,10,3.40135,0,-4.325,6.85,-2.5,-2.508,3.6,0.0,-13.0,2.9,3.21,-2.1,-0.551059,-0.905553,3.30814,24.2,103.004,0.07,0.333,50.6,5.07587,35.1,0,5.00716,30.0,0,IN,0.4157,0.503,69.9,32.9667,3.95241,5.91271,8.3,113.0,2.8,5.39459,21.7667,82.4,0.6608,0.337,7,3,-0.837,184.54,0.16,10.6,55.19,31.8,4
Pec2bc35d4f,117.427,105.153,20.69,28.2,1.07499674,10,1.85206,0,-6.634,8.277,9.2,-3.579,-6.5,12.4,-24.5,-15.2,-3.84,8.0,-1.33843,-0.399886,2.46932,9.6,109.865,0.024,0.048,50.0,5.43119,52.5,0,2.60052,21.0,0,TX,0.4426,0.252,53.6,31.9048,3.19049,3.00041,2.4,101.7,2.9,3.46867,16.3333,98.0,0.5833,0.347,2,2,-3.579,105.325,0.401,23.6,56.73,29.6,2
Pbbec177bac,123.174,95.6731,22.69,5.9,0.69446545,10,8.11588,1,7.109,-2.092,3.3,1.77,2.2,9.7,2.0,4.5,1.66,2.2,4.18444,2.27162,2.90442,17.8,95.1372,0.46,1.794,65.6,7.1523,44.1,0,6.20888,34.0,0,AR,0.35,0.284,65.3,26.5,3.93144,3.93726,13.5,129.2,4.4,3.39388,10.0294,,0.8129,0.659,8,3,0.482,192.491,0.057,14.0,66.82,17.3,4
Pe6ceea2b5e,108.217,95.1394,22.69,3.2,0.29547697,10,6.21528,1,13.652,4.087,-0.4,2.515,-0.5,-12.2,12.2,9.2,-1.38,2.6,6.40403,4.13097,3.17852,17.2,99.2266,0.557,2.129,58.2,3.34253,60.3,0,4.98734,31.0,0,CA,0.2857,0.325,70.3,28.2258,-0.188749,0.856372,9.3,109.6,4.0,2.19428,9.6129,86.4,0.7252,0.675,8,3,1.436,195.171,0.0,17.5,59.7,16.7,4
P544c115a68,99.4978,88.6577,22.69,10.1,0.68623872,10,2.4297,0,14.844,-0.778,2.2,2.132,5.1,-7.8,7.4,15.5,3.02,-1.4,2.71594,2.30064,3.06607,10.0,93.5205,0.07,0.161,49.1,2.76888,46.1,0,2.66302,31.0,0,FL,0.3854,0.575,54.8,22.7097,-0.286247,0.362376,9.9,97.5,2.6,1.08114,6.7742,82.0,0.6338,0.425,8,3,-0.17,117.284,0.0,23.2,51.58,18.3,4
P19913201dd,120.937,96.1812,22.69,29.6,2.0256745,10,6.03693,0,7.937,5.054,7.7,0.118,2.3,-4.1,-3.2,6.9,1.26,1.2,0.970243,1.40725,3.75991,11.7,99.176,0.093,0.294,51.5,6.37444,38.8,0,6.83193,34.0,0,TX,0.4306,0.37,85.9,34.3529,5.06669,5.42467,3.3,113.6,2.0,4.19765,15.2353,66.4,0.6355,0.275,2,3,-0.169,201.593,0.355,16.6,56.22,23.6,4
P4570803785,124.567,93.2708,22.69,24.4,1.89411715,10,4.49804,0,-0.502,-0.176,-4.6,-0.495,-0.1,-0.1,-5.6,5.6,0.75,-4.7,-0.607437,0.887038,3.9146,5.6,99.1631,0.0,0.0,50.7,5.786,31.8,0,5.7054,36.0,0,IL,0.3942,0.316,81.9,32.9722,5.10548,4.81836,0.8,114.8,2.0,4.41368,15.5,97.0,0.5648,0.249,2,3,-0.644,171.465,0.435,17.7,55.85,23.1,4
P11d27a665c,123.766,96.1872,20.69,8.5,0.4756117,10,3.36679,0,5.77,9.617,0.9,-1.965,-5.4,6.4,9.9,1.8,-2.93,2.9,1.16807,0.0276034,3.17384,14.7,102.136,0.228,1.061,52.4,5.33225,64.9,0,3.12157,33.0,0,NJ,0.3226,0.463,72.5,29.3333,2.19872,3.09397,12.2,110.0,3.6,3.82881,15.3333,99.4,0.7,0.537,8,2,-1.965,171.646,0.0,18.9,57.56,26.2,2
P467d53ba82,97.2216,92.2322,22.69,25.3,1.6949128,10,0.898213,1,3.819,-5.102,-3.6,0.707,-1.1,0.6,-25.2,7.1,4.06,-1.8,0.364351,0.884033,2.59821,9.7,97.8474,,0.0,45.2,0.191042,23.0,1,1.31394,29.0,0,NC,,0.0,51.5,22.0,0.533862,0.429907,2.5,96.3,2.1,0.917214,6.1724,78.2,,0.0,,2,0.707,116.187,1.0,26.6,48.89,18.2,3
Pebc69ca1f1,115.562,85.32,23.69,9.3,0.95162023,10,6.96419,1,5.087,-6.835,1.7,4.703,0.7,-15.6,-1.9,8.0,-0.48,-2.7,3.87128,2.52048,4.79231,19.4,90.719,,0.0,51.1,2.26159,50.8,1,5.71939,35.0,0,MA,,0.0,82.0,34.5714,3.09291,3.19892,10.5,110.0,2.3,3.55266,13.7143,90.2,,0.0,,2,4.703,249.245,1.0,14.5,53.4,20.5,4
Pcdba4ddbae,113.175,92.6748,23.69,4.2,0.59463078,10,3.69134,1,1.888,-2.85,0.4,1.799,0.4,5.3,44.8,0.0,2.82,1.7,3.25006,1.58203,3.47065,20.7,94.423,,0.0,50.4,1.89209,54.3,1,3.49145,33.0,0,MD,,0.0,74.4,30.0,0.441275,1.90942,9.1,115.9,3.2,2.88962,10.9394,,,0.0,,2,1.799,213.036,1.0,12.0,56.49,17.8,4
P9c4bb7f4c2,123.881,91.4031,21.69,26.8,1.34883316,10,7.89142,0,-4.309,0.206,-5.8,-1.266,0.9,-2.5,6.1,-1.0,-0.9,-1.0,2.84412,2.56077,4.5454,14.2,96.7294,0.178,0.533,47.3,0.82819,43.8,0,8.95323,30.0,0,MI,0.382,0.424,87.3,36.3667,5.0473,6.39246,5.9,105.2,1.6,4.77546,18.1333,92.8,0.6667,0.214,3,3,3.532,202.902,0.362,16.7,53.61,30.5,3
P06e60a886f,101.195,89.0685,23.69,8.5,0.71926805,10,4.93837,1,-5.391,-5.964,2.8,0.503,-10.6,6.6,3.5,-2.5,-10.02,-1.4,5.74162,2.87192,3.23337,21.3,91.7337,,0.0,45.6,4.4356,31.8,1,2.70405,35.0,0,NC,,0.0,62.6,25.2286,-0.803259,-0.167866,10.2,100.8,3.5,1.3897,7.7429,45.2,,0.0,,2,0.503,199.363,1.0,20.4,49.88,18.6,4
P29b17f6d68,121.499,94.7796,22.69,30.8,1.43680607,10,8.24453,1,4.74,-7.838,0.0,3.624,1.5,19.4,-7.2,8.0,2.65,-3.3,3.10004,3.52063,3.63797,13.4,92.2094,0.077,0.393,57.5,0.9173,69.1,0,8.84012,28.0,0,CA,0.3696,0.167,79.6,32.3929,5.14449,5.31949,3.2,113.3,3.6,3.95084,16.3571,15.0,0.6713,0.52,2,3,3.664,202.448,0.313,21.3,62.7,26.5,4
Pc9579c50f4,115.628,99.7171,22.69,22.1,1.51952165,10,2.53149,0,-6.213,3.786,1.6,-2.328,-11.1,21.9,9.9,-12.7,-7.33,7.6,-0.922453,-0.0568629,3.31132,9.3,101.071,0.017,0.061,47.5,4.85973,48.0,0,3.6139,33.0,0,,0.3333,0.221,78.2,34.8485,3.45394,3.67077,0.9,107.9,1.5,3.53588,17.0909,79.8,0.5083,0.285,2,2,-2.328,193.468,0.494,15.5,54.55,25.0,3
Pc781d37e72,109.209,99.7017,21.69,8.4,0.258075,10,-3.91597,,,,,,,,,,,,-1.04974,-1.16922,2.51791,25.0,99.0815,0.216,0.903,49.0,,75.8,0,-0.553208,31.0,0,,0.3661,0.456,64.7,26.0,-2.86623,0.616011,9.7,95.6,5.0,2.11041,18.7097,,0.6433,0.426,7,1,,178.004,0.117,22.0,53.17,34.6,3
P64a7a54879,110.997,84.548,22.69,13.5,0.50847119,10,4.60934,1,19.374,-9.098,-0.8,6.579,6.8,6.1,28.2,14.2,8.08,-1.5,4.04443,2.87037,4.91661,24.5,86.2673,0.106,0.676,45.8,-1.96989,56.5,0,4.63159,34.0,0,LA,0.2718,0.246,82.0,33.0588,0.564908,1.76122,9.5,97.0,4.0,2.87814,16.0882,,0.572,0.565,5,2,6.579,259.788,0.189,21.5,51.59,29.7,3
P8030960284,121.916,107.982,21.69,18.8,1.15553847,10,1.47076,0,-2.085,3.798,-0.2,-2.422,-1.0,-5.0,2.8,-5.4,-1.18,2.7,-2.38939,-1.55739,2.38504,9.0,111.025,0.084,0.242,53.4,0.844147,37.7,0,2.57904,33.0,0,NC,0.4114,0.37,87.0,34.8182,3.86015,4.13643,1.4,111.8,3.0,4.37283,20.3333,34.4,0.6729,0.226,3,3,0.313,181.873,0.404,16.2,58.66,26.8,3
