pid,txt_athlete,txt_athlete_per1k,txt_breakout,txt_breakout_per1k,txt_character,txt_character_per1k,txt_defender,txt_defender_per1k,txt_exists,txt_hype,txt_hype_per1k,txt_injury,txt_injury_per1k,txt_left,txt_left_per1k,txt_national,txt_national_per1k,txt_nba_family,txt_nba_family_per1k,txt_negative,txt_negative_per1k,txt_playmaker,txt_playmaker_per1k,txt_positive,txt_positive_per1k,txt_prep,txt_prep_per1k,txt_pro_family,txt_pro_family_per1k,txt_projected_pick,txt_refs,txt_sections,txt_shooter,txt_shooter_per1k,txt_size,txt_size_bytes,txt_size_per1k,txt_tone,txt_transfer,txt_transfer_per1k,txt_words
P2297a93a7f,0,0.0,0,0.0,0,0.0,0,0.0,1,2,4.751,1,2.375,0,0.0,3,7.126,0,0.0,0,0.0,1,2.375,2,4.751,0,0.0,0,0.0,,9,5,0,0.0,0,8096,0.0,0.4,0,0.0,421
P22993a7ac8,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22add316a5,0,0.0,0,0.0,0,0.0,0,0.0,1,1,7.299,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.299,0,0.0,0,0.0,,4,2,0,0.0,0,2925,0.0,0.25,0,0.0,137
P22b18d36a6,0,0.0,2,2.125,2,2.125,0,0.0,1,5,5.313,0,0.0,0,0.0,0,0.0,0,0.0,1,1.063,9,9.564,9,9.564,0,0.0,0,0.0,,6,9,14,14.878,0,8714,0.0,0.615,0,0.0,941
P22c8154970,0,0.0,2,1.759,0,0.0,7,6.157,1,7,6.157,0,0.0,0,0.0,46,40.457,0,0.0,3,2.639,11,9.675,13,11.434,0,0.0,0,0.0,,19,11,1,0.88,0,13114,0.0,0.526,0,0.0,1137
P23152d31e2,0,0.0,2,3.466,0,0.0,1,1.733,1,0,0.0,0,0.0,0,0.0,9,15.598,0,0.0,1,1.733,0,0.0,10,17.331,0,0.0,1,3.466,,19,7,3,5.199,0,9682,0.0,0.643,0,0.0,577
P2320c27578,1,1.074,0,0.0,0,0.0,1,1.074,1,16,17.186,0,0.0,0,0.0,12,12.889,0,0.0,0,0.0,1,1.074,7,7.519,0,0.0,1,5.371,,16,7,3,3.222,0,11315,0.0,0.7,1,1.074,931
P23d9f5804f,0,0.0,0,0.0,0,0.0,0,0.0,1,1,1.333,0,0.0,0,0.0,8,10.667,0,0.0,2,2.667,0,0.0,2,2.667,0,0.0,1,1.333,,23,7,0,0.0,0,11190,0.0,0.0,0,0.0,750
P23f1ba707f,1,0.237,4,0.947,0,0.0,10,2.368,1,35,8.288,4,0.947,0,0.0,16,3.789,1,0.474,2,0.474,7,1.658,30,7.104,1,0.474,1,0.71,,219,14,8,1.894,0,78267,0.0,0.8,0,0.0,4223
P243742fc34,0,0.0,0,0.0,0,0.0,3,16.949,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,22.599,0,0.0,0,0.0,1,5.65,,0,1,0,0.0,0,1134,0.0,0.0,0,0.0,177
