pid,gt_ratio,gt_peak_ratio,gt_last30_ratio,gt_trend,gt_zero_share,gt_days_above10,gt_topic,gt_class_pct
P90b2305671,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P2e38feab3a,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pcc9fe4d64c,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P6ddd309f80,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P7ba2fa977b,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pb07d6373bb,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P8961a7643a,0.0022,0.01,0.0,0.989,0.983,0,0,0.667
Pd88150bb39,0.0028,0.01,0.0031,1.011,0.983,0,0,0.6
P3a3a5bbbef,0.0023,0.01,0.0,0.968,0.977,0,0,0.771
Pa12a517258,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P19ae0a39ff,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P35654567c0,0.0031,0.01,0.0,0.938,0.966,0,0,0.761
Pc3e0235987,0.0156,0.04,0.0091,0.943,0.933,0,0,0.907
P6b4a74f110,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pfd3b474513,0.0016,0.02,0.0,0.968,0.989,0,0,0.681
P2511a36f77,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P7f3328bd09,0.0,0.0,0.0,1.0,1.0,0,0,0.0
