pid,draft_year,was_drafted,actual_pick,ctx_base_gp,ctx_base_minutes_share,ctx_base_usage,ctx_base_efg,ctx_base_ts,ctx_base_orb,ctx_base_drb,ctx_base_ast_pct,ctx_base_tov_pct,ctx_base_ftm,ctx_base_fta,ctx_base_ft_pct,ctx_base_fg2m,ctx_base_fg2a,ctx_base_fg2_pct,ctx_base_fg3m,ctx_base_fg3a,ctx_base_fg3_pct,ctx_base_blk_pct,ctx_base_stl_pct,ctx_base_ftr,ctx_base_fouls40,ctx_base_ast_tov,ctx_base_rim_made,ctx_base_rim_attempts,ctx_base_mid_made,ctx_base_mid_attempts,ctx_base_dunk_made,ctx_base_dunk_attempts,ctx_base_mpg,ctx_base_oreb_pg,ctx_base_dreb_pg,ctx_base_ast_pg,ctx_base_stl_pg,ctx_base_blk_pg,ctx_base_pts_pg,ctx_base_three_share,ctx_skill_defense_discipline,ctx_skill_creation_control,ctx_skill_usage_efficiency,ctx_skill_ft_volume
P43e7adb565,2005,1,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdacd6ab94d,2005,1,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P63a21fbef6,2005,1,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P74b71b0d31,2005,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P83f12f36b1,2005,1,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1378011126,2005,1,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2b78092e41,2005,1,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pbb4d6101de,2005,1,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1dfb3826fd,2005,1,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38dadf836a,2005,1,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb5af3844f5,2005,1,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0820723beb,2005,1,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P927dcf71a8,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf4d757d073,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5840594df8,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5b1d935a26,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc067530e3e,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P21b2b49a34,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb87f242f46,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd650e439a2,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5104e01e75,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P32b8c3a5cb,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pbe0a02c2fd,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa68189cdce,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pef98a54ad0,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3928bad8a7,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb945050559,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf0c178cb1c,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7f2c8eb929,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd7ea309dee,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16dd82b034,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc1044ed1f5,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P103e95dd1f,2008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb8998ddf4a,2006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P403a83bdf0,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdf59a363f3,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7363f8a8b4,2006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6f687d1dcc,2006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1259ebdf13,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1605b30cec,2007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa09c3091c5,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P187b6721ca,2002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdbacaefe1b,2003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9e0485e8f6,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6d9b6a98b1,2002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd72f71c2bb,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb9c495a67d,2015,1,3.0,38.0,72.8,27.6,66.4,64.14,14.8,18.2,9.4,18.2,99.0,194.0,0.51,279.0,420.0,0.664,0.0,0.0,0.0,4.5,1.5,46.2,2.8,0.5158,213.0,270.0,66.0,150.0,64.0,67.0,30.0789,3.5263,4.9474,1.2895,0.7632,1.4211,17.2895,0.0,1.5789473684210529,0.4895833333333333,1.0746400000000005,2.689229774867511
P3e493925a2,2015,1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9a02cf437c,2015,1,24.0,39.0,84.2,19.9,48.9,57.49,1.8,9.9,27.5,17.4,144.0,162.0,0.889,88.0,200.0,0.44,47.0,124.0,0.379,0.2,2.7,50.0,1.4,2.8552881,51.0,87.0,37.0,113.0,0.0,0.0,33.8974,0.4872,3.0256,5.5641,1.5128,0.0769,11.8205,0.382716049382716,1.2083333333333337,1.4945652173913044,-0.0074900000000001,4.528343928517212
Pb067831a66,2015,1,21.0,26.0,52.8,22.0,57.2,60.97,3.1,14.5,14.0,13.2,64.0,82.0,0.78,56.0,117.0,0.479,47.0,104.0,0.452,2.5,1.6,37.1,1.7,1.45164815,44.0,66.0,12.0,51.0,18.0,21.0,27.8462,0.6538,3.3846,1.7308,0.6538,0.5385,12.1923,0.4705882352941176,1.5185185185185184,0.9859154929577464,0.2193999999999999,3.446695674081347
Pf634b73f97,2015,1,34.0,37.0,87.7,21.2,52.8,57.3,3.8,18.8,15.2,15.7,116.0,146.0,0.795,97.0,229.0,0.424,79.0,179.0,0.441,0.6,1.3,35.8,2.4,1.30556553,58.0,96.0,39.0,133.0,8.0,9.0,35.6757,1.1351,5.7838,2.5405,0.7568,0.1892,14.7838,0.4387254901960784,0.5588235294117647,0.9101796407185628,0.0875999999999999,3.9673939064890953
P1b292d5147,2015,1,32.0,35.0,84.8,22.6,57.8,58.81,10.0,19.1,9.2,15.1,114.0,191.0,0.597,204.0,339.0,0.602,9.0,37.0,0.243,3.7,1.6,50.8,2.4,0.7101552,148.0,190.0,56.0,148.0,74.0,78.0,35.1143,3.1714,6.0,1.4,0.9429,1.2,15.6857,0.0984042553191489,1.558823529411765,0.5714285714285713,0.2290600000000002,3.1387247371005853
P0ba0d4e186,2015,1,44.0,39.0,63.1,21.8,44.6,53.13,1.7,8.1,26.0,18.4,126.0,159.0,0.792,65.0,173.0,0.376,36.0,94.0,0.383,0.9,2.5,59.6,2.8,2.17190735,35.0,58.0,30.0,115.0,5.0,5.0,25.4872,0.3333,1.8974,3.5641,1.0256,0.2051,9.3333,0.352059925093633,0.8947368421052632,1.3402061855670104,0.05634,4.019537661665191
