pid,source_season,ctx_base_gp,ctx_base_minutes_share,ctx_base_usage,ctx_base_efg,ctx_base_ts,ctx_base_orb,ctx_base_drb,ctx_base_ast_pct,ctx_base_tov_pct,ctx_base_ftm,ctx_base_fta,ctx_base_ft_pct,ctx_base_fg2m,ctx_base_fg2a,ctx_base_fg2_pct,ctx_base_fg3m,ctx_base_fg3a,ctx_base_fg3_pct,ctx_base_blk_pct,ctx_base_stl_pct,ctx_base_ftr,ctx_base_fouls40,ctx_base_ast_tov,ctx_base_rim_made,ctx_base_rim_attempts,ctx_base_mid_made,ctx_base_mid_attempts,ctx_base_dunk_made,ctx_base_dunk_attempts,ctx_base_mpg,ctx_base_oreb_pg,ctx_base_dreb_pg,ctx_base_ast_pg,ctx_base_stl_pg,ctx_base_blk_pg,ctx_base_pts_pg,ctx_base_age,ctx_base_height,ctx_base_three_share,ctx_team_peer_usage,ctx_team_gap_usage,ctx_team_peer_ts,ctx_team_gap_ts,ctx_team_peer_ast_pct,ctx_team_gap_ast_pct,ctx_team_peer_orb,ctx_team_gap_orb,ctx_team_peer_drb,ctx_team_gap_drb,ctx_team_peer_stl_pct,ctx_team_gap_stl_pct,ctx_team_peer_blk_pct,ctx_team_gap_blk_pct,ctx_team_rotation_depth,ctx_team_creator_competition,ctx_team_guard_competition,ctx_growth_seasons,ctx_skill_defense_discipline,ctx_skill_creation_control,ctx_skill_usage_efficiency,ctx_skill_ft_volume,ctx_growth_usage,ctx_growth_minutes_share,ctx_growth_ts,ctx_growth_ast_pct,ctx_growth_tov_pct,ctx_growth_stl_pct,ctx_growth_blk_pct,ctx_growth_fg3a,ctx_growth_ft_pct,ctx_growth_changed_team
Pfa4c05beee,2016,34.0,55.1,26.4,56.8,60.67,13.0,15.3,4.1,15.1,96.0,128.0,0.75,163.0,287.0,0.568,0.0,0.0,0.0,7.2,1.3,44.6,4.1,0.26925592,123.0,177.0,40.0,110.0,48.0,48.0,22.7647,2.2353,3.2353,0.4118,0.5,1.5882,12.4118,19.304585900068446,83,0.0,18.907436531116605,7.492563468883393,58.85877780274097,1.8112221972590348,14.152123118400361,-10.052123118400361,3.8078634014828134,9.192136598517187,13.143810379689961,2.1561896203100392,1.765513367782521,-0.46551336778252095,2.231004268703663,4.968995731296337,6,2,1,1,1.6666666666666667,0.2546583850931677,0.6828799999999999,3.6448593032712537,,,,,,,,,,
Pb3a7a6f86b,2016,25.0,51.8,21.9,47.3,50.99,9.0,26.1,6.5,19.5,63.0,99.0,0.636,91.0,189.0,0.481,4.0,16.0,0.25,7.2,1.0,48.3,4.7,0.40384616,56.0,95.0,35.0,94.0,17.0,19.0,26.32,2.2,6.48,0.84,0.48,1.92,10.28,19.72621492128679,84,0.07804878048780488,19.539491298527444,2.360508701472554,53.47421909861668,-2.484219098616677,15.088821954484605,-8.588821954484605,4.451249442213298,4.548750557786702,11.62342704149933,14.476572958500672,2.1291610887996426,-1.1291610887996426,1.851048639000446,5.348951360999554,8,2,2,1,1.43859649122807,0.3170731707317073,0.018810000000000025,2.9288882382884265,,,,,,,,,,
Pf8b83ac1f0,2016,34.0,80.4,31.1,45.8,51.07,1.8,9.8,33.0,19.5,149.0,196.0,0.76,113.0,290.0,0.39,81.0,222.0,0.365,4.5,2.1,38.3,2.8,1.45377145,47.0,96.0,66.0,193.0,0.0,1.0,32.2941,0.5294,3.0588,5.0882,1.1765,1.4412,18.1765,21.234770704996578,76,0.43359375,17.66431466030989,13.43568533969011,53.46464362336114,-2.394643623361141,9.44352800953516,23.55647199046484,6.980143027413587,-5.180143027413587,13.823909415971395,-4.023909415971394,2.084243146603099,0.01575685339690125,1.873134684147795,2.6268653158522053,6,2,0,2,1.736842105263158,1.6097560975609757,0.11877000000000004,4.015234833840871,1.9000000000000021,31.400000000000006,3.3999999999999986,4.0,-5.100000000000001,-0.8999999999999999,2.1,118.0,0.014000000000000012,0.0
Pa466887b08,2016,35.0,87.1,24.4,51.4,55.97,3.1,7.9,25.1,15.3,113.0,139.0,0.813,139.0,265.0,0.525,54.0,163.0,0.331,0.8,2.1,32.5,2.2,2.15791645,92.0,146.0,47.0,119.0,16.0,16.0,35.9429,0.8857,2.5714,4.6857,1.2286,0.2857,15.8,21.73305954825462,73,0.3808411214953271,18.819254056672317,5.580745943327681,57.23713489949139,-1.2671348994913885,9.562194235892466,15.537805764107535,6.291523371276337,-3.1915233712763373,13.645846451925406,-5.745846451925406,1.5944780818600146,0.5055219181399855,2.250423831436183,-1.450423831436183,5,2,0,3,0.9062500000000001,1.539877300613497,0.26267999999999986,4.017555289581364,5.599999999999998,1.7999999999999972,-5.670000000000002,9.0,0.9000000000000004,-0.6999999999999997,-0.09999999999999998,37.0,0.06799999999999995,0.0
P8e900c2247,2016,33.0,57.5,27.2,60.1,62.32,11.5,24.8,10.5,17.3,90.0,127.0,0.709,193.0,325.0,0.594,6.0,11.0,0.545,10.4,0.7,37.8,3.8,0.56922373,115.0,141.0,78.0,184.0,44.0,49.0,24.6364,2.3333,5.8485,1.1212,0.2727,2.5455,14.9697,23.761806981519506,84,0.03273809523809524,18.711573236889695,8.488426763110304,56.30915235081375,6.010847649186253,16.340890596745027,-5.840890596745027,5.170840867992767,6.329159132007233,13.329520795660038,11.470479204339963,1.3024412296564194,-0.6024412296564194,1.2853300180831826,9.114669981916817,8,2,2,4,2.3125,0.5737704918032787,0.8870399999999999,3.4400894571190084,0.8000000000000007,-2.6000000000000014,5.369999999999997,1.4000000000000004,-3.099999999999998,-0.6000000000000001,-1.9000000000000004,4.0,0.039999999999999925,0.0
Pfd95ad31d4,2016,35.0,79.1,17.2,60.1,64.02,4.3,14.4,6.8,18.1,77.0,91.0,0.846,81.0,134.0,0.604,57.0,143.0,0.399,3.4,2.1,32.9,2.5,0.68969888,57.0,72.0,24.0,62.0,22.0,24.0,31.7429,1.0286,4.2571,1.1429,1.1429,1.0286,11.7143,22.236824093086927,81,0.516245487364621,20.2085490382332,-3.008549038233202,58.12628116836857,5.893718831631425,14.217857990976016,-7.4178579909760165,4.918190453573974,-0.6181904535739742,13.18997862740442,1.2100213725955804,1.6417715507005464,0.4582284492994537,2.6616005699358833,0.7383994300641166,6,3,1,4,1.5714285714285714,0.35602094240837695,-0.39256,3.825433136183488,-5.199999999999999,4.699999999999989,5.119999999999997,-4.3999999999999995,0.40000000000000213,0.40000000000000013,0.6000000000000001,24.0,0.09399999999999997,0.0
Pa307fde308,2016,37.0,93.8,24.8,55.4,57.36,3.2,8.7,26.5,18.5,106.0,160.0,0.662,134.0,255.0,0.525,91.0,233.0,0.391,1.1,3.1,32.8,2.8,1.52382119,98.0,151.0,36.0,105.0,22.0,26.0,37.8919,1.0811,3.0,4.3243,1.9189,0.3514,17.4865,23.98904859685147,79,0.4774590163934426,18.595765632693258,6.204234367306743,52.17663958641064,5.183360413589362,11.38419497784343,15.11580502215657,6.389635647464304,-3.1896356474643035,12.758148695224026,-4.058148695224027,2.3120384047267364,0.7879615952732637,2.900935499753816,-1.800935499753816,5,1,0,4,1.105263157894737,1.358974358974359,0.35328000000000004,3.3638896896197146,4.800000000000001,9.799999999999997,2.3900000000000006,5.0,0.1999999999999993,-0.10000000000000009,-0.09999999999999987,108.0,0.09100000000000008,0.0
P521ea871d2,2016,35.0,82.1,28.0,60.0,62.49,4.8,15.6,19.2,15.8,96.0,119.0,0.807,227.0,375.0,0.605,56.0,143.0,0.392,1.8,1.5,23.0,3.8,1.27174168,129.0,169.0,98.0,206.0,4.0,4.0,33.2,1.3143,4.9143,3.3429,0.8857,0.6286,20.5143,22.95687885010267,80,0.27606177606177607,18.287221823402724,9.712778176597276,57.655953577410855,4.834046422589147,12.347595118449389,6.85240488155061,4.551710935630534,0.24828906436946596,12.687006460875805,2.9129935391241943,1.773007896625987,-0.273007896625987,2.006030150753769,-0.20603015075376896,5,1,1,4,0.6875,1.1428571428571428,0.9992000000000002,3.8635058364251114,1.3000000000000007,5.299999999999997,6.510000000000005,-2.6999999999999993,-2.8999999999999986,0.6,0.30000000000000004,28.0,-0.0010000000000000009,0.0
Pd5a40a7ee0,2016,35.0,84.7,28.1,51.0,56.7,8.4,16.7,8.0,11.4,194.0,248.0,0.782,194.0,375.0,0.517,52.0,158.0,0.329,3.1,1.4,46.5,3.2,0.59703286,124.0,192.0,71.0,187.0,29.0,34.0,34.2286,2.6857,4.9714,1.1429,0.8571,1.0286,21.0857,21.177275838466805,81,0.2964352720450281,18.11470517448857,9.985294825511431,50.28865463297232,6.411345367027685,17.420216606498197,-9.420216606498197,4.476630565583634,3.923369434416366,12.34493381468111,4.35506618531889,1.9421419975932612,-0.5421419975932613,1.5200481347773767,1.5799518652226234,6,1,2,2,1.0714285714285714,0.6451612903225806,0.5427000000000003,4.314648165035401,9.900000000000002,31.400000000000006,5.5,2.3,-6.799999999999999,0.5999999999999999,1.1,128.0,0.08700000000000008,0.0
Pd46f6361f5,2016,30.0,75.6,26.2,58.3,61.82,12.5,30.6,7.9,17.1,148.0,215.0,0.688,155.0,259.0,0.598,18.0,53.0,0.34,3.2,1.1,68.9,2.9,0.44736114,108.0,145.0,47.0,114.0,61.0,70.0,32.7667,3.2667,9.3333,1.1333,0.6333,1.1333,17.0667,22.340862422997947,81,0.16987179487179488,18.749458313707017,7.450541686292983,55.602908619877525,6.217091380122476,13.692275082430521,-5.792275082430521,3.4202308054639654,9.079769194536034,11.45148374941121,19.14851625058879,1.4257418747056054,-0.32574187470560534,1.1674046161092795,2.0325953838907207,8,1,1,4,1.1025641025641029,0.43646408839779005,0.7328399999999999,3.6981915444867055,2.099999999999998,-7.400000000000006,7.200000000000003,2.0,-3.099999999999998,0.0,-1.5,12.0,-0.040000000000000036,0.0
P22b18d36a6,2016,34.0,67.2,18.4,50.3,53.75,1.6,7.0,18.6,12.1,72.0,93.0,0.774,67.0,146.0,0.459,74.0,208.0,0.356,1.5,2.1,26.3,1.9,3.04759986,40.0,69.0,27.0,76.0,3.0,3.0,31.6176,0.4412,2.0882,3.7647,1.1471,0.4412,12.5882,22.72142368240931,74,0.5875706214689266,19.976461076461067,-1.5764610764610687,55.54618387618385,-1.7961838761838465,13.436590436590432,5.163409563409569,8.198798798798796,-6.598798798798796,14.423700623700615,-7.423700623700615,1.9094710094710088,0.1905289905289913,2.450173250173249,-0.9501732501732492,7,1,1,4,1.2413793103448276,1.419847328244275,-0.06000000000000005,3.516510161476983,-1.8000000000000007,-14.599999999999994,-3.210000000000001,-4.799999999999997,-4.500000000000002,-0.8999999999999999,0.8,-30.0,-0.09099999999999997,0.0
P3ea09a4d42,2016,36.0,79.0,25.6,44.4,49.18,3.5,26.8,29.0,17.4,86.0,100.0,0.86,112.0,269.0,0.416,47.0,142.0,0.331,1.5,2.0,24.3,2.3,2.0,45.0,76.0,67.0,194.0,5.0,5.0,32.0278,0.9167,8.0,4.7222,1.0556,0.4167,12.5278,20.815879534565365,79,0.34549878345498786,18.559116809116812,7.040883190883189,57.298043684710365,-8.118043684710365,10.033167141500478,18.966832858499522,5.064268755935424,-1.5642687559354238,10.79064577397911,16.00935422602089,1.68482905982906,0.31517094017093994,3.078015194681862,-1.578015194681862,7,1,0,2,1.0606060606060606,1.5760869565217392,-0.04592000000000003,3.9690036444834833,0.5,0.7000000000000028,2.3699999999999974,2.6999999999999993,-1.6000000000000014,0.10000000000000009,0.19999999999999996,8.0,0.19299999999999995,0.0
Pc72bfd628e,2016,35.0,76.9,20.7,55.5,58.35,2.9,14.3,8.0,19.7,78.0,106.0,0.736,109.0,197.0,0.553,52.0,140.0,0.371,2.2,1.9,31.5,3.6,0.68357622,76.0,110.0,33.0,87.0,26.0,27.0,31.0857,0.7429,4.2286,1.5429,1.0571,0.6857,12.9143,22.68309377138946,78,0.41543026706231456,19.733396360198533,0.9666036398014661,58.46782557315055,-0.11782557315054731,14.467454502481683,-6.467454502481683,4.900094540297802,-2.0000945402978023,12.959087686126212,1.3409123138737886,1.6969510753958876,0.20304892460411228,1.9307965020089817,0.2692034979910185,5,2,1,4,0.8913043478260869,0.3864734299516908,0.05844999999999995,3.4392020221639625,-0.40000000000000213,38.400000000000006,9.509999999999998,0.20000000000000018,0.5999999999999979,0.5999999999999999,-0.7999999999999998,71.0,-0.031000000000000028,0.0
P85b94bf602,2016,28.0,65.5,27.6,47.8,51.43,3.5,14.3,28.5,17.3,100.0,154.0,0.649,126.0,258.0,0.488,25.0,84.0,0.298,1.3,1.8,45.0,2.8,1.66215143,70.0,110.0,56.0,149.0,6.0,7.0,32.1786,0.9643,4.3214,4.3929,0.9643,0.4286,15.25,21.976728268309376,77,0.24561403508771928,18.614755985267035,8.985244014732967,55.21951657458564,-3.7895165745856403,9.785888581952118,18.71411141804788,5.825644567219154,-2.325644567219154,13.916252302025784,0.3837476979742167,1.0950966850828727,0.7049033149171273,2.335128913443831,-1.0351289134438308,6,1,1,4,0.8157894736842106,1.5573770491803278,0.10868,3.2731829008805913,-3.6999999999999993,-20.799999999999997,3.0600000000000023,2.3000000000000007,1.6000000000000014,-0.40000000000000013,0.4,-4.0,0.04300000000000004,0.0
P16f60c6002,2016,35.0,81.9,21.2,58.4,64.52,2.1,9.2,9.9,10.9,160.0,191.0,0.838,121.0,213.0,0.568,56.0,138.0,0.406,0.8,1.9,54.4,2.2,1.2727707,80.0,114.0,41.0,99.0,26.0,29.0,32.8857,0.5429,2.6571,1.6,1.0286,0.2571,16.2857,23.444216290212182,77,0.39316239316239315,19.522129186602864,1.677870813397135,56.350846889952145,8.169153110047851,12.66052631578947,-2.7605263157894697,5.885574162679426,-3.7855741626794255,14.167416267942583,-4.967416267942584,1.8384210526315787,0.06157894736842118,2.0224162679425834,-1.2224162679425834,6,2,2,4,0.84375,0.8319327731092437,0.17423999999999984,4.405781121759281,0.0,-0.7999999999999972,4.939999999999998,-4.0,-0.6999999999999993,0.19999999999999996,0.20000000000000007,-13.0,0.014000000000000012,0.0
Pc381c2ab50,2015,37.0,89.5,26.5,48.6,55.92,1.0,9.7,18.8,12.8,200.0,228.0,0.877,127.0,291.0,0.436,90.0,248.0,0.363,0.4,2.3,42.3,2.4,1.49333992,70.0,131.0,57.0,160.0,6.0,6.0,36.4054,0.2973,3.027,3.027,1.3514,0.1351,19.5676,23.318275154004105,73,0.4601113172541744,18.31069427527406,8.18930572472594,52.104358099878205,3.815641900121797,10.689524969549332,8.110475030450669,6.624141291108404,-5.624141291108404,14.391571254567607,-4.691571254567608,1.5279902557856275,0.7720097442143723,1.7193666260657738,-1.319366626065774,5,1,0,4,0.7941176470588235,1.3623188405797102,0.3848000000000001,4.765374197117069,0.6999999999999993,2.0999999999999943,-3.719999999999999,5.200000000000001,-3.1999999999999993,0.5999999999999999,0.2,73.0,0.10999999999999999,0.0
P9b79feb6a3,2015,39.0,88.9,18.5,56.9,60.87,1.4,9.2,13.2,11.0,98.0,110.0,0.891,97.0,181.0,0.536,102.0,258.0,0.395,0.1,1.7,25.1,2.2,2.19151929,64.0,100.0,33.0,81.0,0.0,0.0,35.7949,0.3846,2.9744,2.641,1.0,0.0256,15.3333,23.19233401779603,74,0.5876993166287016,20.13031630170316,-1.6303163017031608,59.11261557177615,1.757384428223844,13.249659367396593,-0.04965936739659327,7.495255474452555,-6.095255474452555,14.210559610705596,-5.010559610705597,2.249562043795621,-0.549562043795621,2.1861070559610702,-2.08610705596107,5,2,1,4,0.5625,1.0999999999999999,-0.16304999999999997,4.196191409369289,-2.1999999999999993,14.700000000000003,3.759999999999998,-14.5,-5.100000000000001,-1.0999999999999999,0.0,83.0,0.06400000000000006,0.0
Pc5e9e5bdd9,2015,33.0,65.7,26.6,50.7,54.61,8.0,20.6,12.7,8.8,125.0,181.0,0.691,108.0,234.0,0.462,64.0,168.0,0.381,1.1,1.2,45.0,2.8,1.39478939,50.0,103.0,58.0,131.0,2.0,2.0,29.3636,2.2121,4.9091,1.6061,0.6061,0.2727,16.1515,22.5927446954141,77,0.417910447761194,18.74289661524292,7.857103384757082,51.250511167395814,3.3594888326041854,12.722979507253049,-0.022979507253049647,5.118259267787244,2.881740732212756,12.040870366106377,8.559129633893624,3.025305088648399,-1.8253050886483992,2.6955330416762604,-1.5955330416762603,7,1,2,4,0.6052631578947368,1.2959183673469385,0.30426000000000003,3.595968620770065,-0.09999999999999787,-3.8999999999999915,0.22999999999999687,-2.6000000000000014,-4.699999999999999,-0.6000000000000001,0.40000000000000013,-4.0,-0.0030000000000000027,0.0
