pid,draft_year,was_drafted,ctx_base_ast_pct,ctx_base_ast_pg,ctx_base_ast_tov,ctx_base_blk_pct,ctx_base_blk_pg,ctx_base_drb,ctx_base_dreb_pg,ctx_base_dunk_attempts,ctx_base_dunk_made,ctx_base_efg,ctx_base_fg2_pct,ctx_base_fg2a,ctx_base_fg2m,ctx_base_fg3_pct,ctx_base_fg3a,ctx_base_fg3m,ctx_base_fouls40,ctx_base_ft_pct,ctx_base_ftr,ctx_base_gp,ctx_base_mid_attempts,ctx_base_minutes_share,ctx_base_mpg,ctx_base_orb,ctx_base_oreb_pg,ctx_base_pts_pg,ctx_base_rim_attempts,ctx_base_rim_made,ctx_base_stl_pct,ctx_base_stl_pg,ctx_base_three_share,ctx_base_tov_pct,ctx_base_ts,ctx_base_usage,ctx_skill_creation_control,ctx_skill_defense_discipline,ctx_skill_ft_volume,ctx_skill_usage_efficiency,vcons_mock_mean_rank,vcons_mock_best_rank,vcons_mock_rank_range,vcons_mock_n_sources,f50_career_slope_usage,f50_posterior_rim
P16dd82b034,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc1044ed1f5,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P103e95dd1f,2008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb8998ddf4a,2006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P403a83bdf0,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdf59a363f3,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7363f8a8b4,2006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6f687d1dcc,2006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1259ebdf13,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1605b30cec,2007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa09c3091c5,2005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P187b6721ca,2002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdbacaefe1b,2003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9e0485e8f6,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6d9b6a98b1,2002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd72f71c2bb,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb9c495a67d,2015,1,9.4000000000000004,1.2895000000000001,0.51580000000000004,4.5,1.4211,18.199999999999999,4.9474,67,64,66.400000000000006,0.66400000000000003,420,279,0,0,0,2.7999999999999998,0.51000000000000001,46.200000000000003,38,150,72.799999999999997,30.078900000000001,14.800000000000001,3.5263,17.2895,270,213,1.5,0.76319999999999999,0,18.199999999999999,64.140000000000001,27.600000000000001,0.48958333333333331,1.5789473684210529,2.6892297748675111,1.0746400000000005,,,,,,0.77000000000000002
P3e493925a2,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9a02cf437c,2015,1,27.5,5.5640999999999998,2.8552881000000001,0.20000000000000001,0.076899999999999996,9.9000000000000004,3.0255999999999998,0,0,48.899999999999999,0.44,200,88,0.379,124,47,1.3999999999999999,0.88900000000000001,50,39,113,84.200000000000003,33.897399999999998,1.8,0.48720000000000002,11.820499999999999,87,51,2.7000000000000002,1.5127999999999999,0.38271604938271597,17.399999999999999,57.490000000000002,19.899999999999999,1.4945652173913044,1.2083333333333337,4.528343928517212,-0.0074900000000000999,,,,,,0.58974358974358976
Pb067831a66,2015,1,14,1.7307999999999999,1.45164815,2.5,0.53849999999999998,14.5,3.3845999999999998,21,18,57.200000000000003,0.47899999999999998,117,56,0.45200000000000001,104,47,1.7,0.78000000000000003,37.100000000000001,26,51,52.799999999999997,27.8462,3.1000000000000001,0.65380000000000005,12.192299999999999,66,44,1.6000000000000001,0.65380000000000005,0.47058823529411759,13.199999999999999,60.969999999999999,22,0.98591549295774639,1.5185185185185184,3.4466956740813468,0.2193999999999999,,,,,0.60000000000023013,0.64583333333333337
Pf634b73f97,2015,1,15.199999999999999,2.5405000000000002,1.30556553,0.59999999999999998,0.18920000000000001,18.800000000000001,5.7838000000000003,9,8,52.799999999999997,0.42399999999999999,229,97,0.441,179,79,2.3999999999999999,0.79500000000000004,35.799999999999997,37,133,87.700000000000003,35.675699999999999,3.7999999999999998,1.1351,14.783799999999999,96,58,1.3,0.75680000000000003,0.43872549019607843,15.699999999999999,57.299999999999997,21.199999999999999,0.91017964071856283,0.55882352941176472,3.9673939064890953,0.0875999999999999,,,,,0.47000000000005809,0.60317460317460314
P1b292d5147,2015,1,9.1999999999999993,1.3999999999999999,0.71015519999999999,3.7000000000000002,1.2,19.100000000000001,6,78,74,57.799999999999997,0.60199999999999998,339,204,0.24299999999999999,37,9,2.3999999999999999,0.59699999999999998,50.799999999999997,35,148,84.799999999999997,35.1143,10,3.1714000000000002,15.685700000000001,190,148,1.6000000000000001,0.94289999999999996,0.098404255319148898,15.1,58.810000000000002,22.600000000000001,0.57142857142857129,1.5588235294117649,3.1387247371005853,0.22906000000000021,,,,,2.9500000000004478,0.75454545454545452
P0ba0d4e186,2015,1,26,3.5640999999999998,2.1719073500000001,0.90000000000000002,0.2051,8.0999999999999996,1.8974,5,5,44.600000000000001,0.376,173,65,0.38300000000000001,94,36,2.7999999999999998,0.79200000000000004,59.600000000000001,39,115,63.100000000000001,25.487200000000001,1.7,0.33329999999999999,9.3332999999999995,58,35,2.5,1.0256000000000001,0.35205992509363299,18.399999999999999,53.130000000000003,21.800000000000001,1.3402061855670104,0.89473684210526316,4.0195376616651908,0.056340000000000001,,,,,4.3334394645774542e-16,0.60227272727272729
Peda2227014,2015,0,11.1,1.4103000000000001,1.5715399800000001,0.59999999999999998,0.15379999999999999,9.1999999999999993,2.1795,18,15,47.399999999999999,0.47499999999999998,183,87,0.316,187,59,2.3999999999999999,0.78200000000000003,27.300000000000001,39,108,63.799999999999997,25.769200000000001,1.8999999999999999,0.3846,11.025600000000001,77,54,2.7000000000000002,1.1026,0.50540540540540535,10.300000000000001,51.439999999999998,21.100000000000001,0.98230088495575196,0.97058823529411775,3.6167287399883001,0.015839999999999899,,,,,1.0999999999995025,0.67289719626168221
P16f77dc0c6,2015,1,32.799999999999997,5.0857000000000001,2.6175820600000002,3.2000000000000002,0.97140000000000004,13.6,3.9714,18,17,54.5,0.54900000000000004,246,135,0.35599999999999998,73,26,1.7,0.83499999999999996,57.100000000000001,34,98,83.700000000000003,33.285699999999999,4.0999999999999996,0.97140000000000004,14.542899999999999,149,101,3.8999999999999999,2.0857000000000001,0.2288401253918495,15.4,61.659999999999997,24.199999999999999,2,2.6296296296296293,4.3499209376225867,0.48971999999999982,,,,,0.89999999999959146,0.66480446927374304
