pid,source,fiba_person_id,n_tournaments_predraft,tournament_ids,urls
Pb067831a66,fiba.basketball,173709,1,249_3924,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/3924
P9a02cf437c,fiba.basketball,189130,2,249_5078;256_5956,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5078;https://www.fiba.basketball/en/history/256-fiba-u18-americup/5956
Pf634b73f97,fiba.basketball,188805,1,276_4346,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/4346
Pa779a7b0cf,fiba.basketball,182911,1,276_7488,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/7488
Pf21d262b1c,fiba.basketball,189329,1,249_5078,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5078
P04e5776a76,fiba.basketball,177657,2,256_3935;276_4346,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3935;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/4346
Pfc32d168da,fiba.basketball,146455,2,263_4068;276_3299,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4068;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3299
P26e74779f0,fiba.basketball,182002,1,276_4346,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/4346
Pcfe0d93659,fiba.basketball,181012,2,249_3924;276_4346,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/3924;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/4346
P0fde3dedb2,fiba.basketball,195564,1,249_5078,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5078
P8a2a3c7c07,fiba.basketball,210254,1,256_5956,https://www.fiba.basketball/en/history/256-fiba-u18-americup/5956
Pf9ebd1b271,fiba.basketball,203348,1,249_5075,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075
Paca468f5b5,fiba.basketball,190029,2,249_5075;276_6290,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
P9264b6e63a,fiba.basketball,203170,1,249_5075,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075
P1a32cd4176,fiba.basketball,204617,1,276_6290,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
P07954fea73,fiba.basketball,197385,1,276_6290,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
P64adb31e4d,fiba.basketball,204593,1,276_6290,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
Pe2eac4ddf4,fiba.basketball,216835,1,276_6290,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
Pfa4c05beee,fiba.basketball,203182,1,249_5075,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075
Pb3a7a6f86b,fiba.basketball,210278,1,256_5956,https://www.fiba.basketball/en/history/256-fiba-u18-americup/5956
P9c2d575f48,fiba.basketball,195577,3,249_5078;276_7488;258_5953,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5078;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/7488;https://www.fiba.basketball/en/history/258-fiba-u18-asia-cup/5953
Pfd95ad31d4,fiba.basketball,195957,1,256_5945,https://www.fiba.basketball/en/history/256-fiba-u18-americup/5945
P83cf60968a,fiba.basketball,190440,1,249_5078,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5078
Pc381c2ab50,fiba.basketball,174312,1,249_3924,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/3924
P9b79feb6a3,fiba.basketball,174319,1,249_3924,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/3924
P049f342950,fiba.basketball,161021,1,263_4627,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4627
P6f658be6bb,fiba.basketball,203622,1,276_7488,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/7488
Pe0da967ad1,fiba.basketball,170007,3,256_3935;249_3924;276_4346,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3935;https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/3924;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/4346
P2bc89b6490,fiba.basketball,167497,2,256_3333;276_3348,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3333;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
P25e61f80f8,fiba.basketball,225695,1,256_6329,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6329
