pid,source,fiba_person_id,n_tournaments_predraft,tournament_ids,urls
Pce7c8a9da0,fiba.basketball,280796,1,276_208299,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208299
Pab39ee5462,fiba.basketball,261025,1,276_208299,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208299
P919e355315,fiba.basketball,297936,1,276_208299,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208299
Pa6b76d042d,fiba.basketball,235746,1,249_6362,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362
P1191691c20,fiba.basketball,265234,1,276_208299,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208299
P8be99fecd0,fiba.basketball,298091,1,276_208299,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208299
Pc69570e4d2,fiba.basketball,298089,1,276_208299,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208299
P76ebdc8d77,fiba.basketball,216664,2,249_9678;256_6366,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678;https://www.fiba.basketball/en/history/256-fiba-u18-americup/6366
P70fa3dc827,fiba.basketball,252297,2,249_6362;276_208299,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208299
P8c8d5105c2,fiba.basketball,297935,1,276_208299,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208299
Pd4287ba490,fiba.basketball,239742,1,249_6362,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362
P836329e077,fiba.basketball,251505,2,256_6366;276_208102,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6366;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
P821b19c2a1,fiba.basketball,298080,1,276_208299,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208299
