pid,fiba_id,tid,comp_id,event_id,level,age_group,scope,division,year,date_start,date_end,games,minutes,age_at_tournament,team_finish,field_n_roster,field_n_qual,field_age_mean,field_age_sd,pts40,field_pts_mean,field_pts_sd,reb40,field_reb_mean,field_reb_sd,oreb40,field_oreb_mean,field_oreb_sd,dreb40,field_dreb_mean,field_dreb_sd,ast40,field_ast_mean,field_ast_sd,stl40,field_stl_mean,field_stl_sd,blk40,field_blk_mean,field_blk_sd,tov40,field_tov_mean,field_tov_sd,pir40,field_pir_mean,field_pir_sd,usage40,field_usage_mean,field_usage_sd,ts,field_ts_mean,field_ts_sd,efg,field_efg_mean,field_efg_sd,tpar,field_tpar_mean,field_tpar_sd,ftr,field_ftr_mean,field_ftr_sd,ftpct,field_ftpct_mean,field_ftpct_sd
P0820723beb,131949,263_80,263,80,3,18,continental,A,2000,2000-04-11,2000-04-15,5,125,16.9121,0,215,168,17.5674,0.581802,11.52,13.4831,5.27421,8.32,5.87885,2.98016,2.24,1.90656,1.51803,6.08,3.97229,2.00827,1.28,2.23682,2.06598,0.64,1.49398,1.03332,0,0,0,3.52,3.05999,1.33843,12.16,12.2629,6.76656,14.1952,16.0676,4.41158,0.539568,0.515473,0.1163,0.42,0.472136,0.129376,0.2,0.274626,0.211591,0.76,0.484045,0.37211,0.789474,0.654786,0.20688
P0820723beb,131949,263_1927,263,1927,3,18,continental,A,2000,2000-07-14,2000-07-23,1,1,17.1694,9,143,124,17.835,0.588259,0,13.5344,4.99944,0,5.13608,2.75372,0,1.69152,1.36508,0,3.44457,1.71182,0,1.67128,1.17559,0,2.27105,1.16485,0,0.0760381,0.197735,0,3.01777,1.28522,0,12.4378,5.59886,0,15.5847,4.40578,,0.537884,0.114907,,0.494632,0.124484,,0.27518,0.210868,,0.450926,0.262913,,0.691974,0.170709
P099a8d0c1c,143395,276_2701,276,2701,4,19,world,A,2003,2003-07-10,2003-07-20,8,269,18.6123,1,191,169,18.5308,0.778566,31.2268,14.7546,5.86231,20.223,7.66681,4.08489,7.88104,2.82725,2.17764,12.342,4.83956,2.42976,2.97398,2.51525,1.77315,1.33829,1.78176,0.971028,1.78439,0.745574,1.06344,3.86617,3.60365,1.61538,42.974,14.9771,7.76918,27.7413,18.2155,4.73759,0.653961,0.499082,0.103392,0.605469,0.466482,0.108614,0.101562,0.286063,0.223708,0.578125,0.381572,0.266311,0.743243,0.6359,0.189796
P0acc99bae4,151448,263_4068,263,4068,3,18,continental,A,2006,2006-07-18,2006-07-27,8,124,17.0709,14,192,161,17.9132,0.463248,7.41935,14.1964,5.48784,5.80645,7.01645,3.36385,0.967742,2.36669,1.82035,4.83871,4.64975,2.02662,2.90323,2.29341,1.38476,3.22581,1.73085,0.927802,0,0.611494,0.863663,3.22581,3.22115,1.34554,9.67742,14.0597,6.31908,12.5806,17.3038,5.04807,0.396552,0.497884,0.0869021,0.396552,0.46465,0.104206,0.586207,0.303888,0.207608,0,0.383594,0.304429,,0.629446,0.183775
P0acc99bae4,151448,263_4627,263,4627,3,18,continental,A,2007,2007-08-03,2007-08-12,6,188,18.114,15,192,160,17.9499,0.494652,13.8298,13.825,5.5091,8.93617,6.84425,3.21748,1.70213,2.17524,1.51025,7.23404,4.66901,2.22325,2.55319,1.73823,1.41414,3.40426,1.78942,1.0756,0.638298,0.543883,0.753666,2.97872,3.22704,1.55184,18.9362,12.8963,7.3889,16.2809,17.235,4.66647,0.519834,0.491426,0.111663,0.491525,0.458165,0.120228,0.389831,0.31971,0.214534,0.135593,0.340492,0.186352,0.875,0.644047,0.191618
P0af0ac79ae,225770,256_6329,256,6329,3,18,continental,A,2016,2016-07-19,2016-07-23,5,119.133,18.2454,1,94,77,17.8617,0.574362,17.7952,14.0057,5.76617,15.1091,8.21707,3.78513,4.0291,2.56444,1.7462,11.08,5.65263,2.61089,2.35031,3.11392,2.20868,2.01455,1.77441,1.19438,1.67879,0.793203,0.99331,3.02182,3.21626,1.61855,23.1673,14.6071,8.18991,21.8243,18.7001,5.4949,0.473214,0.446887,0.113778,0.466667,0.406604,0.127223,0,0.324753,0.239791,0.555556,0.326277,0.210162,0.44,0.668448,0.188214
P0dca4f55c4,159965,263_4956,263,4956,3,18,continental,A,2008,2008-07-25,2008-08-03,8,127,16.9613,9,190,167,17.9256,0.536053,7.55906,13.988,5.20746,12.5984,6.93028,3.5822,6.29921,2.24383,1.77763,6.29921,4.68645,2.28417,0.629921,2.32297,1.43874,0.629921,1.79539,1.01503,1.88976,0.509386,0.943808,3.14961,3.24236,1.28108,15.748,13.8074,6.98797,10.5575,17.2371,4.04561,0.510204,0.494636,0.112498,0.5,0.464202,0.115365,0,0.344286,0.205556,0.4,0.32113,0.203579,0.5,0.650715,0.19044
P0dca4f55c4,159965,263_5369,263,5369,3,18,continental,A,2009,2009-07-23,2009-08-02,9,166,17.9552,3,192,172,17.929,0.515203,16.1446,13.4523,4.84686,13.494,7.0493,3.39971,5.54217,2.30482,1.73801,7.95181,4.74449,2.1617,1.20482,2.29862,1.67821,1.68675,1.76376,0.881262,1.44578,0.630648,0.946697,3.13253,3.12517,1.39684,23.8554,13.2734,6.32229,16.2506,17.0452,4.02754,0.615356,0.479516,0.106437,0.627907,0.449276,0.117717,0.0232558,0.347624,0.215776,0.604651,0.333155,0.243838,0.5,0.618493,0.19843
P0df73941d8,251997,276_208102,276,208102,4,19,world,A,2019,2019-06-29,2019-07-07,7,70.2,18.229,1,192,168,18.6256,0.728834,15.9544,14.9774,5.89675,4.5584,7.59112,3.57536,1.1396,2.50232,1.90133,3.4188,5.0888,2.25154,6.83761,3.76513,2.367,0.569801,1.8283,1.12827,1.1396,0.752157,0.973827,2.849,3.17443,1.35909,20.5128,16.2674,7.67017,14.8148,18.4721,5.13993,0.666667,0.484167,0.109451,0.666667,0.454807,0.11544,0.571429,0.359548,0.228901,0,0.311439,0.241065,,0.660183,0.20512
P0fde3dedb2,195564,249_5078,249,5078,3,17,world,A,2012,2012-06-29,2012-07-08,8,165,15.9428,2,142,127,17.0012,0.435933,17.4545,14.1972,5.55481,10.4242,7.45001,3.12231,3.87879,2.5366,1.74237,6.54545,4.91341,1.92891,2.18182,2.59121,2.03869,2.66667,1.89863,1.07827,1.93939,0.788481,1.13416,3.39394,3.46465,1.79913,23.0303,14.4239,7.24874,18.9382,18.219,4.61878,0.561447,0.473827,0.0968412,0.527778,0.443589,0.101275,0.12963,0.293986,0.229186,0.425926,0.271897,0.197866,0.652174,0.661614,0.195417
P1015da4297,156215,276_3299,276,3299,4,19,world,A,2007,2007-07-12,2007-07-22,9,270,18.9162,5,192,177,18.6498,0.861009,19.8519,15.0242,6.32287,3.7037,7.34207,3.43761,1.03704,2.58309,1.78912,2.66667,4.75898,2.24568,6.07407,2.48739,1.87525,3.55556,2.09591,1.22429,0,0.576986,0.923846,3.85185,3.59835,1.49835,17.3333,14.939,7.42931,23.1289,18.3344,5.1284,0.514909,0.501247,0.112236,0.486239,0.471644,0.119445,0.266055,0.331902,0.236569,0.440367,0.386782,0.254493,0.583333,0.621503,0.199964
P1044a073cf,195962,256_5945,256,5945,3,18,continental,A,2012,2012-06-16,2012-06-20,5,99,18.281,1,96,80,17.8897,0.472012,14.9495,14.2097,6.14818,6.86869,7.7057,3.36499,2.82828,2.6725,1.7711,4.0404,5.0332,2.3477,8.08081,2.47597,2.11325,7.27273,1.65812,1.22673,1.21212,0.702188,0.969721,4.84848,3.18262,1.66406,23.4343,13.6619,8.50932,20.1212,18.4581,5.47669,0.489418,0.462358,0.129545,0.431034,0.429614,0.138616,0.344828,0.263251,0.200682,0.689655,0.403774,0.24661,0.6,0.570351,0.204803
P1044a073cf,195962,276_7488,276,7488,4,19,world,A,2013,2013-06-27,2013-07-07,9,141.133,19.3105,1,190,163,18.6149,0.696247,24.3741,13.7502,5.42509,7.0855,7.333,3.37317,3.40104,2.38567,1.71678,3.68446,4.94733,2.1867,5.6684,2.21367,1.7035,6.23524,1.54796,0.991925,0,0.727447,1.05025,3.68446,3.00673,1.31394,28.0586,13.6671,7.8175,24.941,17.2721,4.36533,0.573333,0.477564,0.117473,0.546875,0.446105,0.124661,0.328125,0.299706,0.235645,0.390625,0.319875,0.182303,0.64,0.62505,0.182817
P1100d011d0,167131,256_3333,256,3333,3,18,continental,A,2008,2008-07-14,2008-07-18,5,68,17.2379,3,96,77,17.7237,0.643628,5.29412,14.7148,5.42816,9.41176,8.35717,3.97278,2.35294,2.8591,2.0267,7.05882,5.49807,2.52666,2.35294,2.75356,1.85568,2.35294,1.86936,1.05046,0.588235,1.01607,1.32938,2.94118,3.61421,1.65584,10.5882,14.9968,8.18143,11.6941,19.2494,4.39093,0.302419,0.469203,0.129223,0.25,0.437811,0.141424,0.428571,0.292826,0.217529,0.142857,0.358231,0.272305,1,0.62142,0.209939
