pid,fiba_id,tid,comp_id,event_id,level,age_group,scope,division,year,date_start,date_end,games,minutes,age_at_tournament,team_finish,field_n_roster,field_n_qual,field_age_mean,field_age_sd,pts40,field_pts_mean,field_pts_sd,reb40,field_reb_mean,field_reb_sd,oreb40,field_oreb_mean,field_oreb_sd,dreb40,field_dreb_mean,field_dreb_sd,ast40,field_ast_mean,field_ast_sd,stl40,field_stl_mean,field_stl_sd,blk40,field_blk_mean,field_blk_sd,tov40,field_tov_mean,field_tov_sd,pir40,field_pir_mean,field_pir_sd,usage40,field_usage_mean,field_usage_sd,ts,field_ts_mean,field_ts_sd,efg,field_efg_mean,field_efg_sd,tpar,field_tpar_mean,field_tpar_sd,ftr,field_ftr_mean,field_ftr_sd,ftpct,field_ftpct_mean,field_ftpct_sd
P3e0fd9667f,203172,276_6290,276,6290,4,19,world,A,2015,2015-06-27,2015-07-05,7,148.6,17.1804,1,191,180,18.5789,0.756787,26.3795,13.755,5.55959,19.9192,7.3828,3.65745,6.72948,2.49694,1.90522,13.1898,4.88586,2.44791,1.3459,3.28532,2.18966,1.61507,1.90259,1.12162,2.15343,0.672111,0.938022,4.84522,3.43624,1.60082,31.4939,14.5182,7.46481,31.3109,17.8545,4.65107,0.498373,0.470651,0.115139,0.465116,0.436661,0.120193,0.0116279,0.306253,0.220425,0.325581,0.333827,0.227034,0.642857,0.639017,0.184202
P3e3a854ff5,144585,263_2703,263,2703,3,18,continental,A,2004,2003-07-30,2004-07-18,14,231,16.7313,3,493,386,16.9505,0.574968,13.5065,13.9298,5.58557,12.4675,6.69318,3.18094,4.15584,2.34716,1.63659,8.31169,4.34602,1.99629,0.519481,2.20858,1.78794,1.38528,2.4645,1.29161,3.11688,0.660544,0.907576,2.94372,3.70521,1.86017,23.0303,13.3501,7.66077,13.2502,17.9913,4.82067,0.655242,0.480562,0.114943,0.644444,0.44764,0.122844,0,0.292519,0.224662,0.733333,0.361925,0.24503,0.606061,0.622708,0.195562
P3e86849b89,212000,276_10628,276,10628,4,19,world,A,2017,2017-07-01,2017-07-09,7,200.717,19.1298,4,192,173,18.7182,0.66399,18.135,13.572,5.43385,15.1457,7.69236,3.66261,3.58715,2.52264,1.93466,11.5586,5.16972,2.34584,3.78643,3.5206,2.17842,0.797144,1.62705,0.99426,0.597858,0.496983,0.747174,2.39143,3.19164,1.50518,21.9214,14.0574,7.39114,23.0614,17.9216,4.88312,0.438681,0.455339,0.108314,0.402299,0.425426,0.112649,0.264368,0.338891,0.227597,0.436782,0.343196,0.196751,0.552632,0.596167,0.211854
P3ee6bf444e,341525,276_208303,276,208303,4,19,world,A,2023,2023-06-24,2023-07-02,7,126.533,17.2981,4,192,171,18.7755,0.613254,24.6575,14.5229,5.57383,6.32244,7.31327,3.5997,0.632244,2.26354,1.97353,5.6902,5.04973,2.36409,5.6902,3.39522,2.10822,1.89673,1.87556,1.05134,0.316122,0.776271,1.07652,1.89673,3.03164,1.41202,25.922,15.7805,7.34509,23.2287,17.7644,4.99257,0.577949,0.488426,0.11044,0.516667,0.45281,0.117257,0.466667,0.375743,0.229382,0.283333,0.333211,0.259769,0.941176,0.671531,0.195633
P3f927eeca6,182011,276_4346,276,4346,4,19,world,A,2011,2011-06-30,2011-07-10,9,147,19.3378,5,192,170,18.651,0.680358,16.8707,13.9628,5.5381,12.7891,6.96907,3.32639,5.44218,2.2765,1.60615,7.34694,4.69256,2.26884,2.17687,2.54793,1.8548,1.08844,1.36418,0.869805,3.80952,0.642267,0.93216,2.72109,2.87201,1.41472,28.8435,14.0555,7.05949,15.5537,17.0082,4.58642,0.657337,0.486074,0.11285,0.634146,0.453588,0.118095,0,0.291718,0.211296,0.341463,0.314934,0.203526,0.714286,0.647068,0.216658
P404f9fdfb6,156235,263_4627,263,4627,3,18,continental,A,2007,2007-08-03,2007-08-12,6,45,17.0079,2,192,160,17.9499,0.494652,4.44444,13.825,5.5091,6.22222,6.84425,3.21748,4.44444,2.17524,1.51025,1.77778,4.66901,2.22325,0,1.73823,1.41414,3.55556,1.78942,1.0756,0,0.543883,0.753666,1.77778,3.22704,1.55184,3.55556,12.8963,7.3889,10.7378,17.235,4.66647,0.248016,0.491426,0.111663,0.142857,0.458165,0.120228,0.428571,0.31971,0.214534,1,0.340492,0.186352,0.428571,0.644047,0.191618
P404f9fdfb6,156235,263_4956,263,4956,3,18,continental,A,2008,2008-07-25,2008-08-03,8,232,17.9853,1,190,167,17.9256,0.536053,12.7586,13.988,5.20746,6.55172,6.93028,3.5822,1.89655,2.24383,1.77763,4.65517,4.68645,2.28417,2.06897,2.32297,1.43874,2.06897,1.79539,1.01503,1.37931,0.509386,0.943808,2.06897,3.24236,1.28108,15,13.8074,6.98797,14,17.2371,4.04561,0.534682,0.494636,0.112498,0.526786,0.464202,0.115365,0.392857,0.344286,0.205556,0.535714,0.32113,0.203579,0.5,0.650715,0.19044
P404f9fdfb6,156235,276_3348,276,3348,4,19,world,A,2009,2009-07-02,2009-07-12,9,270,18.9217,2,191,165,18.7609,0.690657,19.1111,14.3984,5.52288,8.74074,7.57587,3.44111,2.66667,2.66725,1.77968,6.07407,4.90862,2.14002,1.62963,2.40801,1.76626,1.62963,1.70492,0.965813,3.11111,0.872247,1.01133,3.55556,3.13329,1.42996,24.2963,15.1012,7.07592,17.7956,17.5241,4.72826,0.671036,0.495334,0.114029,0.639535,0.463656,0.116858,0.395349,0.308724,0.227753,0.267442,0.312474,0.190442,0.826087,0.642985,0.213702
P41b1bb4705,182013,256_3935,256,3935,3,18,continental,A,2010,2010-06-26,2010-06-30,5,117,17.602,1,96,77,17.8311,0.642168,23.9316,14.92,6.47935,15.7265,7.40885,3.62563,4.44444,2.61003,2.12449,11.2821,4.79882,2.16489,3.07692,2.58206,2.14585,1.36752,1.62998,1.0838,1.7094,0.884029,1.47478,2.39316,3.20333,1.67174,35.5556,15.0256,9.28155,20.759,18.3041,5.14914,0.651526,0.490412,0.12998,0.604167,0.454684,0.13257,0.333333,0.275486,0.216548,0.270833,0.35016,0.263199,0.923077,0.649623,0.198629
P42302cf51e,216840,276_6290,276,6290,4,19,world,A,2015,2015-06-27,2015-07-05,7,95.4667,19.3981,1,191,180,18.5789,0.756787,10.4749,13.755,5.55959,3.35196,7.3828,3.65745,0,2.49694,1.90522,3.35196,4.88586,2.44791,2.51397,3.28532,2.18966,3.77095,1.90259,1.12162,0.418994,0.672111,0.938022,3.77095,3.43624,1.60082,9.63687,14.5182,7.46481,13.8436,17.8545,4.65107,0.519967,0.470651,0.115139,0.470588,0.436661,0.120193,0.529412,0.306253,0.220425,0.941176,0.333827,0.227034,0.5625,0.639017,0.184202
P42adf8ab25,135508,263_2886,263,2886,3,18,continental,A,2002,2002-04-16,2002-05-01,5,86,17.0325,0,215,171,17.6273,0.638695,20,14.6204,6.12192,5.5814,7.00378,3.82327,2.32558,2.37113,1.9328,3.25581,4.63265,2.45718,2.32558,2.22423,1.5258,4.65116,2.11906,1.25803,0.465116,0.661502,0.980784,0.930233,3.34676,1.59983,21.8605,14.1894,8.33006,19.9814,18.0781,4.77723,0.524902,0.491982,0.136556,0.486486,0.460447,0.145329,0.297297,0.28294,0.203308,0.243243,0.395805,0.29325,0.777778,0.630283,0.185994
P42adf8ab25,135508,263_2888,263,2888,3,18,continental,A,2002,2002-07-12,2002-07-21,7,169,17.2707,9,144,121,17.8457,0.557956,23.1953,14.3906,5.26654,4.73373,6.71397,3.12939,1.18343,2.2151,1.69496,3.5503,4.49886,1.94982,3.31361,2.07608,1.44154,1.89349,1.29316,0.888823,0.710059,0.571274,0.765198,2.60355,2.67339,1.00866,22.9586,14.0137,6.18081,20.8095,16.7644,4.51804,0.637025,0.516086,0.1088,0.594203,0.474349,0.120006,0.333333,0.284976,0.201016,0.26087,0.371592,0.21432,0.888889,0.687328,0.17851
P43d78a0411,174427,276_3348,276,3348,4,19,world,A,2009,2009-07-02,2009-07-12,9,169,19.1955,1,191,165,18.7609,0.690657,12.5444,14.3984,5.52288,6.15385,7.57587,3.44111,1.18343,2.66725,1.77968,4.97041,4.90862,2.14002,4.02367,2.40801,1.76626,1.6568,1.70492,0.965813,0,0.872247,1.01133,3.5503,3.13329,1.42996,12.3077,15.1012,7.07592,17.3728,17.5241,4.72826,0.453767,0.495334,0.114029,0.407407,0.463656,0.116858,0.5,0.308724,0.227753,0.185185,0.312474,0.190442,0.9,0.642985,0.213702
P43dec358d1,251348,256_6366,256,6366,3,18,continental,A,2018,2018-06-10,2018-06-16,6,131.55,18.3139,1,96,77,17.8115,0.525502,27.9742,15.5566,6.39686,7.90574,7.77187,3.98199,3.34474,2.65775,2.03709,4.561,5.11411,2.64736,5.4732,3.78512,2.52326,2.43254,1.61263,0.882308,0.304067,0.880985,1.00481,2.7366,2.9353,1.21748,29.1904,17.4064,9.44377,25.6146,18.4751,4.87942,0.611377,0.491529,0.127491,0.575758,0.463231,0.128982,0.515152,0.303395,0.213193,0.318182,0.260848,0.177817,0.761905,0.684055,0.226582
P44154d877a,182399,263_5831,263,5831,3,18,continental,A,2010,2010-07-22,2010-08-01,9,213,17.9251,4,192,171,17.9212,0.515214,17.277,13.1391,4.8065,9.01408,7.0875,2.90695,1.87793,2.21226,1.52036,7.13615,4.87524,1.91491,2.44131,2.66002,1.92041,2.25352,1.70641,0.879599,0.938967,0.617153,0.878023,3.38028,3.17333,1.3572,15.9624,13.4495,5.87418,22.4826,16.8985,4.25598,0.452222,0.477146,0.110791,0.4375,0.443458,0.118272,0.635417,0.347536,0.231447,0.135417,0.312866,0.195141,0.615385,0.664571,0.176763
P44154d877a,182399,276_4346,276,4346,4,19,world,A,2011,2011-06-30,2011-07-10,7,157,18.8642,2,192,170,18.651,0.680358,15.7962,13.9628,5.5381,8.9172,6.96907,3.32639,0.764331,2.2765,1.60615,8.15287,4.69256,2.26884,3.05732,2.54793,1.8548,2.03822,1.36418,0.869805,1.52866,0.642267,0.93216,3.3121,2.87201,1.41472,18.5987,14.0555,7.05949,18.4662,17.0082,4.58642,0.521184,0.486074,0.11285,0.5,0.453588,0.118095,0.403846,0.291718,0.211296,0.326923,0.314934,0.203526,0.588235,0.647068,0.216658
P4467431c36,224677,249_9678,249,9678,3,17,world,A,2016,2016-06-23,2016-07-03,6,113.133,17.4678,1,191,171,16.8941,0.517517,36.0636,13.9298,6.67868,8.48556,8.20946,4.09228,4.94991,2.77559,2.1245,3.53565,5.43387,2.64062,8.83913,2.6531,1.83642,3.53565,1.85697,1.24533,0,0.669885,0.963228,6.71774,3.64504,1.46955,38.185,13.7052,8.47552,33.4897,18.8523,5.48244,0.673534,0.446186,0.125912,0.618644,0.416886,0.129648,0.186441,0.303263,0.224477,0.644068,0.349537,0.221993,0.763158,0.59047,0.214261
P45a39b68c1,236567,249_6362,249,6362,3,17,world,A,2018,2018-06-30,2018-07-08,6,108.6,16.9121,1,192,164,16.8707,0.549015,20.9945,13.6297,6.29877,12.8913,7.82266,3.91205,4.78821,2.57156,1.90715,8.10313,5.2511,2.60945,5.15654,2.92738,1.79192,2.94659,2.03945,1.2786,1.84162,0.8843,1.12185,4.05157,3.58085,1.74045,27.256,14.2974,8.36935,24.442,18.3289,5.60027,0.514812,0.451383,0.118515,0.510638,0.422609,0.127554,0.0851064,0.299801,0.212952,0.404255,0.310662,0.212748,0.473684,0.624098,0.182167
P45a39b68c1,236567,276_208102,276,208102,4,19,world,A,2019,2019-06-29,2019-07-07,7,143.117,17.9086,1,192,168,18.6256,0.728834,19.0055,14.9774,5.89675,9.50274,7.59112,3.57536,3.07441,2.50232,1.90133,6.42832,5.0888,2.25154,5.31035,3.76513,2.367,1.95645,1.8283,1.12827,1.11797,0.752157,0.973827,1.67695,3.17443,1.35909,26.8313,16.2674,7.67017,17.921,18.4721,5.13993,0.584997,0.484167,0.109451,0.552083,0.454807,0.11544,0.0416667,0.359548,0.228901,0.479167,0.311439,0.241065,0.652174,0.660183,0.20512
P477dab5e0e,174417,276_3348,276,3348,4,19,world,A,2009,2009-07-02,2009-07-12,4,54,19.3707,1,191,165,18.7609,0.690657,18.5185,14.3984,5.52288,9.62963,7.57587,3.44111,4.44444,2.66725,1.77968,5.18519,4.90862,2.14002,0.740741,2.40801,1.76626,0,1.70492,0.965813,2.22222,0.872247,1.01133,2.22222,3.13329,1.42996,23.7037,15.1012,7.07592,15.2,17.5241,4.72826,0.71347,0.495334,0.114029,0.714286,0.463656,0.116858,0,0.308724,0.227753,0.571429,0.312474,0.190442,0.625,0.642985,0.213702
P47d96f257b,205900,249_5075,249,5075,3,17,world,A,2014,2014-08-08,2014-08-16,7,46.85,17.0079,2,192,173,17.0364,0.489002,11.0993,13.6034,6.14842,6.83031,7.6474,3.67246,1.70758,2.55281,1.94621,5.12273,5.0946,2.20776,0,2.14955,1.47007,2.56137,1.80889,1.11705,0.853789,0.718134,1.07747,1.70758,3.23583,1.51772,11.953,13.5763,8.92179,14.3095,17.7478,5.19007,0.440379,0.460191,0.126088,0.384615,0.428331,0.130989,0.153846,0.299498,0.224593,0.307692,0.302479,0.220999,0.75,0.637699,0.213798
P47d96f257b,205900,276_6290,276,6290,4,19,world,A,2015,2015-06-27,2015-07-05,7,145.5,17.8922,7,191,180,18.5789,0.756787,15.945,13.755,5.55959,7.42268,7.3828,3.65745,2.47423,2.49694,1.90522,4.94845,4.88586,2.44791,2.47423,3.28532,2.18966,1.09966,1.90259,1.12162,1.09966,0.672111,0.938022,4.12371,3.43624,1.60082,14.8454,14.5182,7.46481,19.31,17.8545,4.65107,0.524982,0.470651,0.115139,0.48913,0.436661,0.120193,0.173913,0.306253,0.220425,0.456522,0.333827,0.227034,0.619048,0.639017,0.184202
P48e78aee32,211235,254_8090,254,8090,3,18,continental,A,2014,2014-08-02,2014-08-10,6,136.517,17.372,3,106,93,17.7785,0.562654,17.2873,12.5587,6.25158,9.66915,8.17892,3.77056,3.22305,2.96922,1.94283,6.4461,5.2097,2.52172,0.879014,2.10515,1.73781,0.293005,1.9187,1.10027,0,0.540185,0.849997,5.56709,4.05164,1.89356,11.7202,11.3729,8.15043,23.0184,18.6295,5.79721,0.495299,0.420199,0.119565,0.469388,0.384973,0.122538,0.0816327,0.245218,0.201975,0.489796,0.363671,0.240757,0.541667,0.575739,0.245333
P495da5b1cd,146684,263_4068,263,4068,3,18,continental,A,2006,2006-07-18,2006-07-27,6,162,17.2488,10,192,161,17.9132,0.463248,13.0864,14.1964,5.48784,4.69136,7.01645,3.36385,1.48148,2.36669,1.82035,3.20988,4.64975,2.02662,1.97531,2.29341,1.38476,0.740741,1.73085,0.927802,0.246914,0.611494,0.863663,2.71605,3.22115,1.34554,7.16049,14.0597,6.31908,18.3704,17.3038,5.04807,0.417981,0.497884,0.0869021,0.415254,0.46465,0.104206,0.457627,0.303888,0.207608,0.169492,0.383594,0.304429,0.4,0.629446,0.183775
P4b06d66b80,145770,263_2703,263,2703,3,18,continental,A,2004,2003-07-30,2004-07-18,5,111,17.2324,0,493,386,16.9505,0.574968,17.6577,13.9298,5.58557,9.00901,6.69318,3.18094,1.44144,2.34716,1.63659,7.56757,4.34602,1.99629,3.6036,2.20858,1.78794,4.32432,2.4645,1.29161,0.720721,0.660544,0.907576,6.48649,3.70521,1.86017,19.0991,13.3501,7.66077,23.827,17.9913,4.82067,0.509144,0.480562,0.114943,0.394737,0.44764,0.122844,0.184211,0.292519,0.224662,0.605263,0.361925,0.24503,0.826087,0.622708,0.195562
P4cd6438cc3,268957,276_208102,276,208102,4,19,world,A,2019,2019-06-29,2019-07-07,7,168.783,19.1188,8,192,168,18.6256,0.728834,19.4332,14.9774,5.89675,7.3467,7.59112,3.57536,1.89592,2.50232,1.90133,5.45078,5.0888,2.25154,5.21378,3.76513,2.367,1.89592,1.8283,1.12827,0.23699,0.752157,0.973827,4.02883,3.17443,1.35909,15.4044,16.2674,7.67017,25.5475,18.4721,5.13993,0.451542,0.484167,0.109451,0.439024,0.454807,0.11544,0.45122,0.359548,0.228901,0.243902,0.311439,0.241065,0.5,0.660183,0.20512
P4d2e34ba12,188891,276_4346,276,4346,4,19,world,A,2011,2011-06-30,2011-07-10,9,249,19.0832,5,192,170,18.651,0.680358,23.4538,13.9628,5.5381,6.26506,6.96907,3.32639,1.76707,2.2765,1.60615,4.49799,4.69256,2.26884,2.89157,2.54793,1.8548,2.89157,1.36418,0.869805,0.481928,0.642267,0.93216,1.76707,2.87201,1.41472,20.4016,14.0555,7.05949,25.8827,17.0082,4.58642,0.486278,0.486074,0.11285,0.457143,0.453588,0.118095,0.242857,0.291718,0.211296,0.164286,0.314934,0.203526,0.782609,0.647068,0.216658
P4d8e3ba87c,161309,276_3299,276,3299,4,19,world,A,2007,2007-07-12,2007-07-22,8,121,15.8936,10,192,177,18.6498,0.861009,8.92562,15.0242,6.32287,5.28926,7.34207,3.43761,1.65289,2.58309,1.78912,3.63636,4.75898,2.24568,1.65289,2.48739,1.87525,2.31405,2.09591,1.22429,0,0.576986,0.923846,1.65289,3.59835,1.49835,8.92562,14.939,7.42931,11.6231,18.3344,5.1284,0.447613,0.501247,0.112236,0.416667,0.471644,0.119445,0.583333,0.331902,0.236569,0.583333,0.386782,0.254493,0.5,0.621503,0.199964
P4d8e3ba87c,161309,276_3348,276,3348,4,19,world,A,2009,2009-07-02,2009-07-12,9,276,17.8676,7,191,165,18.7609,0.690657,17.6812,14.3984,5.52288,5.36232,7.57587,3.44111,1.73913,2.66725,1.77968,3.62319,4.90862,2.14002,2.46377,2.40801,1.76626,1.30435,1.70492,0.965813,0.289855,0.872247,1.01133,2.89855,3.13329,1.42996,15.0725,15.1012,7.07592,19.9304,17.5241,4.72826,0.519061,0.495334,0.114029,0.504386,0.463656,0.116858,0.333333,0.308724,0.227753,0.0701754,0.312474,0.190442,0.875,0.642985,0.213702
P4e35bd6add,268956,276_208102,276,208102,4,19,world,A,2019,2019-06-29,2019-07-07,6,66.4333,16.5123,8,192,168,18.6256,0.728834,15.0527,14.9774,5.89675,3.01054,7.59112,3.57536,1.20421,2.50232,1.90133,1.80632,5.0888,2.25154,3.01054,3.76513,2.367,0,1.8283,1.12827,0.602107,0.752157,0.973827,1.20421,3.17443,1.35909,9.63372,16.2674,7.67017,16.9794,18.4721,5.13993,0.477099,0.484167,0.109451,0.458333,0.454807,0.11544,0.666667,0.359548,0.228901,0.208333,0.311439,0.241065,0.6,0.660183,0.20512
P4e4e438f6e,174318,249_3924,249,3924,3,17,world,A,2010,2010-07-02,2010-07-11,8,102,16.8929,1,144,123,17.0365,0.420802,27.0588,14.634,6.05534,21.1765,7.23158,3.56787,8.62745,2.36571,1.70469,12.549,4.86587,2.26597,1.56863,2.8592,2.15155,1.17647,1.87293,1.1407,5.09804,0.761711,1.11447,3.52941,3.58026,1.49053,42.3529,14.7809,8.47015,25.6471,18.1558,4.72464,0.611702,0.491637,0.10797,0.634615,0.45895,0.11802,0.0192308,0.327866,0.235277,0.192308,0.373086,0.229118,0.3,0.600608,0.200517
P50c2524b85,223794,256_6329,256,6329,3,18,continental,A,2016,2016-07-19,2016-07-23,5,115.317,18.0209,2,94,77,17.8617,0.574362,13.528,14.0057,5.76617,6.93742,8.21707,3.78513,1.73435,2.56444,1.7462,5.20306,5.65263,2.61089,9.36552,3.11392,2.20868,5.20306,1.77441,1.19438,0.693742,0.793203,0.99331,5.54993,3.21626,1.61855,21.1591,14.6071,8.18991,19.7439,18.7001,5.4949,0.47654,0.446887,0.113778,0.409091,0.406604,0.127223,0.0909091,0.324753,0.239791,0.545455,0.326277,0.210162,0.666667,0.668448,0.188214
P52c65c114a,180412,249_3924,249,3924,3,17,world,A,2010,2010-07-02,2010-07-11,8,163,17.2187,1,144,123,17.0365,0.420802,16.4417,14.634,6.05534,2.94479,7.23158,3.56787,1.47239,2.36571,1.70469,1.47239,4.86587,2.26597,8.34356,2.8592,2.15155,6.87117,1.87293,1.1407,0.490798,0.761711,1.11447,4.41718,3.58026,1.49053,20.3681,14.7809,8.47015,21.1632,18.1558,4.72464,0.490914,0.491637,0.10797,0.449153,0.45895,0.11802,0.440678,0.327866,0.235277,0.355932,0.373086,0.229118,0.666667,0.600608,0.200517
P52f2ddbdea,211576,249_9678,249,9678,3,17,world,A,2016,2016-06-23,2016-07-03,7,147.933,17.2324,2,191,171,16.8941,0.517517,21.361,13.9298,6.67868,10.8157,8.20946,4.09228,2.43353,2.77559,2.1245,8.38215,5.43387,2.64062,2.70392,2.6531,1.83642,2.43353,1.85697,1.24533,0.540784,0.669885,0.963228,4.86706,3.64504,1.46955,17.0347,13.7052,8.47552,29.635,18.8523,5.48244,0.431223,0.446186,0.125912,0.417647,0.416886,0.129648,0.247059,0.303263,0.224477,0.176471,0.349537,0.221993,0.533333,0.59047,0.214261
P53313a94c2,132130,263_1927,263,1927,3,18,continental,A,2000,2000-07-14,2000-07-23,8,270,17.8375,2,143,124,17.835,0.588259,19.7037,13.5344,4.99944,3.55556,5.13608,2.75372,0.740741,1.69152,1.36508,2.81481,3.44457,1.71182,2.81481,1.67128,1.17559,3.25926,2.27105,1.16485,0,0.0760381,0.197735,3.40741,3.01777,1.28522,16.1481,12.4378,5.59886,19.8519,15.5847,4.40578,0.599099,0.537884,0.114907,0.589888,0.494632,0.124484,0.449438,0.27518,0.210868,0.561798,0.450926,0.262913,0.56,0.691974,0.170709
P539be6c711,222098,249_9678,249,9678,3,17,world,A,2016,2016-06-23,2016-07-03,7,182.15,15.6663,8,191,171,16.8941,0.517517,18.0071,13.9298,6.67868,4.61158,8.20946,4.09228,1.75679,2.77559,2.1245,2.85479,5.43387,2.64062,1.098,2.6531,1.83642,0.878397,1.85697,1.24533,0.878397,0.669885,0.963228,0.658798,3.64504,1.46955,17.5679,13.7052,8.47552,14.555,18.8523,5.48244,0.647914,0.446186,0.125912,0.62931,0.416886,0.129648,0.706897,0.303263,0.224477,0.206897,0.349537,0.221993,0.75,0.59047,0.214261
P539be6c711,222098,258_208014,258,208014,3,18,continental,A,2018,2018-08-05,2018-08-11,6,192.733,17.7827,8,192,149,17.7443,0.717247,32.3763,14.3479,6.46939,12.8675,8.03846,4.03262,4.35835,2.70797,1.98566,8.50917,5.33049,2.6238,7.47146,2.81443,2.14179,4.15081,1.74511,1.10851,1.45278,0.677461,0.975007,4.98098,3.1424,1.93943,38.6026,14.2885,8.92826,32.3182,18.8822,5.9446,0.592165,0.448979,0.117181,0.547826,0.42564,0.125208,0.486957,0.314682,0.224961,0.330435,0.274683,0.203786,0.789474,0.584176,0.231585
P53f54898a1,322220,258_208492,258,208492,3,18,continental,A,2022,2022-08-21,2022-08-28,5,117.05,17.153,3,120,79,17.8237,0.759201,21.1875,14.634,5.87406,15.7198,7.92842,4.07373,6.15122,2.52109,1.81986,9.56856,5.40733,2.94402,6.15122,3.82725,2.24465,1.0252,2.23851,1.51424,6.15122,0.86843,1.17947,3.75908,3.40216,1.82357,39.6412,16.2729,8.1479,19.8343,18.9748,4.77165,0.659014,0.472464,0.131787,0.6375,0.442009,0.140799,0.05,0.354489,0.214545,0.4,0.271729,0.23788,0.6875,0.669315,0.233758
P53f54898a1,322220,276_208303,276,208303,4,19,world,A,2023,2023-06-24,2023-07-02,7,204.6,17.9935,10,192,171,18.7755,0.613254,17.2043,14.5229,5.57383,14.2717,7.31327,3.5997,1.56403,2.26354,1.97353,12.7077,5.04973,2.36409,6.45161,3.39522,2.10822,0.58651,1.87556,1.05134,6.84262,0.776271,1.07652,5.27859,3.03164,1.41202,31.2805,15.7805,7.34509,21.1769,17.7644,4.99257,0.541072,0.488426,0.11044,0.514493,0.45281,0.117257,0.0869565,0.375743,0.229382,0.405797,0.333211,0.259769,0.607143,0.671531,0.195633
P5480a34012,251346,256_6366,256,6366,3,18,continental,A,2018,2018-06-10,2018-06-16,6,107.983,17.5993,1,96,77,17.8115,0.525502,23.7074,15.5566,6.39686,18.8918,7.77187,3.98199,5.92684,2.65775,2.03709,12.965,5.11411,2.64736,5.55641,3.78512,2.52326,3.33385,1.61263,0.882308,1.48171,0.880985,1.00481,3.33385,2.9353,1.21748,42.9696,17.4064,9.44377,21.1736,18.4751,4.87942,0.664452,0.491529,0.127491,0.619048,0.463231,0.128982,0.0238095,0.303395,0.213193,0.333333,0.260848,0.177817,0.857143,0.684055,0.226582
P5480a34012,251346,276_208102,276,208102,4,19,world,A,2019,2019-06-29,2019-07-07,7,140.717,18.6506,1,192,168,18.6256,0.728834,25.2991,14.9774,5.89675,12.5074,7.59112,3.57536,5.11666,2.50232,1.90133,7.39074,5.0888,2.25154,1.13704,3.76513,2.367,3.41111,1.8283,1.12827,1.70555,0.752157,0.973827,3.41111,3.17443,1.35909,32.4055,16.2674,7.67017,23.3206,18.4721,5.13993,0.635351,0.484167,0.109451,0.611111,0.454807,0.11544,0.142857,0.359548,0.228901,0.253968,0.311439,0.241065,0.75,0.660183,0.20512
P54d4de841c,203585,249_5075,249,5075,3,17,world,A,2014,2014-08-08,2014-08-16,7,141.15,16.2276,1,192,173,17.0364,0.489002,17.8533,13.6034,6.14842,2.55048,7.6474,3.67246,1.41693,2.55281,1.94621,1.13355,5.0946,2.20776,3.11725,2.14955,1.47007,1.70032,1.80889,1.11705,0.850159,0.718134,1.07747,3.40064,3.23583,1.51772,14.7361,13.5763,8.92179,18.0914,17.7478,5.19007,0.607639,0.460191,0.126088,0.574468,0.428331,0.130989,0.617021,0.299498,0.224593,0.234043,0.302479,0.220999,0.818182,0.637699,0.213798
P54d4de841c,203585,276_6290,276,6290,4,19,world,A,2015,2015-06-27,2015-07-05,7,154.433,17.1119,1,191,180,18.5789,0.756787,11.1375,13.755,5.55959,2.84913,7.3828,3.65745,1.29506,2.49694,1.90522,1.55407,4.88586,2.44791,1.81308,3.28532,2.18966,0.777034,1.90259,1.12162,0,0.672111,0.938022,1.81308,3.43624,1.60082,6.99331,14.5182,7.46481,13.3132,17.8545,4.65107,0.484234,0.470651,0.115139,0.475,0.436661,0.120193,0.6,0.306253,0.220425,0.25,0.333827,0.227034,0.5,0.639017,0.184202
P55c2defaf8,188250,276_4346,276,4346,4,19,world,A,2011,2011-06-30,2011-07-10,9,235,19.1736,6,192,170,18.651,0.680358,22.1277,13.9628,5.5381,10.5532,6.96907,3.32639,5.10638,2.2765,1.60615,5.44681,4.69256,2.26884,3.57447,2.54793,1.8548,2.55319,1.36418,0.869805,0.851064,0.642267,0.93216,2.38298,2.87201,1.41472,23.3191,14.0555,7.05949,25.5183,17.0082,4.58642,0.478222,0.486074,0.11285,0.440171,0.453588,0.118095,0.0512821,0.291718,0.211296,0.367521,0.314934,0.203526,0.627907,0.647068,0.216658
P5698276a02,269308,276_208102,276,208102,4,19,world,A,2019,2019-06-29,2019-07-07,7,201.133,17.1968,6,192,168,18.6256,0.728834,30.6265,14.9774,5.89675,8.55154,7.59112,3.57536,2.38648,2.50232,1.90133,6.16506,5.0888,2.25154,1.98873,3.76513,2.367,1.59098,1.8283,1.12827,0.596619,0.752157,0.973827,2.58535,3.17443,1.35909,23.8648,16.2674,7.67017,31.7163,18.4721,5.13993,0.525669,0.484167,0.109451,0.496094,0.454807,0.11544,0.359375,0.359548,0.228901,0.328125,0.311439,0.241065,0.642857,0.660183,0.20512
P575f19a655,182010,256_3935,256,3935,3,18,continental,A,2010,2010-06-26,2010-06-30,5,103,18.2591,1,96,77,17.8311,0.642168,26.4078,14.92,6.47935,9.70874,7.40885,3.62563,2.3301,2.61003,2.12449,7.37864,4.79882,2.16489,8.15534,2.58206,2.14585,3.1068,1.62998,1.0838,1.16505,0.884029,1.47478,3.8835,3.20333,1.67174,34.1748,15.0256,9.28155,25.9107,18.3041,5.14914,0.599436,0.490412,0.12998,0.558824,0.454684,0.13257,0.254902,0.275486,0.216548,0.254902,0.35016,0.263199,0.846154,0.649623,0.198629
