tid,comp_slug,event_id,year,level,age_group,scope,division,zone,date_start,date_end,n_teams,n_roster,n_qualified,field_age_mean,field_age_sd,url
276_3348,276-fiba-u19-basketball-world-cup,3348,2009,4,19,world,A,FIBA World,2009-07-02,2009-07-12,16,191,165,18.7609,0.690657,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
249_3924,249-fiba-u17-basketball-world-cup,3924,2010,3,17,world,A,FIBA World,2010-07-02,2010-07-11,12,144,123,17.0365,0.420802,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/3924
254_3926,254-fiba-u18-afrobasket,3926,2010,3,18,continental,A,FIBA Africa,2010-05-16,2010-10-17,17,0,0,,,https://www.fiba.basketball/en/history/254-fiba-u18-afrobasket/3926
256_3935,256-fiba-u18-americup,3935,2010,3,18,continental,A,FIBA Americas,2010-06-26,2010-06-30,8,96,77,17.8311,0.642168,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3935
258_3937,258-fiba-u18-asia-cup,3937,2010,3,18,continental,A,FIBA Asia,2010-09-22,2010-10-01,16,0,0,,,https://www.fiba.basketball/en/history/258-fiba-u18-asia-cup/3937
263_5831,263-fiba-u18-eurobasket,5831,2010,3,18,continental,A,FIBA Europe,2010-07-22,2010-08-01,16,192,171,17.9212,0.515214,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/5831
276_4346,276-fiba-u19-basketball-world-cup,4346,2011,4,19,world,A,FIBA World,2011-06-30,2011-07-10,16,192,170,18.651,0.680358,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/4346
249_5078,249-fiba-u17-basketball-world-cup,5078,2012,3,17,world,A,FIBA World,2012-06-29,2012-07-08,12,142,127,17.0012,0.435933,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5078
254_5944,254-fiba-u18-afrobasket,5944,2012,3,18,continental,A,FIBA Africa,2012-03-01,2012-08-25,18,43,0,17.2735,0.606772,https://www.fiba.basketball/en/history/254-fiba-u18-afrobasket/5944
256_5945,256-fiba-u18-americup,5945,2012,3,18,continental,A,FIBA Americas,2012-06-16,2012-06-20,8,96,80,17.8897,0.472012,https://www.fiba.basketball/en/history/256-fiba-u18-americup/5945
258_5947,258-fiba-u18-asia-cup,5947,2012,3,18,continental,A,FIBA Asia,2012-08-17,2012-08-26,16,0,0,,,https://www.fiba.basketball/en/history/258-fiba-u18-asia-cup/5947
276_7488,276-fiba-u19-basketball-world-cup,7488,2013,4,19,world,A,FIBA World,2013-06-27,2013-07-07,16,190,163,18.6149,0.696247,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/7488
249_5075,249-fiba-u17-basketball-world-cup,5075,2014,3,17,world,A,FIBA World,2014-08-08,2014-08-16,16,192,173,17.0364,0.489002,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075
254_8090,254-fiba-u18-afrobasket,8090,2014,3,18,continental,A,FIBA Africa,2014-08-02,2014-08-10,11,106,93,17.7785,0.562654,https://www.fiba.basketball/en/history/254-fiba-u18-afrobasket/8090
256_5956,256-fiba-u18-americup,5956,2014,3,18,continental,A,FIBA Americas,2014-06-20,2014-06-24,8,96,81,17.6658,0.737825,https://www.fiba.basketball/en/history/256-fiba-u18-americup/5956
258_5953,258-fiba-u18-asia-cup,5953,2014,3,18,continental,A,FIBA Asia,2014-08-19,2014-08-28,15,165,146,17.7696,0.733164,https://www.fiba.basketball/en/history/258-fiba-u18-asia-cup/5953
276_6290,276-fiba-u19-basketball-world-cup,6290,2015,4,19,world,A,FIBA World,2015-06-27,2015-07-05,16,191,180,18.5789,0.756787,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
249_9678,249-fiba-u17-basketball-world-cup,9678,2016,3,17,world,A,FIBA World,2016-06-23,2016-07-03,16,191,171,16.8941,0.517517,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678
254_6325,254-fiba-u18-afrobasket,6325,2016,3,18,continental,A,FIBA Africa,2016-06-07,2016-07-31,19,130,116,17.6341,0.566455,https://www.fiba.basketball/en/history/254-fiba-u18-afrobasket/6325
256_6329,256-fiba-u18-americup,6329,2016,3,18,continental,A,FIBA Americas,2016-07-19,2016-07-23,8,94,77,17.8617,0.574362,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6329
258_6332,258-fiba-u18-asia-cup,6332,2016,3,18,continental,A,FIBA Asia,2016-07-22,2016-07-31,12,141,124,17.766,0.633226,https://www.fiba.basketball/en/history/258-fiba-u18-asia-cup/6332
276_10628,276-fiba-u19-basketball-world-cup,10628,2017,4,19,world,A,FIBA World,2017-07-01,2017-07-09,16,192,173,18.7182,0.66399,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
249_6362,249-fiba-u17-basketball-world-cup,6362,2018,3,17,world,A,FIBA World,2018-06-30,2018-07-08,16,192,164,16.8707,0.549015,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/6362
254_6364,254-fiba-u18-afrobasket,6364,2018,3,18,continental,A,FIBA Africa,2018-08-24,2018-09-02,12,129,110,17.7563,0.613671,https://www.fiba.basketball/en/history/254-fiba-u18-afrobasket/6364
256_6366,256-fiba-u18-americup,6366,2018,3,18,continental,A,FIBA Americas,2018-06-10,2018-06-16,8,96,77,17.8115,0.525502,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6366
258_208014,258-fiba-u18-asia-cup,208014,2018,3,18,continental,A,FIBA Asia,2018-08-05,2018-08-11,16,192,149,17.7443,0.717247,https://www.fiba.basketball/en/history/258-fiba-u18-asia-cup/208014
276_208102,276-fiba-u19-basketball-world-cup,208102,2019,4,19,world,A,FIBA World,2019-06-29,2019-07-07,16,192,168,18.6256,0.728834,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208102
249_208162,249-fiba-u17-basketball-world-cup,208162,2020,3,17,world,A,FIBA World,2020-08-15,2020-08-23,16,0,0,,,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/208162
254_208311,254-fiba-u18-afrobasket,208311,2020,2,18,continental,A,FIBA Africa,2020-12-03,2020-12-09,4,48,38,17.7785,0.682833,https://www.fiba.basketball/en/history/254-fiba-u18-afrobasket/208311
256_208228,256-fiba-u18-americup,208228,2021,3,18,continental,A,FIBA Americas,2021-04-07,2021-04-11,0,0,0,,,https://www.fiba.basketball/en/history/256-fiba-u18-americup/208228
276_208299,276-fiba-u19-basketball-world-cup,208299,2021,4,19,world,A,FIBA World,2021-07-03,2021-07-11,16,192,174,18.7341,0.680857,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208299
249_208300,249-fiba-u17-basketball-world-cup,208300,2022,3,17,world,A,FIBA World,2022-07-02,2022-07-10,16,192,168,16.9275,0.502627,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/208300
254_208487,254-fiba-u18-afrobasket,208487,2022,3,18,continental,A,FIBA Africa,2022-08-04,2022-08-14,9,107,87,17.7421,0.670292,https://www.fiba.basketball/en/history/254-fiba-u18-afrobasket/208487
256_208444,256-fiba-u18-americup,208444,2022,3,18,continental,A,FIBA Americas,2022-06-06,2022-06-12,8,95,83,17.8103,0.545377,https://www.fiba.basketball/en/history/256-fiba-u18-americup/208444
258_208492,258-fiba-u18-asia-cup,208492,2022,3,18,continental,A,FIBA Asia,2022-08-21,2022-08-28,10,120,79,17.8237,0.759201,https://www.fiba.basketball/en/history/258-fiba-u18-asia-cup/208492
276_208303,276-fiba-u19-basketball-world-cup,208303,2023,4,19,world,A,FIBA World,2023-06-24,2023-07-02,16,192,171,18.7755,0.613254,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/208303
249_208542,249-fiba-u17-basketball-world-cup,208542,2024,3,17,world,A,World,2024-06-29,2024-07-07,16,192,182,17.0058,0.451997,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/208542
256_208738,256-fiba-u18-americup,208738,2024,3,18,continental,A,Americas,2024-06-03,2024-06-09,8,96,83,17.7521,0.612958,https://www.fiba.basketball/en/history/256-fiba-u18-americup/208738
