pid,fy_has_youth,fy_n_tournaments,fy_best_level,fy_age_rel_last,fy_age_rel_min,fy_underage_flag,fy_pts40_z_last,fy_pir40_z_last,fy_ts_z_last,fy_ast40_z_last,fy_stl_blk40_z_last,fy_usage_proxy_z_last,fy_best_pts40_z,fy_best_pir40_z,fy_z_trend,fy_minutes_share_last,fy_team_finish_last,fy_hoop_summit_world
P25bfc6427b,0,0,,,,,,,,,,,,,,,,0
P9668122fb9,0,0,,,,,,,,,,,,,,,,0
P64adb31e4d,1,1,4,-0.303334,-0.303334,0,2.27778,2.57246,2.14641,-0.61757,-0.297453,0.579661,2.27778,2.57246,,0.665119,2,0
Pd50459cb6d,0,0,,,,,,,,,,,,,,,,1
P0edb7d3b99,0,0,,,,,,,,,,,,,,,,0
Pf5fb4e36b6,0,0,,,,,,,,,,,,,,,,0
Pe2eac4ddf4,1,1,4,0.071759,0.071759,0,-0.403351,1.66973,1.6075,-0.843174,3.72128,-1.40997,-0.403351,1.66973,,0.397083,1,0
Pf20205fffb,0,0,,,,,,,,,,,,,,,,0
Pfa4c05beee,1,1,3,0.453309,0.453309,0,1.50996,2.08067,0.628881,0.0284253,2.26436,1.41811,1.50996,2.08067,,0.586726,1,0
Pb3a7a6f86b,1,1,3,0.111427,0.111427,0,1.03708,2.21142,1.04592,-1.15606,2.09586,0.0162024,1.03708,2.21142,,0.395,1,0
Pf8b83ac1f0,0,0,,,,,,,,,,,,,,,,0
P9c2d575f48,1,3,4,0.820825,-1.16896,1,2.11244,3.6839,3.23722,-0.00466453,2.97477,0.0864018,2.11244,3.6839,1.65431,0.469722,1,1
Pa466887b08,0,0,,,,,,,,,,,,,,,,0
P8e900c2247,0,0,,,,,,,,,,,,,,,,0
Pfd95ad31d4,1,1,3,0.388555,0.388555,0,1.74171,2.24754,1.47448,0.0695499,1.55639,0.59044,1.74171,2.24754,,0.305,1,0
Pcf60b82b9d,0,0,,,,,,,,,,,,,,,,0
Pa307fde308,0,0,,,,,,,,,,,,,,,,0
P521ea871d2,0,0,,,,,,,,,,,,,,,,0
Pd5a40a7ee0,0,0,,,,,,,,,,,,,,,,0
Pd46f6361f5,0,0,,,,,,,,,,,,,,,,0
P83cf60968a,1,1,3,-0.0727666,-0.0727666,0,0.463915,0.680249,0.294204,-0.638098,-0.513981,0.298998,0.463915,0.680249,,0.442857,10,0
P9260f65add,0,0,,,,,,,,,,,,,,,,0
P22b18d36a6,0,0,,,,,,,,,,,,,,,,0
P3ea09a4d42,0,0,,,,,,,,,,,,,,,,0
Pc72bfd628e,0,0,,,,,,,,,,,,,,,,0
P85b94bf602,0,0,,,,,,,,,,,,,,,,0
P16f60c6002,0,0,,,,,,,,,,,,,,,,0
Pc381c2ab50,1,1,3,0.365682,0.365682,0,1.14024,1.34271,1.79026,-0.613853,0.0390532,-0.189269,1.14024,1.34271,,0.325,1,0
P9b79feb6a3,1,1,3,0.239738,0.239738,0,-0.0852647,0.977311,0.401161,5.12336,-0.031421,0.14532,-0.0852647,0.977311,,0.53125,1,0
Pc5e9e5bdd9,0,0,,,,,,,,,,,,,,,,0
P9f8d851f22,0,0,,,,,,,,,,,,,,,,0
Pcb1e0b77ca,0,0,,,,,,,,,,,,,,,,0
P4879fe4868,0,0,,,,,,,,,,,,,,,,0
Pce6ddda209,0,0,,,,,,,,,,,,,,,,0
P55f0d03e7b,0,0,,,,,,,,,,,,,,,,0
Pa7cb2c7354,0,0,,,,,,,,,,,,,,,,0
Pa8fc4b7ad7,0,0,,,,,,,,,,,,,,,,0
P251ed0e7a3,0,0,,,,,,,,,,,,,,,,0
Pe40a7b9665,0,0,,,,,,,,,,,,,,,,0
P5f3e1d9a7e,0,0,,,,,,,,,,,,,,,,0
P09fcc624c4,0,0,,,,,,,,,,,,,,,,0
Pd7225b3a0b,0,0,,,,,,,,,,,,,,,,0
Pc01c642a9f,0,0,,,,,,,,,,,,,,,,0
Pbd6175d1ad,0,0,,,,,,,,,,,,,,,,0
P6bc657fff3,0,0,,,,,,,,,,,,,,,,0
P287f82c404,0,0,,,,,,,,,,,,,,,,0
Pa78dfd4260,0,0,,,,,,,,,,,,,,,,0
P049f342950,1,1,3,-0.16175,-0.16175,0,0.652439,1.13603,1.7548,-0.316738,-0.814071,-0.148521,0.652439,1.13603,,0.221429,4,0
P41923cb473,0,0,,,,,,,,,,,,,,,,0
P53698aab75,0,0,,,,,,,,,,,,,,,,0
P94ee422c65,0,0,,,,,,,,,,,,,,,,0
P6f658be6bb,1,1,4,0.0986943,0.0986943,0,0.986027,2.23795,0.824032,-0.414334,0.984695,0.888376,0.986027,2.23795,,0.248698,1,0
Pe0da967ad1,1,3,4,-0.531482,-0.721895,0,0.908554,0.60465,0.616979,-0.409868,1.1229,0.992402,0.908554,0.8811,0.852269,0.497222,4,0
Pdc4a696341,0,0,,,,,,,,,,,,,,,,0
P2bc89b6490,1,2,4,0.656381,0.656381,0,0.484301,0.554446,1.64163,2.77935,-0.102424,0.486505,0.484301,0.554446,0.719421,0.25625,5,0
Pc9bdc2e95f,0,0,,,,,,,,,,,,,,,,0
P7719d3d89b,0,0,,,,,,,,,,,,,,,,0
Pe666c9e1f4,0,0,,,,,,,,,,,,,,,,0
Pc00908f11e,0,0,,,,,,,,,,,,,,,,0
Pd7d10f6f4c,0,0,,,,,,,,,,,,,,,,0
P939e5ded71,0,0,,,,,,,,,,,,,,,,0
Pdb13b813cd,0,0,,,,,,,,,,,,,,,,0
P7c761dbe92,0,0,,,,,,,,,,,,,,,,0
P420da53cac,0,0,,,,,,,,,,,,,,,,0
P401c3c358c,0,0,,,,,,,,,,,,,,,,0
P2a21698f4f,0,0,,,,,,,,,,,,,,,,0
P7758d7472f,0,0,,,,,,,,,,,,,,,,0
Pb3e495f583,0,0,,,,,,,,,,,,,,,,0
P848f12bb0d,0,0,,,,,,,,,,,,,,,,0
Pfff80834af,0,0,,,,,,,,,,,,,,,,0
P608846acfb,0,0,,,,,,,,,,,,,,,,0
P8935abbbb4,0,0,,,,,,,,,,,,,,,,0
P5605a2fa7e,0,0,,,,,,,,,,,,,,,,0
Pfd99951c4d,0,0,,,,,,,,,,,,,,,,0
Pd1cda3e821,0,0,,,,,,,,,,,,,,,,0
P25e61f80f8,1,1,3,0.279674,0.279674,0,1.9617,2.65175,1.56545,2.90939,2.95846,1.01727,1.9617,2.65175,,0.545083,1,0
P6e7d02b021,0,0,,,,,,,,,,,,,,,,0
P8a2034c01d,1,2,4,-1.2616,-1.2616,1,2.00628,1.63278,0.482959,0.258758,1.60581,1.80165,2.06866,1.63278,0.502903,0.55631,1,0
Pe56ae9c7aa,1,2,4,-0.20477,-0.20477,0,1.20812,1.5396,0.711061,0.0394931,1.56245,1.07637,1.30883,2.08558,-0.545975,0.593155,1,0
P6f43cf2ee3,0,0,,,,,,,,,,,,,,,,0
Pe3864f9800,0,0,,,,,,,,,,,,,,,,0
Pf62abcdcde,0,0,,,,,,,,,,,,,,,,0
P46cfb45fde,0,0,,,,,,,,,,,,,,,,0
Pbe6ed6fd51,0,0,,,,,,,,,,,,,,,,0
Pe6fe5c747b,0,0,,,,,,,,,,,,,,,,0
P4a000d48b0,0,0,,,,,,,,,,,,,,,,0
P71b16faf7a,1,1,3,0.322246,0.322246,0,2.6237,2.54883,2.02905,0.204376,1.63418,0.915404,2.6237,2.54883,,0.41,1,0
Pdb3bcb3fc8,0,0,,,,,,,,,,,,,,,,0
Pf18fe42b62,0,0,,,,,,,,,,,,,,,,0
P24e5e8b7dc,0,0,,,,,,,,,,,,,,,,0
P2c3a1eb46b,0,0,,,,,,,,,,,,,,,,0
P459acdec33,0,0,,,,,,,,,,,,,,,,0
Pcc7ddb9ab9,0,0,,,,,,,,,,,,,,,,0
P49d50fc2b5,0,0,,,,,,,,,,,,,,,,0
P3e0fd9667f,1,2,4,-1.3985,-1.3985,1,2.27077,2.2741,0.240765,-0.885723,0.831903,2.89318,2.27077,2.2741,0.266589,0.530714,1,0
P54d4de841c,1,2,4,-1.46694,-1.46694,1,-0.470807,-1.00805,0.11797,-0.672363,-1.2527,-0.976405,0.691227,0.129999,-1.13805,0.551548,1,0
P0af0ac79ae,1,1,3,0.383715,0.383715,0,0.657189,1.04521,0.231393,-0.345731,0.756259,0.568566,0.657189,1.04521,,0.595667,1,0
P1e22570fac,0,0,,,,,,,,,,,,,,,,0
P63f00af37c,1,1,3,0.530327,0.530327,0,-0.0723699,0.993532,0.496721,-0.696986,0.685357,-0.602535,-0.0723699,0.993532,,0.405,1,0
Pe5fb05fea3,0,0,,,,,,,,,,,,,,,,0
P204a101867,1,2,4,-0.388209,-0.388209,0,0.725783,1.1588,1.4369,-0.744609,0.512236,0.324154,1.53309,2.71894,-1.56015,0.345298,1,0
P032d23c9d9,0,0,,,,,,,,,,,,,,,,0
P2e6be7d23b,0,0,,,,,,,,,,,,,,,,0
Pa79b34cca8,0,0,,,,,,,,,,,,,,,,0
P1ea9c7c88d,0,0,,,,,,,,,,,,,,,,0
P38e6db5ca1,0,0,,,,,,,,,,,,,,,,0
P27a35575e9,0,0,,,,,,,,,,,,,,,,0
P57703dc960,0,0,,,,,,,,,,,,,,,,0
P5351e63d76,0,0,,,,,,,,,,,,,,,,0
Pf781dda14b,1,1,3,0.469736,0.469736,0,0.942454,1.55221,2.24158,-0.552189,0.101432,-0.00166511,0.942454,1.55221,,0.249167,1,0
P964dd1e5f4,1,1,4,-1.13063,-1.13063,1,-0.615893,1.10492,0.668923,0.446321,1.7315,-1.35874,-0.615893,1.10492,,0.252188,4,0
Pc4f84bc197,0,0,,,,,,,,,,,,,,,,0
P551a484de7,0,0,,,,,,,,,,,,,,,,0
P16938f3fa9,1,1,4,0.340074,0.340074,0,-1.40679,-0.599661,-0.421867,2.46028,0.432348,-1.34609,-1.40679,-0.599661,,0.312976,1,0
P86ef73625c,0,0,,,,,,,,,,,,,,,,0
P1804943702,1,1,4,0.775401,0.775401,0,2.00038,1.92799,1.92562,-0.169838,0.704563,0.457353,2.00038,1.92799,,0.63744,4,0
P74d19df6a2,0,0,,,,,,,,,,,,,,,,0
P2ad4235514,0,0,,,,,,,,,,,,,,,,0
Pd59c0506ca,0,0,,,,,,,,,,,,,,,,0
Pc32fe4a167,1,2,4,0.849325,0.743884,0,3.01612,1.05851,0.589325,0.473392,-0.288323,4.11304,3.64386,2.86616,-1.80765,0.617014,5,0
P22340c4458,0,0,,,,,,,,,,,,,,,,0
