pid,draft_year,source_id,publisher,mock_rank,listed_count,source_url,archive_url,source_last_updated_date,capture_utc,draft_date,rank_facts_sha256,table_sha256,match_method
P5492e07ad3,2015,dx_2015,dx,16,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P3cfad83e39,2015,dx_2015,dx,17,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P9a02cf437c,2015,dx_2015,dx,18,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P8d6369038a,2015,dx_2015,dx,19,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P94d904f95a,2015,dx_2015,dx,20,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P16f77dc0c6,2015,dx_2015,dx,21,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
Pb4e1522182,2015,dx_2015,dx,22,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P1c43036b93,2015,dx_2015,dx,23,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P1b292d5147,2015,dx_2015,dx,24,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
Pd0eaa15469,2015,dx_2015,dx,25,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
Pcf63b744fe,2015,dx_2015,dx,26,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
Pb067831a66,2015,dx_2015,dx,27,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P128f74a48f,2015,dx_2015,dx,29,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
Pe71646e585,2015,dx_2015,dx,30,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
Pf634b73f97,2015,dx_2015,dx,31,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
Pa24dadc449,2015,dx_2015,dx,34,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P2e8c779b09,2015,dx_2015,dx,36,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P4a125216bc,2015,dx_2015,dx,37,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
Pd3473cff83,2015,dx_2015,dx,38,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
Pf21d262b1c,2015,dx_2015,dx,40,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P83f630794b,2015,dx_2015,dx,41,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
