pid,draft_year,vcons_dx_rank,vcons_nbadraft_rank,vcons_walter_serious_rank
Pb3e461d4cf,2020,,41.0,
Pb3e495f583,2016,,59.0,
Pb4e1522182,2015,22.0,,
Pb69fbd28c6,2019,,52.0,
Pb7270acc46,2025,,53.0,
Pb74dcb5e35,2025,,50.0,
Pb7d583a85a,2020,,17.0,
Pb88d2f0541,2015,55.0,,
Pb9c495a67d,2015,2.0,2.0,
Pb9eccb67f7,2025,,9.0,
Pba3a4faeb9,2017,60.0,,
Pba698d642d,2020,,9.0,1.0
Pba95727095,2021,,42.0,
Pbb5225b691,2018,,52.0,
Pbbefe0eca9,2026,,4.0,
Pbc4309c829,2019,,7.0,4.0
Pbccc770021,2022,,51.0,
Pbd6175d1ad,2016,57.0,,
Pbe096a5b87,2026,,52.0,
Pbe6b6d05a9,2018,,25.0,
Pbea2d75e26,2019,,10.0,10.0
Pbf5a7a4d5b,2023,,33.0,
Pbfadf35dca,2021,,48.0,
Pbfdaa31fd0,2022,,2.0,
Pbfe4edf289,2016,30.0,23.0,
Pc074e62881,2023,,44.0,
Pc0a66d6cca,2025,,31.0,
Pc131e1ee6f,2021,,39.0,
Pc1c99fe2be,2016,15.0,13.0,
Pc2d24d5902,2020,,23.0,15.0
Pc2ef5dcf11,2025,,44.0,
Pc32fe4a167,2017,41.0,48.0,
Pc3390f55d0,2015,5.0,6.0,
Pc3b8b90cf8,2019,,50.0,
Pc3e0235987,2021,,3.0,
Pc4ba85a58f,2023,,40.0,
Pc4f84bc197,2017,24.0,34.0,
Pc53511377b,2019,,45.0,
Pc5a8d9d1d6,2016,20.0,31.0,
Pc624860c4a,2021,,40.0,
Pc69570e4d2,2022,,46.0,
Pc74b3d476e,2020,,51.0,
Pc97a1282a3,2021,,4.0,
Pcaa6f4e965,2018,,5.0,4.0
Pcb16689c6c,2025,,12.0,
Pcc7ddb9ab9,2017,19.0,20.0,
Pce2a43b358,2015,14.0,9.0,
Pce7c8a9da0,2022,,6.0,
Pceb9387e05,2020,,56.0,
Pcf11d56327,2021,,60.0,
Pcf591b3097,2024,,27.0,
Pcf60b82b9d,2016,32.0,49.0,
Pcf63b744fe,2015,26.0,17.0,
Pcfe0d93659,2015,48.0,39.0,
Pd018d62aee,2024,,20.0,
Pd064221ae2,2018,,23.0,
Pd0d6a519f5,2026,,41.0,
Pd0eaa15469,2015,25.0,29.0,
Pd10e0b97d9,2026,,14.0,
Pd1401169e8,2024,,26.0,
Pd17e70140c,2019,,16.0,
Pd3473cff83,2015,38.0,56.0,
Pd3ead775c1,2024,,58.0,
Pd4282e2cb6,2018,,3.0,6.0
Pd46f6361f5,2016,58.0,40.0,
Pd4c3f94c64,2025,,37.0,
Pd50459cb6d,2016,18.0,21.0,
Pd50729b5d0,2019,,49.0,
Pd51160cf5e,2026,,37.0,
Pd5316f2e65,2022,,40.0,
Pd59c0506ca,2017,,39.0,
Pd5a40a7ee0,2016,47.0,36.0,
Pd5f2794063,2023,,41.0,
Pd6b4848f72,2022,,37.0,
Pd70c9ef8df,2020,,7.0,
Pd742da0a27,2023,,31.0,
Pd7c989b67a,2016,31.0,35.0,
