pid,draft_year,vcmb_height_without_shoes_in,vcmb_height_with_shoes_in,vcmb_weight_lb,vcmb_wingspan_in,vcmb_standing_reach_in,vcmb_body_fat_pct,vcmb_hand_length_in,vcmb_hand_width_in,vcmb_standing_vertical_in,vcmb_max_vertical_in,vcmb_lane_agility_s,vcmb_modified_lane_agility_s,vcmb_three_quarter_sprint_s,vcmb_bench_press_reps,vcmb_bmi_kg_m2,vcmb_wingspan_minus_height_in,vcmb_spot_15ft_made,vcmb_spot_15ft_attempted,vcmb_spot_15ft_pct,vcmb_spot_college3_made,vcmb_spot_college3_attempted,vcmb_spot_college3_pct,vcmb_spot_nba3_made,vcmb_spot_nba3_attempted,vcmb_spot_nba3_pct,vcmb_off_dribble_15ft_made,vcmb_off_dribble_15ft_attempted,vcmb_off_dribble_15ft_pct,vcmb_off_dribble_college3_made,vcmb_off_dribble_college3_attempted,vcmb_off_dribble_college3_pct,vcmb_on_move_15ft_made,vcmb_on_move_15ft_attempted,vcmb_on_move_15ft_pct,vcmb_on_move_college3_made,vcmb_on_move_college3_attempted,vcmb_on_move_college3_pct
P8eb153b63d,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P75585aef52,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P84a6c851a9,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4a4f2b1371,2019,78.25,79.5,200.0,82.0,103.0,6.5,8.5,9.75,32.0,35.5,10.98,3.21,3.26,1.0,22.964638353410873,3.75,,,,,,,,,,,,,,,,6.0,11.0,0.5454545454545454,,,
P5cd98708f1,2019,80.75,82.25,237.0,87.25,110.0,5.4,9.25,10.0,29.5,33.5,11.29,3.05,3.21,13.0,25.554158920258914,6.5,,,,,,,,,,,,,,,,22.0,31.0,0.7096774193548387,,,
P9537391b0e,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1ddfe32e8c,2019,76.75,77.5,192.2,82.25,102.5,5.0,8.25,9.0,28.0,35.5,10.44,2.99,3.32,7.0,22.940079696403597,5.5,,,,17.0,25.0,0.68,16.0,25.0,0.64,7.0,12.0,0.5833333333333334,,,,18.0,31.0,0.5806451612903226,,,
Pf6658be174,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4a79c6caeb,2019,78.5,80.0,230.4,86.5,106.5,8.6,9.0,10.25,,,,,,,26.287026840660847,8.0,,,,,,,,,,,,,,,,,,,,,
P14a01dedf9,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P519f028bfb,2019,71.5,72.5,180.0,75.5,96.5,9.8,7.75,8.0,29.0,37.0,11.01,3.07,3.2,0.0,24.75476049392121,4.0,,,,15.0,25.0,0.6,16.0,25.0,0.64,7.0,12.0,0.5833333333333334,,,,25.0,36.0,0.6944444444444444,,,
P5277c76d51,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4f7a1b04a6,2019,79.0,80.0,203.2,84.0,104.0,2.9,9.0,9.5,34.0,37.5,11.3,3.18,3.48,11.0,22.891161445710175,5.0,,,,18.0,25.0,0.72,14.0,25.0,0.56,8.0,12.0,0.6666666666666666,10.0,12.0,0.8333333333333334,8.0,10.0,0.8,8.0,10.0,0.8
P47c5a2733b,2019,75.0,76.5,192.4,80.75,101.0,4.1,9.25,10.75,29.5,34.0,10.69,2.96,3.28,13.0,24.048104377346533,5.75,,,,17.0,25.0,0.68,19.0,25.0,0.76,8.0,12.0,0.6666666666666666,,,,20.0,33.0,0.6060606060606061,,,
Pbea2d75e26,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
