pid,draft_year,vcmb_height_without_shoes_in,vcmb_height_with_shoes_in,vcmb_weight_lb,vcmb_wingspan_in,vcmb_standing_reach_in,vcmb_body_fat_pct,vcmb_hand_length_in,vcmb_hand_width_in,vcmb_standing_vertical_in,vcmb_max_vertical_in,vcmb_lane_agility_s,vcmb_modified_lane_agility_s,vcmb_three_quarter_sprint_s,vcmb_bench_press_reps,vcmb_bmi_kg_m2,vcmb_wingspan_minus_height_in,vcmb_spot_15ft_made,vcmb_spot_15ft_attempted,vcmb_spot_15ft_pct,vcmb_spot_college3_made,vcmb_spot_college3_attempted,vcmb_spot_college3_pct,vcmb_spot_nba3_made,vcmb_spot_nba3_attempted,vcmb_spot_nba3_pct,vcmb_off_dribble_15ft_made,vcmb_off_dribble_15ft_attempted,vcmb_off_dribble_15ft_pct,vcmb_off_dribble_college3_made,vcmb_off_dribble_college3_attempted,vcmb_off_dribble_college3_pct,vcmb_on_move_15ft_made,vcmb_on_move_15ft_attempted,vcmb_on_move_15ft_pct,vcmb_on_move_college3_made,vcmb_on_move_college3_attempted,vcmb_on_move_college3_pct
Pfb1f04f295,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3ffd955342,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P659829b9e5,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdd3a369707,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P64f9a357ca,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdb02e7ce99,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9161b1752d,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pcc9fe4d64c,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8c6b1e4de6,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6a7cb1d3a8,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0326e23b0d,2021,81.25,82.25,230.2,87.0,107.5,5.9,9.0,9.5,33.0,36.0,12.19,3.33,3.13,,24.516410657769956,5.75,,,,,,,,,,,,,,,,,,,,,
P88205fde52,2021,76.0,77.25,205.0,80.0,101.0,6.6,8.5,10.0,30.5,38.5,11.09,3.33,3.07,,24.95312739370285,4.0,,,,,,,,,,,,,,,,,,,16.0,25.0,0.64
P90932c4b0a,2021,83.25,84.5,248.4,88.0,112.5,7.6,9.25,10.5,27.0,33.0,11.85,3.5,3.29,,25.198890217405467,4.75,,,,,,,,,,,,,,,,,,,10.0,25.0,0.4
P90d6ceb081,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P37de3fe8d7,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6e0353adf2,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18f1dedfcb,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
