pid,draft_year,vcmb_height_without_shoes_in,vcmb_height_with_shoes_in,vcmb_weight_lb,vcmb_wingspan_in,vcmb_standing_reach_in,vcmb_body_fat_pct,vcmb_hand_length_in,vcmb_hand_width_in,vcmb_standing_vertical_in,vcmb_max_vertical_in,vcmb_lane_agility_s,vcmb_modified_lane_agility_s,vcmb_three_quarter_sprint_s,vcmb_bench_press_reps,vcmb_bmi_kg_m2,vcmb_wingspan_minus_height_in,vcmb_spot_15ft_made,vcmb_spot_15ft_attempted,vcmb_spot_15ft_pct,vcmb_spot_college3_made,vcmb_spot_college3_attempted,vcmb_spot_college3_pct,vcmb_spot_nba3_made,vcmb_spot_nba3_attempted,vcmb_spot_nba3_pct,vcmb_off_dribble_15ft_made,vcmb_off_dribble_15ft_attempted,vcmb_off_dribble_15ft_pct,vcmb_off_dribble_college3_made,vcmb_off_dribble_college3_attempted,vcmb_off_dribble_college3_pct,vcmb_on_move_15ft_made,vcmb_on_move_15ft_attempted,vcmb_on_move_15ft_pct,vcmb_on_move_college3_made,vcmb_on_move_college3_attempted,vcmb_on_move_college3_pct
Pa6b76d042d,2022,76.25,77.5,217.2,84.5,101.0,7.5,8.75,10.25,32.5,38.5,10.94,3.21,3.3,,26.26506211407693,8.25,,,,,,,,,,,,,,,,,,,,,
Pd6b4848f72,2022,78.25,79.5,201.2,83.0,103.0,4.9,9.0,9.0,31.5,41.0,11.57,3.05,3.29,,23.102426183531335,4.75,,,,,,,,,,,,,,,,,,,18.0,25.0,0.72
P8c8d5105c2,2022,71.5,72.5,172.2,77.25,97.0,4.4,8.5,9.5,31.0,41.5,10.73,2.89,,,23.68205420585129,5.75,,,,,,,,,,,,,,,,,,,,,
Pa89859be17,2022,76.5,77.75,209.2,86.25,105.5,8.9,8.5,9.5,33.5,39.0,11.13,3.17,3.11,,25.132582521340023,9.75,,,,,,,,,,,,,,,,,,,13.0,25.0,0.52
P50d6953351,2022,81.75,83.0,244.4,88.0,111.0,9.5,8.75,10.0,23.0,27.5,11.4,3.23,3.55,,25.711297068344127,6.25,,,,,,,,,,,,,,,,,,,13.0,25.0,0.52
P8be99fecd0,2022,81.25,82.25,230.8,85.75,110.5,8.9,8.75,9.5,23.5,26.5,12.25,3.3,3.45,,24.580310946191602,4.5,,,,,,,,,,,,,,,,,,,12.0,25.0,0.48
Pa5128e8532,2022,84.25,85.0,256.0,88.25,113.0,14.7,8.5,8.5,,,,,,,25.357034033952903,4.0,,,,,,,,,,,,,,,,,,,,,
Pa2e8c74c1f,2022,80.75,82.0,236.6,85.0,108.5,8.0,8.5,10.5,24.5,30.0,11.64,3.1,3.5,,25.511029538115018,4.25,,,,,,,,,,,,,,,,,,,10.0,25.0,0.4
Pa067c50f94,2022,72.5,74.5,191.8,78.5,99.5,7.8,8.5,9.5,30.0,37.0,11.38,3.23,3.26,,25.654933721720006,6.0,,,,,,,,,,,,,,,,,,,,,
Pd5316f2e65,2022,77.25,78.5,181.2,80.75,103.5,5.4,8.75,9.5,29.5,34.0,11.12,3.16,3.27,,21.34811454938523,3.5,,,,,,,,,,,,,,,,,,,13.0,25.0,0.52
Pa06f6a14b5,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b1e823247,2022,77.5,79.0,209.2,78.5,99.5,6.2,8.0,8.5,33.5,40.0,11.0,3.13,3.16,,24.488184151594112,1.0,,,,,,,,,,,,,,,,,,,12.0,25.0,0.48
P9345155d6a,2022,82.75,84.0,221.0,89.25,113.0,5.7,9.0,10.75,28.0,33.5,11.3,3.19,3.27,,22.69104912883296,6.5,,,,,,,,,,,,,,,,,,,16.0,25.0,0.64
Pdd8eeaed18,2022,78.75,80.0,213.8,82.75,105.0,12.1,8.75,9.75,29.5,32.5,11.53,3.12,3.24,,24.238452184728008,4.0,,,,,,,,,,,,,,,,,,,11.0,25.0,0.44
Pafb050f1ad,2022,74.0,75.25,179.2,81.75,100.5,5.0,8.0,8.5,30.5,36.5,11.26,3.28,3.07,,23.007682372413683,7.75,,,,,,,,,,,,,,,,,,,12.0,25.0,0.48
Pbccc770021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P19ae0a39ff,2022,75.5,76.75,167.4,80.5,102.0,3.8,8.0,9.25,28.0,35.5,10.87,3.02,3.18,,20.647137867917245,5.0,,,,,,,,,,,,,,,,,,,15.0,25.0,0.6
P76f8234113,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4b5f95e771,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P868c7d320b,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pe54f989cc8,2022,76.0,77.5,240.4,85.25,105.5,14.3,9.5,10.0,26.0,30.5,11.41,3.24,3.4,,29.26210646559105,9.25,,,,,,,,,,,,,,,,,,,15.0,25.0,0.6
Pc25f9380ba,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P416088a2b5,2022,78.0,79.25,195.2,84.75,106.0,5.4,8.5,9.0,,,,,,,22.557393482176842,6.75,,,,,,,,,,,,,,,,,,,,,
P123f055136,2022,75.25,76.75,223.8,79.25,101.0,13.5,8.25,9.0,24.5,31.0,11.33,3.32,3.27,,27.787238008100378,4.0,,,,,,,,,,,,,,,,,,,,,
