pid,draft_year,cgd_observed_gp,cgd_two_m_pg,cgd_two_a_pg,cgd_three_m_pg,cgd_three_a_pg,cgd_ft_m_pg,cgd_ft_a_pg,cgd_points_pg,cgd_orb_pg,cgd_drb_pg,cgd_ast_pg,cgd_tov_pg,cgd_stl_pg,cgd_blk_pg,cgd_pf_pg,tctx_assists_per_made_fg,tctx_blocks_per_opponent_fga,tctx_defensive_rebound_share,tctx_efg,tctx_efg_margin,tctx_ft_attempts_per_fga,tctx_margin_pg,tctx_offensive_rebound_share,tctx_opponent_assists_per_made_fg,tctx_opponent_efg,tctx_opponent_ft_attempts_per_fga,tctx_opponent_points_pg,tctx_opponent_shot_attempts_pg,tctx_opponent_three_attempt_share,tctx_opponent_turnovers_per_fga,tctx_points_pg,tctx_shot_attempts_pg,tctx_steals_per_opponent_turnover,tctx_three_attempt_share,tctx_turnovers_per_fga
P1b292d5147,2015,35,5.828571428571428,9.685714285714285,0.2571428571428571,1.0571428571428572,3.257142857142857,5.457142857142857,15.685714285714285,3.1714285714285713,6.0,1.4,1.9714285714285715,0.9428571428571428,1.2,2.1142857142857143,0.4772209567198178,0.09805924412665985,0.6915959907478797,0.47705078125,0.03706099575459654,0.38671875,9.13888888888889,0.346829640947288,0.5528031290743155,0.43998978549540346,0.33299284984678246,59.833333333333336,54.388888888888886,0.3181818181818182,0.25842696629213485,68.97222222222223,56.888888888888886,0.5533596837944664,0.314453125,0.19921875
P0ba0d4e186,2015,39,1.6666666666666667,4.435897435897436,0.9230769230769231,2.41025641025641,3.230769230769231,4.076923076923077,9.333333333333334,0.3333333333333333,1.8974358974358974,3.5641025641025643,1.641025641025641,1.0256410256410255,0.20512820512820512,1.794871794871795,0.5497017892644135,0.12618147448015124,0.681786941580756,0.5151162790697674,0.11932232821910582,0.4386046511627907,20.05128205128205,0.39501206757843926,0.4013333333333333,0.3957939508506616,0.31710775047258977,54.30769230769231,54.256410256410255,0.3052930056710775,0.2523629489603025,74.35897435897436,55.12820512820513,0.4737827715355805,0.27069767441860465,0.18976744186046512
Peda2227014,2015,39,2.230769230769231,4.6923076923076925,1.5128205128205128,4.794871794871795,2.0256410256410255,2.58974358974359,11.025641025641026,0.38461538461538464,2.1794871794871793,1.4102564102564104,0.8974358974358975,1.1025641025641026,0.15384615384615385,1.564102564102564,0.5497017892644135,0.12618147448015124,0.681786941580756,0.5151162790697674,0.11932232821910582,0.4386046511627907,20.05128205128205,0.39501206757843926,0.4013333333333333,0.3957939508506616,0.31710775047258977,54.30769230769231,54.256410256410255,0.3052930056710775,0.2523629489603025,74.35897435897436,55.12820512820513,0.4737827715355805,0.27069767441860465,0.18976744186046512
P16f77dc0c6,2015,34,3.9705882352941178,7.235294117647059,0.7647058823529411,2.1470588235294117,4.470588235294118,5.352941176470588,14.705882352941176,1.0,4.0,5.029411764705882,1.9705882352941178,2.0588235294117645,1.0,1.4411764705882353,,,,,,,,,,,,,,,,,,,,
P3cfad83e39,2015,34,3.5588235294117645,7.264705882352941,2.2058823529411766,7.411764705882353,5.794117647058823,6.529411764705882,19.529411764705884,0.7941176470588235,3.9411764705882355,3.4705882352941178,2.176470588235294,2.1470588235294117,1.0,2.411764705882353,,,,,,,,,,,,,,,,,,,,
P94d904f95a,2015,40,4.075,6.375,1.25,3.775,2.0,2.825,13.9,1.925,3.575,1.225,0.9,0.525,0.45,1.05,0.4970414201183432,0.0607074569789675,0.762779552715655,0.5475177304964539,0.07094029263794532,0.3617021276595745,14.325,0.3213087248322148,0.39955357142857145,0.4765774378585086,0.22418738049713194,58.175,52.3,0.25717017208413,0.1806883365200765,72.5,52.875,0.4603174603174603,0.3735224586288416,0.13995271867612294
P67cf99c3eb,2015,35,3.8857142857142857,8.114285714285714,2.7142857142857144,6.6,3.3714285714285714,4.457142857142857,19.285714285714285,1.0,4.6571428571428575,5.0,2.914285714285714,1.5714285714285714,0.3142857142857143,2.1142857142857143,,,,,,,,,,,,,,,,,,,,
P5a591d3e24,2015,39,3.6666666666666665,6.358974358974359,0.05128205128205128,0.20512820512820512,2.7948717948717947,3.4358974358974357,10.282051282051283,2.358974358974359,4.333333333333333,1.1282051282051282,1.358974358974359,0.46153846153846156,2.2564102564102564,2.948717948717949,0.5497017892644135,0.12618147448015124,0.681786941580756,0.5151162790697674,0.11932232821910582,0.4386046511627907,20.05128205128205,0.39501206757843926,0.4013333333333333,0.3957939508506616,0.31710775047258977,54.30769230769231,54.256410256410255,0.3052930056710775,0.2523629489603025,74.35897435897436,55.12820512820513,0.4737827715355805,0.27069767441860465,0.18976744186046512
Pe7f5f31a46,2015,30,4.633333333333334,7.9,0.6,1.4333333333333333,3.3666666666666667,4.733333333333333,14.433333333333334,2.8,5.2,0.8333333333333334,1.9,0.7,2.7,2.433333333333333,,,,,,,,,,,,,,,,,,,,
Pc3390f55d0,2015,39,3.2564102564102564,6.3076923076923075,1.1794871794871795,2.8205128205128207,2.5641025641025643,4.0,12.615384615384615,1.2564102564102564,5.205128205128205,2.1025641025641026,1.8205128205128205,1.3333333333333333,0.8717948717948718,2.769230769230769,0.535031847133758,0.06532222709338009,0.6983791402396053,0.5661798265632132,0.10081375904896506,0.3984481971702419,15.102564102564102,0.35771704180064307,0.4698544698544699,0.46536606751424814,0.23936869793950022,64.15384615384616,58.48717948717949,0.2775098640946953,0.210872424375274,79.25641025641026,56.17948717948718,0.577962577962578,0.3340940209949795,0.19214970333181197
P9b0b27ae5d,2015,39,3.4615384615384617,6.051282051282051,0.0,0.0,2.0256410256410255,3.282051282051282,8.948717948717949,2.282051282051282,4.153846153846154,0.9743589743589743,1.2307692307692308,1.205128205128205,1.7179487179487178,2.0,0.5497017892644135,0.12618147448015124,0.681786941580756,0.5151162790697674,0.11932232821910582,0.4386046511627907,20.05128205128205,0.39501206757843926,0.4013333333333333,0.3957939508506616,0.31710775047258977,54.30769230769231,54.256410256410255,0.3052930056710775,0.2523629489603025,74.35897435897436,55.12820512820513,0.4737827715355805,0.27069767441860465,0.18976744186046512
Ped4ca8f8d6,2015,36,2.111111111111111,4.25,0.9444444444444444,2.638888888888889,2.1944444444444446,3.0555555555555554,9.25,1.1388888888888888,3.8333333333333335,0.7777777777777778,1.1944444444444444,1.1388888888888888,0.3611111111111111,1.9722222222222223,0.5466052934407365,0.08397312859884837,0.6836734693877551,0.4936740890688259,0.047416891372088876,0.42611336032388664,6.333333333333333,0.3494667760459393,0.4860606060606061,0.44625719769673705,0.3378119001919386,64.80555555555556,57.888888888888886,0.31957773512476007,0.20201535508637236,71.13888888888889,54.888888888888886,0.5629453681710214,0.28441295546558704,0.23431174089068826
Pec96a14b85,2015,39,5.769230769230769,9.923076923076923,1.0769230769230769,2.58974358974359,4.0,5.128205128205129,18.76923076923077,1.4871794871794872,6.717948717948718,2.641025641025641,1.6153846153846154,0.8461538461538461,1.4615384615384615,1.6666666666666667,0.4970414201183432,0.0607074569789675,0.762779552715655,0.5475177304964539,0.07094029263794532,0.3617021276595745,14.325,0.3213087248322148,0.39955357142857145,0.4765774378585086,0.22418738049713194,58.175,52.3,0.25717017208413,0.1806883365200765,72.5,52.875,0.4603174603174603,0.3735224586288416,0.13995271867612294
P7d77f683c0,2015,38,2.026315789473684,3.8421052631578947,1.5263157894736843,3.710526315789474,1.394736842105263,1.6842105263157894,10.026315789473685,0.4473684210526316,1.5526315789473684,1.105263157894737,0.9736842105263158,0.4473684210526316,0.05263157894736842,1.5263157894736843,0.5497017892644135,0.12618147448015124,0.681786941580756,0.5151162790697674,0.11932232821910582,0.4386046511627907,20.05128205128205,0.39501206757843926,0.4013333333333333,0.3957939508506616,0.31710775047258977,54.30769230769231,54.256410256410255,0.3052930056710775,0.2523629489603025,74.35897435897436,55.12820512820513,0.4737827715355805,0.27069767441860465,0.18976744186046512
Pce2a43b358,2015,33,4.515151515151516,8.909090909090908,2.484848484848485,6.666666666666667,3.8181818181818183,4.878787878787879,20.303030303030305,0.6363636363636364,3.1818181818181817,6.0,2.5757575757575757,1.7575757575757576,0.48484848484848486,2.0606060606060606,,,,,,,,,,,,,,,,,,,,
Peaf1686cc0,2015,34,2.9411764705882355,5.735294117647059,0.5,1.8235294117647058,2.764705882352941,3.2941176470588234,10.147058823529411,1.2941176470588236,5.235294117647059,0.5882352941176471,1.3823529411764706,0.29411764705882354,2.6176470588235294,2.411764705882353,0.5527638190954773,0.1387434554973822,0.7140661029976941,0.49101796407185627,0.07007555569489293,0.3658138268916712,7.088235294117647,0.37915543575920935,0.5056980056980057,0.42094240837696334,0.3481675392670157,60.26470588235294,56.1764705882353,0.3078534031413613,0.1586387434554974,67.3529411764706,54.029411764705884,0.42244224422442245,0.3413173652694611,0.23679912901469788
P2297a93a7f,2015,36,3.138888888888889,5.861111111111111,0.1111111111111111,0.8055555555555556,2.0833333333333335,2.8333333333333335,8.694444444444445,1.8055555555555556,3.4166666666666665,1.0555555555555556,1.1388888888888888,0.5277777777777778,0.4444444444444444,1.5833333333333333,0.5497017892644135,0.12618147448015124,0.681786941580756,0.5151162790697674,0.11932232821910582,0.4386046511627907,20.05128205128205,0.39501206757843926,0.4013333333333333,0.3957939508506616,0.31710775047258977,54.30769230769231,54.256410256410255,0.3052930056710775,0.2523629489603025,74.35897435897436,55.12820512820513,0.4737827715355805,0.27069767441860465,0.18976744186046512
