source_subject_id,source_team_id,source_season,cgd_observed_gp,cgd_two_m_pg,cgd_two_a_pg,cgd_three_m_pg,cgd_three_a_pg,cgd_ft_m_pg,cgd_ft_a_pg,cgd_points_pg,cgd_orb_pg,cgd_drb_pg,cgd_ast_pg,cgd_tov_pg,cgd_stl_pg,cgd_blk_pg,cgd_pf_pg
subject_09893bb872faa176c21f959f,team_c609adc5fbae0fad37642ea6,2017,,,,,,,,,,,,,,,
subject_57f7e3fd67772ec79a2f5c96,team_1c8fc546f23b7a9bf4d76d02,2017,7,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285
subject_68f3eeefefc9af15a4207839,team_9d4f41cd905ce17770d97a19,2017,26,0.2692307692307692,0.5769230769230769,0.07692307692307693,0.15384615384615385,0.5,0.5384615384615384,1.2692307692307692,0.19230769230769232,0.23076923076923078,0.15384615384615385,0.11538461538461539,0.07692307692307693,0.0,0.2692307692307692
subject_9432702ec1f58b1f8a7a5d15,team_af2d3e5cffba3848d1b0e4fc,2017,34,1.5294117647058822,3.411764705882353,1.3823529411764706,3.6176470588235294,1.2352941176470589,1.7352941176470589,8.441176470588236,0.23529411764705882,2.676470588235294,2.2058823529411766,1.2647058823529411,1.0294117647058822,0.17647058823529413,2.0
subject_3f74aa905fbd2f536f07d01f,team_d398b185eb1c428c44c80272,2017,30,2.566666666666667,4.8,0.7666666666666667,2.033333333333333,1.4666666666666666,2.0,8.9,2.033333333333333,4.4,1.8333333333333333,1.4666666666666666,0.36666666666666664,0.2,2.1
subject_d73682e2f3978aacef9518e3,team_ae334b2a7edadf1159ac5762,2017,24,2.7083333333333335,5.375,0.25,0.7083333333333334,1.9166666666666667,2.8333333333333335,8.083333333333334,0.4166666666666667,1.4583333333333333,3.9583333333333335,2.375,0.7083333333333334,0.041666666666666664,2.7083333333333335
subject_68b034fcd8e83e1e888d5047,team_de93a9ba0ed6f4c5feb94477,2017,29,1.9655172413793103,4.068965517241379,0.41379310344827586,1.9655172413793103,2.3448275862068964,3.4827586206896552,7.517241379310345,0.6551724137931034,2.413793103448276,1.7586206896551724,1.2413793103448276,1.2413793103448276,0.20689655172413793,3.2758620689655173
subject_c567b1659efc553a7091ffa8,team_897cb6393277fa25a1909377,2017,15,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.4,0.13333333333333333,0.13333333333333333,0.6666666666666666,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.4666666666666667,0.0,0.0,0.13333333333333333
subject_e67d8130390dd4c7b0f4acdd,team_36f5e01d6d5059c6b47de5de,2017,30,3.6,6.4,1.6,4.333333333333333,2.566666666666667,3.4,14.566666666666666,1.7333333333333334,2.6333333333333333,1.0666666666666667,2.033333333333333,0.43333333333333335,0.43333333333333335,3.0
subject_437b580c9ea0128b1691f5c9,team_9cd30518a706112557e3512d,2017,27,4.074074074074074,7.62962962962963,0.0,0.0,3.4074074074074074,4.7407407407407405,11.555555555555555,2.7777777777777777,3.5185185185185186,0.5555555555555556,1.9259259259259258,0.7777777777777778,0.3333333333333333,3.5925925925925926
subject_b6858d8ddeb0f1b4064b2509,team_523903a8432c50e18525bd58,2017,13,1.1538461538461537,2.5384615384615383,1.0,3.0,0.6153846153846154,0.9230769230769231,5.923076923076923,0.5384615384615384,1.1538461538461537,0.9230769230769231,1.2307692307692308,0.46153846153846156,0.0,1.4615384615384615
subject_3ef8e1171459a2005a552f8c,team_d32a2282eda048c018c21f8e,2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subject_9cdc4e1326f07132eda42623,team_5cae9de79d1ffbecd1dbbc36,2017,32,3.75,6.375,1.28125,3.75,3.625,4.4375,14.96875,0.84375,2.90625,2.40625,2.53125,1.0,0.3125,1.875
subject_4685e99fb9005ec96b769764,team_ece59d91bd9b2c2c29c2b541,2017,32,0.78125,2.1875,1.40625,4.03125,1.21875,1.875,7.0,0.28125,1.53125,1.46875,0.9375,0.5625,0.0,1.8125
subject_341d88207264bf401b79c826,team_d82586aebfa52c3ba83a8321,2017,22,0.6818181818181818,2.0454545454545454,0.45454545454545453,1.3636363636363635,0.5454545454545454,0.7727272727272727,3.272727272727273,0.4090909090909091,1.0909090909090908,0.9545454545454546,0.9090909090909091,0.5,0.18181818181818182,1.2727272727272727
subject_d02129c137a312b7ccde2188,team_c21c49fb99b653abe0707d4d,2017,23,3.5652173913043477,6.478260869565218,0.043478260869565216,0.17391304347826086,1.7826086956521738,2.8260869565217392,9.043478260869565,1.5217391304347827,3.391304347826087,1.1304347826086956,1.1304347826086956,0.5217391304347826,0.6086956521739131,1.608695652173913
subject_d43f719200fd17460773c9b5,team_e2bdb9f006e7bfbf0eeeb924,2017,30,3.0,6.033333333333333,1.2,3.2,2.8,3.7666666666666666,12.4,1.5,3.5,2.8333333333333335,1.9333333333333333,1.3666666666666667,0.4666666666666667,2.566666666666667
subject_941f76d74501f12585bcc4cc,team_acde5a08c33170b9582e7aa7,2017,32,3.75,7.3125,0.0,0.0,2.5625,4.125,10.0625,2.5625,3.1875,0.5625,1.84375,0.8125,0.8125,3.65625
subject_f79cd6aefefc0b108ae9a7ba,team_38efdf354572762b12121037,2017,38,3.026315789473684,5.131578947368421,0.0,0.0,1.3157894736842106,2.3947368421052633,7.368421052631579,2.4473684210526314,3.473684210526316,0.6052631578947368,1.0789473684210527,0.15789473684210525,0.5,2.289473684210526
subject_fb5fc9007d35f984339eb083,team_f9a4dd79b7fad478368f8067,2017,33,1.0303030303030303,2.787878787878788,2.090909090909091,4.7272727272727275,2.0,2.4545454545454546,10.333333333333334,0.48484848484848486,1.9090909090909092,1.3333333333333333,0.8181818181818182,1.0303030303030303,0.030303030303030304,1.2121212121212122
subject_25696f9d1a021a76759ca087,team_2b456f1e481b4059a30fcecc,2017,4,1.5,3.0,1.25,2.5,0.75,0.75,7.5,0.75,2.25,1.5,1.5,0.0,0.0,2.5
subject_10369fea1d81fe0e7ab91e22,team_7579eca5304a70a3314274ca,2017,27,0.8518518518518519,1.962962962962963,0.0,0.18518518518518517,0.8148148148148148,1.0740740740740742,2.5185185185185186,0.4074074074074074,1.7037037037037037,0.25925925925925924,0.8518518518518519,0.3333333333333333,0.1111111111111111,1.5555555555555556
subject_5e4e3817dd6f1d64a1da6ba6,team_955d3028056bdf0510c5673e,2017,,,,,,,,,,,,,,,
subject_18df18b79fcad8b37931d2df,team_e6172bc6d51098166f8d175a,2017,24,1.9583333333333333,3.7083333333333335,0.625,1.6666666666666667,2.5,3.0,8.291666666666666,1.625,4.0,3.5833333333333335,2.0833333333333335,0.9166666666666666,0.125,2.75
subject_18273fd2b1d2a40d6fad0a97,team_36f5e01d6d5059c6b47de5de,2017,30,0.5,1.2333333333333334,1.4333333333333333,3.966666666666667,1.1666666666666667,1.4333333333333333,6.466666666666667,0.16666666666666666,2.6,1.5,0.8333333333333334,1.0333333333333334,0.06666666666666667,1.8666666666666667
subject_23f4a8cd414ac7c8679183f4,team_74cb064b3c2538db55145737,2017,31,1.5161290322580645,3.5806451612903225,0.8709677419354839,2.7096774193548385,1.4193548387096775,1.935483870967742,7.064516129032258,1.064516129032258,2.4838709677419355,1.5161290322580645,1.3548387096774193,1.1935483870967742,0.0,1.967741935483871
subject_8d57e01bc5883b6fb42967a2,team_fcbfc15794255b6111ab2838,2017,22,2.5,4.318181818181818,0.5909090909090909,1.8181818181818181,1.8181818181818181,3.090909090909091,8.590909090909092,1.2727272727272727,2.1818181818181817,1.3636363636363635,1.7272727272727273,0.6818181818181818,0.13636363636363635,1.7727272727272727
subject_fa3811fc8e0f9596049ac88e,team_a8ae46a4d0c72359b300f714,2017,29,3.586206896551724,6.241379310344827,1.6551724137931034,4.344827586206897,1.8620689655172413,3.5172413793103448,14.0,1.3103448275862069,4.482758620689655,1.8275862068965518,2.206896551724138,0.7241379310344828,0.6206896551724138,2.2758620689655173
subject_05e2ad5e53da96c466f93f44,team_c609adc5fbae0fad37642ea6,2017,25,1.0,2.4,0.64,2.24,1.6,1.88,5.52,0.6,4.04,4.68,1.68,0.88,0.08,1.4
subject_239168b9f3fe24e2bc39e9b1,team_736dffc4d722f9af4a2d1edf,2017,30,0.03333333333333333,0.06666666666666667,0.43333333333333335,1.2,0.1,0.2,1.4666666666666666,0.2,0.5333333333333333,0.16666666666666666,0.1,0.06666666666666667,0.06666666666666667,0.4666666666666667
subject_201688f7c983b0d473e68b4d,team_e4ec866e404c863fe1e94b74,2017,31,3.903225806451613,7.32258064516129,1.2580645161290323,3.2580645161290325,3.2580645161290325,4.838709677419355,14.838709677419354,1.7419354838709677,4.225806451612903,1.064516129032258,1.4516129032258065,0.5161290322580645,0.3548387096774194,2.5161290322580645
subject_c4c028265c52202b2fef4d54,team_b77f8647481e7f93d471776c,2017,,,,,,,,,,,,,,,
subject_8c0cb7d243af3589ef1497d2,team_c5e0b1fb5f60b77c7ae5e03e,2017,27,3.259259259259259,5.777777777777778,0.5185185185185185,1.5555555555555556,1.3703703703703705,1.7777777777777777,9.444444444444445,1.5555555555555556,2.5925925925925926,1.4074074074074074,1.962962962962963,0.7037037037037037,0.37037037037037035,2.1481481481481484
subject_4d544ab17ba37be719fefbd4,team_2077c1532546bf18c9f83ac0,2017,23,1.173913043478261,2.652173913043478,0.21739130434782608,0.8695652173913043,0.7391304347826086,1.173913043478261,3.739130434782609,0.08695652173913043,0.9565217391304348,0.8260869565217391,0.9130434782608695,0.43478260869565216,0.043478260869565216,0.6956521739130435
subject_9fd21ffe34d8a8955b700509,team_f0076ad26a42d7d61d0fa7ad,2017,19,0.3684210526315789,0.8421052631578947,0.0,0.0,0.2631578947368421,0.3684210526315789,1.0,0.631578947368421,0.5263157894736842,0.3157894736842105,0.15789473684210525,0.15789473684210525,0.47368421052631576,1.368421052631579
subject_4322f22b5c72506b86ac70cf,team_be452b91c00a915c93f93773,2017,14,2.2142857142857144,6.142857142857143,1.3571428571428572,4.714285714285714,2.2857142857142856,2.857142857142857,10.785714285714286,1.0,1.2857142857142858,1.2857142857142858,1.8571428571428572,1.3571428571428572,0.0,1.6428571428571428
subject_3bc216f6c598916274a8b1a9,team_15114d3689025da463123ba3,2017,30,1.8333333333333333,5.5,0.9666666666666667,2.8,2.966666666666667,3.2666666666666666,9.533333333333333,0.43333333333333335,1.6666666666666667,2.566666666666667,1.5,0.9,0.03333333333333333,2.3
subject_e29ff0d3bafc47c04a345e3a,team_86de9e8837fe727e9f7fdbd5,2017,22,1.0,2.1363636363636362,0.0,0.0,1.0454545454545454,1.4545454545454546,3.0454545454545454,0.6363636363636364,1.5,0.13636363636363635,1.0454545454545454,0.0,0.5454545454545454,1.8181818181818181
subject_c607884dd2ba455301fbde73,team_8fabfcbf506b4df5c6345ef6,2017,13,1.2307692307692308,2.5384615384615383,0.15384615384615385,0.7692307692307693,0.9230769230769231,1.8461538461538463,3.8461538461538463,1.2307692307692308,1.6153846153846154,0.15384615384615385,0.7692307692307693,0.5384615384615384,0.15384615384615385,2.0
subject_436e551c4fb72adf69028ab9,team_d18cd5cb988c839ac5963170,2017,31,2.2903225806451615,5.129032258064516,1.032258064516129,3.3548387096774195,2.4193548387096775,3.225806451612903,10.096774193548388,1.7741935483870968,4.064516129032258,4.387096774193548,2.806451612903226,1.032258064516129,0.4838709677419355,3.0
subject_d8b33c48494bb53f8c9f61e9,team_016240ee6e3aecdd8d990faf,2017,15,0.0,0.0,0.2,0.4666666666666667,0.0,0.0,0.6,0.0,0.26666666666666666,0.2,0.26666666666666666,0.13333333333333333,0.0,0.5333333333333333
subject_7c0b1d88eb21aa060c1b9a5d,team_f16d3922d018cc31854c8060,2017,25,5.4,9.36,0.48,1.88,2.96,3.8,15.2,2.36,4.44,0.84,1.44,0.72,1.64,2.72
subject_1e40fe016e361043c133acb2,team_dea81558129999e3d10c1724,2017,36,0.5833333333333334,1.4166666666666667,0.8888888888888888,2.5277777777777777,1.2777777777777777,1.5833333333333333,5.111111111111111,0.3888888888888889,3.1666666666666665,1.7777777777777777,1.1388888888888888,1.6111111111111112,0.2222222222222222,1.2777777777777777
subject_e3f8a242e8805942d8081764,team_cda6664931f32d807d7d2d7a,2017,31,5.032258064516129,9.548387096774194,0.2903225806451613,0.5806451612903226,2.5161290322580645,3.6774193548387095,13.451612903225806,3.6129032258064515,5.354838709677419,1.2258064516129032,2.161290322580645,0.7096774193548387,0.25806451612903225,3.032258064516129
subject_e8dd5943d4633f53bc01dc72,team_8ab8c453e78569a3749c589b,2017,34,1.2058823529411764,2.911764705882353,1.2058823529411764,3.264705882352941,1.2058823529411764,1.5588235294117647,7.235294117647059,0.3235294117647059,1.5588235294117647,3.176470588235294,1.9411764705882353,0.5294117647058824,0.029411764705882353,1.9705882352941178
subject_f506605261775c18121ad297,team_50b35c3ac507268268d89ddd,2017,32,2.28125,5.21875,2.375,5.96875,2.125,2.71875,13.8125,0.71875,2.59375,2.5625,1.3125,0.875,0.03125,1.46875
subject_50e67079e9cdbed284ad38ea,team_c33dc5b613eb63e8908bb29f,2017,32,2.25,5.40625,1.78125,4.625,2.75,3.84375,12.59375,1.15625,3.3125,3.46875,2.53125,0.96875,0.625,2.1875
subject_2032680e1f781cbf6b3812fe,team_c816d6f31495d365cbbe9dd1,2017,19,2.736842105263158,5.157894736842105,0.0,0.0,1.0,2.3157894736842106,6.473684210526316,1.4210526315789473,3.263157894736842,0.6842105263157895,1.631578947368421,0.47368421052631576,0.3157894736842105,2.3684210526315788
subject_29007f638e6026a82d15fb37,team_38efdf354572762b12121037,2017,38,1.0,2.210526315789474,1.2105263157894737,3.0789473684210527,0.9473684210526315,1.605263157894737,6.578947368421052,1.236842105263158,2.8421052631578947,1.5263157894736843,1.4736842105263157,1.0,0.3157894736842105,2.736842105263158
subject_f2b703726f8bc00c0a05639b,team_66b848cf86f54cd3e79dd7b8,2017,30,0.0,0.36666666666666664,0.8333333333333334,2.566666666666667,0.43333333333333335,0.7,2.933333333333333,0.3,0.7,0.9333333333333333,1.1,0.36666666666666664,0.03333333333333333,1.4666666666666666
subject_b62ed87f9f095dd29e7d2eac,team_5fb60c338b53bc7e213158c9,2017,29,5.0,10.275862068965518,2.8620689655172415,7.172413793103448,2.6206896551724137,3.310344827586207,21.20689655172414,0.9655172413793104,2.586206896551724,3.0344827586206895,2.689655172413793,0.6896551724137931,0.3103448275862069,2.3448275862068964
subject_4a5580b923db2154f323eb28,team_be452b91c00a915c93f93773,2017,4,0.0,0.75,0.25,0.75,0.0,0.0,0.75,0.0,0.5,0.0,0.25,0.0,0.0,0.5
subject_d0af2f0e7eeaa9198bf70a39,team_20077f3f3978ea2e3a8d0839,2017,29,1.6206896551724137,3.6551724137931036,1.9655172413793103,5.241379310344827,1.6551724137931034,1.8620689655172413,10.793103448275861,0.7241379310344828,2.0,2.103448275862069,1.3448275862068966,0.6206896551724138,0.10344827586206896,1.4137931034482758
subject_7bf839b1fb28173cf578ea19,team_55908f376f6b5f48c54c3429,2017,32,3.15625,5.875,0.0,0.0,1.28125,1.875,7.59375,1.96875,3.25,1.1875,1.59375,0.40625,0.78125,2.46875
subject_54c517cc59d6ca47b15fab3d,team_de26e319aa132f8f730e9492,2017,16,0.0625,0.1875,0.0625,0.125,0.0,0.0,0.3125,0.0625,0.0,0.0,0.125,0.125,0.0,0.125
subject_cd33924762cc386e6585295d,team_5055ed6e8b7fda86d555eb41,2017,19,0.7894736842105263,2.1052631578947367,0.631578947368421,1.631578947368421,0.7894736842105263,0.8947368421052632,4.2631578947368425,0.42105263157894735,1.8421052631578947,1.3157894736842106,0.7368421052631579,0.631578947368421,0.2631578947368421,2.1052631578947367
