pid,tcf_season_final,tcf_conf_gp,tcf_conf_gp_share,tcf_usg,tcf_d_usg,tcf_ortg,tcf_d_ortg,tcf_adjoe,tcf_d_adjoe,tcf_drtg,tcf_d_drtg,tcf_adrtg,tcf_d_adrtg,tcf_bpm,tcf_d_bpm,tcf_obpm,tcf_d_obpm,tcf_dbpm,tcf_d_dbpm,tcf_ts,tcf_d_ts,tcf_efg,tcf_d_efg,tcf_ast_per,tcf_d_ast_per,tcf_tov_per,tcf_d_tov_per,tcf_orb_per,tcf_d_orb_per,tcf_drb_per,tcf_d_drb_per,tcf_stl_per,tcf_d_stl_per,tcf_blk_per,tcf_d_blk_per,tcf_ftr,tcf_d_ftr,tcf_tp3_pct,tcf_d_tp3_pct,tcf_tpar,tcf_d_tpar,tcf_tpa100,tcf_d_tpa100,tcf_porpag,tcf_d_porpag,tcf_minper,tcf_d_minper,tcf_pts_pg,tcf_d_pts_pg,tcf_reb_pg,tcf_d_reb_pg,tcf_ast_pg,tcf_d_ast_pg
P32b1031886,2021,15,0.652174,23.9,0.7,108.3,7.2,109.093,6.494,98.1092,-2.2718,101.313,-2.105,1.30381,1.11054,0.748345,0.996612,0.55547,0.113935,56.4,2.51,53.5,2.7,15.6,1.5,14.8,-1.4,4.3,0.2,17.8,1.3,2.6,0,2.3,0.4,28.8,-1.3,0.364,0.025,0.258824,0.0189861,5.37027,0.65298,2.72405,0.79046,82.3,2,14.5333,1.1871,6.3333,1.0256,2.2667,0.3821
P32d7e7e1eb,2020,17,0.548387,24.8,0.2,109.9,0,123.575,1.445,90.973,6.3592,86.4587,4.8161,5.65768,-2.06461,1.09557,-1.08934,4.56212,-0.97526,59.99,-1.13,55.5,0,9.6,-1.9,17.2,-2.8,6.8,-1.5,27.6,-0.1,2.5,-0.6,3.5,-0.5,56.4,-12.9,0.412,-0.007,0.104294,-0.0131298,2.01457,-0.0244,3.96664,0.29422,70.6,0.9,14.5882,0.7495,8.8235,-0.2088,1.2941,-0.1898
P32ff4229d3,2024,20,0.606061,28.3,0.5,115.7,3,135.481,6.542,98.0136,4.5595,90.1052,2.4893,10.9387,1.12885,6.08489,1.0697,4.85379,0.05913,59.93,0.18,56.7,0.3,25.2,1.9,13.7,-2.4,3.4,0,24.1,0.4,3.1,0.2,2.2,-0.6,36.2,-1.4,0.393,0.016,0.460526,-0.0211152,11.2854,0.0702,5.88345,0.9987,90.4,8.1,21.35,1.5924,9,0.3333,3.85,0.2136
P331cffbdbb,2014,18,0.514286,26,1.3,121.7,2.4,139.97,7.721,112.797,5.023,107.825,3.723,5.22224,1.27288,6.47842,1.35521,-1.25618,-0.08233,62.92,0.75,55.6,-0.3,16.6,4.4,15.1,-0.4,1.7,0,10.7,-0.8,0.9,-0.1,0.4,0,58.9,-2.2,0.414,0.004,0.428571,-0.0197044,9.21072,0.07897,6.51776,0.93612,90.9,-0.6,20.6667,0.7238,4,-0.4286,2.4444,0.5301
P3326a2a68b,2009,18,0.473684,24.6,-0.1,105,-4,118.397,-1.998,99.9948,6.2773,91.4798,3.8172,5.04538,-1.29639,1.26317,-0.96888,3.7822,-0.32752,54.49,-1.19,51.8,-0.7,9.1,0.3,17.5,1.7,9.3,-0.2,15.4,-1.6,1.9,-0.3,4.7,-0.1,40.1,1.8,,,0,-0.00430108,0,-0.0952854,3.68543,-0.15461,80,1.4,16,-0.1053,7.1667,-0.307,1.3889,0.1521
P334022cd7d,2017,16,0.615385,15.9,-1.2,101.5,-8.5,104.023,-7.287,119.659,9.813,109.191,4.352,-1.61557,-0.48339,-0.97628,-0.845945,-0.639291,0.362549,60.2,-4.52,57.1,-3.7,3.5,-1.5,27.1,2.5,10.2,-0.1,15,-4.1,0.4,0.1,3.2,0.8,14.3,-23.5,,,0,0,0,0,0.5449,-0.47483,21.5,-3.9,2.8125,-1.5337,2.125,-1.2596,0.1875,-0.1587
P3364db28a5,2021,13,0.52,21.5,-0.7,105.4,-5.8,112.25,-5.939,101.916,0.918,97.4125,0.1218,2.62202,-1.80879,1.54343,-1.23343,1.07859,-0.57536,56.08,-4.02,50.6,-4.6,4.3,-2.9,13.4,-0.1,4.8,0.6,18.5,0,1.7,0.3,2.8,-0.9,31.3,0,0.328,-0.055,0.355828,-0.0151395,6.96786,-0.55497,3.2929,-0.52986,87.9,4.3,16.1538,-1.0684,7.1538,0.339,0.7692,-0.453
P337ea84d5c,2012,18,0.5625,21.3,1.2,109,-1.6,119.011,2.261,109.799,4.889,103.269,3.121,5.21606,0.37473,4.79026,0.42099,0.425802,-0.04626,54.86,0.99,50.7,2,12.5,2.8,17.4,2.3,3.4,-1.4,7.9,-1.4,2.1,0.1,0.7,-0.1,34.8,-0.3,0.345,0.025,0.547264,-0.01073,10.9867,0.2088,3.65474,0.42246,79,4,14.2778,1.7466,3.3333,-0.5729,1.7778,0.434
P337fb06bb7,2012,16,0.516129,32,1.5,103.1,1,114.83,2.004,105.113,0.347,108.189,2.864,-1.65201,-0.983081,0.466914,-0.576136,-2.11893,-0.40695,54.55,0.25,50.7,-0.6,20.5,3.5,20.7,2.1,4,0.9,14.7,-0.9,1.1,-0.3,0.6,-0.1,32.8,1.7,0.415,-0.005,0.395522,0.041315,11.3027,1.38691,3.48087,0.24902,86.1,0.3,21.125,0.5766,5.25,-0.0726,2.9375,0.6149
P338a42b9d0,2019,18,0.545455,28.4,0.5,101.2,-0.2,111.266,-0.404,94.7594,-0.271,93.9099,0.2099,1.44768,-0.93461,-0.0376885,0.109857,1.48537,-1.04446,52.42,-0.24,49.2,-0.1,13.7,-2.2,15.9,-0.6,7.6,0.3,22.8,0.1,1.9,-0.2,1.3,-0.6,23.4,-4.9,0.289,-0.017,0.145594,-0.0173021,3.81548,-0.24213,2.66194,0.02946,80.6,2.3,16.8889,0.9771,8.6111,0.3464,1.8333,-0.2843
P3391f209f3,2009,18,0.529412,27,-1,106.7,-2.2,123.839,-2.702,105.283,4.042,96.1186,1.6419,4.41589,-1.14701,2.90972,-0.64676,1.50616,-0.50027,55.96,-0.08,53.9,0.2,9.7,0.1,18,0.5,13.3,-2.1,21,-1.2,1.5,0,4.1,-1.5,36.1,-2.1,,,0,0,0,0,4.92269,-0.1756,91.8,5.5,17.5556,-0.7091,10.0556,-0.9738,1.5,0.0294
P33a3ea1e89,2013,16,0.444444,16.8,-1.2,112.8,-9.1,110.971,-10.503,104.572,7.094,99.7693,6.087,4.51719,-1.05261,3.71844,-1.85127,0.798753,0.798663,56.7,-2.92,54.6,-4.5,5.1,0.6,15.6,4.7,2.2,-0.4,10,-1.8,2.2,0.2,0.3,-0.1,13.6,6,0.368,-0.035,0.835714,-0.0270308,15.3514,-3.5608,2.46108,-0.81966,68.9,3.7,10.5625,-1.6875,2.75,-0.3611,0.8125,0.1736
P34557a899a,2015,18,0.545455,20,-0.3,112.9,-0.4,114.995,0.137,98.9144,-0.5611,100.377,1.0011,4.27189,-0.21849,2.66867,-0.27467,1.60323,0.05619,51.01,-4.07,48.3,-4,14.9,1.7,10,-4.2,6.7,-1.9,11.3,0.6,1.4,-0.1,3.6,0.4,19.4,-6.6,0.347,-0.06,0.28,0.00347267,5.73295,0.47964,2.73163,-0.14176,71.3,-4,10.8333,-0.7255,4.5556,-0.5032,2.0556,0.2321
P34a08a87d4,2020,17,0.566667,24.4,0.2,90.8,-8.5,99.5618,-8.3492,99.2522,4.8966,93.6961,3.0337,2.55637,-2.10905,0.256351,-2.10513,2.30002,-0.00392,46.95,-4.94,38.6,-4.8,32.1,-4.1,26.2,1.1,0.7,-0.2,11.9,0.1,3.2,-0.2,0.8,0.1,50.3,-3.3,0.222,-0.036,0.235294,0.00133185,3.78173,0.13231,1.62262,-0.95091,77.6,-1.9,10.4706,-1.0294,3.9412,0.0412,5.6471,-0.6862
P34c7aa9885,2025,18,0.45,15.7,-1.7,124.7,0.2,128.221,0.751,104.188,5.1609,94.1218,2.3487,8.79837,-0.8162,5.76613,-0.28412,3.03224,-0.53208,61.1,-1.28,59.6,0.4,7.6,-2.3,11.8,-4.1,3.4,-0.6,11,0,2.5,-0.5,1.1,0,16.9,-8.4,0.375,0.016,0.604651,0.0178091,10.1927,0.20321,4.33453,0.19703,81.2,2.1,12.6111,-0.6639,4.4444,-0.1306,1.4444,-0.4056
P351397d42c,2025,17,0.586207,23.1,-1.4,91,-12.4,102.239,-11.651,97.6335,-1.1845,89.9548,-3.4257,3.28855,-0.68414,0.16321,-1.28068,3.12534,0.59654,52.12,-4.76,49.4,-3.6,21.7,-2.3,28,3.8,1.7,-0.7,11.6,0.9,3.4,0.3,0.4,0,29.2,-12.2,0.347,0.014,0.28655,0.0128655,4.95569,0.03434,1.4293,-1.16765,70.5,6,11.9412,-1.4381,3.8824,0.3996,3.6471,-0.4563
P35327cfd09,2021,18,0.692308,22.2,0.9,122.3,3.7,132.064,6.061,101.827,-2.397,95.2138,-2.2379,7.64824,0.72807,4.08532,1.17423,3.56292,-0.44616,65.4,3.48,65,4.8,11.7,-0.1,10.8,-1.3,6.4,-1.1,17.5,-0.6,2,0.3,6.9,-0.8,31.5,0.9,0,0,0.013986,-0.00132011,0.281299,-0.005248,3.83506,0.44706,59,-0.9,11.9444,1.2521,5.0556,-0.4444,1.2222,-0.0855
P355f728583,2011,18,0.5625,30.1,1.4,122.9,-0.3,138.169,1.63,106.586,-1.221,104.671,-1.653,6.66223,-0.42702,8.26504,-0.05689,-1.60281,-0.37013,62.09,-0.84,56.8,-0.9,33.5,2.2,11.8,-1,1.8,0.2,8.6,0,2.6,-0.1,1.8,0,45,-1.3,0.396,-0.018,0.360714,0.0366205,9.18652,1.32165,6.6225,0.17211,91.9,-0.5,23.4444,0.9444,3.3889,0.1701,5.2778,0.5903
P35654567c0,2024,18,0.5625,16.6,-0.4,126.3,8.8,130.574,10.768,102.227,1.879,94.6032,0.6128,8.72615,2.20989,5.56685,1.5008,3.1593,0.70908,64.43,3.05,60.1,2.4,8.6,1.5,9.1,-3,6,-0.6,17.8,1.5,2.2,0.2,1.4,-0.2,50.4,10.1,0.365,0.004,0.573643,-0.0333218,8.03034,-0.95465,4.3177,1.69326,74.1,15.4,11.4444,2.4141,6.0556,1.1465,1.4444,0.4444
P35e592001a,2018,16,0.533333,21.4,-0.1,115.5,0.4,126.548,2.341,97.1907,8.2261,89.0927,5.5758,9.72487,0.06502,2.12988,0.59824,7.59499,-0.53322,59.69,0.43,57.5,0.8,4.3,0.7,14.6,0.5,12.3,0.1,27.5,-0.7,1.5,0,11,-1.9,40.3,-3.8,0.31,0.035,0.188312,-0.000577201,3.35712,0.01062,4.19837,0.52085,69.3,5,13.6875,0.7875,10.9375,0.4042,0.625,0.125
P35f0fb7731,2020,18,0.580645,29.2,0.4,104.2,1.2,122.238,3.656,109.179,6.405,102.683,4.4078,4.76037,0.79518,4.33595,0.79408,0.424425,0.001109,53.7,1.97,48.4,1.4,16.4,-1.5,16.3,0.9,2.7,0.3,15.9,1.4,2,-0.3,1.6,0,37,3.2,0.291,0,0.522491,0.0368356,13.5279,0.734,4.44779,0.69445,86.8,5.5,20.2778,1.2153,5.6111,0.3923,2.5,-0.3438
P367a636ba4,2024,20,0.540541,27,0.6,116.7,-5.9,134.115,-4.302,104.803,3.558,99.2551,2.5272,8.2493,-0.71957,6.28486,-0.61837,1.96443,-0.10121,57.45,-3.18,52.1,-3.1,27.3,0.2,14.6,0.7,2.9,0.1,16.1,-0.3,2.4,-0.3,0.3,0.1,35.9,-0.4,0.433,-0.001,0.334483,-0.020986,7.64761,-0.49626,5.78225,-0.22402,91.5,4.7,19.5,-0.1757,6.1,0.2622,5.1,0.2081
P36846c8c89,2020,18,0.580645,20.3,0.1,105.2,8.6,112.515,11.271,100.182,2.1426,95.0107,0.8062,4.07509,2.79575,3.14653,2.17036,0.928557,0.625386,57.01,4.49,54.5,4.8,6.2,1.7,16.4,-0.9,1.6,-0.4,12,0.2,2.6,0.6,0.2,-0.1,23.7,1.4,0.387,0.024,0.721053,0.0705672,13.838,1.5335,2.82882,1.25872,75,3.9,13.3889,1.8083,3.6111,-0.0018,0.9444,0.267
P3692b72eac,2021,17,0.607143,21.5,0,105.2,-7.6,114.832,-7.733,109.073,2.662,103.191,1.745,3.64534,-1.40948,4.14027,-1.12256,-0.494932,-0.286928,55.92,-2.73,52.4,-3.6,19.7,-0.3,21.8,3,0.9,0,8.4,-1.3,1.9,0,0.2,-0.1,21.2,3.3,0.392,-0.01,0.490385,-0.00393357,9.00376,-0.60076,3.68568,-0.90827,89.8,4.1,15.0588,-0.9412,3.2353,-0.4433,4.1176,0.1533
P3698c87daf,2020,20,0.714286,26.5,-0.3,111.2,2,114.96,0.233,90.2483,-0.5903,94.0708,0.775,3.2362,0.54468,2.1312,0.34344,1.105,0.201232,62.7,1.85,57.1,2,14.5,0.3,24,1,6.3,1,17.5,-0.5,3,0.2,1,0.1,64,8.9,0.451,0.027,0.43128,0.0251258,8.36385,0.00036,3.0217,-0.04918,73.5,-1.8,17.25,-0.2016,5.9,0.1903,2.2,0.071
P36a4ba5e62,2024,20,0.588235,24.6,1.7,95.2,-0.4,106.377,2.775,102.921,0.986,94.7627,-1.0194,1.21909,0.327922,-0.83332,0.29272,2.05241,0.03521,48.56,-1.17,45.9,-0.4,23,1.6,17.1,-1.9,1.7,0.3,11.1,1.6,2.1,-0.1,1,0.1,16.4,-6,0.309,0.027,0.321637,-0.0065479,6.80882,0.42453,1.53396,0.28416,62.1,2.2,8.95,0.5676,2.7,0.4353,2.8,0.3588
P36b818b767,2011,16,0.484848,24.8,0,114.4,0.4,128.283,3.159,101.174,4.0691,95.3523,1.8041,7.86392,-0.93342,5.75942,-0.17502,2.1045,-0.7584,58.53,2.48,54.1,3.1,24.1,3.5,18.7,2,10.8,-1.4,12,-1.6,1.7,-0.6,1.2,-0.8,39.8,2,0.474,0.172,0.111111,-0.00833333,2.2103,-0.28559,4.70169,0.45833,80.6,1.9,14.875,0.4508,6.5625,-0.6193,3.5,0.5606
P36ce80df8e,2026,17,0.472222,29.9,0.4,127.5,1.6,151.473,3.862,118.603,3.581,106.513,0.826,7.08139,0.40019,8.45351,0.53117,-1.37212,-0.13098,60.85,0.45,56.3,0.2,31.4,-0.8,10.5,-1.1,1.4,-0.2,8.4,0.1,1.1,-0.2,1,0.1,36.9,-0.1,0.433,-0.007,0.328814,-0.0190856,8.70857,-0.32532,7.35491,0.69059,84.2,-0.1,24.8235,1.3513,3,-0.0833,6.6471,0.2027
P36eaf9779b,2013,14,0.424242,33.7,2,115.1,-1.7,131.709,-1.158,80.0945,-3.7415,81.6758,-2.0773,12.2377,1.2602,5.60072,0.73825,6.63696,0.52191,55.08,-2.13,50,-1,19.5,0.9,9.4,-1.5,13.5,1.5,29.9,0.9,1.4,0.4,8.5,0.8,45.9,-4.7,0.286,0.036,0.0357143,-0.000732184,1.05706,0.090261,4.88294,-0.42001,75.7,-4.5,18.7857,-0.0931,11.1429,-0.1601,2.2857,-0.0476
P36f801ddc1,2013,18,0.5,21.3,-0.5,116.6,-0.6,123.969,-0.366,93.6577,-0.7505,88.4341,-0.7486,9.33907,0.26937,6.6878,0.26546,2.65127,0.00391,59.58,-0.39,57.7,0.8,26.9,0.8,17.9,0,1.5,-0.1,10.9,0.5,3.1,-0.3,0.5,0.2,30.2,0.9,0.381,-0.025,0.461538,0.0165123,7.99397,-0.09658,4.88221,-0.04036,90.8,0.1,13.7778,-0.7222,3.9444,0.1111,4.8333,0.2777
P37457bff4f,2019,18,0.529412,26.6,-0.5,100.6,1.7,111.732,1.492,102.151,1.942,98.9445,1.6356,3.5816,0.98669,2.08373,0.35366,1.49787,0.633033,54.65,2.88,50.2,3.5,16.3,1.3,20.7,2,4.4,-0.1,8.9,-1.1,2.8,0.1,1.1,0.3,46.3,-1.8,0.292,-0.015,0.477612,0.0683096,9.95162,0.97258,2.48625,0.02758,73.8,-4,14.8889,-1.1993,3.6111,-0.6536,2.3889,0.0654
P376f10f64c,2008,16,0.432432,27.4,-0.6,110.9,-5.1,130.157,-5.448,105.411,0.931,97.682,-1.2075,6.33351,-0.06992,7.04754,-0.05368,-0.714037,-0.016241,52.02,-3.77,47.2,-3.4,29.3,-1.3,15.4,-0.6,1.4,-0.1,7.4,0.5,1.5,-0.4,0,0,38.2,-2.5,0.326,-0.055,0.35743,0.00936342,8.76642,0.46729,5.98781,-0.5414,96.7,2.7,19.125,-0.1118,3.1875,0.2401,5.3125,-0.4507
P3778eacc6f,2026,18,0.486486,25.2,-0.5,117.7,-2.2,132.826,-1.488,107.366,4.338,95.5961,1.2446,9.40764,0.80141,6.34265,0.13537,3.06499,0.66605,51.1,-2.73,46.8,-3.3,29.2,-1,13.8,-1.5,1.7,-0.2,7.7,0.5,4.4,0.8,0.6,-0.2,28.5,3.8,0.32,-0.018,0.544484,0.00561473,14.0072,-0.0574,5.01805,0.01067,89.4,3.4,18.1111,-0.2943,2.9444,0.1066,5.3889,-0.0435
P37b821fb18,2009,16,0.533333,25.5,0.8,97.6,-5.7,109.197,-2.673,104.769,3.641,98.5625,1.0004,1.53608,-1.03496,1.22485,-1.08338,0.311231,0.048427,47.25,-3.39,44.7,-3.1,7.9,-0.4,16.3,0,10.2,0.3,13.4,0.1,1.8,0.3,2.4,0.3,38.1,-1.6,0.372,-0.008,0.2,0.0121693,4.59211,0.46028,2.69978,-0.27005,81.1,0.9,15,-0.1667,7.1875,-0.0458,1.25,-0.0167
P37de3fe8d7,2019,18,0.580645,15.7,-1.5,124.6,10.7,111.777,3.993,100.333,3.3822,102.636,5.1513,3.76419,0.35393,2.58275,0.81933,1.18144,-0.46539,60.23,3.79,59.1,4.9,7,-1.5,8,-3.6,3.7,0.7,8.4,-1.8,2.9,-0.2,0.8,-0.6,20.3,-2.3,0.378,0.042,0.438503,0.00777978,7.41594,-0.08953,2.86447,0.44138,84.9,-1,13.7222,0.6919,3.7778,-0.4646,1.5,-0.2576
P38145d33eb,2013,16,0.470588,26.4,0,116.5,0.2,127.6,-0.856,85.4075,-2.4117,83.5698,-1.5005,6.02455,-1.96743,3.2252,-1.23593,2.79935,-0.73151,57.17,-0.5,51,-0.3,9.3,-2,13.6,-1.1,10,0.6,22.5,1,2.3,-0.3,2.4,0,53.8,-3.8,0.158,-0.012,0.121795,-0.017671,2.74059,-0.30277,3.95911,-0.20404,67.3,-2.1,14,-0.5588,7.8125,0.3713,1.25,-0.3088
P3860306e22,2023,17,0.515152,19.6,-1.2,114.6,3.6,122.594,5.137,106.103,3.573,100.527,2.779,5.89494,1.71149,3.1874,0.57014,2.70755,1.14135,55.4,3.59,53,4,15.3,1.8,15.3,1.7,5.7,-1.2,19.5,1.2,1,0.1,2,0.3,32.9,-0.2,0.5,0.195,0.155689,-0.0173319,2.78101,-0.61935,4.11446,0.83379,79.2,3.3,12.5882,0.1943,7.0588,0.2709,2.6471,0.4047
P388cb0d5da,2020,13,0.590909,28.9,-0.1,104.2,6.6,124.313,10.323,105.966,4.721,99.1437,3.8565,3.49482,0.27319,3.61975,1.00316,-0.124923,-0.729957,53.4,3.25,48.1,3,24.3,0.4,18.1,-1.5,1.4,0,15.8,-0.6,1.7,-0.4,0.5,-0.4,36.8,-0.3,0.368,0.02,0.410377,0.00168171,10.5928,0.1523,4.85295,1.4067,57.4,0.2,20.4615,1.9615,5.4615,-0.2203,4.1538,0.1993
P38bff88a77,2010,16,0.470588,26,0.5,111,-4.6,127.451,-2.135,97.0215,9.9301,87.9178,5.262,8.284,-0.01304,4.66159,-0.42385,3.6224,0.4108,56.96,-0.87,55.1,0.7,6.4,0.3,16.1,2,10.6,-0.4,22.8,-1.1,2.5,-0.5,4.1,0.5,52.7,-2.2,0.421,0.038,0.185366,-0.0389778,4.0724,-0.83751,4.60675,0.0506,79.5,4.7,18.25,0.2794,9.875,-0.4191,1,0.0294
P38e6db5ca1,2017,18,0.5,20.4,0,117.8,1.4,126.876,2.628,110.959,5.809,100.631,2.9839,5.52839,1.52454,5.20759,0.71179,0.320805,0.812756,58.69,-1.11,55,-1.4,16.3,3.7,14.5,-0.9,3.4,0.3,10.8,2.6,1.2,-0.1,0.5,0.3,35.5,-0.8,0.377,-0.018,0.504132,0.0450575,9.02554,0.77465,2.96866,-0.17987,54.7,-5.8,9.2222,-1.7222,2.6667,0.1667,1.8889,0.1945
P38fd19ed26,2009,18,0.514286,20.5,-1,116.1,-1,123.304,-0.734,98.3799,6.6136,89.0613,4.8994,9.88088,-1.45472,3.32083,-1.06473,6.56006,-0.39002,61.32,-0.8,58.1,-2,7.7,-0.5,16.8,-0.6,10,-3.4,18.3,-0.7,1.6,-0.2,8.4,-1.1,51.2,-6.4,,,0,0,0,0,4.58531,0.07852,86.7,3.1,13.5556,-0.7301,7.7222,-1.3064,1.2222,-0.0349
P392363bcf2,2021,9,0.692308,29.9,1.1,107,4.4,126.908,7.504,99.6359,4.9464,93.5712,3.9006,7.69718,0.53544,3.26691,1.23488,4.43027,-0.69943,57.94,0.03,55.5,-1,23.6,3.1,21.4,-2.4,8.3,0.4,21.7,-3.6,3.5,0.4,4.6,-1.4,38.4,3.2,0.556,0.112,0.123288,-0.043379,2.86534,-0.86794,2.93885,0.40491,25.1,-3.6,11.1111,-0.1197,5,-1,2.4444,0.2136
P396ba96b58,2023,20,0.625,32.5,2.4,111.3,-7.2,138.169,-3.004,96.0271,2.5948,89.4248,1.7771,13.1928,0.1277,5.57428,-0.44077,7.61855,0.56845,57.89,-3.05,54.8,-3.4,28.7,3.9,16.7,2.4,9.8,-0.3,27.9,3.2,1.4,0,8.5,-0.5,43.6,-3.1,,,0,0,0,0,6.50812,0.06383,92,13.3,21.8,0.8625,12.35,1.5375,4.65,0.6188
P398088f587,2013,18,0.45,24,-0.4,104,1.4,118.972,4.236,94.5909,7.7596,88.7879,6.3068,9.43057,0.46588,5.26643,0.55263,4.16414,-0.08675,50,0.87,43.8,0,33.4,-6.8,21.4,-2.7,4.6,0.6,9.5,-1.6,4.7,-0.1,1.6,-0.1,41.7,-5.5,0.295,0.003,0.317708,0.0131398,5.92533,0.75802,4.27457,0.6948,91.3,3.8,12.7778,0.9278,4.5,-0.375,5.7222,-1.5778
P39e62f008f,2008,17,0.485714,17.7,-0.6,119.5,7.9,123.11,8.495,85.2931,6.3496,81.2857,5.8022,12.1784,0.0573,2.77707,1.04182,9.40129,-0.98461,57.95,-0.27,55.3,0.5,15.1,1.4,15.5,-6.2,12.7,0.9,18.6,-2,1.2,-0.9,11,-0.4,23.7,-1,,,0,0,0,0,1.29511,0.1431,23.5,-4.3,2.8824,-0.5747,2.4706,-0.6151,0.6471,-0.0672
P3a22280810,2023,18,0.514286,20.4,-1.7,106.1,1.8,116.684,4.318,101.336,5.5675,93.9661,4.0552,5.27914,0.21579,1.61463,0.38837,3.66451,-0.17259,54.26,1.04,47.7,-1.4,18.1,-3.5,16.6,-2.5,3.5,-1.9,17.7,-0.1,2.1,0.3,1.2,-0.7,52,6.9,0.111,-0.039,0.06,-0.0104225,0.922009,-0.221571,3.11824,0.66246,76.3,11.4,11.2778,0.7921,5.3889,-0.2111,2.9444,-0.5413
P3a3a5bbbef,2022,14,0.482759,23.4,0.4,107.8,-1.7,119.748,-0.205,93.8649,2.743,90.6441,3.6191,7.11437,-2.2815,2.10344,-0.86729,5.01093,-1.41421,60.43,-0.36,59.7,0,8.6,-1.9,21.2,-0.4,13.1,-0.9,19.2,-2.3,1.7,-0.1,8.4,-1.5,39.5,-4.6,,,0,-0.00423729,0,-0.0763546,3.09907,0.06838,50.6,-4.9,12.7143,0.7488,7.5,-0.6379,1.0714,-0.2045
P3a5b76349f,2022,20,0.512821,19.3,0.7,138.2,-0.4,143.294,2.02,93.1055,0.9765,87.2198,0.0189,12.1648,-0.9835,6.74923,0.02409,5.41557,-1.00754,73.98,1.6,72.7,0.9,5.9,-1,13.7,1.4,13.4,0.2,23.1,1.7,0.6,-0.7,10.6,-0.7,27.3,-1.6,,,0,-0.0037594,0,-0.0635391,4.76166,0.19251,59.3,0.4,11.95,0.7192,7.9,0.4385,0.7,-0.1718
P3a6abfac78,2025,18,0.5625,22.4,1.6,134.4,2.1,141.33,5.993,93.8942,-2.3966,94.5828,-2.7108,8.8726,1.66708,7.4344,1.49884,1.4382,0.16824,74.47,1.71,72.5,1,9.1,-0.8,7.4,-0.7,1.4,0,20.7,2.4,2.2,-0.1,0.7,0.3,37.9,5.2,0.452,-0.006,0.615385,0.00514839,13.2967,0.7822,4.6161,0.95438,64.5,6.6,16.5,,5.1667,,1,
P3b0e47f5ec,2025,14,0.538462,24.1,0.5,116.8,-6.7,119.389,-6.938,105.575,-2.249,107.8,-0.567,-0.971497,-2.1696,2.05397,-1.89392,-3.02547,-0.27567,56.05,-2.76,52.6,-2.5,7.1,-0.1,8.6,2.7,1.6,0,8.6,-1.1,1.3,0.2,0.3,-0.2,19.7,-2.2,0.375,-0.024,0.5,-0.0347044,13.443,-0.9552,3.27689,-0.80725,79.7,7.5,18.2143,-1.1561,3.0714,-0.2249,1.2857,0.0264
P3b1e823247,2022,18,0.45,20.8,0.6,104.1,-10,117.42,-6.438,100.161,4.2828,93.8307,3.2459,7.42581,-1.81902,4.10834,-1.1762,3.31748,-0.6428,55.21,-3.28,52.9,-2.7,13.3,-1.2,20.5,3.7,4.8,-0.1,13.9,-2.1,1.3,-0.3,1.9,-0.6,36.3,4,0.409,0.023,0.347368,0.0315789,5.99972,0.4709,3.90642,-0.63527,87.9,2.8,13.6667,-0.4333,6.2778,-0.2472,2.5,-0.275
P3bedf956bf,2024,20,0.540541,19.4,0.4,107.6,-6.3,112.901,-5.245,92.7787,-3.5808,86.7421,-3.9338,8.1287,-0.69126,3.95558,-0.64634,4.17312,-0.04492,48.39,-4.6,46.7,-4.9,10.8,-0.9,12.2,-0.2,10.1,1.4,23.8,3.7,2.4,0,1.2,-0.1,24.2,-1.7,0.315,-0.07,0.427907,-0.0180033,7.79017,-0.03198,2.81915,-0.53334,83.5,1.8,11.6,-0.5892,10.85,2.0122,2,-0.1892
P3cb5a9e68b,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3ce7981258,2011,18,0.514286,27.7,0.5,113.1,-1.2,130.548,0.131,101.662,2.0823,96.7921,1.6945,7.2105,0.86435,7.15819,0.9656,0.0523148,-0.101243,56.91,0.66,51.2,-0.5,37.4,4.7,20.6,1.6,2.3,-0.2,9.9,0.4,2.1,-0.2,0.2,0,52.6,2.8,0.347,-0.002,0.460094,0.052511,9.29847,0.74011,4.99382,0.14736,81.2,2.1,16.8333,0.0619,3.5556,0.0413,6.7222,0.6365
P3cfad83e39,2015,20,0.588235,27.7,-0.8,114.3,2.4,123.951,-0.373,92.1085,-3.1216,95.6519,-1.0905,7.2964,0.12653,5.05399,-0.31572,2.24241,0.44225,55.41,0.48,45.4,-1.4,20.4,0.7,12.7,-0.2,2.8,0,12.9,0.5,3.3,-0.3,4.6,1,52.9,8.4,0.301,0.003,0.49635,-0.00865966,11.4098,-1.0889,4.65068,-0.0714,91.6,-0.5,19,-0.6571,5.05,0.3357,3.8,0.2
P3d136e77bf,2021,11,0.6875,19.4,0.8,106.9,-2.2,113.635,2.325,93.1635,1.3304,90.4141,-0.5485,2.92296,-0.25948,1.47345,0.607626,1.44951,-0.8671,59.68,-1.12,57.8,-0.2,3.2,-1.1,18.5,-0.9,9.4,0.9,23.2,0.8,1.8,-0.3,2.7,-0.8,34.4,-1.6,0.19,-0.01,0.233333,0.0333333,3.76601,0.65073,2.90053,0.3522,73.6,7.3,11.3636,0.2386,8.8182,0.8807,0.4545,-0.1705
