pid,dvs_impact_resid_cons,dvs_length_pc1,dvs_impact_pct,dvs_cohort_offset_d,dvs_tall,dvs_athl_pc1,dvs_cons_hype_resid,gls_stl40,gls_t100_spg,gls_ast40,gls_close_d_gmsc40,gls_close_d_ts,gls_late_d_ast40,gls_ncaa_d_stl40,gls_d100_efg,gls_pase_neg,gls_ncaa_d_tov40,scs_intangibles,scs_athleticism,scs_leadership,scs_defense,scs_nbaready,tcs_first_bpm,tcs_seasons_span,tcs_age_at_season,tcs_pct_age_bpm,tcs_pct_age_stl,tcs_conf_tourn_wins,tcs_bpm_first_to_last,tcs_pct_age_obpm,tcs_bpm_share,tcs_champion,wts_years_hs_to_draft,wts_hs_track,wts_hs_football,wts_transferred,wts_hs_multisport,nb_tc_first_bpm,nb_gl2_stl40,nb_gl2_t100_spg,nb_tc_seasons_span,nb_gl2_ast40,nb_sc_intangibles,nb_tc_age_at_season,nb_dv_impact_resid_cons,nb_gl2_close_d_gmsc40,nb_gl2_close_d_ts,nb_dv_length_pc1,nb_gl2_late_d_ast40,nb_gl2_ncaa_d_stl40,nb_gl2_d100_efg,nb_tc_pct_age_bpm,nb_dv_impact_pct,nb_tc_pct_age_stl,nb_sc_intang_lead,nb_gl2_pase_neg,nb_gl2_ncaa_d_tov40,nb_wt_years_hs_to_draft,nb_gl2_d100_gmsc40,nb_gl2_g_all,nb_wt_hs_track,nb_gl2_t50_fg
P218d8c92b9,-0.4753912504173696,1.3158795722245895,0.5773195876288659,230.0,0.0,0.6554547911756662,0.3771541253434249,1.11,0.654,2.0218,0.4234,-0.03447,-0.249,-0.2855,-0.03279,0.0,2.7894,8.0,7.0,8.0,7.0,8.0,-0.144226,4.0,21.8973,0.947115,0.420192,0.0,6.92606,0.929808,0.196372,0.0,4.0,0.0,0.0,0.0,0.0,-0.144226,1.11,0.654,4.0,2.0218,8.0,21.8973,-0.4753912504173696,0.4234,-0.03447,1.3158795722245895,-0.249,-0.2855,-0.03279,0.947115,0.5773195876288659,0.420192,8.0,0.0,2.7894,4.0,-3.4654,36.0,0.0,0.43684
P1a8fd8dc98,-0.90381931263681,0.1663246474703416,0.5360824742268041,,0.0,-0.4838511256275641,0.1562542690724577,2.092,1.333,5.807,0.1679,0.03075,1.2543,,-0.02914,,,8.0,7.0,8.0,7.0,8.0,4.45183,4.0,22.2122,0.922321,0.907143,0.0,1.98656,0.89375,0.677316,0.0,4.0,0.0,0.0,0.0,0.0,4.45183,2.092,1.333,4.0,5.807,8.0,22.2122,-0.90381931263681,0.1679,0.03075,0.1663246474703416,1.2543,,-0.02914,0.922321,0.5360824742268041,0.907143,8.0,,,4.0,-6.1769,31.0,0.0,
Pb1001f743e,-0.0304637364438047,-0.6126554467694655,0.6288659793814433,,0.0,1.5972768907818278,0.182269197849699,1.2593,0.957,4.963,-3.2429,-0.06972,0.182,-0.0785,0.02392,-0.2133,-0.157,7.0,8.0,8.0,7.0,8.0,2.85747,4.0,22.8912,0.949107,0.428571,1.0,4.2764,0.963393,0.160377,0.0,4.0,0.0,0.0,1.0,0.0,2.85747,1.2593,0.957,4.0,4.963,7.0,22.8912,-0.0304637364438047,-3.2429,-0.06972,-0.6126554467694655,0.182,-0.0785,0.02392,0.949107,0.6288659793814433,0.428571,7.5,-0.2133,-0.157,4.0,-0.2931,36.0,0.0,0.55738
Pe64515ec9d,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,
Pb1d497dd3b,-1.0040422455384288,,0.4639175257731959,,0.0,,0.0260728194413468,1.3333,0.75,3.1712,-2.6438,-0.02903,-1.2504,,-0.02793,-0.625,,,,,,,-0.197498,5.0,23.5729,0.913317,0.577889,1.0,6.14782,0.938442,0.247098,0.0,5.0,0.0,0.0,1.0,0.0,-0.197498,1.3333,0.75,5.0,3.1712,,23.5729,-1.0040422455384288,-2.6438,-0.02903,,-1.2504,,-0.02793,0.913317,0.4639175257731959,0.577889,,-0.625,,5.0,-2.309,34.0,0.0,0.45876
P82e84aa110,2.450634486550226,-1.7237387576234413,0.845360824742268,,0.0,-0.782598685961604,0.3879274421368692,1.1136,0.759,7.4643,3.2778,0.02718,1.1087,-0.6087,0.00171,0.0,-1.1305,7.0,7.0,8.0,8.0,8.0,1.78815,5.0,22.7214,0.990179,0.428571,3.0,7.92471,0.997321,0.182604,1.0,5.0,0.0,0.0,1.0,0.0,1.78815,1.1136,0.759,5.0,7.4643,7.0,22.7214,2.450634486550226,3.2778,0.02718,-1.7237387576234413,1.1087,-0.6087,0.00171,0.990179,0.845360824742268,0.428571,7.5,0.0,-1.1305,5.0,-0.4576,40.0,0.0,0.42857
P0edbaa5011,-3.643826478748273,-0.9554562676944932,0.2371134020618556,503.0,0.0,0.5127816142630096,-0.864157610751159,0.847,0.632,2.0789,-1.4693,-0.04865,0.086,,-0.04772,-1.9481,,7.0,7.0,8.0,7.0,8.0,-1.47138,5.0,23.1513,0.792714,0.165829,0.0,5.28053,0.991206,0.119845,0.0,5.0,0.0,0.0,1.0,0.0,-1.47138,0.847,0.632,5.0,2.0789,7.0,23.1513,-3.643826478748273,-1.4693,-0.04865,-0.9554562676944932,0.086,,-0.04772,0.792714,0.2371134020618556,0.165829,7.5,-1.9481,,5.0,-0.8404,33.0,0.0,0.44976
P72ec1785e5,-1.471837392158105,,0.422680412371134,,0.0,,0.1700902743541688,1.3749,1.227,7.8337,1.0251,-0.01546,-1.9056,-0.8782,-0.02732,0.0,1.1871,,,,,,1.62314,5.0,23.2033,0.890704,0.669598,2.0,3.83156,0.953518,0.242186,0.0,5.0,0.0,0.0,0.0,0.0,1.62314,1.3749,1.227,5.0,7.8337,,23.2033,-1.471837392158105,1.0251,-0.01546,,-1.9056,-0.8782,-0.02732,0.890704,0.422680412371134,0.669598,,0.0,1.1871,5.0,-1.156,36.0,0.0,0.45405
P414be319a7,2.621047228854695,,0.8350515463917526,92.0,0.0,,0.4764804398377658,1.929,1.778,3.2757,5.0157,0.06753,-0.7619,-0.3066,-0.04576,0.0,0.3453,,,,,,9.31094,5.0,23.2745,0.993719,0.899497,1.0,0.28369,0.988693,0.251839,0.0,5.0,0.0,0.0,0.0,0.0,9.31094,1.929,1.778,5.0,3.2757,,23.2745,2.621047228854695,5.0157,0.06753,,-0.7619,-0.3066,-0.04576,0.993719,0.8350515463917526,0.899497,,0.0,0.3453,5.0,-2.5054,35.0,0.0,0.48
Pa5d4a8fef6,,0.0375644364359378,,43.0,1.0,1.8664968016044663,,,,,,,,,,,,8.0,8.0,8.0,8.0,7.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,8.0,,,,,0.0375644364359378,,,,,,,8.0,,,,,,0.0,
Pe083952d4c,,-0.1058060712605326,,309.0,0.0,1.3922987134617495,,,,,,,,,,,,8.0,9.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,8.0,,,,,-0.1058060712605326,,,,,,,8.0,,,,,,,
P79c8ced5ce,,,0.9072164948453608,,1.0,,,0.536,0.143,1.742,-0.862,-0.0099,-1.4835,,-0.01652,,,,,,,,0.543149,5.0,23.5127,0.993766,0.0386534,2.0,9.98715,0.958853,0.294423,0.0,6.0,0.0,0.0,1.0,0.0,0.543149,0.536,0.143,5.0,1.742,,23.5127,,-0.862,-0.0099,,-1.4835,,-0.01652,0.993766,0.9072164948453608,0.0386534,,,,6.0,-1.736,26.0,0.0,0.43421
Pca5928b452,,,0.3195876288659793,,0.0,,,2.1053,1.792,6.8111,1.1058,-0.00562,0.8495,-1.7038,-0.00645,0.0,-0.689,,,,,,1.85968,4.0,22.4504,0.868375,0.881834,1.0,2.67087,0.774735,0.156131,0.0,5.0,0.0,0.0,1.0,0.0,1.85968,2.1053,1.792,4.0,6.8111,,22.4504,,1.1058,-0.00562,,0.8495,-1.7038,-0.00645,0.868375,0.3195876288659793,0.881834,,0.0,-0.689,5.0,-0.5104,28.0,0.0,0.42614
P51e90d8f38,,,0.0721649484536082,,0.0,,,1.4987,1.083,11.5611,-0.0482,-0.00958,-0.0436,,-0.02386,,,,,,,,-1.52665,4.0,21.859,0.561,0.699,1.0,2.40562,0.825,0.0793161,0.0,5.0,0.0,0.0,1.0,0.0,-1.52665,1.4987,1.083,4.0,11.5611,,21.859,,-0.0482,-0.00958,,-0.0436,,-0.02386,0.561,0.0721649484536082,0.699,,,,5.0,-1.9089,32.0,0.0,0.34
P68ff50da96,,0.8041245641806295,,,1.0,1.3146828857116188,,,,,,,,,,,,6.0,8.0,7.0,7.0,8.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,6.0,,,,,0.8041245641806295,,,,,,,6.5,,,,,,0.0,
P92095a9676,,,0.2886597938144329,650.0,0.0,,,1.2628,,1.4334,-1.1795,0.02211,-0.9727,,,-0.1408,,,,,,,3.12986,5.0,22.7515,0.84894,0.631393,3.0,1.12565,0.923145,0.458327,0.0,6.0,0.0,0.0,1.0,0.0,3.12986,1.2628,,5.0,1.4334,,22.7515,,-1.1795,0.02211,,-0.9727,,,0.84894,0.2886597938144329,0.631393,,-0.1408,,6.0,,35.0,0.0,
Pbe0b54a1e9,,,0.2989690721649484,,0.0,,,,,,,,,,,,,,,,,,-5.07198,5.0,22.9487,0.85424,0.901235,1.0,9.35973,0.937279,0.303925,0.0,6.0,0.0,0.0,1.0,0.0,-5.07198,,,5.0,,,22.9487,,,,,,,,0.85424,0.2989690721649484,0.901235,,,,6.0,,,0.0,
P8b23f27bc8,,,0.2577319587628865,,1.0,,,,,,,,,,,,,,,,,,1.22453,4.0,21.6564,0.845196,0.495552,3.0,2.87811,0.672598,0.0572847,0.0,7.0,0.0,0.0,0.0,0.0,1.22453,,,4.0,,,21.6564,,,,,,,,0.845196,0.2577319587628865,0.495552,,,,7.0,,,0.0,
Pc19957985f,,,,,0.0,,,,,,,,,,,,,,,,,,1.54988,4.0,23.0281,0.817536,0.677725,0.0,1.89732,0.694313,0.991633,,8.0,0.0,0.0,0.0,0.0,1.54988,,,4.0,,,23.0281,,,,,,,,0.817536,,0.677725,,,,8.0,,,0.0,
