pid,tcfs_bpm,tcfs_stl_per,tcfs_obpm,tcfs_d_ts,tcfs_minper,tcfs_ast_per,tcfs_ortg,tcfs_d_usg
P0c700e1af1,8.50439,3.1,2.96006,-3.23,86.8,9.0,110.4,0.0
P0c7e217388,,,,,,,,
P0c888043b8,4.12861,2.0,4.09019,-5.3,76.0,10.4,107.1,1.2
P0ca52587ca,6.7077,1.8,5.41582,-0.38,89.3,14.2,111.8,-0.3
P0cd98a270c,7.25622,2.6,3.21852,-2.03,67.5,18.2,104.4,-0.7
P0d0da4d2bc,3.98199,2.7,1.20651,-5.12,77.4,17.4,93.9,0.1
P0d567b6867,3.70778,2.2,0.620929,-6.45,66.6,23.2,87.6,-0.3
P0d5beb0152,9.39536,2.2,5.00351,-3.39,82.1,35.3,117.0,2.8
P0d7bcc4d57,8.7375,1.9,-0.510486,1.84,68.6,6.2,112.3,-1.5
P0d7f7c89fd,3.57066,2.1,2.17853,-4.67,77.9,15.3,95.5,-1.7
P0db0d3c576,8.66113,1.8,6.50529,3.48,83.0,18.9,126.7,-0.1
P0df73941d8,5.41605,2.6,4.37909,0.23,92.4,30.5,110.5,0.6
P0e11075372,8.51063,2.1,4.19121,-0.69,60.1,7.4,121.6,-0.8
P0e1f032d1f,7.54783,2.5,3.37217,0.12,77.4,20.5,118.8,1.7
P0e202d21b8,9.04779,1.7,4.83207,-0.51,42.6,14.5,110.9,2.1
P0e7908a570,7.29752,2.5,6.93191,1.97,88.4,25.0,126.3,-1.4
P0eb002afb8,3.96893,2.2,1.7491,-0.6,79.8,10.7,105.5,-0.1
P0edb7d3b99,10.3772,2.3,9.74649,-0.01,92.7,40.5,128.9,1.7
P0edbaa5011,4.02335,1.3,5.68509,-1.35,80.5,9.8,124.1,1.1
P0ee95e3925,6.2214,1.6,3.7145,0.01,30.8,4.3,126.7,-1.1
P0f6f43de8d,5.87836,1.0,5.28053,2.43,83.3,6.6,129.7,-0.9
P0fde3dedb2,8.59656,3.0,4.26684,-0.54,89.9,26.9,109.4,1.3
P0fe65d2eb8,5.54537,1.8,2.90993,0.56,83.0,14.8,107.2,1.0
P0fec6c7ff1,3.08176,1.3,3.87073,1.6,74.3,15.4,109.8,-0.1
P1015da4297,10.5904,5.1,10.1213,9.58,31.1,44.1,125.3,1.0
P10187f6389,13.7065,4.0,7.84179,-1.85,83.9,17.8,116.4,0.4
P1044a073cf,13.7877,4.6,8.96073,-1.26,69.7,33.4,111.0,0.7
P10819fb965,8.30378,1.4,3.92726,-4.33,62.2,11.9,110.6,0.0
P109788f4ba,3.69743,1.8,3.52026,6.13,66.0,14.0,115.7,-0.2
P10bd72ac44,-5.94347,2.0,-4.94007,3.1,80.4,5.7,87.7,-2.7
P10d0b75bed,8.24254,3.0,5.55611,-3.69,66.2,9.6,112.6,0.2
P10d6b2ba68,1.42306,1.9,-1.95267,-1.06,23.9,2.3,77.4,-0.2
P1100d011d0,14.6841,1.8,8.71014,4.91,66.7,18.2,130.1,0.2
P1108cb2921,2.47034,1.7,3.9035,-0.5,87.5,24.2,107.6,1.9
P117a6c6fb1,5.74293,1.3,3.39995,-0.43,93.1,12.8,106.4,0.6
P117b8ca478,9.89912,2.1,6.33847,-0.1,73.9,17.5,115.7,0.8
P11d27a665c,2.37897,1.3,0.692299,-1.46,77.6,8.5,105.7,-0.8
P11fb43c4ea,7.07866,1.6,2.7855,-2.19,76.5,11.7,103.3,-0.4
P1223e5ee2c,4.77756,2.0,3.50312,-2.35,77.4,17.6,98.2,-0.5
P122cdb8b56,-4.18473,1.3,-5.38305,4.22,25.7,17.4,89.5,1.2
P123f055136,6.74695,2.0,6.36735,2.46,66.5,16.1,116.2,-0.5
P128f74a48f,-1.68274,2.4,-7.71398,-18.29,6.9,3.9,67.2,-3.6
P12c0373e62,5.04699,1.3,3.44224,1.46,72.2,10.9,112.9,-0.5
P12d1ca8d35,7.51437,0.9,7.35066,0.46,88.8,20.5,122.7,0.1
P12d4263452,7.44765,2.4,3.10327,1.1,76.4,18.0,111.6,0.4
P12ee990c18,4.88313,1.5,3.22423,-1.12,81.9,9.7,107.0,0.1
P130d4826ef,8.78221,1.9,6.48652,-2.28,81.8,35.9,115.1,0.7
P1388f2fd26,8.81282,3.4,6.06475,-3.73,51.9,30.9,109.0,-0.7
P13a0e44cab,3.18834,1.9,0.858486,1.49,77.5,15.5,109.9,-0.4
P13adb32b1d,0.876987,1.3,0.573224,-3.39,86.5,17.3,94.5,2.1
