pid,tcfs_bpm,tcfs_stl_per,tcfs_obpm,tcfs_d_ts,tcfs_minper,tcfs_ast_per,tcfs_ortg,tcfs_d_usg
P2f95e0c256,6.46726,1.5,5.9348,-1.36,81.9,13.3,119.4,-0.1
P2fe87c73a6,9.12884,2.5,6.14476,0.33,66.3,13.7,118.2,0.2
P300c3416e0,6.19294,2.8,3.24386,2.97,58.9,8.3,103.7,0.4
P30169adef4,5.30737,2.6,1.93683,-8.05,55.4,37.1,102.3,0.7
P3022e1c032,9.05384,2.9,7.39711,1.3,33.4,36.7,118.8,1.0
P307cead4af,9.43781,1.2,2.74138,-1.05,77.9,24.3,102.7,0.4
P3096036b7b,4.23593,2.2,3.5245,0.24,62.8,18.3,116.1,-0.9
P30aaba02d5,2.71833,1.4,3.18979,0.69,63.6,11.2,114.8,1.9
P310fe8e32c,4.61415,1.8,2.94317,-3.27,77.5,10.1,103.2,-0.4
P318e86822c,11.9028,2.7,7.01698,1.79,87.4,30.1,123.0,0.5
P319cf0c2e0,1.71915,1.5,0.397118,-1.91,52.1,14.9,91.0,-0.8
P31b4a243f7,8.15894,1.9,3.07544,-4.01,89.9,12.1,109.5,-0.5
P31c152a929,4.76277,1.7,1.98104,-2.95,66.3,9.0,97.8,0.4
P31e153a014,11.6388,1.6,6.64926,1.18,83.9,17.2,118.3,-0.7
P31e884be2b,4.09487,3.6,3.95259,0.92,86.3,13.9,107.2,1.0
P322900af3b,6.96274,0.7,6.85253,5.93,74.3,28.3,116.0,-0.9
P328a9a467a,6.34711,0.4,2.20098,5.53,60.6,2.8,125.0,-0.9
P328e73174e,7.43272,4.1,5.68485,1.66,96.7,25.8,119.3,-0.6
P32ad967364,7.40027,3.9,4.79069,2.26,66.1,15.9,113.5,-0.1
P32b1031886,1.30381,2.6,0.748345,2.51,82.3,15.6,108.3,0.7
P32d7e7e1eb,5.65768,2.5,1.09557,-1.13,70.6,9.6,109.9,0.2
P32ff4229d3,10.9387,3.1,6.08489,0.18,90.4,25.2,115.7,0.5
P331cffbdbb,5.22224,0.9,6.47842,0.75,90.9,16.6,121.7,1.3
P3326a2a68b,5.04538,1.9,1.26317,-1.19,80.0,9.1,105.0,-0.1
P334022cd7d,-1.61557,0.4,-0.97628,-4.52,21.5,3.5,101.5,-1.2
P3364db28a5,2.62202,1.7,1.54343,-4.02,87.9,4.3,105.4,-0.7
P337ea84d5c,5.21606,2.1,4.79026,0.99,79.0,12.5,109.0,1.2
P337fb06bb7,-1.65201,1.1,0.466914,0.25,86.1,20.5,103.1,1.5
P338a42b9d0,1.44768,1.9,-0.0376885,-0.24,80.6,13.7,101.2,0.5
P3391f209f3,4.41589,1.5,2.90972,-0.08,91.8,9.7,106.7,-1.0
P33a3ea1e89,4.51719,2.2,3.71844,-2.92,68.9,5.1,112.8,-1.2
P34557a899a,4.27189,1.4,2.66867,-4.07,71.3,14.9,112.9,-0.3
P34a08a87d4,2.55637,3.2,0.256351,-4.94,77.6,32.1,90.8,0.2
P34c7aa9885,8.79837,2.5,5.76613,-1.28,81.2,7.6,124.7,-1.7
P351397d42c,3.28855,3.4,0.16321,-4.76,70.5,21.7,91.0,-1.4
P35327cfd09,7.64824,2.0,4.08532,3.48,59.0,11.7,122.3,0.9
P355f728583,6.66223,2.6,8.26504,-0.84,91.9,33.5,122.9,1.4
P35654567c0,8.72615,2.2,5.56685,3.05,74.1,8.6,126.3,-0.4
P35e592001a,9.72487,1.5,2.12988,0.43,69.3,4.3,115.5,-0.1
P35f0fb7731,4.76037,2.0,4.33595,1.97,86.8,16.4,104.2,0.4
P367a636ba4,8.2493,2.4,6.28486,-3.18,91.5,27.3,116.7,0.6
P36846c8c89,4.07509,2.6,3.14653,4.49,75.0,6.2,105.2,0.1
P3692b72eac,3.64534,1.9,4.14027,-2.73,89.8,19.7,105.2,0.0
P3698c87daf,3.2362,3.0,2.1312,1.85,73.5,14.5,111.2,-0.3
P36a4ba5e62,1.21909,2.1,-0.83332,-1.17,62.1,23.0,95.2,1.7
P36b818b767,7.86392,1.7,5.75942,2.48,80.6,24.1,114.4,0.0
P36ce80df8e,7.08139,1.1,8.45351,0.45,84.2,31.4,127.5,0.4
P36eaf9779b,12.2377,1.4,5.60072,-2.13,75.7,19.5,115.1,2.0
P36f801ddc1,9.33907,3.1,6.6878,-0.39,90.8,26.9,116.6,-0.5
P37457bff4f,3.5816,2.8,2.08373,2.88,73.8,16.3,100.6,-0.5
P376f10f64c,6.33351,1.5,7.04754,-3.77,96.7,29.3,110.9,-0.6
P3778eacc6f,9.40764,4.4,6.34265,-2.73,89.4,29.2,117.7,-0.5
P37b821fb18,1.53608,1.8,1.22485,-3.39,81.1,7.9,97.6,0.8
P37de3fe8d7,3.76419,2.9,2.58275,3.79,84.9,7.0,124.6,-1.5
P38145d33eb,6.02455,2.3,3.2252,-0.5,67.3,9.3,116.5,0.0
P3860306e22,5.89494,1.0,3.1874,3.59,79.2,15.3,114.6,-1.2
P388cb0d5da,3.49482,1.7,3.61975,3.25,57.4,24.3,104.2,-0.1
P38bff88a77,8.284,2.5,4.66159,-0.87,79.5,6.4,111.0,0.5
P38e6db5ca1,5.52839,1.2,5.20759,-1.11,54.7,16.3,117.8,0.0
P38fd19ed26,9.88088,1.6,3.32083,-0.8,86.7,7.7,116.1,-1.0
P392363bcf2,7.69718,3.5,3.26691,0.03,25.1,23.6,107.0,1.1
P396ba96b58,13.1928,1.4,5.57428,-3.05,92.0,28.7,111.3,2.4
P398088f587,9.43057,4.7,5.26643,0.87,91.3,33.4,104.0,-0.4
P39e62f008f,12.1784,1.2,2.77707,-0.27,23.5,15.1,119.5,-0.6
P3a22280810,5.27914,2.1,1.61463,1.04,76.3,18.1,106.1,-1.7
P3a3a5bbbef,7.11437,1.7,2.10344,-0.36,50.6,8.6,107.8,0.4
P3a5b76349f,12.1648,0.6,6.74923,1.6,59.3,5.9,138.2,0.7
P3a6abfac78,8.8726,2.2,7.4344,1.71,64.5,9.1,134.4,1.6
P3b0e47f5ec,-0.971497,1.3,2.05397,-2.76,79.7,7.1,116.8,0.5
P3b1e823247,7.42581,1.3,4.10834,-3.28,87.9,13.3,104.1,0.6
P3bedf956bf,8.1287,2.4,3.95558,-4.6,83.5,10.8,107.6,0.4
P3cb5a9e68b,,,,,,,,
P3ce7981258,7.2105,2.1,7.15819,0.66,81.2,37.4,113.1,0.5
P3cfad83e39,7.2964,3.3,5.05399,0.48,91.6,20.4,114.3,-0.8
P3d136e77bf,2.92296,1.8,1.47345,-1.12,73.6,3.2,106.9,0.8
P3d4bf642e0,-0.885446,1.9,1.09188,0.46,66.2,13.5,103.2,-0.7
P3d55371834,4.44925,1.0,-0.315659,-2.75,65.9,3.8,106.0,-0.4
P3d8ccdb639,15.9114,2.8,8.98659,5.92,77.9,27.5,132.6,-0.2
P3da380186d,-5.65995,1.4,-0.431042,2.84,67.7,10.9,94.7,-1.4
P3da5d3f3f2,7.05497,2.0,3.89965,7.67,77.8,10.5,114.8,-1.1
P3daa0c9125,0.600578,1.1,-0.348771,-1.43,81.1,3.0,105.9,1.2
P3dd06c5ebd,10.3923,2.5,6.01812,-0.35,84.3,16.3,115.9,0.3
P3dfb31f267,12.1008,2.9,7.53903,0.75,78.6,16.4,129.1,0.7
P3e065b4b4e,8.00692,1.5,3.41664,2.91,31.3,10.5,108.3,-0.5
P3e0fd9667f,4.0536,1.3,2.17888,0.77,31.9,5.2,111.3,1.3
P3e1b393a8c,2.06502,1.3,3.52906,-1.66,85.4,7.7,105.5,0.0
P3e655a07ed,6.57838,2.6,2.3858,1.03,66.8,8.8,110.4,0.7
P3e86849b89,0.182563,1.7,-2.69246,0.78,37.7,16.8,82.8,-0.5
P3e9c3ca3d7,10.313,3.1,8.02834,5.02,87.4,27.6,123.6,1.3
P3ea09a4d42,5.07408,2.0,0.713957,-4.1,78.1,28.8,91.7,0.5
P3eb05301ef,-3.57211,0.0,-5.55573,-7.83,28.8,2.2,78.4,-1.0
P3ebbedffb1,2.05176,1.6,1.68894,1.03,81.9,11.5,104.5,1.3
P3ede0fa0b1,10.3831,2.0,6.9984,2.26,82.2,13.3,122.5,0.3
P3ee6bf444e,5.32946,1.7,5.56343,-2.22,89.3,19.3,110.9,0.4
P3ef4d7a55a,6.54076,2.3,7.67531,0.78,92.0,27.8,114.7,1.9
P3f25ee2633,9.28211,1.5,5.24083,-2.29,85.6,3.9,123.8,-0.9
P3f654a33fe,5.73947,2.7,-0.311695,-5.33,55.2,14.0,101.9,-1.1
P3f77f707c0,4.41864,2.1,3.20707,-1.55,64.9,16.9,104.5,1.0
P3f927eeca6,4.42222,0.7,0.646928,-2.9,83.0,8.0,105.5,0.6
P3fd81a75e9,3.70773,1.9,1.53304,-0.04,88.8,12.3,102.3,0.8
P3fe07be031,-1.74618,1.3,-1.12896,-0.65,69.2,7.7,103.7,0.0
P3fe42ad9e3,-4.93228,1.5,0.084044,1.47,93.0,14.2,101.5,0.2
P3fe5b0aa24,-0.630197,0.7,-1.01725,-3.36,64.3,8.1,91.4,-1.4
P3ffd955342,5.37495,1.3,4.62567,-0.69,83.2,13.7,113.6,1.1
P400aecdd2c,8.97447,1.5,1.70457,-3.25,79.4,6.7,105.2,-0.7
P401c3c358c,,,,,,,,
P4043f1171e,6.26295,5.1,3.34264,3.36,66.2,11.5,119.8,0.0
P40472c4e0a,-4.49421,1.0,-1.78559,0.09,68.9,8.7,86.4,0.5
P4048f3366a,6.58384,4.2,4.9094,-0.34,74.9,30.0,105.8,0.4
P4074fe9b9e,10.4439,2.6,6.79971,-0.22,83.2,21.8,125.0,-1.2
P4098a4e5cd,0.00288539,2.0,-1.01822,0.11,71.0,16.1,97.8,-1.4
P40b8fb181b,4.16458,1.6,2.69347,2.02,61.7,6.1,110.5,0.2
P40d023c55e,4.94285,1.7,4.72793,0.1,92.7,11.0,118.4,0.5
P414be319a7,9.87196,3.1,6.42196,4.83,77.5,11.9,131.0,-0.2
P416088a2b5,7.04154,2.3,4.18803,-1.2,68.8,23.1,115.0,0.5
P41612ab4e2,10.3068,1.8,6.32216,1.64,79.3,15.1,123.2,0.1
P416dc6431a,7.64543,1.1,4.93887,-0.85,73.2,14.4,114.1,0.0
P41704425e7,8.80872,1.6,1.06095,1.6,52.7,6.1,116.7,0.5
P41ae7c3c75,7.94339,3.1,5.37007,-1.83,68.0,10.0,115.2,-0.1
P41b1bb4705,4.12891,1.7,3.05952,1.01,62.5,9.8,108.9,1.1
P41bc73e83b,11.5201,2.8,4.41231,0.48,80.5,25.6,110.8,1.9
P41bcb3bebd,5.95862,1.5,5.09563,-2.79,84.3,26.4,109.2,-0.1
P420da53cac,1.17118,1.7,-1.20711,-6.71,61.0,9.7,95.7,-0.3
P420fe29f13,0.894703,1.2,3.22563,0.81,81.9,9.9,110.5,-0.5
P42302cf51e,2.79402,1.5,2.33709,-3.24,80.5,22.4,103.3,0.2
P4230b28232,2.66604,2.1,1.23739,1.3,82.9,18.1,104.6,-0.9
P424c3aa3f2,3.08407,1.1,2.52595,-2.04,84.1,22.0,104.5,0.8
P429241cb33,3.67083,3.2,3.89602,-0.66,50.8,30.9,106.3,0.3
P4294404a76,3.62064,1.0,-0.274763,-4.66,79.0,9.4,111.0,-0.2
P429838957d,3.99433,2.2,2.23573,-1.86,81.4,17.0,100.8,0.0
P42b9d239c3,8.39589,1.9,5.49628,-2.44,68.5,8.4,117.7,0.2
P42d7cc83b1,6.50425,1.1,3.35002,7.82,53.9,21.9,108.6,-0.9
P433bbb1ab7,5.65168,0.8,1.87247,1.06,78.4,11.2,110.5,0.0
P4370ef2bf5,9.4102,3.9,4.38378,1.09,72.6,33.1,115.5,-0.1
P4396f0664b,8.49262,1.0,4.60965,3.44,53.4,11.6,122.8,0.5
P43b2e2aa2f,6.89546,2.1,3.11315,3.55,79.9,8.4,126.7,-1.0
P43bb69ceef,-11.446,0.0,-4.67207,4.17,1.4,0.0,95.9,-1.5
P43d78a0411,3.57676,1.2,2.95775,-0.15,81.2,23.8,106.6,-1.0
P43dec358d1,7.78924,2.0,5.87202,3.43,74.1,25.9,110.9,1.2
P43f8251240,7.4529,4.4,5.34061,-4.53,62.6,20.7,107.3,-0.4
P4417860ddd,11.9541,3.6,5.59498,2.72,84.4,29.9,111.1,1.2
P441a89e79f,7.28477,1.8,6.54738,1.71,83.3,18.9,122.9,1.0
P445f167264,10.6601,1.3,4.64606,3.58,59.6,28.2,115.0,0.8
P4467431c36,3.58995,1.6,3.97713,-5.36,64.4,31.1,102.1,0.7
P44ba277b42,2.10966,2.8,2.99469,1.85,81.4,13.8,103.7,0.7
P44ea7b86af,5.35271,1.8,2.8488,-1.69,93.5,29.0,97.4,0.1
P44f988dfdd,7.26231,0.4,2.50179,-2.11,77.2,7.6,118.4,-0.7
P4516ced6d5,0.86864,1.8,-1.09162,-2.56,57.0,1.3,99.4,-1.2
P452df756e1,-15.1937,0.0,-7.87126,5.18,14.2,0.0,75.6,-0.9
P45450124ed,5.08408,3.7,4.21982,1.05,82.7,17.1,121.0,0.6
P456fdc6328,14.694,3.9,8.82314,0.27,70.9,16.5,121.4,2.0
P4570803785,3.08063,1.7,3.63212,-3.51,84.9,22.7,108.0,0.0
P4583d7bf3c,5.69862,2.7,2.41302,-2.84,83.5,22.5,99.4,-2.4
P459acdec33,8.62622,1.0,5.51285,-0.42,77.8,9.7,123.8,-0.3
P45a39b68c1,9.76139,3.6,5.61642,0.37,55.4,31.4,114.0,0.7
P45b94f1aab,4.78556,2.9,3.51915,-1.12,77.0,40.0,101.1,0.7
P460426d8cf,3.1353,1.2,-0.871727,0.58,41.7,6.8,99.1,0.2
P46419801dd,2.66183,1.7,1.78661,5.03,44.0,24.2,107.5,0.6
P465ab55c02,9.13373,4.2,6.46878,-0.42,84.1,16.7,112.7,0.2
P467b7b3f59,5.57366,2.3,3.49447,-3.87,91.6,8.1,107.0,-0.2
P467d53ba82,4.71441,2.7,2.00422,-1.95,94.2,35.5,94.3,0.5
P46c8e8cb1c,5.80346,2.9,1.86056,-1.53,82.5,18.0,104.6,1.0
P46ea49196b,1.1907,2.4,2.10123,-0.29,73.9,25.5,105.9,0.4
P47044d9385,7.39374,2.2,2.27373,-3.54,80.0,41.1,96.1,1.5
P470eca3f49,1.36045,2.2,2.75021,-0.19,82.0,28.1,111.5,-0.7
P4722b5d5ff,4.39345,1.0,2.72558,-0.95,67.2,5.4,110.5,-0.4
P473649a3ff,9.85345,4.2,7.01148,-1.96,75.9,23.5,125.0,-0.3
P47380ec945,4.88035,1.6,2.20333,-0.52,62.6,6.7,109.1,-1.0
P477dab5e0e,6.45252,1.9,2.51724,3.92,76.0,7.7,112.8,-1.5
P4793f789c0,9.61564,2.3,8.81763,1.55,87.5,38.9,114.3,1.3
P4797fb50d3,6.46817,2.9,5.46315,1.05,87.4,16.4,112.8,0.3
P479c1cba2f,10.7615,1.5,4.2944,-1.31,72.4,8.5,118.5,0.9
P47a1cc70a3,7.96535,2.1,6.99525,0.37,83.9,11.8,117.1,0.6
P47c5a2733b,7.41743,3.4,4.6575,0.36,77.2,20.8,107.5,-0.6
P47d96f257b,6.73705,2.7,1.5721,3.38,29.7,4.5,102.5,0.5
P47e2698d94,8.92092,5.0,5.901,0.6,83.0,26.0,108.5,1.1
P47e358160b,5.66249,1.0,5.94794,0.13,78.0,7.7,130.1,-2.2
P47e4bd26a8,-2.14061,1.9,1.67261,6.77,16.8,25.9,107.9,0.6
P480c7bd367,4.84249,2.3,4.96245,-2.2,83.6,31.9,103.2,0.1
P4832cf3ea3,12.907,7.4,2.61691,4.35,78.9,15.2,105.9,1.4
P484d9844af,7.48305,1.8,2.99341,3.69,51.4,1.4,124.4,0.9
P4862cd71b2,3.91175,2.2,7.59838,0.85,93.8,19.8,117.6,1.0
P486b5c76fa,4.53235,2.4,0.678193,-3.47,56.4,8.6,98.9,-0.5
P48772fff87,6.248,0.9,3.27635,-3.33,87.8,7.5,108.8,1.3
P4879fe4868,6.76132,2.7,5.41836,-1.85,96.9,21.7,113.8,-0.8
P488064c36d,4.08166,2.1,2.61602,-2.15,47.3,16.4,100.8,1.6
P48e5247a2d,4.73064,2.3,3.54133,2.51,83.2,19.4,114.9,0.2
P48e78aee32,,,,,,,,
P495dd3afc8,7.03849,2.4,5.71009,-4.77,84.7,38.3,110.2,1.0
P49827cf895,9.16328,3.3,8.09411,0.96,81.8,9.3,113.2,1.0
P49b4c451ec,5.99692,1.6,4.40414,-0.94,69.5,12.9,121.1,0.9
P49d50fc2b5,7.77642,1.1,6.61388,1.44,67.9,5.0,125.6,0.6
P4a000d48b0,7.02168,1.9,5.5368,0.98,84.8,14.0,115.4,0.9
P4a125216bc,3.67141,1.5,-1.61079,0.3,84.5,4.7,96.5,-0.6
P4a1b07df85,3.21923,1.5,3.32858,-1.71,77.9,10.6,109.2,0.4
P4a79c6caeb,9.5152,1.8,5.60975,0.93,76.8,11.9,116.2,0.1
P4a7a8900d7,5.35321,0.8,5.33373,1.38,91.8,22.3,111.1,-1.6
P4afc5fb3f7,12.4035,1.3,4.94218,-0.05,72.9,19.0,118.5,-0.8
P4b0ccf34e0,6.85419,0.5,3.40942,-0.77,57.0,9.2,109.6,2.8
P4b1ba6339f,7.94943,4.0,6.17139,-2.03,91.0,27.9,112.1,0.1
P4b40cf78ae,4.09988,1.9,0.751967,-0.89,65.2,5.5,104.1,-0.4
P4b46fb5c89,6.7224,2.4,5.7006,-5.74,87.4,8.5,112.7,-0.7
P4b68bd7095,5.05856,1.6,3.92473,0.23,89.1,13.1,114.5,-1.3
P4b73f3a250,11.9817,2.8,8.55016,0.58,83.8,17.6,138.3,-0.7
P4b7967ab2f,3.11811,0.7,1.06522,2.38,62.2,4.4,115.0,0.5
P4bbcd3bc18,9.81258,1.7,5.02086,0.56,81.4,18.2,119.9,0.9
P4bc4764e2a,5.65439,1.5,3.22656,-4.05,54.6,5.0,114.7,-0.4
P4bd2cd3d34,3.08407,1.1,2.52595,-2.04,84.1,22.0,104.5,0.8
P4c0563638d,6.16218,1.2,3.37755,-2.86,59.7,9.7,117.8,0.1
P4c0b663d25,2.02753,1.3,0.506196,-0.04,65.5,6.0,100.2,-0.8
P4c4f563b8c,6.40002,0.8,5.99374,-1.78,79.5,5.7,124.3,-2.1
P4d03279429,7.24269,2.9,3.487,2.76,80.3,20.7,113.3,-1.1
P4d2e34ba12,5.95473,1.4,5.2928,-2.1,91.0,10.6,112.5,-0.3
P4d2f3d5dbd,5.26503,2.0,-1.83016,-5.53,31.5,1.7,87.0,0.9
P4d3e8e1430,4.69425,1.1,3.07543,-5.56,55.5,4.7,110.4,-0.8
P4d55024373,1.45065,1.9,1.45602,-0.91,61.3,13.3,103.0,0.1
P4d8e3ba87c,6.81551,1.9,4.03408,0.7,81.7,17.1,112.3,-0.7
P4ddb9bf638,5.68217,1.4,1.26386,1.29,60.4,4.6,105.4,-1.4
P4dedf6acf4,0.0555352,1.8,0.320772,-0.87,78.1,17.3,93.1,0.0
P4e09db2338,10.2304,3.4,7.6141,3.2,80.9,21.2,118.2,0.2
P4e0fbd7a78,8.96375,2.3,3.26602,2.96,80.7,20.1,118.3,1.1
P4e1bce542d,9.57683,1.2,3.50477,3.64,67.0,19.9,117.6,0.0
P4e1f6ff7ed,-0.198699,0.9,-0.107227,-3.7,64.6,5.3,98.9,2.1
P4e2fe9e886,-1.34555,2.2,-0.603092,1.19,70.6,26.2,93.5,-0.4
P4e35bd6add,3.77473,1.2,2.32559,0.01,58.3,7.7,108.3,1.0
P4e4e438f6e,5.42804,1.7,0.613558,-2.92,76.1,4.5,95.4,0.9
P4e98315e7d,1.72977,1.5,2.91643,4.9,89.5,15.9,122.7,-1.9
P4ebe015218,4.99258,1.0,4.75127,-2.51,92.5,27.4,105.0,1.9
P4ebfdd4833,8.05579,1.7,5.33221,4.52,85.0,13.6,122.5,0.0
P4ec4ee54f1,8.29853,1.7,7.21123,-1.21,90.9,15.4,116.5,0.3
P4f020a46a6,5.87249,2.3,2.04023,6.6,75.6,17.4,112.9,-3.0
P4f181909b7,9.28506,2.7,4.32617,-1.45,79.9,36.1,107.7,0.6
P4f47ca7b5d,3.38566,1.2,2.19956,-0.85,63.8,7.8,107.9,0.4
P4f7a1b04a6,2.05779,1.7,-0.428046,-0.66,83.3,11.0,92.5,-0.9
P4f7ec9f72f,9.9345,0.9,6.96418,0.59,83.1,8.3,133.0,1.2
P4f854a47d9,-2.33731,0.9,-2.80879,3.7,29.0,5.5,100.9,1.3
P4ff3e30134,2.09498,2.5,-0.825721,-1.98,28.7,18.5,90.7,0.6
P4ff854eadf,5.92125,1.6,0.978232,0.45,79.4,8.4,106.9,0.6
P502aba077e,5.96936,0.9,2.71262,2.29,64.1,8.8,115.7,0.0
P503b298309,-6.14681,2.6,-4.04202,1.73,71.7,4.3,92.2,-0.5
P50969329ac,1.66141,1.4,-4.53112,6.26,78.2,5.3,106.4,-0.1
P50c2524b85,7.25429,2.0,4.65443,-2.99,89.7,30.4,109.5,0.9
P50ca99530f,10.1493,2.2,4.3733,-9.94,71.5,5.9,119.2,-1.1
P50d6953351,8.41962,1.7,4.28618,-3.11,78.0,24.4,104.5,2.2
P518109d62a,4.84721,1.7,2.89701,-1.33,49.1,5.4,115.2,-1.5
P519f028bfb,6.15003,3.9,5.47187,-3.02,85.9,25.9,109.6,1.8
P51e6803c0a,3.48332,2.6,-0.56898,-0.39,83.4,19.4,92.1,-1.2
P51e90d8f38,0.0120271,2.4,1.57387,1.85,83.5,48.4,106.5,-1.5
P51f87bc5f4,12.5067,3.4,7.47527,-2.26,73.6,24.5,123.3,-0.2
P521ea871d2,5.90522,1.4,5.42711,-1.4,83.8,19.2,112.7,0.7
P522b25bae5,6.6816,5.2,2.64737,-1.17,82.3,20.1,121.4,0.1
P523c5eb5e6,4.46421,2.0,3.95731,1.08,67.7,15.8,102.6,0.0
P523c7506e7,6.23904,1.1,4.09133,-0.31,60.1,5.0,121.7,-0.8
P52af59d765,3.42949,1.1,3.41762,0.89,86.9,13.4,111.5,0.1
P52c5169542,8.29439,1.0,3.27976,-2.1,56.7,3.5,122.8,-1.5
P52c65c114a,6.23049,3.9,3.29905,-1.08,80.3,24.6,96.7,-0.9
P53502448c1,5.79909,1.6,1.72354,0.4,90.8,5.4,113.1,0.3
P5351e63d76,7.56157,2.0,6.80588,-1.91,91.8,24.2,121.1,0.1
P53698aab75,7.40209,0.7,8.46005,1.61,72.0,11.9,138.5,0.4
P539be6c711,4.65153,1.7,4.63082,-1.8,82.9,11.2,114.7,-0.5
P53d139a0c8,7.67041,1.6,4.25746,-0.82,83.5,11.4,122.8,-0.4
P54240b8a24,6.83507,1.4,4.9797,-1.26,78.8,8.2,123.4,-0.9
P544c115a68,3.57501,1.6,0.463139,0.99,66.4,9.7,98.5,-0.5
P5480a34012,5.27159,2.0,2.85571,-3.01,84.2,10.5,108.2,-1.8
P5492e07ad3,8.75278,1.7,5.51829,1.78,77.5,9.4,120.2,0.5
P54ce020bc4,-2.1671,0.9,-3.55672,1.34,16.8,1.7,87.1,0.3
P54e531f2ec,3.46712,1.2,1.2508,-3.39,89.5,11.5,94.7,0.7
P5500e23cae,8.96503,2.0,5.07397,4.11,72.5,10.6,118.9,0.8
P551a484de7,13.1267,3.4,5.54783,0.96,70.7,15.8,131.4,-0.3
P552ea773e2,6.64658,2.3,5.14926,1.25,91.5,19.7,109.2,0.7
P55c8e33d89,3.02596,1.9,0.716125,2.64,75.6,11.5,104.8,-0.1
P55d017c927,9.03175,0.8,5.30565,0.81,85.3,9.5,127.1,-0.7
P55d1c5e102,5.40922,0.0,5.24224,-3.44,6.7,52.1,115.9,1.1
P55f0d03e7b,11.0138,4.1,6.69475,-3.29,84.4,35.4,108.3,0.9
P55fe66b9ce,5.63622,1.2,0.771263,0.96,64.9,3.8,118.0,1.0
P5605a2fa7e,4.70295,2.3,3.96677,-0.1,85.2,13.1,106.3,2.4
P56746fa0a3,8.66578,3.2,4.0214,-2.02,70.0,10.5,123.5,0.7
P56764c9c75,6.00023,1.0,3.76517,-5.29,71.5,6.2,112.7,1.0
P5698276a02,5.49524,1.4,5.5521,3.62,80.6,6.5,128.4,0.0
P5699f03b57,11.5299,2.9,5.55331,-3.21,77.6,23.7,112.2,0.5
P56aec34978,6.19603,1.2,-2.08164,-2.63,49.4,3.8,105.7,-1.2
P56bb4beeed,6.88113,2.6,7.09433,0.89,86.6,14.1,118.3,-0.9
P5705590403,2.92139,2.7,1.94551,1.04,75.5,11.9,99.1,-1.5
P575f19a655,,,,,,,,
P57690f53ec,4.52523,1.5,4.73492,1.39,92.4,28.1,111.1,0.5
P57703dc960,6.7745,2.0,3.11453,-0.15,83.2,23.4,107.8,-0.3
P57802757ed,6.36355,2.4,7.8354,0.53,83.6,15.0,115.4,2.3
P57ab80ef44,6.74361,1.2,4.31168,1.63,80.3,16.7,112.7,-0.1
P57cf716ba7,0.980878,0.8,-1.05827,-3.91,50.5,5.5,90.2,0.3
P581e368d46,5.97228,1.1,0.673589,-6.74,45.2,5.5,97.7,-2.6
P5828555cba,3.89694,0.8,2.95655,4.39,80.3,27.3,106.4,-0.6
P58604dcdcf,3.98555,1.3,2.50794,-4.12,85.4,15.3,101.3,-0.8
P588407dc89,2.96069,1.3,1.66534,-0.39,71.8,16.8,103.0,-0.1
P58c3f134a2,5.40729,2.1,0.477708,-8.5,36.6,13.9,92.6,-2.0
P58e5b2eaa8,9.85175,2.6,7.01255,-0.36,77.8,20.1,119.2,0.1
P59007d3b10,4.44433,1.1,4.64341,-0.89,85.6,5.0,115.3,0.0
P597d181897,2.06571,1.2,0.618838,-4.1,90.2,11.7,92.7,-0.4
P59ddf4705a,5.86388,2.2,6.05455,-1.61,89.9,18.1,114.2,2.0
P5a277fef0e,6.12855,1.6,2.35752,-3.58,67.0,16.0,105.8,0.8
P5a52d22738,4.87969,0.9,1.72764,-5.25,70.1,1.8,116.5,-0.1
P5a591d3e24,16.9554,1.3,6.74467,1.57,53.1,12.9,127.3,0.1
P5aa610b7ff,1.8074,2.9,2.37181,2.36,77.4,10.1,110.5,0.1
P5af1a30da4,1.95363,1.1,0.609005,0.22,89.6,9.6,111.6,0.7
P5b50a9b58b,-6.73799,0.0,-5.91719,-27.38,5.7,4.0,40.0,-5.8
P5b6cf4f1ea,2.19663,2.0,-0.10808,2.81,58.2,13.6,102.4,-0.7
P5bddeea434,4.64532,1.1,3.29025,-0.88,77.1,7.4,109.0,0.4
P5be180758a,9.28763,2.2,7.02765,0.07,89.0,32.3,110.5,1.6
P5c11762ec9,3.09076,2.6,1.50603,-1.82,64.0,15.7,93.5,-1.3
P5c19a79a93,11.7599,3.1,7.98633,-1.01,87.0,31.5,116.8,0.9
P5c990faeef,-1.25493,2.7,-0.502557,-2.63,56.3,22.1,93.2,-1.7
P5cba6e4b4b,1.95836,2.8,1.55193,-0.22,77.5,18.7,95.2,0.5
P5cd98708f1,9.86804,1.1,3.45056,-2.98,77.1,16.9,111.0,1.4
P5d0988f1e1,3.97086,3.3,5.24611,-1.74,90.7,27.3,110.2,-0.6
P5d11abfd72,4.44976,2.3,2.057,2.81,76.1,22.8,104.5,0.0
P5d94de4385,8.00962,1.5,0.887786,2.89,60.1,21.2,107.3,-0.7
P5da3d9ffcd,7.30999,2.1,3.15177,0.34,70.9,5.6,116.1,-1.7
P5e4a09f56c,5.55621,2.1,4.13234,1.0,77.8,14.4,111.7,0.2
P5e4e4a8cf1,12.8546,2.5,9.04572,0.44,63.9,8.7,128.3,1.1
P5e50445e82,4.28741,3.5,2.74449,-3.04,78.3,36.4,99.4,-1.6
P5ea4e3ee4a,-4.02348,1.9,-1.39056,-2.26,73.6,28.0,96.9,-0.3
