draft_year,player,pick,war5,r,colin_rank,outcome_rank,pick_rank,pid,bio_age_at_draft,cons_mock_consensus_rank,hs_rsci_rank,col_impact,col_ts_pct,col_fg3_pct,col_ast_pct,path,bio_height_in,steal,our_rank
2019,Jarrett Culver,6.0,-1.4013507190309251,0.9708333333333332,2.0,56.0,6.0,Pbc4309c829,20.33,5.0,,10.3158,54.17,0.304,25.9,college_2008plus,78.75,-50.0,3.0
2019,Jaxson Hayes,8.0,2.0147684592874104,0.8583333333333334,9.0,24.0,8.0,Ped6b9a1a7c,19.07,9.666666666666666,,10.4959,73.9,,2.6,college_2008plus,83.5,-16.0,6.0
2019,Jaylen Hands,56.0,0.0,0.0458333333333333,59.0,34.0,56.0,Pb0f44d6b69,20.36081451060917,58.0,,3.23683,53.71,0.373,36.5,college_declared,75.0,22.0,
2019,Jaylen Nowell,43.0,0.9646788569798256,0.2125,49.0,29.0,43.0,Pab169ed872,19.95,40.0,66.0,3.51724,59.15,0.44,20.8,college_2008plus,76.25,14.0,58.0
2019,Jordan Bone,57.0,-0.8345747562527994,0.1083333333333333,57.0,51.0,57.0,P2c24c6affb,21.62,54.0,,4.52922,55.78,0.36,30.5,college_2008plus,74.75,6.0,51.0
2019,Jordan Poole,28.0,3.735346770140535,0.2125,48.0,19.0,28.0,Pefa2378416,20.0,45.0,99.0,7.31046,57.32,0.369,13.0,college_2008plus,77.5,9.0,56.0
2019,Justin James,40.0,-0.2284410064320454,0.1875,50.0,43.0,40.0,P6336d0d324,22.41,,,2.54123,51.53,0.301,33.0,college_2008plus,79.0,-3.0,33.0
2019,Justin Wright-Foreman,53.0,-0.225267659,0.0583333333333333,58.0,42.0,53.0,Pdee21247bb,21.65,,,2.16423,63.72,0.425,17.6,college_2008plus,72.0,11.0,57.0
2019,KZ Okpala,32.0,-1.1699388674669955,0.0416666666666666,60.0,55.0,32.0,Pd17e70140c,20.15,25.2,,0.982659,54.32,0.368,13.0,college_2008plus,81.5,-23.0,50.0
2019,Keldon Johnson,29.0,7.159782787771794,0.5875,26.0,12.0,29.0,Pa4c28f80ad,19.69,19.0,12.0,5.96443,55.75,0.381,10.6,college_2008plus,78.0,17.0,27.0
2019,Kevin Porter Jr.,30.0,6.9769689653655,0.175,52.0,15.0,30.0,Pba03162225,19.13,17.5,28.0,1.85505,55.91,0.412,12.0,college_2008plus,77.5,15.0,40.0
2019,Kyle Guy,55.0,-0.3381151357442006,0.2833333333333333,44.0,45.0,55.0,Pb69fbd28c6,21.86,52.0,32.0,8.19257,60.93,0.426,11.9,college_2008plus,74.25,10.0,46.0
2019,Luka Šamanić,19.0,-0.7257649876530168,0.6000000000000001,25.0,48.0,19.0,P9b3e496395,19.44,32.333333333333336,,,,,,international,83.0,-29.0,34.0
2019,Marial Shayok,54.0,-0.063891703,0.1208333333333333,56.0,38.0,54.0,P224fa713e4,23.9,,,4.25118,61.08,0.384,12.2,college_2008plus,77.5,16.0,52.0
2019,Matisse Thybulle,20.0,15.618027485533942,0.8458333333333333,11.0,5.0,20.0,P4832cf3ea3,22.29,25.6,,11.3248,54.17,0.305,13.5,college_2008plus,78.0,15.0,5.0
2019,Mfiondu Kabengele,27.0,-0.0890252624342352,0.4,36.0,40.0,27.0,P8209ad6040,21.85,21.6,,6.12111,59.27,0.369,3.2,college_2008plus,82.25,-13.0,22.0
2019,Miye Oni,58.0,-0.0286694449930813,0.1208333333333333,55.0,36.0,58.0,Pd88f1bdac2,21.88,51.666666666666664,,3.86169,55.82,0.367,20.7,college_2008plus,77.75,22.0,38.0
2019,Nassir Little,25.0,1.2174676044884694,0.3333333333333333,41.0,27.0,25.0,P6a5f6ac2d8,19.35,12.666666666666666,3.0,3.87422,55.07,0.269,6.1,college_2008plus,78.0,-2.0,30.0
2019,Nic Claxton,31.0,16.336643415204122,0.6875,19.0,4.0,31.0,,,,,,,,,,,27.0,
2019,Nickeil Alexander-Walker,17.0,4.793738982035961,0.6625,21.0,18.0,17.0,P6f1d3c64d2,20.8,16.8,,7.45051,58.59,0.374,24.6,college_2008plus,77.5,-1.0,4.0
2019,P.J. Washington,12.0,6.977568831966471,0.825,13.0,14.0,12.0,P4a79c6caeb,20.84,17.4,14.0,10.1555,59.19,0.423,13.1,college_2008plus,80.0,-2.0,24.0
2019,Quinndary Weatherspoon,49.0,-0.8886288396721976,0.4458333333333333,34.0,52.0,49.0,P4797fb50d3,22.77,,98.0,6.7425,62.16,0.396,16.6,college_2008plus,76.25,-3.0,44.0
2019,RJ Barrett,3.0,6.066121444167594,0.6958333333333333,18.0,17.0,3.0,Pa9cae64430,19.01,3.0,1.0,5.92941,53.19,0.308,23.5,college_2008plus,79.0,-14.0,13.0
2019,Romeo Langford,14.0,0.8956544996256255,0.4583333333333333,32.0,30.0,14.0,P714602a9aa,19.65,15.4,5.0,3.85764,54.19,0.272,14.2,college_2008plus,78.0,-16.0,31.0
2019,Rui Hachimura,9.0,0.1467456079686961,0.2416666666666666,47.0,32.0,9.0,Pbea2d75e26,21.36,13.666666666666666,,6.43267,63.9,0.417,9.3,college_2008plus,80.0,-23.0,20.0
2019,Sekou Doumbouya,15.0,-3.573316167016959,0.6333333333333333,23.0,60.0,15.0,P9540818d9f,18.49,10.5,,,,,,international,81.0,-45.0,18.0
2019,Talen Horton-Tucker,46.0,3.662687007016451,0.2958333333333333,43.0,21.0,46.0,P5c11762ec9,18.57,30.5,50.0,3.99724,48.84,0.308,16.2,college_2008plus,76.0,25.0,42.0
2019,Terance Mann,48.0,11.815031014612892,0.4958333333333333,31.0,10.0,48.0,P18facb688d,22.67,53.0,,8.26109,60.3,0.39,15.6,college_2008plus,78.5,38.0,28.0
2019,Tremont Waters,51.0,-0.3103658594708451,0.5041666666666667,30.0,44.0,51.0,Pf6db5ed983,21.44,43.0,38.0,6.94858,54.57,0.327,34.0,college_2008plus,70.75,7.0,39.0
2019,Ty Jerome,24.0,1.3193550389365272,0.875,6.0,26.0,24.0,Pb16e641fe9,21.95,27.2,46.0,10.6691,55.5,0.399,32.6,college_2008plus,77.5,-2.0,10.0
2019,Tyler Herro,13.0,12.4526385254151,0.8125,14.0,8.0,13.0,P4ebfdd4833,19.41,19.0,35.0,7.81607,58.03,0.355,15.2,college_2008plus,78.0,5.0,9.0
2019,Vanja Marinković,60.0,0.0,0.2624999999999999,46.0,34.0,60.0,,,,,,,,,,,26.0,
2019,Zion Williamson,1.0,22.130921376530228,1.0,1.0,1.0,1.0,P00e7133fc6,18.95,1.0,4.0,16.4614,70.19,0.338,15.0,college_2008plus,78.0,0.0,1.0
2020,Aaron Nesmith,14.0,5.572965905607155,0.6208333333333333,23.0,20.0,14.0,Pe6c9de6d86,21.09,13.2,63.0,6.21376,68.53,0.522,6.9,college_2008plus,78.0,-6.0,24.0
2020,Aleksej Pokusevski,17.0,-3.053305257101113,0.2458333333333333,48.0,56.0,17.0,P842bafbfda,18.9,23.0,,,,,,international,84.0,-39.0,47.0
2020,Anthony Edwards,1.0,36.48224342993951,0.8916666666666666,8.0,2.0,1.0,P35f0fb7731,19.29,1.6666666666666667,4.0,3.96519,51.73,0.291,17.9,college_2008plus,77.0,-1.0,21.0
2020,CJ Elleby,46.0,-1.6679184171142891,0.4791666666666667,30.0,53.0,46.0,P173da90181,20.42,42.0,,5.55067,51.86,0.339,13.4,college_2008plus,78.2,-7.0,22.0
2020,Cassius Stanley,54.0,-0.0664301003082965,0.025,60.0,42.0,54.0,Pb3e461d4cf,21.25,40.5,33.0,4.13098,56.9,0.36,6.6,college_2008plus,78.2,12.0,51.0
2020,Cassius Winston,53.0,-0.627915446884742,0.1333333333333333,55.0,51.0,53.0,P1cf3ac09b1,22.72,38.333333333333336,29.0,5.59229,58.48,0.432,36.3,college_2008plus,73.5,2.0,58.0
2020,Cole Anthony,15.0,5.816117915599662,0.5625,26.0,19.0,15.0,P388cb0d5da,20.51,17.166666666666668,3.0,3.22163,50.15,0.348,23.9,college_2008plus,75.0,-4.0,25.0
2020,Daniel Oturu,33.0,-0.5041098550721193,0.2791666666666667,46.0,48.0,33.0,P48772fff87,21.16,38.5,50.0,7.17214,61.2,0.365,7.6,college_2008plus,82.0,-15.0,54.0
2020,Deni Avdija,9.0,13.432580895142255,0.7416666666666667,16.0,9.0,9.0,Pa430d00e1f,19.87,3.8333333333333335,,,,,,international,81.0,0.0,29.0
2020,Desmond Bane,30.0,26.9225972338011,0.8166666666666667,10.0,3.0,30.0,P5be180758a,22.4,23.0,,7.88603,56.54,0.439,26.0,college_2008plus,78.0,27.0,11.0
2020,Devin Vassell,11.0,8.060377485582247,0.9416666666666668,4.0,14.0,11.0,Pd70c9ef8df,20.24,10.0,,9.171,58.48,0.415,11.2,college_2008plus,79.0,-3.0,5.0
2020,Elijah Hughes,39.0,-1.827097933990732,0.35,41.0,54.0,39.0,Pdc083a80a9,22.69,36.666666666666664,,5.75544,56.09,0.342,20.1,college_2008plus,78.5,-15.0,31.0
2020,Grant Riller,56.0,0.0222879878191911,0.2041666666666666,50.0,36.0,56.0,Pdc49b6ecb0,23.78,39.666666666666664,,5.86233,60.49,0.364,30.5,college_2008plus,73.0,20.0,37.0
2020,Immanuel Quickley,25.0,19.51686377050495,0.1916666666666666,52.0,5.0,25.0,P63236d3a70,21.42,42.5,,5.63281,59.49,0.428,11.7,college_2008plus,75.0,20.0,43.0
