pid,season,ridge_rank,neg,pos,missing
P3dd06c5ebd,2023,21,"{""hs_recruit_rank_delta"": -0.144, ""hs_recruit_rank_final"": -0.06, ""bio_pos_src"": -0.055, ""bio_combine_vertical_max_in"": -0.049, ""col_ftar"": -0.045, ""col_team_strength"": -0.035}","{""pre_green_room_invite"": 0.093, ""shr_col_impact"": 0.069, ""col_minutes_total"": 0.061, ""shr_col_tov_pct"": 0.055, ""bio_combine_vertical_standing_in"": 0.046, ""col_impact"": 0.04}",45
Pdd1f325a63,2023,52,"{""intl_impact"": -0.169, ""cons_mock_best_rank"": -0.116, ""cons_mock_consensus_rank"": -0.108, ""intl_season_gap"": -0.086, ""intl_ft_pct"": -0.069, ""intl_fg3ar"": -0.057}","{""intl_pts36"": 0.128, ""bio_country_usa"": 0.09, ""intl_youth_n"": 0.051, ""intl_efg_pct"": 0.048, ""feat_coverage"": 0.046, ""bio_combine_vertical_max_in"": 0.034}",23
P396ba96b58,2023,14,"{""intl_season_gap"": -0.086, ""intl_fg3ar"": -0.079, ""adj_intl_stl36"": -0.07, ""intl_ft_pct"": -0.069, ""intl_pts36"": -0.063, ""intl_efg_pct"": -0.063}","{""shr_col_impact"": 0.205, ""col_impact"": 0.118, ""hs_jordan_brand"": 0.094, ""col_impact_def"": 0.083, ""col_gl_worst5_game_score"": 0.076, ""bio_combine_hand_width_in"": 0.075}",19
P470eca3f49,2024,45,"{""shr_col_impact"": -0.137, ""intl_season_gap"": -0.086, ""col_impact"": -0.081, ""adj_intl_reb36"": -0.076, ""cons_src2_n"": -0.075, ""col_impact_def"": -0.073}","{""col_gl_team_rank"": 0.105, ""bio_country_usa"": 0.09, ""col_team_strength"": 0.065, ""col_hm_assisted_rim"": 0.063, ""intl_fg3ar"": 0.058, ""col_sc_unassisted_rim"": 0.053}",24
Pfd3b474513,2024,25,"{""cons_src2_n"": -0.116, ""col_blk_pct_age"": -0.076, ""col_n_seasons"": -0.064, ""col_class_index"": -0.063, ""col_orb_pct_role"": -0.059, ""col_ftar"": -0.05}","{""col_minutes_total"": 0.089, ""x_ft_vol"": 0.088, ""cons_mock_n_sources"": 0.088, ""x_proj_vol"": 0.081, ""col_fg3a_per40"": 0.067, ""col_fg3ar"": 0.055}",50
P4b73f3a250,2024,16,"{""cons_src2_n"": -0.075, ""cons_mock_consensus_rank"": -0.071, ""pre_n_schools"": -0.068, ""bio_combine_vertical_standing_in"": -0.067, ""cons_mock_best_rank"": -0.067, ""col_n_seasons"": -0.064}","{""shr_col_impact"": 0.159, ""shr_col_ortg"": 0.105, ""col_impact"": 0.092, ""shr_col_tov_pct"": 0.079, ""bio_combine_vertical_max_in"": 0.068, ""col_gl_ncaa_games"": 0.062}",56
Pf120e8dc11,2024,47,"{""cons_src2_n"": -0.116, ""pre_n_schools"": -0.068, ""shr_col_impact"": -0.061, ""col_hm_assisted_3"": -0.05, ""hs_recruit_rank_points"": -0.049, ""pre_green_room_invite"": -0.04}","{""cons_mock_n_sources"": 0.088, ""col_gl_worst5_game_score"": 0.048, ""col_gl_team_rank"": 0.043, ""col_ast_pct_age"": 0.041, ""bio_pos_src"": 0.039, ""bio_combine_sprint_s"": 0.035}",46
Pada60a9da7,2024,21,"{""intl_pts36"": -0.168, ""cons_src2_n"": -0.116, ""x_ft_gap"": -0.07, ""intl_fg3ar"": -0.062, ""bio_combine_reach_in"": -0.053, ""intl_fg3_pct"": -0.052}","{""intl_impact"": 0.186, ""hs_jordan_brand"": 0.094, ""hs_recruit_rank_delta"": 0.094, ""pre_green_room_invite"": 0.093, ""cons_mock_n_sources"": 0.088, ""intl_blk36"": 0.057}",26
P9fc884bebd,2024,22,"{""cons_mock_consensus_rank"": -0.085, ""cons_src2_n"": -0.075, ""col_mid_fg_pct"": -0.071, ""bio_combine_vertical_max_in"": -0.056, ""cons_mock_best_rank"": -0.054, ""x_ft_vol"": -0.054}","{""pre_medical_redshirt"": 0.164, ""shr_col_impact"": 0.055, ""cons_mock_n_sources"": 0.051, ""bio_combine_vertical_standing_in"": 0.051, ""col_hm_fg_2pt_j"": 0.05, ""bio_combine_sprint_s"": 0.041}",56
Pc2ef5dcf11,2025,24,"{""cons_mock_best_rank"": -0.079, ""cons_mock_consensus_rank"": -0.077, ""bio_combine_vertical_max_in"": -0.07, ""pre_n_schools"": -0.068, ""cons_src2_n"": -0.054, ""col_orb_pct_role"": -0.046}","{""pre_green_room_invite"": 0.093, ""x_ft_vol"": 0.076, ""x_proj_vol"": 0.067, ""shr_col_impact"": 0.061, ""col_fg3a_per40"": 0.056, ""col_ast_pct_age"": 0.051}",64
Pf54bd6bbc8,2025,16,"{""intl_impact"": -0.1, ""shr_col_tov_pct"": -0.089, ""cons_src2_n"": -0.075, ""col_tov_pct"": -0.068, ""intl_mpg"": -0.059, ""bio_pos_src"": -0.055}","{""pre_green_room_invite"": 0.093, ""bio_country_usa"": 0.09, ""cons_mock_consensus_rank"": 0.08, ""cons_mock_best_rank"": 0.077, ""col_n_seasons"": 0.056, ""col_class_index"": 0.054}",48
Pa29e5f68db,2025,31,"{""adj_intl_stl36"": -0.115, ""intl_fg3ar"": -0.079, ""cons_src2_n"": -0.075, ""intl_season_gap"": -0.064, ""col_n_seasons"": -0.064, ""col_class_index"": -0.063}","{""shr_col_impact"": 0.142, ""bio_combine_hand_width_in"": 0.102, ""col_minutes_total"": 0.088, ""col_impact"": 0.081, ""intl_blk36"": 0.077, ""shr_col_ortg"": 0.073}",26
