,,,,,Rankings from: May 2012,,,,,,,,,,,* = updated rankings,
,,,,,,*,*,*,*,*,*,,,,,,
RSCI,Chg,Avg,Dev,,,VC,DT,SC,RC,MP,PS,Total,,Ht,Pos,City,College
54,-6,55,13.6,,Braxton Ogbueze,48,50,43,78,45,64,278,,6-0,PG,"Charlotte, NC",Florida
55,-9,55,11.1,,Ryan Arcidiacono,66,46,60,57,63,37,277,,6-4,PG,"Langhorne, PA",Villanova
56,4,56,7.3,,Dominic Artis,56,62,55,47,66,49,271,,5-11,PG,"Richmond, CA",Oregon
57,11,59,12.6,,J.P. Tokoto,59,70,75,45,58,44,255,,6-5,WF,"Menominee Falls, WI",North Carolina
58,3,60,6.4,,Joel James,62,60,51,65,53,67,248,,6-10,C,"West Palm Beach, FL",North Carolina
59,6,61,12.9,,Jordan Adams,57,41,76,62,57,74,239,,6-4,WG,"Mouth of Wilson, VA",UCLA
60,18,62,7.9,,Montay Brandon,70,57,54,60,73,56,236,,6-4,WF,"High Point, NC",Florida State
61,-5,62,11.2,,Elijah Macon,68,45,64,56,78,61,234,,6-8,PF,"Huntington, WV",West Virginia
62,5,63,13.1,,Prince Ibeh,74,59,52,55,84,53,229,,6-10,C,"Garland, TX",Texas
63,1,63,15.4,,James Robinson,80,43,83,59,56,57,228,,6-2,PG,"Hyattsville, MD",Pittsburgh
64,-1,64,14.4,,Danrad Knowles,55,51,78,54,62,86,220,,6-9,PF,"Houston, TX",Houston
65,-8,65,7.9,,J-Mychal Reese,69,73,67,68,51,60,218,,6-0,PG,"Bryan, TX",Texas A&M
66,5,65,11.4,,L.J. Rose,76,63,61,74,70,45,217,,6-2,PG,"Houston, TX",Baylor
67,-5,66,3.2,,Jake Layman,64,67,65,70,61,68,211,,6-8,WF,"Wrentham, MA",Maryland
67,10,66,13.4,,Xavier Johnson,75,68,57,75,43,77,211,,6-6,WF,"Santa Ana, CA",Colorado
69,new,67,11.4,,Christopher Obekpa,50,77,63,58,72,79,207,,6-8,PF,"Centerreach, NY",St. John's
70,-12,69,12.5,,Jordan Price,67,61,68,79,86,51,194,,6-5,WF,"Lithonia, GA",Auburn
71,4,70,11.5,,Georges Niang,61,56,71,69,75,89,185,,6-7,PF,"Methuen, MA",Iowa State
72,-28,72,10.6,,Torian Graham,63,90,74,67,77,62,173,,6-3,WG,"Raleigh, NC",
73,-7,75,9.1,,Rosco Allen,79,66,80,73,87,63,158,,6-7,WF,"Las Vegas, NV",Stanford
74,15,NA,NA,,Evan Nolte,71,52,79,91,55,,157,,6-8,PF,"Alpharetta, GA",Virginia
75, ,80,11.9,,Codi Miller-McIntyre,78,79,85,66,100,71,127,,6-2,PG,"Concord, NC",Wake Forest
75,new,80,11.5,,Terry Rozier,85,74,69,80,71,100,127,,6-1,PG,"Shaker Heights, OH",Louisville
75,24,80,10.0,,A.J. Hammons,86,81,66,77,74,95,127,,6-10,C,"Mouth of Wilson, VA",Purdue
78,1,81,15.1,,Nik Stauskas,92,76,88,71,99,58,122,,6-6,WF,"Southborough, MA",Michigan
79,new,NA,NA,,Jakarr Sampson,45,,36,,,,121,,6-7,PF,"Wolfeboro, NH",St. John's
80,-7,NA,NA,,Javan Felix,77,72,91,,88,66,111,,5-11,PG,"New Orleans, LA",Texas
81,-11,83,11.0,,Alex Caruso,83,99,89,84,69,72,110,,6-5,WG,"College Station, TX",Texas A&M
82,-29,NA,NA,,Savon Goodman,65,100,,72,,75,92,,6-6,WG,"Bryn Athyn, PA",UNLV
82,-9,NA,NA,,Steve Taylor,72,83,73,,,84,92,,6-7,PF,"Chicago, IL",Marquette
84,new,NA,NA,,Melvin Johnson,94,84,77,99,68,,83,,6-3,WG,"Bronx, NY",Miami (FL)
85,-2,NA,NA,,Montrezl Harrell,87,89,72,82,,94,81,,6-7,WF,"Tarboro, NC",Louisville
86,-1,NA,NA,,Michael Frazier,90,,,88,76,70,80,,6-4,WG,"Tampa, FL",Florida
86,-6,NA,NA,,Matt Costello,,86,95,83,60,,80,,6-9,PF,"Auburn, MI",Michigan State
88,2,88,11.9,,Mike Gesell,73,75,86,100,97,97,78,,6-1,WG,"South Sioux City, NE",Iowa
88,8,NA,NA,,Denzel Valentine,,97,,81,79,69,78,,6-5,WG,"Lansing, MI",Michigan State
90,-18,NA,NA,,Arnaud Adala Moto,82,,94,,65,87,76,,6-6,WF,"Alexandria, VA",Wake Forest
91,3,NA,NA,,Marcus Hunt,,69,93,95,80,93,75,,6-6,WF,"College Park, GA",Georgia Tech
92,-4,90,3.4,,Ronnie Johnson,88,92,84,94,90,90,68,,5-10,PG,"Indianapolis, IN",Purdue
92,5,NA,NA,,Mike Tobey,93,80,87,76,,,68,,6-11,C,"Ramsey, NJ",Virginia
94,-2,NA,NA,,Tyrone Wallace,,,90,87,95,73,59,,6-4,PG,"Bakersfield, CA",California
94,new,NA,NA,,Anthony January,,,,63,,80,59,,6-7,PF,"Woodland Hills, CA",prep school
96,new,NA,NA,,Kellen Dunham,84,78,96,93,,,53,,6-5,WG,"Pendleton, IN",Butler
97,2,NA,NA,,Grant Verhoeven,95,88,81,,89,,51,,6-8,PF,"Visalia, CA",Stanford
98,-14,NA,NA,,Kenny Kaminski,89,85,,,82,,47,,6-7,PF,"Medina, OH",Michigan State
98,new,NA,NA,,Jordan Loveridge,97,96,,,83,81,47,,6-6,WF,"West Jordan, UT",Utah
100,new,NA,NA,,Aaron Thomas,,,59,,,,42,,6-5,WG,"Wolfeboro, NH",Florida State
