,,,,,Rankings from: May 2024,,,,,,,,,,
,,,,,,,,,,,,,,,
RSCI,Chg,Avg,Dev,,Player,ESPN,Rivals,247Sports,On3,Total,,Ht,Pos,City,College
1,,1,0,,Cooper Flagg,1,1,1,1,400,,"6'9""",SF,"Newport, ME",Duke
2,1,2,0,,"Arious ""Ace"" Bailey",2,2,2,2,396,,"6'8""",SF,"Powder Springs, GA",Rutgers
3,-1,3,0.6,,Dylan Harper,4,3,3,3,391,,"6'5""",PG,"Ramsey, NJ",Rutgers
4,2,4,1,,V.J. Edgecombe,3,4,5,4,388,,"6'4""",SF,"Brookville, NY",Baylor
5,-1,6,0.6,,Tre Johnson,5,5,6,7,381,,"6'6""",SG,"Dallas, TX",Texas
6,4,8,1,,Ian Jackson,7,6,8,10,373,,"6'4""",SF,"Bronx, NY",North Carolina
7,,8,1.7,,Jalil Bethea,10,7,7,8,372,,"6'4""",SG,"Philadelphia, PA",Miami
8,-1,10,4.4,,Jayden Quaintance,16,8,9,5,366,,"6'9""",C,"Raleigh, NC",Arizona State
8,25,10,4.5,,Donnie Freeman,6,11,15,6,366,,"6'9""",PF,"Washington, DC",Syracuse
10,2,12,3.8,,Liam McNeeley,9,16,10,14,355,,"6'7""",SF,"Plano, TX",Connecticut
11,-4,13,1.5,,Drake Powell,13,14,11,15,351,,"6'5""",SG,"Pittsboro, NC",North Carolina
11,1,13,3.5,,Asa Newell,12,12,18,11,351,,"6'9""",PF,"Minneola, FL",Georgia
13,2,15,2.6,,Derrion Reid,11,15,16,18,344,,"6'7""",SF,"Grovetown, GA",Alabama
14,1,15,4.5,,Derik Queen,8,17,12,24,343,,"6'9""",C,"Baltimore, MD",Maryland
14,4,15,4.9,,Kon Knueppel,18,9,17,17,343,,"6'5""",SG,"Milwaukee, WI",Duke
16,1,16,0.6,,Isaiah Evans,14,13,13,25,339,,"6'7""",SF,"Huntersville, NC",Duke
17,3,17,5,,Boogie Fland,15,10,20,21,338,,"6'2""",PG,"White Plains, NY",Arkansas
18,-13,18,2.1,,Flory Bidunga,17,18,14,22,333,,"6'9""",C,"Kokomo, IN",Kansas
19,-1,20,4.6,,Bryson Tucker,20,20,28,12,324,,"6'6""",SF,"Bowie, MD",Indiana
20,-6,22,5.1,,Carter Bryant,19,29,26,13,317,,"6'8""",PF,"Riverside, CA",Arizona
21,,22,5.9,,Aiden Sherrell,21,19,30,19,315,,"6'11""",C,"Detroit, MI",Alabama
22,-11,23,2.5,,Karter Knox,26,21,23,20,314,,"6'5""",SG,"Tampa, FL",Arkansas
23,new,24,1.7,,Joson Sanon,22,25,22,27,308,,"6'5""",SG,"Fall River, MA",Arizona
24,,27,4.6,,Pat Ngongba,25,28,19,35,297,,"6'10""",C,"Warrenton, VA",Duke
25,4,28,1.5,,Robert Wright III,23,24,21,44,292,,6'1'',PG,"Philadelphia, PA",Baylor
26,10,29,1.5,,Morez Johnson,28,26,29,33,288,,"6'9""",PF,"Chicago, IL",Illinois
27,2,29,8.5,,Billy Richmond,38,22,25,32,287,,6'6'',SF,"Memphis, TN",Arkansas
28,-3,31,5,,Tahaad Pettiford,33,23,27,39,282,,"5'10""",PG,"Jersey City, NJ",Auburn
29,26,31,3.5,,Trent Perry,27,33,33,31,280,,6'4'',PG,"North Hollywood, CA",UCLA
30,-4,31,4.4,,Annor Boateng,31,32,24,38,279,,"6'4""",SF,"Little Rock, AR",Missouri
31,4,34,6.4,,Jase Richardson,24,36,34,40,270,,"6'3""",PG,"Miami, FL",Michigan State
32,2,34,3.6,,Labaron Philon,30,37,32,36,269,,6'2'',PG,"Mobile, AL",Alabama
33,-6,35,2.9,,Khani Rooths,40,35,35,30,264,,"6'8""",PF,"Bradenton, FL",Louisville
34,10,35,4,,Jackson McAndrew,36,43,36,26,263,,6'9'',PF,"Plymouth, MN",Creighton
35,4,37,3.5,,Ahmad Nowell,34,27,31,55,257,,6'1'',PG,"Philadelphia, PA",Connecticut
35,25,37,4.9,,Darren Harris,29,38,37,43,257,,6'5'',SG,"Fairfax, VA",Duke
37,-6,37,4,,Kanon Catchings,35,30,38,46,255,,6'6'',SF,"Brownsburg, IN",Purdue
38,-15,38,5.7,,Cam Scott,37,34,45,34,254,,"6'5""",SF,"Lexington, SC",South Carolina
39,6,40,6,,Rakease Passmore,32,39,44,45,244,,6'4'',SG,"Charlotte, NC",Kansas
40,12,45,8.5,,Thomas Sorber,53,56,40,29,226,,6'9'',C,"Philadelphia, PA",Georgetown
41,33,46,12.7,,Mercy Miller,68,44,49,23,220,,"6'4""",SG,"Sherman Oaks, CA",Houston
42,11,46,6.1,,Somto Cyril,49,53,41,42,219,,6'10'',C,"Atlanta, GA",Georgia
43,-21,47,3.1,,Zoom Diallo,43,41,47,57,216,,"6'3""",PG,"Tacoma, WA",Washington
44,-2,50,11.8,,Naasir Cunningham,62,46,39,51,206,,6'7'',SF,"West Orange, NJ",Alabama
45,-13,51,7,,Tyler Betsey,59,48,46,49,202,,6'6'',SF,"Windsor, CT",Cincinnati
46,-9,52,9.6,,Isaiah Elohim,55,40,58,53,198,,6'4'',SF,"Northridge, CA",USC
47,-6,52,6.1,,Austin Swartz,47,59,55,48,195,,6'4'',SG,"Concord, NC",Miami
48,-1,53,12.2,,John Mobley,41,63,43,63,194,,6'0'',PG,"Columbus, OH",Ohio State
49,-21,53,15.5,,Jason Asemota,48,31,62,71,192,,"6'7""",SF,"Phoenix, AZ",Baylor
