,,,,,,Rankings from: June 2009,,,,,,,,,,,,,* - denotes 5th year or prep school player,
,,,,,,,,!,!,!,!,!,!,!,,,,,! - updated or new rankings,
RSCI,Chg,Avg,Dev,,,,5yr,DT,RC,HM,RH,PS,SI,AS,Total,,Ht,Pos,City,College
44,-4,53,18.6,,,Leslie McDonald,,52,65,76,57,37,32,41,347,,6-4,WG,"Memphis, TN",North Carolina
45,-1,54,18.2,,,Christian Watford,,47,41,53,59,81,34,47,345,,6-8,WF,"Birmingham, AL",Indiana
46,-8,56,26.3,,,Rodney Williams,,34,100,34,44,58,42,54,341,,6-6,WF,"New Hope, MN",Minnesota
47,-8,57,16.4,,,Junior Cadougan,,53,73,45,49,41,76,42,328,,6-0,PG,"Humble, TX",Marquette
48,new,54,6.6,,,Kawhi Leonard,,70,48,48,64,55,56,40,326,,6-5,WF,"Riverside, CA",San Diego State
49,-2,52,20.2,,,Brandon Paul,,57,42,51,47,35,87,75,313,,6-3,WG,"Gurnee, IL",Illinois
50,25,48,12.4,,,Jamal Coombs-McDaniel,*,59,50,46,63,,33,43,312,,6-6,WF,"Tilton, NH",Connecticut
51,4,NA,NA,,,Ray Penn,,,44,35,41,25,57,97,307,,5-10,PG,"Richmond, TX",Oklahoma State
52,27,NA,NA,,,Eric Bledsoe,,37,23,33,37,69,,,306,,6-0,PG,"Birmingham, AL",Kentucky
53,12,NA,NA,,,Kyryl Natyazhko,,48,81,70,28,47,39,,293,,6-10,C,"Bradenton, FL",Arizona
54,4,60,19.4,,,Rakeem Buckles,,67,36,77,43,65,78,52,289,,6-8,PF,"Miami, FL",Louisville
55,-2,67,12.1,,,Shawn Williams,,46,67,64,86,63,53,45,283,,6-6,WF,"Duncanville, TX",Texas
56,5,57,25.7,,,Solomon Hill,,58,27,47,62,97,54,82,280,,6-6,PF,"Los Angeles, CA",Arizona
57,25,71,14.4,,,Mike Moser,,39,92,72,60,75,55,46,268,,6-7,PF,"Portland, OR",UCLA
58,-8,NA,NA,,,Maurice Creek,,41,56,62,42,83,71,,251,,6-4,WG,"South Kent, CT",Indiana
59,8,71,20.5,,,Terrell Vinson,,80,90,90,77,50,49,23,248,,6-7,PF,"Rockville, MD",Loyola-Marymount
60, ,65,6.4,,,Richard Howell,,64,61,60,,74,65,36,246,,6-7,PF,"Marietta, GA",NC State
61,10,NA,NA,,,Zeke Marshall,,35,43,42,92,89,61,,244,,7-0,C,"McKeesport, PA",Akron
62,-5,77,16.3,,,Kenny Hall,,49,74,97,90,61,62,32,242,,6-9,PF,"Stone Mountain, GA",Tennessee
63,-14,NA,NA,,,Karron Johnson,*,71,57,67,85,43,50,,233,,6-8,PF,"Durham, NC",Oklahoma State
64,8,75,21.7,,,Jon Hood,,45,40,69,79,93,92,58,231,,6-6,WF-WG,"Madisonville, KY",Kentucky
65,25,67,12.9,,,Brendan Lane,,72,49,80,69,,69,37,230,,6-9,PF,"Rocklin, CA",UCLA
66,-35,60,14.1,,,Isaiah Armwood,,81,62,75,,62,41,70,215,,6-7,PF,"Rockville, MD",Villanova
67,-5,NA,NA,,,Erik Williams,,90,,49,52,42,95,83,195,,6-7,WF,"Cypress, TX",Marquette
67,-15,74,17.4,,,Tristan Spurlock,,87,91,87,54,56,80,57,195,,6-6,WF,"Rockville, MD",Virginia
69,-13,62,18.8,,,Roberto Nelson,,86,78,36,,60,73,84,189,,6-3,WG,"Santa Barbara, CA",Oregon State
70,21,NA,NA,,,Reggie Buckner,,78,29,66,75,,,74,183,,6-8,PF,"Memphis, TN",Mississippi
71,-12,79,13.7,,,Roger Franklin,,74,98,68,,70,81,33,182,,6-5,WF,"Duncanville, TX",Oklahoma State
72,-6,75,7.4,,,Marshawn Powell,,62,72,78,,84,67,62,181,,6-7,PF,"Charlottesville, VA",Arkansas
73,-5,66,16.7,,,Jeronne Maymon,,84,47,71,,,79,44,180,,6-6,PF,"Madison, WI",Marquette
74,new,NA,NA,,,Jordan Hulls,,50,,59,55,88,,86,167,,6-0,PG,"Bloomington, IN",Indiana
74,21,NA,NA,,,Lakeem Jackson,,66,,89,58,66,93,67,167,,6-5,WF,"Arden, NC",South Carolina
76,-49,NA,NA,,,Hollis Thompson,,44,63,32,,,,,164,,6-6,WF,"Los Angeles, CA",Georgetown
77,21,NA,NA,,,Dalton Pepper,,98,,,51,59,96,50,151,,6-5,WG,"Fairless Hills, PA",West Virginia
78,-2,80,10.1,,,Kammeon Holsey,,89,82,88,81,87,63,68,149,,6-8,PF,"Sparta, GA",Georgia Tech
79,-1,NA,NA,,,Latavious Williams,*,,17,38,,,,,147,,6-7,,"Camp Springs, MD",Memphis
80,-16,NA,NA,,,Deshawn Painter,,69,,81,74,71,64,,146,,6-9,PF,"Chatham, VA",NC State
