,,,,,Rankings from: June 2025,,,,,,,,,,
,,,,,,,,,,,,,,,
RSCI,Chg,Avg,Dev,,Player,ESPN,Rivals,247Sports,On3,Total,,Ht,Pos,City,College
1,,1,0.6,,AJ Dybantsa,1,1,2,1,399,,"6'9""",SF,"Hurricane, UT",BYU
2,-1,2,1,,Darryn Peterson,2,3,1,3,395,,"6'5""",SG,"Napa, CA",Kansas
3,-2,3,0.6,,Cameron Boozer,3,2,3,4,392,,"6'9""",PF,"Miami, FL",Duke
4,-3,4,0,,Nate Ament,4,4,4,2,390,,"6'9""",PF,"Warrenton, VA",Tennessee
5,-4,6,1.7,,Caleb Wilson,5,5,8,5,381,,"6'9""",PF,"Atlanta, GA",North Carolina
6,7,6,0.6,,Chris Cenac,6,6,7,6,379,,"6'10""",PF,"Branson, MO",Houston
7,-6,10,2,,Mikel Brown Jr,8,10,6,14,366,,"6'3""",PG,"Daytona Beach, FL",Louisville
8,-7,10,1.5,,Koa Peat,10,8,11,10,365,,"6'8""",PF,"Gilbert, AZ",Arizona
9,5,11,2.5,,Brayden Burries,12,14,9,8,361,,"6'4""",SG,"San Bernadina, CA",Arizona
10,-9,12,4.2,,Darius Acuff Jr,7,13,5,21,358,,"6'3""",PG,"Bradenton, FL",Arkansas
11,8,13,3.6,,Tounde Yessoufou,9,16,14,11,354,,"6'5""",SF,"Santa Maria, CA",Baylor
12,-11,14,3.1,,Meleek Thomas,11,7,13,23,350,,"6'4""",PG,"Atlanta, GA",Arkansas
12,-2,14,3.6,,Isiah Harwell,14,9,16,15,350,,"6'6""",SG,"Mount Pleasant, UT",Houston
14,10,18,8.7,,Braylon Mullins,17,29,12,12,334,,"6'5""",SG,"Greenfield, IN",Connecticut
15,7,19,1.2,,Kingston Flemings,22,22,20,13,327,,"6'3""",PG,"San Antonio, TX",Houston
16,14,21,12.1,,Nikolas Khamenia,15,36,15,16,322,,"6'8""",PF,"Studio City, CA",Duke
17,-8,21,1,,Jalen Haralson,19,17,18,31,319,,"6'6""",SF,"La Porte, IN",Notre Dame
18,-2,22,1,,Trey McKenney,20,19,21,26,318,,"6'4""",SG,"Flint, MI",Michigan
19,-1,23,4,,Cayden Boozer,16,23,23,28,314,,"6'4""",PG,"Miami, FL",Duke
20,-9,24,3.5,,Jasper Johnson,18,18,24,36,308,,"6'4""",SG,"Versailles, KY",Kentucky
20,new,24,2.1,,Matthew Able,24,25,28,19,308,,"6'5""",SG,"Fort Lauderdale, FL",NC State
22,5,25,9.7,,Shelton Henderson,31,12,25,30,306,,"6'6""",SF,"Bellaire, TX",Miami
23,14,25,2.5,,Shon Abaev,27,24,22,27,304,,"6'7""",SF,"Fort Lauderdale, FL",Cincinnati
23,-2,25,13.7,,Dwayne Aristode,38,11,29,22,304,,"6'7""",SF,"Wolfeboro, NH",Arizona
