,,,,,Rankings from: June 2011,,,,,,,,,,! = updated rankings,
,,,,,,!,!,!,!,!,,,,,,
RSCI,Chg,Avg,Dev,,,RH/PS,VC,DT,RC,SC,Total,,Ht,Pos,City,College
49,new,NA,NA,,Alex Murphy,,34,40,45,37,248,,6-8,WF,,Duke
50,-3,53,14.0,,Amir Williams,53,45,42,77,48,240,,6-9,C,"Beverly Hills, MI",Ohio State
51,-12,53,24.2,,Norvel Pelle,38,50,76,23,79,239,,6-8,PF,"Compton, CA",St. John's
52,-1,53,7.2,,Jamal Branch,51,55,50,65,46,238,,6-3,PG,"Arlington, TX",Texas A&M
53,3,56,7.5,,Norman Powell,54,51,51,69,55,225,,6-3,WG,"San Diego, CA",UCLA
54,-6,57,13.5,,Dezmine Wells,66,53,47,76,44,219,,6-4,WF,"Chatham, VA",Xavier
55,-2,58,12.0,,Michael Chandler,55,76,43,55,61,215,,6-10,C,"Indianapolis, IN",Central Florida
56,-18,60,16.2,,Deuce Bello,89,52,53,54,52,205,,6-3,WF,"High Point, NC",Baylor
56,17,60,7.3,,Tyrone Johnson,70,57,65,52,56,205,,6-3,PG,"Plainfield, NJ",Villanova
58,-4,61,5.0,,Zach Price,61,56,56,67,65,200,,6-8,C,"Jeffersontown, KY",Louisville
59,3,62,10.0,,Angelo Chol,69,62,60,73,47,194,,6-8,C,"San Diego, CA",Arizona
59,-7,62,9.4,,Chris Jones,65,61,66,47,72,194,,5-10,PG,"Oak Ridge, NC",Juco
61,11,63,18.3,,Marshall Plumlee,77,59,34,79,68,188,,6-11,C,"Arden, NC",Duke
62,5,64,7.0,,Aaron Thomas,58,71,71,56,63,186,,6-5,WG,"Cincinnati, OH",Florida State
63,6,64,8.9,,Chasson Randle,56,68,59,78,60,184,,6-1,PG,"Rock Island, IL",Stanford
64, ,65,18.4,,Ryan Boatright,49,84,73,42,77,180,,5-10,PG,"Aurora, IL",West Virginia
65,-7,66,18.3,,Mike Shaw,40,67,89,59,75,175,,6-8,PF,"Chicago, IL",Illinois
66,-9,67,20.9,,Mychael Henry,60,78,95,39,64,169,,6-5,WG,"Chicago, IL",Illinois
67,-2,70,13.5,,Antwan Space,72,58,70,91,58,156,,6-6,WF,"DeSoto, TX",Florida State
68,30,70,12.0,,Julien Lewis,59,73,75,57,86,155,,6-3,WG,"Galveston, TX",Texas
69,-8,71,11.0,,Tracy Abrams,62,77,85,58,71,152,,6-1,PG,"Chicago, IL",Illinois
70,13,71,11.0,,Jonathan Holmes,74,66,61,89,66,149,,6-8,PF,"San Antonion, TX",Texas
71,4,71,19.7,,Hunter Mickelson,81,69,54,100,53,148,,6-10,PF,"Jonesboro, AR",Arkansas
72,12,NA,NA,,Julian Royal,68,60,68,,69,139,,6-7,PF,"Alpharetta, GA",Georgia Tech
73,-3,75,14.2,,Amir Garrett,63,65,97,68,80,132,,6-5,WF,"Lawndale, CA",St. John's
74,-15,75,24.5,,Kevin Ware,37,74,94,70,99,131,,6-4,WG,"Conyers, GA",Louisville
74,23,NA,NA,,Malcolm Gilbert,34,99,57,,83,131,,6-11,C,"Bryn Athyn, PA",Pittsburgh
76,6,NA,NA,,Eric Copes,,64,55,,57,127,,6-8,PF,"Philadelphia, PA",George Mason
77,-6,NA,NA,,Gary Bell,,79,67,75,70,113,,6-2,WG,"Kent, WA",Gonzaga
78,17,80,12.2,,Nnanna Egwu,83,83,69,97,67,106,,6-10,C,"Chicago, IL",Illinois
79,6,NA,NA,,Trevor Cooney,,63,64,,73,103,,6-3,WG,"Hockessin, DE",Syracuse
80,-7,NA,NA,,Tyler Adams,67,85,,62,95,95,,6-8,C,"Brandon, MS",Duke
81,-2,NA,NA,,Myles Mack,94,75,62,,82,91,,5-10,PG,"Paterson, NJ",Rutgers
81,11,NA,NA,,Juan Anderson,64,98,,61,90,91,,6-5,WF-WG,"Castro Valley, CA",Marquette
83,-7,NA,NA,,Cezar Guerrero,73,70,,71,,89,,6-0,PG,"Bellflower, CA",Oklahoma State
83,-4,83,8.5,,Joseph Uchebo,76,87,81,96,76,89,,6-9,C,"Raleigh, NC",Juco
85,new,NA,NA,,Jabarie Hinds,,86,,93,51,73,,5-11,PG,"Mount Vernon, NY",West Virginia
86,4,87,7.8,,Robert Brown,93,81,80,82,97,72,,6-4,WG,"Chatham, VA",Virginia Tech
86,-8,NA,NA,,Derrick Gordon,50,80,,,,72,,6-2,WG,"Elizabeth, NJ",Western Kentucky
86,new,NA,NA,,David Gardner,,88,96,64,84,72,,6-6,WF,"Okolona, MS",Mississippi State
89,-26,NA,NA,,Sidiki Johnson,,72,92,84,85,71,,6-8,PF,"Mouth of Wilson, VA",Arizona
90,new,NA,NA,,Rodney Cooper,85,,,49,,68,,6-5,,"Phenix City, AL",Alabama
91,-4,NA,NA,,Naadir Tharpe,,89,84,92,81,58,,5-11,PG,"Wolfeboro, NH",Kansas
92, ,NA,NA,,Deville Smith,75,,,74,,53,,5-10,PG,"Jackson, MS",Mississippi State
93,new,NA,NA,,Shaquille Thomas,97,100,,81,78,48,,6-7,WF,"Newark, NJ",Cincinatti
94,-6,NA,NA,,Malcolm Brogdon,86,100,72,,,45,,6-4,WG,"Norcross, GA",Virginia
95,4,92,10.0,,Kedren Johnson,99,100,83,80,100,43,,6-4,PG,"Lewisburg, TN",Vanderbilt
96,-6,NA,NA,,Bernard Sullivan,,91,,83,87,42,,6-7,PF,"Charlotte, NC",Clemson
97,-6,NA,NA,,Carlton Brundidge,92,100,74,,98,40,,6-1,WG,"Southfield, MI",Michigan
98,-32,NA,NA,,Mikael Hopkins,,100,77,87,,39,,6-8,C,"Hyattsville, MD",Georgetown
99,-18,NA,NA,,Damien Leonard,88,93,100,85,,38,,6-4,WG,"Greenville, SC",South Carolina
100,-23,NA,NA,,C.J. Barksdale,,96,98,99,74,37,,6-7,PF,"Chatham, VA",Virginia Tech
