,,,,,Rankings from: June 2010,,,,,,,,,,,,
,,,,,,!,!,!,!,!,!,,,,,! - updated or new rankings,
RSCI,Chg,Avg,Dev,,,RH,HM,DT,PS,RC,SI,Total,,Ht,Pos,City,College
48,5,NA,NA,,Vander Blue,,35,34,90,24,31,291,,6-3,PG,"Madison, WI",Marquette
49,-9,53,5.0,,Travis McKie,49,47,54,50,57,60,289,,6-6,WF,"Richmond, VA",Wake Forest
50,-7,54,11.8,,Stacey Poole,61,52,67,59,33,51,283,,6-5,WF,"Jacksonville, FL",Kentucky
51,12,56,12.9,,J.T. Terrell,77,43,65,47,53,49,272,,6-6,WF,"Cummings, NC",Wake Forest
52,-6,57,11.8,,Casey Prather,59,59,59,56,71,35,267,,6-5,WF,"Jackson, TN",Florida
53,6,58,16.4,,Keala King,52,58,79,85,26,43,263,,6-4,WG,"Compton, CA",Arizona State
54,-5,58,16.4,,Anthony Brown,34,49,52,67,65,81,258,,6-5,WG,"Huntington Beach, CA",Stanford
55,-7,59,8.9,,Mychal Parker,58,69,68,55,60,45,251,,6-6,WF,"Charlottesville, VA",Maryland
56,new,NA,NA,,Lorenzo Brown,20,84,,17,36,,247,,6-4,WG-PG,"Chatham, VA",NC State
57,-6,61,19.0,,Gary Franklin,55,39,86,42,78,65,241,,6-2,PG,"Santa Ana, CA",California
58,-6,63,8.6,,James Johnson,51,41,37,53,,92,231,,6-9,PF,"Wildomar, CA",Virginia
59,-2,63,8.6,,Tarik Black,57,72,75,60,54,59,229,,6-8,PF,"Memphis, TN",Memphis
60,8,64,14.7,,Trevor Releford,71,60,50,63,90,52,220,,5-10,PG,"Shawnee Mission, KS",Alabama
61,-6,NA,NA,,Rion Brown,56,63,63,38,68,,217,,6-5,WG,"Hinesville, GA",Miami
61,-3,65,9.0,,Damontre Harris,72,56,53,76,64,68,217,,6-9,C,"Fayetteville, NC",South Carolina
63,-13,66,15.6,,Jordan Sibert,69,61,64,80,39,82,211,,6-5,WG,"Cincinnati, OH",Ohio State
64,3,60,22.7,,Gerard Coleman,97,54,35,,58,54,207,,6-3,WG,"Tilton, NH",Providence
65,-1,68,22.2,,James Bell,91,68,78,89,42,41,197,,6-5,WF,"Montverde, FL",Villanova
66,6,NA,NA,,Carson Desrosiers,66,53,41,97,91,64,194,,6-10,C,"Lawrence, MA",Wake Forest
67,8,70,7.9,,J.J. Moore,46,71,49,73,,77,189,,6-6,WF,"Brentwood, NY",Pittsburgh
68,1,70,7.9,,Noah Cottrill,74,62,61,70,82,73,184,,6-1,PG,"Beckley, WV",West Virginia
69,new,NA,NA,,Gorgui Sy Dieng,,65,46,66,44,,183,,6-10,C,"Huntington, WV",Louisville
70,-28,71,13.8,,Daniel Bejarano,70,70,72,48,75,91,180,,6-4,WG,"Phoenix, AZ",Arizona
71,new,67,15.9,,Allen Crabbe,48,90,71,,69,57,170,,6-3,WG,"Los Angeles, CA",California
72,-12,NA,NA,,Michael Cobbins,99,57,66,100,40,75,169,,6-9,PF,"Amarillo, TX",Oklahoma State
73,1,NA,NA,,Bruce Ellington,40,67,56,78,96,,168,,5-10,PG,"Moncks Corner, SC",South Carolina
74,10,NA,NA,,Jamail Jones,67,96,,79,52,53,158,,6-6,WF,"Decatur, Ga",Marquette
75,new,NA,NA,,Shabazz Napier,54,76,62,77,98,,138,,5-10,PG,"Groton, MA",Connecticut
76,-15,79,8.6,,Crandall Head,64,,80,62,84,79,136,,6-3,WG,"Chicago, IL",Illinois
