,,,25-Aug-02,,,,,,,,,* = 5th year player,
,,,,,,,,,,,,,
RSCI,Chg,,,HS,DT,PS,SS,Total,,Ht,Pos,City,College
58,-2,,Derrick Byars,60,61,64,58,161,,6-7,WF,"Memphis, TN",Virginia
59,-15,,Jeff Horner,70,70,55,49,160,,6-2,PG,"Mason City, IA",Iowa
60,14,,Chris McCray,40,71,65,71,157,,6-4,WG,"Seat Pleasant, MD",Maryland
61,9,,Justin Gray,65,60,52,78,149,,6-2,PG,"Mouth of Wilson, VA",Wake Forest
62,-14,,Marshall Strickland*,,45,71,43,144,,6-2,PG,"Sykesville, MD",Indiana
62,13,,Julius Lamptey,68,51,72,69,144,,6-10,C,"Oklahoma City, OK",Georgia (dnq)
64,23,,Robert Hite,47,76,53,86,142,,6-2,WG,"Cincinnati, OH",Miami
65,-11,,Taquan Dean,70,78,61,54,141,,6-3,WG,"Neptune, NJ",Louisville
66,-2,,Keith Butler*,,63,47,53,140,,7-0,C,"Winchendon, MA",Temple
67,13,,Curtis Withers,31,86,79,75,133,,6-7,PF,"Charlotte, NC",Charlotte
68,-6,,J.R. Morris,84,43,87,60,130,,6-5,WF,"Milwaukee, WI",Seton Hall
69,-4,,Ricardo Billings,61,77,75,66,125,,6-4,WG,"Detroit, MI",Ohio State
70,-21,,Chadd Moore,100,79,58,46,121,,6-2,PG,"Huntsville, AL",Cincinnati
71,-4,,Francisco Garcia*,,57,67,61,118,,6-7,WF,"Cheshire, CT",Louisville
72,-6,,Jeremy Hunt,94,74,51,74,111,,6-3,WG,"Memphis, TN",Memphis
73,12,,Matt Haryasz,62,72,82,80,108,,6-10,C,"Page, AZ",Stanford
74,-11,,Adam Haluska,67,81,74,76,106,,6-5,WG,"Carroll, IA",Iowa State
75,-14,,Yusef Baker,63,94,76,72,99,,6-8,PF,"Orlando, Fl",South Florida
75,new,,Chris Quinn,49,66,89,,99,,6-1,PG,"Dublin, OH",Notre Dame
75,4,,Aliou Kane,70,97,73,65,99,,6-11,C,"Dyke, VA",Minnesota
78,-9,,James Augustine,87,73,88,77,79,,6-10,C,"New Lenox, IL",Illinois
79,-1,,Chuck Davis,70,82,91,83,78,,6-8,PF,"Selma, AL",Alabama
80,-9,,Greg Brown,,92,68,73,70,,6-1,WG,"Milwaukee, WI",
81,-13,,Marcus White,82,85,,67,69,,6-8,PF,"Chicago, IL",DePaul
82,-5,,Trent Strickland,88,,80,70,65,,6-5,WF,"Hendersonville, NC",Wake Forest
83,10,,Vincent Grier*,,52,100,87,64,,6-4,WG,"Raleigh, NC",Charlotte
84,new,,Cameron Bennerman,80,99,83,79,63,,6-4,WF,"Chatham, VA",NC State
84,new,,Almany Therio,70,69,,,63,,6-7,PF,"Durham, NC",Memphis
86,6,,C.J. Watson,83,90,84,85,62,,6-1,PG,"Las Vegas, NV",Tennessee
86,new,,Aaron Spears,70,75,96,,62,,6-9,C,"Chicago, IL",Illinois
88,-8,,Josh Rhodes,70,,86,88,59,,6-6,WF,"Santa Cruz, CA",Iowa
89,10,,Marquis Kately,,54,92,,56,,6-5,WF,"San Francisco, CA",California
90,-5,,Maurice Wade,91,,56,,55,,6-3,WG,"Milwaukee, WI",Wisconsin
91,-19,,Mario Moore,58,,,90,54,,5-11,PG,"Nashville, TN",Vanderbilt
91,-9,,Matt Kiefer,57,100,,92,54,,6-9,PF,"Evansville, IN",Purdue
93,new,,Kevin Young,,83,,68,51,,6-10,C,"Homestead, FL",Missouri
94,new,,Gary Ervin,52,,,,49,,5-11,PG,"Brooklyn, NY",prep school
95,-19,,Nik Caner-Medley,,93,81,82,47,,6-7,WF,"Cape Elizabeth, ME",Maryland
95,new,,Dedrick Finn,95,67,94,,47,,6-0,PG,"Newburgh, IN",Xavier
97,-8,,Bobby Jones,100,,62,96,45,,6-6,WF,"Compton, CA",Washington
98,-4,,Wes Wilkinson,70,,90,,42,,6-8,WF,"Grand Island, NE",Nebraska
98,new,,Tyler Smith,59,,,,42,,6-2,WG,"Baltimore, MD",prep school
100,-10,,John Winchester*,,84,77,,41,,6-4,WG,"Milford, CT",Tennessee
