,,,,,Rankings from: June 2007,,,,,,,,,,,,,* - denotes 5th year or prep school player,
,,,,,,,,!,,!,!,!,!,,,,,! - updated rankings,
RSCI,Chg,Avg,Dev,,,5yr,HS,RC,HM,DT,PS,RH,AS,Total,,Ht,Pos,City,College
45,7,28,7.4,,Nayal Koshwal,,36,18,28,28,58,78,,360,,6-8,C,"Chicago, IL",DePaul
46,new,48,8.2,,James Johnson,,44,60,43,44,57,52,50,357,,6-7,PF,"Cheyenne, WY",Wake Forest
47,25,59,24.6,,JaJuan Johnson,,95,41,52,47,52,37,41,342,,6-10,PF,"Indianapolis, IN",Purdue
48,49,43,7.1,,Jeff Robinson,,41,36,53,43,100,63,38,333,,6-6,WF,"Elizabeth, NJ",Memphis
49,8,52,14.8,,Matthew Bryan-Amaning,,33,47,59,67,37,44,,319,,6-8,PF,"South Kent, CT",Washington
50,-13,55,15.3,,Antonio Jardine,,38,51,56,75,63,79,48,297,,6-1,WG,"Philadelphia, PA",Syracuse
51,new,NA,NA,,Craig Brackins,,,20,44,40,64,48,,289,,6-9,PF,"Lancaster, CA",Iowa State
52,7,NA,NA,,Evan Turner,,,48,62,59,45,58,49,285,,6-6,WF,"Chicago, IL",Ohio State
53,-25,NA,NA,,Alex Tyus,,,49,40,68,34,42,,272,,6-8,PF,"Cincinnati, OH",Florida
54,10,60,17.4,,Rico Pickett,,34,67,66,72,84,69,46,269,,6-4,PG,"Decatur, AL",Alabama
55,new,59,14.0,,Jeff Teague,,79,55,57,46,61,81,69,259,,6-1,PG,"Indianapolis, IN",Wake Forest
56,27,69,14.4,,Chris Wright,,76,82,68,49,53,53,71,255,,6-6,WF,"Trotwood, OH",Dayton
57,38,70,17.7,,Jon Diebler,,96,58,60,65,89,51,40,248,,6-5,WG,"Upper Sandusky, OH",Ohio State
58,1,NA,NA,,Anthony McClain,,,54,55,54,56,45,,241,,7-0,C,"Fort Washington, MD",Cincinnati
59,8,NA,NA,,Chace Stanback,,,65,64,64,69,59,52,233,,6-7,WF,"Los Angeles, CA",UCLA
60,-18,66,22.8,,Rick Jackson,,43,97,65,58,73,90,51,230,,6-8,C-PF,"Philadelphia, PA",Syracuse
61,2,64,9.7,,Robbie Hummel,,72,71,63,51,88,62,75,225,,6-8,WF,"Valparaiso, IN",Purdue
