,,,,,Rankings from: May 2022,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RSCI,Chg,Avg,Dev,,,VC,ESPN,Rivals,247Sports,On3,Total,,Ht,Pos,City,College
1,4,2,0.8,,Dariq Whitehead,2,2,1,3,5,492,,"6'8""",SF,"Montverde, FL",Duke
2,,2,1,,Dereck Lively,1,1,3,2,8,490,,"6'11""",C,"Westtown, PA",Duke
3,8,2,1,,Nick Smith,3,3,2,1,11,485,,"6'5""",SG-PG,"Sherwood, AR",Arkansas
4,4,5,1.4,,Kyle Filipowski,4,7,5,4,1,484,,"6'10""",PF,"Wilbraham, MA",Duke
5,21,5,1.5,,Dillon Mitchell,6,4,4,7,3,481,,"6'8""",SF,"Tampa, FL",Texas
6,15,7,1.2,,Kel'el Ware,8,8,6,6,6,471,,"7'0""",C,"North Little Rock, AR",Oregon
7,-3,7,1.5,,Keyonte George,5,6,8,8,15,463,,"6'3""",SG,"Bradenton, FL",Baylor
8,-1,13,7.6,,Cason Wallace,18,20,7,5,4,451,,"6'4""",SG,"Richardson, TX",Kentucky
8,9,10,1,,Jarace Walker,9,10,11,11,13,451,,"6'7""",SF,"Bradenton, FL",Houston
10,-7,8,3,,Amari Bailey,7,5,12,9,28,444,,"6'4""",SG,"Chatsworth, CA",UCLA
11,-1,13,2.9,,Brandon Miller,12,9,16,13,16,439,,"6'7""",SF,"Nashville, TN",Alabama
12,20,16,7,,Cam Whitmore,22,21,9,10,7,436,,"6'6""",SF,"Severn, MD",Villanova
13,-7,12,2.2,,Chris Livingston,11,12,10,15,24,433,,"6'7""",SF,"Akron, OH",Kentucky
14,10,16,2.2,,Anthony Black,16,15,19,14,9,432,,"6'6""",SG,"Duncanville, TX",Arkansas
14,5,15,2.4,,Julian Phillips,15,13,13,18,14,432,,"6'8""",SF,"Branson, MO",Tennessee
16,12,18,7.4,,Gradey Dick,10,14,27,20,10,424,,6'7,SF,"Bel Aire, KS",Kansas
17,8,17,5.9,,Jordan Walsh,13,11,24,19,23,415,,"6'7""",SF,"Castaic, CA",Arkansas
18,-2,18,2.9,,Adem Bona,17,16,22,16,21,413,,6'10,C,"Napa, CA",UCLA
19,1,17,2.9,,Arterio Morris,21,17,14,17,25,411,,"6'4""",PG,"Lewisville, TX",Texas
20,3,21,3.2,,Jalen Hood-Schifino,20,24,17,23,17,404,,"6'5""",SG,"Montverde, FL",Indiana
21,13,21,2.1,,JJ Starling,23,18,21,21,19,403,,6'3,PG,"La Porte, IN",Notre Dame
22,-9,21,6.4,,Mark Mitchell,25,26,20,12,20,402,,"6'7""",SF,"Bel Aire, KS",Duke
23,-11,24,4.4,,Yohan Traore,27,27,18,22,12,399,,"6'11""",PF,"Glendale, AZ",Auburn
24,-9,22,6.8,,Jaden Bradley,14,19,30,24,29,389,,"6'3""",PG,"Bradenton, FL",Alabama
25,-11,26,7.8,,Vincent Iwuchukwu,31,32,15,25,33,369,,"7'0""",C,"Montverde, FL",USC
26,7,25,6.9,,Malik Reneau,19,22,25,35,38,366,,"6'9""",PF,"Miami, FL",Indiana
27,-5,30,3.4,,MJ Rice,26,30,28,34,22,365,,"6'5""",SF,"Napa, CA",Kansas
28,,27,4.2,,Ernest Udeh,24,23,32,29,40,357,,6'10,C,"Orlando, FL",Kansas
29,20,35,8.7,,Tyrell Ward,44,34,23,37,18,349,,"6'5""",SF,"Hyattsville, MD",LSU
30,8,32,5.1,,Collin Chandler,28,29,39,30,32,347,,"6'4""",PG,"Farmington, UT",BYU
31,20,34,4.2,,Tarris Reed,38,31,29,36,27,344,,6'8,C,"Branson, MO",Michigan
32,-15,31,4.5,,Skyy Clark,30,25,36,31,45,338,,"6'2""",PG,"Nashville, TN",Illinois
33,-3,35,3.6,,Chance Westry,32,36,33,40,34,330,,"6'6""",PG,"Phoenix, AZ",Auburn
34,2,40,2.2,,Jett Howard,37,41,42,41,36,308,,"6'5""",SG,"Fort Lauderdale, FL",Michigan
35,27,43,26.2,,Tre White,29,28,82,32,30,304,,"6'5""",SF,"Los Angeles, CA",USC
36,1,38,9.1,,Seth Trimble,45,46,34,27,63,290,,"6'3""",PG,"Menomonee Falls, WI",North Carolina
37,6,46,14,,Donovan Clingan,35,51,35,64,31,289,,"7'1""",C,"Bristol, CT",Connecticut
38,9,43,19.2,,Terrance Arceneaux,51,66,26,28,48,286,,"6'6""",SF,"Beaumont, TX",Houston
39,-30,40,4.7,,Dior Johnson,41,35,38,46,85,260,,"6'3""",PG,"Corona, CA",Oregon
40,34,52,10.4,,Rylan Griffen,57,49,63,39,39,258,,"6'5""",SG,"Richardson, TX",Alabama
41,,45,9.6,,Kijani Wright,36,38,55,52,69,255,,6'9,PF,"Chatsworth, CA",USC
42,4,44,4.5,,Dylan Andrews,47,44,48,38,74,254,,"6'3""",PG,"Los Angeles, CA",UCLA
43,2,52,8.4,,Mark Armstrong,52,61,41,55,43,253,,6'2,PG,"Jersey City, NJ",Villanova
44,15,45,13.3,,Judah Mintz,34,33,57,56,77,248,,"6'4""",SG,"Mouth of Wilson, VA",Syracuse
45,8,53,17.9,,Jaxon Kohler,40,40,78,54,55,238,,"6'9""",C,"American Fork, UT",Michigan State
